Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Match_Group,Lipid,Correct_RT,Max_Intensity,Cage,Mouse,Genotype,Biology,db,FAC,TG,Group,Cluster_Label
722.7,547.5,13.45,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.49,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.54,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.58,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.63,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.67,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.72,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.76,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.81,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.85,143.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.89,180.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.94,354.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,13.98,60.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,14.03,124.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,14.07,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,14.12,102.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,1
722.7,547.5,14.16,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,14.2,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,14.25,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,14.29,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,14.34,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,14.38,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,14.43,41.0,12012023_DOD73_M2_5xFAD_liver_O3on_01,722.7 -> 547.5,85,[TG(50:3)]_FA18:1,12.83,606.0,DOD73,M2,5xFAD,liver,n-10,FA18:1,TG(50:3),0,2
722.7,547.5,13.45,74.0,12012023_FAD131_M1_5xFAD_liver_O3on_01,722.7 -> 547.5,86,[TG(50:3)]_FA18:1,12.83,1138.0,FAD131,M1,5xFAD,liver,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.49,41.0,12012023_FAD131_M1_5xFAD_liver_O3on_01,722.7 -> 547.5,86,[TG(50:3)]_FA18:1,12.83,1138.0,FAD131,M1,5xFAD,liver,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.54,41.0,12012023_FAD131_M1_5xFAD_liver_O3on_01,722.7 -> 547.5,86,[TG(50:3)]_FA18:1,12.83,1138.0,FAD131,M1,5xFAD,liver,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.58,41.0,12012023_FAD131_M1_5xFAD_liver_O3on_01,722.7 -> 547.5,86,[TG(50:3)]_FA18:1,12.83,1138.0,FAD131,M1,5xFAD,liver,n-10,FA18:1,TG(50:3),1,0
