Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Match_Group,Lipid,Cage,Mouse,Genotype,Biology,Group_Sample,db,FAC,TG,Group,Cluster_Label
722.7,547.5,13.3168,41.70000457763672,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,DOD94,F4,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.3612,41.880001068115234,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,DOD94,F4,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.405600000000002,41.68000411987305,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,DOD94,F4,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.450016666666667,41.80000305175781,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,DOD94,F4,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.494416666666668,41.7400016784668,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,DOD94,F4,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.538833333333335,41.820003509521484,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,DOD94,F4,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.583233333333334,42.02000427246094,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,DOD94,F4,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.627633333333334,42.08000183105469,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,DOD94,F4,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.67205,41.980003356933594,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,DOD94,F4,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.71645,41.94000244140625,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,DOD94,F4,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.760866666666667,185.8400115966797,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,DOD94,F4,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.805266666666668,147.16000366210938,11292023_DOD94_F4_5xFAD_cereb_O3on_01,722.7 -> 547.5,412,[TG(50:3)]_FA18:1,DOD94,F4,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),0,0
722.7,547.5,13.13915,92.60000610351562,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,FAD185,M3,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.18355,42.42000198364258,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,FAD185,M3,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.22795,98.44001007080078,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,FAD185,M3,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.272366666666667,42.320003509521484,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,FAD185,M3,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.316766666666668,42.30000305175781,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,FAD185,M3,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.361183333333335,42.30000305175781,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,FAD185,M3,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.405583333333334,42.3800048828125,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,FAD185,M3,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.449983333333334,185.16001892089844,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,FAD185,M3,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.4944,131.8400115966797,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,FAD185,M3,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.5388,149.1800079345703,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,FAD185,M3,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.583216666666667,408.3200378417969,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,FAD185,M3,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.627616666666666,332.3600158691406,11292023_FAD185_M3_5xFAD_cereb_O3on_01,722.7 -> 547.5,420,[TG(50:3)]_FA18:1,FAD185,M3,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),1,0
722.7,547.5,13.405600000000002,41.720001220703125,11292023_FAD189_M1_5xFAD_cereb_O3on_01,722.7 -> 547.5,424,[TG(50:3)]_FA18:1,FAD189,M1,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),2,0
722.7,547.5,13.450000000000001,41.80000305175781,11292023_FAD189_M1_5xFAD_cereb_O3on_01,722.7 -> 547.5,424,[TG(50:3)]_FA18:1,FAD189,M1,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),2,0
722.7,547.5,13.494416666666668,41.80000305175781,11292023_FAD189_M1_5xFAD_cereb_O3on_01,722.7 -> 547.5,424,[TG(50:3)]_FA18:1,FAD189,M1,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),2,0
722.7,547.5,13.538816666666667,41.70000457763672,11292023_FAD189_M1_5xFAD_cereb_O3on_01,722.7 -> 547.5,424,[TG(50:3)]_FA18:1,FAD189,M1,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),2,0
722.7,547.5,13.583233333333334,41.60000228881836,11292023_FAD189_M1_5xFAD_cereb_O3on_01,722.7 -> 547.5,424,[TG(50:3)]_FA18:1,FAD189,M1,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),2,0
722.7,547.5,13.627633333333334,41.54000473022461,11292023_FAD189_M1_5xFAD_cereb_O3on_01,722.7 -> 547.5,424,[TG(50:3)]_FA18:1,FAD189,M1,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),2,0
722.7,547.5,13.672033333333333,41.7400016784668,11292023_FAD189_M1_5xFAD_cereb_O3on_01,722.7 -> 547.5,424,[TG(50:3)]_FA18:1,FAD189,M1,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),2,0
722.7,547.5,13.71645,41.94000244140625,11292023_FAD189_M1_5xFAD_cereb_O3on_01,722.7 -> 547.5,424,[TG(50:3)]_FA18:1,FAD189,M1,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),2,0
722.7,547.5,13.760866666666667,41.720001220703125,11292023_FAD189_M1_5xFAD_cereb_O3on_01,722.7 -> 547.5,424,[TG(50:3)]_FA18:1,FAD189,M1,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),2,0
722.7,547.5,13.805266666666668,41.46000289916992,11292023_FAD189_M1_5xFAD_cereb_O3on_01,722.7 -> 547.5,424,[TG(50:3)]_FA18:1,FAD189,M1,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),2,0
722.7,547.5,13.849666666666668,41.560001373291016,11292023_FAD189_M1_5xFAD_cereb_O3on_01,722.7 -> 547.5,424,[TG(50:3)]_FA18:1,FAD189,M1,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),2,0
722.7,547.5,13.894083333333334,41.68000411987305,11292023_FAD189_M1_5xFAD_cereb_O3on_01,722.7 -> 547.5,424,[TG(50:3)]_FA18:1,FAD189,M1,5xFAD,cereb,-1,n-10,FA18:1,TG(50:3),2,0
722.7,547.5,13.361166666666668,41.980003356933594,11292023_DOD94_F4_5xFAD_cortex_O3on_01,722.7 -> 547.5,413,[TG(50:3)]_FA18:1,DOD94,F4,5xFAD,cortex,-1,n-10,FA18:1,TG(50:3),3,0
