Purity,Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,FAC,TG,Group,Cluster_Label,Max_Intensity,RT_Start,RT_End,Area,Group_Intensity,Group_Threshold,Area_DDT,Area_HW_DDT,Area_Ratio,Area_DDT_Ratio,Area_HW_DDT_Ratio
Crude,[TG(52:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,794.7,577.6,18.05,3815.0,794.7 -> 577.6,FA18:1,"TG(52:2), TG(53:9)",30,2,3815.0,17.82,18.24,658.0,"[461.52001953125, 570.7200317382812, 632.280029296875, 656.1000366210938, 664.0000610351562, 668.4200439453125, 811.7400512695312, 817.8800659179688, 836.340087890625, 944.7000732421875, 993.9400634765625, 1167.1800537109375, 1186.7000732421875, 1248.800048828125, 1367.1800537109375, 1785.420166015625, 1975.3001708984375, 2206.740234375, 2568.30029296875, 2639.68017578125, 2760.060302734375, 2921.14013671875, 3579.060302734375, 3615.30029296875, 3814.960205078125]",756.0,593.0,498.0,3.229483282674772,3.524451939291737,2.644578313253012
Crude,[TG(52:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,766.7,577.6,18.05,16153.0,766.7 -> 577.6,FA18:1,"TG(52:2), TG(53:9)",33,2,16153.0,17.82,18.25,2125.0,"[942.2400512695312, 999.820068359375, 1033.7601318359375, 1163.7601318359375, 1175.06005859375, 1200.14013671875, 1221.6800537109375, 1301.4400634765625, 1359.900146484375, 1419.360107421875, 1441.2000732421875, 1517.6201171875, 1762.2401123046875, 1912.0401611328125, 2579.480224609375, 2888.500244140625, 3676.34033203125, 4544.8203125, 5191.8203125, 6937.70068359375, 7624.80078125, 9806.6806640625, 10355.1611328125, 13416.201171875, 13846.861328125, 16069.9814453125, 16153.12109375]",1275.0,2090.0,1317.0,3.229483282674772,3.524451939291737,2.644578313253012
Crude,[TG(52:3)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,792.7,575.6,16.04,1083.0,792.7 -> 575.6,FA18:1,"TG(52:3), TG(53:10)",21,1,1083.0,15.93,16.33,263.0,"[367.5600280761719, 372.2600402832031, 408.3000183105469, 448.6600341796875, 467.60003662109375, 496.98004150390625, 501.0600280761719, 525.1200561523438, 539.6800537109375, 590.1400146484375, 619.3400268554688, 673.080078125, 721.2000732421875, 757.780029296875, 763.4000244140625, 814.7000732421875, 847.340087890625, 848.6200561523438, 876.3800659179688, 940.4000854492188, 949.2000732421875, 973.60009765625, 1016.7400512695312, 1083.4000244140625]",549.0,215.0,283.0,2.387832699619772,2.227906976744186,1.1837455830388692
Crude,[TG(52:3)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,764.6,575.6,16.09,3420.0,764.6 -> 575.6,FA18:1,"TG(52:3), TG(53:10)",24,0,3420.0,15.93,16.36,628.0,"[730.1400756835938, 776.7000732421875, 790.4600830078125, 791.4800415039062, 793.4400634765625, 796.800048828125, 808.820068359375, 820.840087890625, 835.3600463867188, 856.4400634765625, 884.300048828125, 1020.6400756835938, 1038.2000732421875, 1046.1400146484375, 1125.9801025390625, 1190.06005859375, 1289.6600341796875, 1306.4801025390625, 1313.1800537109375, 1609.06005859375, 2003.0802001953125, 2284.540283203125, 2799.2802734375, 2826.400146484375, 2959.2802734375, 3162.540283203125, 3419.8203125]",893.0,479.0,335.0,2.387832699619772,2.227906976744186,1.1837455830388692
Crude,[TG(52:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,790.7,573.6,14.31,615.0,790.7 -> 573.6,FA18:1,TG(52:4),3,2,615.0,14.08,14.51,167.0,"[168.04000854492188, 214.40000915527344, 219.46002197265625, 227.58001708984375, 231.68002319335938, 235.00001525878906, 238.50001525878906, 239.12001037597656, 253.20001220703125, 259.4200134277344, 270.280029296875, 284.6200256347656, 296.32000732421875, 300.72003173828125, 398.8800354003906, 437.3600158691406, 472.1400451660156, 483.46002197265625, 492.0000305175781, 535.6200561523438, 578.6000366210938, 586.6800537109375, 597.1400146484375, 599.320068359375, 599.52001953125, 611.2000732421875, 615.4200439453125]",332.0,107.0,120.0,1.9401197604790419,2.6261682242990654,2.0416666666666665
Crude,[TG(52:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,762.6,573.6,14.3,1875.0,762.6 -> 573.6,FA18:1,TG(52:4),6,0,1875.0,14.11,14.51,324.0,"[281.1200256347656, 288.5000305175781, 294.3600158691406, 301.280029296875, 301.8000183105469, 313.58001708984375, 336.1200256347656, 393.96002197265625, 431.3000183105469, 452.2600402832031, 474.7000427246094, 506.5400390625, 629.4000244140625, 646.02001953125, 745.080078125, 947.1200561523438, 1175.64013671875, 1303.9400634765625, 1430.4801025390625, 1702.66015625, 1704.920166015625, 1753.7401123046875, 1863.420166015625, 1874.7801513671875]",401.0,281.0,245.0,1.9401197604790419,2.6261682242990654,2.0416666666666665
Crude,[TG(52:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,788.6,571.6,12.41,333.0,788.6 -> 571.6,FA18:1,TG(52:5),12,0,333.0,12.36,12.78,74.0,"[86.7800064086914, 107.30001068115234, 113.90000915527344, 121.80001068115234, 125.52001190185547, 126.82000732421875, 136.98001098632812, 139.24000549316406, 153.24000549316406, 156.4400177001953, 163.00001525878906, 167.54000854492188, 172.16001892089844, 177.62001037597656, 185.2200164794922, 185.760009765625, 220.0600128173828, 230.20001220703125, 232.40000915527344, 237.20001220703125, 245.3400115966797, 259.7400207519531, 303.6400146484375, 327.9800109863281, 333.3800354003906]",222.0,49.0,60.0,1.337837837837838,2.4081632653061225,3.7666666666666666
Crude,[TG(52:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,760.6,571.6,12.41,579.0,760.6 -> 571.6,FA18:1,TG(52:5),15,2,579.0,12.38,12.79,99.0,"[84.74000549316406, 108.46000671386719, 125.62001037597656, 152.50001525878906, 153.52000427246094, 156.82000732421875, 166.28001403808594, 179.86001586914062, 186.80001831054688, 196.98001098632812, 229.96002197265625, 238.16001892089844, 244.3400115966797, 256.5600280761719, 259.9400329589844, 263.8000183105469, 271.52001953125, 273.6400146484375, 297.760009765625, 298.760009765625, 300.1200256347656, 317.5600280761719, 569.6600341796875, 572.1200561523438, 578.52001953125]",253.0,118.0,226.0,1.337837837837838,2.4081632653061225,3.7666666666666666
Crude,[TG(54:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,822.7,605.6,19.98,2716.0,822.7 -> 605.6,FA18:1,"TG(54:2), TG(55:9)",84,4,2716.0,19.85,20.15,426.0,"[278.4200134277344, 301.7400207519531, 351.5400390625, 410.1400146484375, 410.8600158691406, 411.34002685546875, 426.6200256347656, 431.08001708984375, 434.5400390625, 436.0000305175781, 450.2600402832031, 450.46002197265625, 454.02001953125, 455.52001953125, 464.34002685546875, 481.0800476074219, 486.2000427246094, 486.800048828125, 490.46002197265625, 491.8200378417969, 494.6600341796875, 498.1600341796875, 500.1400451660156, 509.0800476074219, 509.0800476074219, 511.6600341796875, 513.56005859375, 513.56005859375, 516.1600341796875, 523.3400268554688, 529.5800170898438, 534.9000244140625, 537.0800170898438, 541.2200317382812, 560.7200317382812, 562.06005859375, 570.0400390625, 580.300048828125, 580.8600463867188, 587.5400390625, 595.6400146484375, 599.8600463867188, 606.7000732421875, 606.7000732421875, 612.06005859375, 614.9600219726562, 614.9600219726562, 619.9000244140625, 623.8600463867188, 634.06005859375, 634.06005859375, 636.4400634765625, 642.780029296875, 642.780029296875, 646.8400268554688, 648.1200561523438, 653.0400390625, 666.320068359375, 666.320068359375, 671.52001953125, 672.6600341796875, 679.320068359375, 679.320068359375, 682.280029296875, 682.280029296875, 690.280029296875, 690.280029296875, 708.300048828125, 711.6200561523438, 711.6200561523438, 715.800048828125, 731.4600219726562, 751.1000366210938, 751.6400756835938, 751.6400756835938, 759.1000366210938, 761.8400268554688, 851.4000854492188, 851.4000854492188, 1002.7000732421875, 1002.7000732421875, 1065.880126953125, 1065.880126953125, 1168.300048828125, 1168.300048828125, 1294.2801513671875, 1294.2801513671875, 1418.9600830078125, 1418.9600830078125, 1489.4600830078125, 1489.4600830078125, 1492.64013671875, 1492.64013671875, 1776.5601806640625, 1776.5601806640625, 1891.7801513671875, 1891.7801513671875, 2221.6201171875, 2221.6201171875, 2326.320068359375, 2326.320068359375, 2592.68017578125, 2592.68017578125, 2716.400146484375, 2716.400146484375]",581.0,429.0,354.0,4.025821596244131,4.0256410256410255,2.6920903954802258
Crude,[TG(54:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,794.6,605.6,20.0,11693.0,794.6 -> 605.6,FA18:1,"TG(54:2), TG(55:9)",87,4,11693.0,19.7,20.3,1715.0,"[598.300048828125, 613.320068359375, 628.02001953125, 669.6400756835938, 674.02001953125, 674.1600341796875, 692.3400268554688, 713.6600341796875, 740.7600708007812, 757.9600830078125, 771.6400756835938, 774.2000732421875, 795.7200317382812, 800.800048828125, 809.4200439453125, 825.320068359375, 836.780029296875, 837.340087890625, 861.3800659179688, 865.06005859375, 875.6000366210938, 875.6000366210938, 893.820068359375, 903.5400390625, 903.5400390625, 916.1800537109375, 917.4800415039062, 922.9800415039062, 928.4800415039062, 932.1400756835938, 946.8600463867188, 952.1400756835938, 952.1800537109375, 959.4600830078125, 959.4600830078125, 964.340087890625, 967.9600830078125, 968.300048828125, 980.6200561523438, 986.56005859375, 986.56005859375, 1014.2800903320312, 1020.3600463867188, 1020.3600463867188, 1021.2000732421875, 1028.380126953125, 1030.7401123046875, 1031.2000732421875, 1057.4801025390625, 1061.6600341796875, 1061.6600341796875, 1062.280029296875, 1081.860107421875, 1106.7401123046875, 1110.9400634765625, 1123.880126953125, 1130.2000732421875, 1130.4600830078125, 1148.4801025390625, 1184.820068359375, 1184.820068359375, 1188.56005859375, 1207.0400390625, 1207.0400390625, 1209.1600341796875, 1214.6800537109375, 1235.080078125, 1244.800048828125, 1254.300048828125, 1294.2000732421875, 1294.2000732421875, 1308.4200439453125, 1308.4200439453125, 1309.880126953125, 1320.1600341796875, 1320.1600341796875, 1327.4200439453125, 1620.5401611328125, 1620.5401611328125, 1631.60009765625, 1631.60009765625, 2249.900146484375, 2249.900146484375, 2444.320068359375, 2444.320068359375, 3651.000244140625, 3651.000244140625, 4052.420166015625, 4052.420166015625, 5133.46044921875, 5133.46044921875, 5410.50048828125, 5410.50048828125, 6550.92041015625, 6550.92041015625, 7585.400390625, 7585.400390625, 8232.400390625, 8232.400390625, 10155.8408203125, 10155.8408203125, 10687.701171875, 10687.701171875, 11693.0810546875, 11693.0810546875]",925.0,1727.0,953.0,4.025821596244131,4.0256410256410255,2.6920903954802258
