Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Match_Group,Purity,FAC,TG,Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,SLBG_group
[TG(52:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,790.7,573.6,14.31,615.0,33,Crude,FA18:1,TG(52:4),0,615.0,14.312883333333334,0.00711666666666666,182.0,182.0,1.99,0
[TG(52:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,762.6,573.6,14.3,1875.0,3,Crude,FA18:1,TG(52:4),3,1875.0,14.301200000000001,0.018799999999998818,362.0,362.0,1.99,0
[TG(52:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,788.6,571.6,12.41,333.0,24,Crude,FA18:1,TG(52:5),6,333.0,12.405766666666667,0.024233333333333107,97.0,98.0,1.37,3
[TG(52:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,760.6,571.6,12.41,579.0,0,Crude,FA18:1,TG(52:5),9,579.0,12.40995,0.020049999999999457,133.0,134.0,1.37,3
[TG(52:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,790.7,573.6,14.2,640.0,34,Degummed,FA18:1,TG(52:4),1,640.0,14.19875,0.12124999999999986,179.0,179.0,1.98,1
[TG(52:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,762.6,573.6,14.19,1897.0,4,Degummed,FA18:1,TG(52:4),4,1897.0,14.187066666666666,0.1329333333333338,354.0,354.0,1.98,1
[TG(52:5)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,788.6,571.6,12.29,251.0,25,Degummed,FA18:1,TG(52:5),7,251.0,12.29165,0.13834999999999908,81.0,81.0,1.48,4
[TG(52:5)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,760.6,571.6,12.38,541.0,1,Degummed,FA18:1,TG(52:5),10,541.0,12.377366666666667,0.052633333333332644,120.0,120.0,1.48,4
[TG(52:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,790.7,573.6,14.31,492.0,35,RBD,FA18:1,TG(52:4),2,492.0,14.312883333333334,0.00711666666666666,179.0,179.0,1.79,2
[TG(52:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,762.6,573.6,14.35,1317.0,5,RBD,FA18:1,TG(52:4),5,1317.0,14.350133333333334,0.030133333333333567,319.0,321.0,1.79,2
[TG(52:5)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,788.6,571.6,12.47,234.0,26,RBD,FA18:1,TG(52:5),8,234.0,12.471016666666667,0.04101666666666759,82.0,83.0,1.25,5
