Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Match_Group,Purity,FAC,TG,Group,Max_Intensity,Cluster_RT,Cluster_Ground_Truth_Dif,Area,Area_DDT,Area_DDT_Ratio,SLBG_group
[TG(52:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,794.7,577.6,18.05,3815.0,45,Crude,FA18:1,"TG(52:2), TG(53:9)",21,3815.0,18.045533333333335,0.0055333333333358325,734.0,314.0,5.38,2
[TG(52:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,766.7,577.6,18.05,16153.0,9,Crude,FA18:1,"TG(52:2), TG(53:9)",24,16153.0,18.05111666666667,0.011116666666669772,2243.0,1688.0,5.38,2
[TG(52:3)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,764.6,575.6,16.09,3420.0,6,Crude,FA18:1,"TG(52:3), TG(53:10)",18,3420.0,16.094616666666667,0.02538333333333398,705.0,201.0,,0
[TG(54:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,822.7,605.6,19.98,2716.0,66,Crude,FA18:1,"TG(54:2), TG(55:9)",57,2716.0,19.982916666666668,0.02708333333333357,427.0,43.0,26.28,14
[TG(54:2)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,794.6,605.6,20.0,11693.0,42,Crude,FA18:1,"TG(54:2), TG(55:9)",60,11693.0,20.002950000000002,0.007049999999999557,1266.0,1130.0,26.28,14
[TG(54:3)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,820.7,603.6,17.98,17186.0,63,Crude,FA18:1,"TG(54:3), TG(55:10)",45,17186.0,17.9775,0.01249999999999929,2576.0,2265.0,5.07,8
[TG(54:3)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,792.6,603.6,17.98,99860.0,36,Crude,FA18:1,"TG(54:3), TG(55:10)",48,99860.0,17.9817,0.00829999999999842,11657.0,11481.0,5.07,8
[TG(54:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-7,818.7,601.6,16.09,5501.0,60,Crude,FA18:1,"TG(54:4), TG(55:11)",51,5501.0,16.086233333333332,0.013766666666668925,927.0,638.0,4.66,11
[TG(54:4)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,790.6,601.6,16.07,27001.0,30,Crude,FA18:1,"TG(54:4), TG(55:11)",54,27001.0,16.0746,0.0254000000000012,3257.0,2971.0,4.66,11
[TG(54:5)]_FA18:1,CrudeCanola_O3on_150gN3_02082023,n-9,788.6,599.6,14.31,5259.0,27,Crude,FA18:1,TG(54:5),30,5259.0,14.313816666666668,0.013816666666667032,1072.0,781.0,,5
[TG(52:2)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,766.7,577.6,17.94,9987.0,10,Degummed,FA18:1,"TG(52:2), TG(53:9)",25,9987.0,17.936966666666667,0.10303333333333242,1671.0,1078.0,,3
[TG(54:2)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,794.6,605.6,19.92,5166.0,43,Degummed,FA18:1,"TG(54:2), TG(55:9)",61,5166.0,19.921433333333333,0.08856666666666868,993.0,366.0,,15
[TG(54:3)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,820.7,603.6,17.9,10785.0,64,Degummed,FA18:1,"TG(54:3), TG(55:10)",46,10785.0,17.895983333333334,0.09401666666666486,1638.0,1272.0,5.67,9
[TG(54:3)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,792.6,603.6,17.88,61998.0,37,Degummed,FA18:1,"TG(54:3), TG(55:10)",49,61998.0,17.883866666666666,0.1061333333333323,7614.0,7217.0,5.67,9
[TG(54:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-7,818.7,601.6,15.96,3479.0,61,Degummed,FA18:1,"TG(54:4), TG(55:11)",52,3479.0,15.9558,0.14420000000000144,519.0,241.0,6.28,12
[TG(54:4)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,790.6,601.6,15.98,14145.0,31,Degummed,FA18:1,"TG(54:4), TG(55:11)",55,14145.0,15.976766666666668,0.1232333333333333,1780.0,1513.0,6.28,12
[TG(54:5)]_FA18:1,DegummedCanola_O3on_150gN3_02082023,n-9,788.6,599.6,14.2,4061.0,28,Degummed,FA18:1,TG(54:5),31,4061.0,14.199683333333335,0.10031666666666617,781.0,288.0,,6
[TG(52:2)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,794.7,577.6,18.06,2689.0,47,RBD,FA18:1,"TG(52:2), TG(53:9)",23,2689.0,18.061833333333333,0.02183333333333337,609.0,84.0,15.57,4
[TG(52:2)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,766.7,577.6,18.07,12642.0,11,RBD,FA18:1,"TG(52:2), TG(53:9)",26,12642.0,18.067416666666666,0.02741666666666731,1892.0,1308.0,15.57,4
[TG(52:3)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,764.6,575.6,16.16,3097.0,8,RBD,FA18:1,"TG(52:3), TG(53:10)",20,3097.0,16.159850000000002,0.03985000000000127,653.0,97.0,,1
[TG(54:2)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,794.6,605.6,20.04,7721.0,44,RBD,FA18:1,"TG(54:2), TG(55:9)",62,7721.0,20.035566666666668,0.025566666666666293,906.0,730.0,,16
[TG(54:3)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,820.7,603.6,18.01,11771.0,65,RBD,FA18:1,"TG(54:3), TG(55:10)",47,11771.0,18.01011666666667,0.020116666666670113,1849.0,1559.0,4.85,10
[TG(54:3)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,792.6,603.6,18.01,63686.0,38,RBD,FA18:1,"TG(54:3), TG(55:10)",50,63686.0,18.014316666666666,0.02431666666666743,7922.0,7560.0,4.85,10
[TG(54:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-7,818.7,601.6,16.1,3560.0,62,RBD,FA18:1,"TG(54:4), TG(55:11)",53,3560.0,16.10255,0.002549999999999386,624.0,340.0,5.88,13
[TG(54:4)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,790.6,601.6,16.12,17709.0,32,RBD,FA18:1,"TG(54:4), TG(55:11)",56,17709.0,16.123533333333334,0.023533333333332962,2234.0,1998.0,5.88,13
[TG(54:5)]_FA18:1,RBDCanola_O3on_150gN3_02082023,n-9,788.6,599.6,14.33,3415.0,29,RBD,FA18:1,TG(54:5),32,3415.0,14.330116666666667,0.030116666666666347,738.0,206.0,,7
