Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Position,Name,Type,Sex,method_type,Blank Subtraction,subclasses,chain_length,saturation,between_parenthese,FA_Chain
[TG(46:6)]_FA22:6,784.6,439.3,1589.6801071166992,784.6 -> 439.3,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,6,(46:6),22:6
[TG(47:6)]_FA22:6,798.7,453.4,1585.3601150512695,798.7 -> 453.4,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,6,(47:6),22:6
[TG(48:8)|TG(47:1)]_FA22:6,808.7,463.4,1775.8201332092285,808.7 -> 463.4,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,8,(48:8),22:6
[TG(48:7)|TG(47:0)]_FA22:6,810.8,465.5,1908.460147857666,810.8 -> 465.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,7,(48:7),22:6
[TG(48:6)]_FA22:6,812.7,467.4,1554.200107574463,812.7 -> 467.4,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,6,(48:6),22:6
[TG(49:8)|TG(48:1)]_FA22:6,822.8,477.5,1500.1001167297363,822.8 -> 477.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,8,(49:8),22:6
[TG(49:7)|TG(48:0)]_FA22:6,824.8,479.5,1644.4001159667969,824.8 -> 479.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,7,(49:7),22:6
[TG(49:6)]_FA22:6,826.7,481.4,1714.5401153564453,826.7 -> 481.4,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,6,(49:6),22:6
[TG(50:9)|TG(49:2)]_FA22:6,834.8,489.5,3191.4602432250977,834.8 -> 489.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,9,(50:9),22:6
[TG(50:8)|TG(49:1)]_FA22:6,836.8,491.5,1618.540111541748,836.8 -> 491.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,8,(50:8),22:6
[TG(50:7)|TG(49:0)]_FA22:6,838.8,493.5,1515.7801132202148,838.8 -> 493.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,7,(50:7),22:6
[TG(50:6)]_FA22:6,840.7,495.4,1502.180103302002,840.7 -> 495.4,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,6,(50:6),22:6
[TG(51:9)|TG(50:2)]_FA22:6,848.8,503.5,2926.0402221679688,848.8 -> 503.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,9,(51:9),22:6
[TG(51:8)|TG(50:1)]_FA22:6,850.8,505.5,1681.5001220703125,850.8 -> 505.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,8,(51:8),22:6
[TG(51:7)|TG(50:0)]_FA22:6,852.8,507.5,1776.240119934082,852.8 -> 507.5,TAG,TAG22_6_BlankBrain_NA_N1_daneman_lab_11_21_23,BlankBrain_NA,P1-A2,Blank,Brain,_NA,TAG22,0.0,TG,TG,7,(51:7),22:6
