Lipid,Class,DOD73-5xFAD-M2liver_033123,FAD131-5xFAD-M1liver_033123,FAD131-5xFAD-M2liver_033123,FAD131-5xFAD-M4liver_033123,FAD173-5xFAD-M1liver_033123,DOD73m2_500x_N1__liverLD__8_8_23,FAD131m1_500x_N1__liverLD__8_8_23,FAD131m2_500x_N1__liverLD__8_8_23,FAD131m4_500x_N1__liverLD__8_8_23,FAD173m1_500x_N1__liverLD__8_8_23,Blank_500x_N1__liverLD__8_8_23,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,333833.80224609375,330179.2646484375,360457.18359375,340042.5224609375,405221.28759765625,28064.80206298828,26633.14190673828,36119.48287963867,28947.962036132812,23925.901596069336,28265.76202392578,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"(11Z,14Z)-eicosadienoylcarnitine",CAR,323973.94287109375,312251.02392578125,344173.2451171875,322782.0625,393336.70947265625,22190.44157409668,21535.18148803711,25598.02178955078,21756.661514282227,21312.761611938477,21711.001541137695,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"(13Z,16Z)-docosadienoylcarnitine",CAR,228522.23498535156,220136.9151611328,241193.7977294922,231012.71716308594,267345.19873046875,18799.78143310547,20162.041133880615,23031.621772766113,21019.32152557373,10746.4808883667,20945.901260375977,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,339255.2021484375,266274.33740234375,310373.0419921875,272216.9201660156,329208.5830078125,26443.741821289062,24920.64178466797,25642.281768798828,27426.221954345703,26536.481994628906,26167.74192047119,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,173395.271484375,171719.25268554688,185115.91381835938,179216.03247070312,216482.55639648438,23148.441619873047,21962.561569213867,25727.501663208008,22466.74151992798,18688.56120300293,22663.561637878418,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,212029.17529296875,203605.61474609375,223207.55737304688,211958.2744140625,258782.97802734375,6231.680446624756,5658.200393676758,6238.640438079834,6927.740459442139,5781.840427398682,6689.760471343994,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-behenoyl-Cer(d18:1/16:0),Cer,34993.262214660645,49269.7829246521,65962.30405426025,11506.880954742432,35531.70199584961,1922.5001220703125,2084.200149536133,1822.2201309204102,1763.6001281738281,1878.4401321411133,1797.5801315307617,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-carboceroyl-Cer(d18:1/16:0),Cer,113573.20904159546,235828.2760810852,286637.5709724426,26846.222297668457,188823.78869247437,3283.7802238464355,5583.520454406738,2669.180164337158,2023.3801383972168,4672.500343322754,1844.6401329040527,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-carboceroyl-Cer(d18:1/18:0),Cer,7887.820468902588,10345.180625915527,10388.600868225098,4972.780319213867,8970.620422363281,1758.7401275634766,1687.4401092529297,1737.940128326416,1762.9001197814941,1688.5601119995117,1704.800121307373,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-cerotoyl-Cer(d18:1/16:0),Cer,56626.68326950073,118284.70900344849,124009.04661560059,21522.681526184082,91505.28868865967,1827.9601364135742,1760.0801315307617,1829.700138092041,1932.6601486206055,2012.2001457214355,1898.200138092041,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: Older Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: Older Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
