Lipid,Class,DOD73m2_500x_N1__liverLD__8_8_23_x,FAD131m1_500x_N1__liverLD__8_8_23_x,FAD131m2_500x_N1__liverLD__8_8_23_x,FAD131m4_500x_N1__liverLD__8_8_23_x,FAD173m1_500x_N1__liverLD__8_8_23_x,DOD73m2_500x_N1__liverLD__8_8_23_y,FAD131m1_500x_N1__liverLD__8_8_23_y,FAD131m2_500x_N1__liverLD__8_8_23_y,FAD131m4_500x_N1__liverLD__8_8_23_y,FAD173m1_500x_N1__liverLD__8_8_23_y,Blank_500x_N1__liverLD__8_8_23,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,CAR,28064.80206298828,26633.14190673828,36119.48287963867,28947.962036132812,23925.901596069336,28064.80206298828,26633.14190673828,36119.48287963867,28947.962036132812,23925.901596069336,28265.76202392578,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"(11Z,14Z)-eicosadienoylcarnitine",CAR,22190.44157409668,21535.18148803711,25598.02178955078,21756.661514282227,21312.761611938477,22190.44157409668,21535.18148803711,25598.02178955078,21756.661514282227,21312.761611938477,21711.001541137695,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"(13Z,16Z)-docosadienoylcarnitine",CAR,18799.78143310547,20162.041133880615,23031.621772766113,21019.32152557373,10746.4808883667,18799.78143310547,20162.041133880615,23031.621772766113,21019.32152557373,10746.4808883667,20945.901260375977,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"(5Z,8Z)-tetradecadienoylcarnitine",CAR,26443.741821289062,24920.64178466797,25642.281768798828,27426.221954345703,26536.481994628906,26443.741821289062,24920.64178466797,25642.281768798828,27426.221954345703,26536.481994628906,26167.74192047119,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"(7Z,10Z)-hexadecadienoylcarnitine",CAR,23148.441619873047,21962.561569213867,25727.501663208008,22466.74151992798,18688.56120300293,23148.441619873047,21962.561569213867,25727.501663208008,22466.74151992798,18688.56120300293,22663.561637878418,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",CAR,6231.680446624756,5658.200393676758,6238.640438079834,6927.740459442139,5781.840427398682,6231.680446624756,5658.200393676758,6238.640438079834,6927.740459442139,5781.840427398682,6689.760471343994,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-behenoyl-Cer(d18:1/16:0),Cer,1922.5001220703125,2084.200149536133,1822.2201309204102,1763.6001281738281,1878.4401321411133,1922.5001220703125,2084.200149536133,1822.2201309204102,1763.6001281738281,1878.4401321411133,1797.5801315307617,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-carboceroyl-Cer(d18:1/16:0),Cer,3283.7802238464355,5583.520454406738,2669.180164337158,2023.3801383972168,4672.500343322754,3283.7802238464355,5583.520454406738,2669.180164337158,2023.3801383972168,4672.500343322754,1844.6401329040527,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-carboceroyl-Cer(d18:1/18:0),Cer,1758.7401275634766,1687.4401092529297,1737.940128326416,1762.9001197814941,1688.5601119995117,1758.7401275634766,1687.4401092529297,1737.940128326416,1762.9001197814941,1688.5601119995117,1704.800121307373,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-cerotoyl-Cer(d18:1/16:0),Cer,1827.9601364135742,1760.0801315307617,1829.700138092041,1932.6601486206055,2012.2001457214355,1827.9601364135742,1760.0801315307617,1829.700138092041,1932.6601486206055,2012.2001457214355,1898.200138092041,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-cerotoyl-Cer(d18:1/18:0),Cer,1710.3801307678223,1722.2801208496094,1693.560131072998,1686.8001098632812,1797.6401252746582,1710.3801307678223,1722.2801208496094,1693.560131072998,1686.8001098632812,1797.6401252746582,1865.440128326416,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,1755.4001235961914,1802.5601272583008,1726.0201301574707,1705.0001182556152,1811.0001220703125,1755.4001235961914,1802.5601272583008,1726.0201301574707,1705.0001182556152,1811.0001220703125,1690.6401100158691,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,1793.0601272583008,2008.6001434326172,1715.8201179504395,1944.8001327514648,1781.4201164245605,1793.0601272583008,2008.6001434326172,1715.8201179504395,1944.8001327514648,1781.4201164245605,1810.0001373291016,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-myristoyl-Cer(d18:1/16:0),Cer,1802.6801300048828,1873.5201416015625,1669.1401176452637,1828.760139465332,1688.980125427246,1802.6801300048828,1873.5201416015625,1669.1401176452637,1828.760139465332,1688.980125427246,1815.6001281738281,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-palmitoyl-Cer(d18:1/16:0),Cer,1863.300148010254,1792.7001190185547,1891.720127105713,1788.6401290893555,1857.9601402282715,1863.300148010254,1792.7001190185547,1891.720127105713,1788.6401290893555,1857.9601402282715,1922.4201469421387,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-stearoyl-Cer(d18:1/16:0),Cer,1769.8401222229004,1807.3401260375977,1701.8201179504395,1826.1601295471191,1900.3001289367676,1769.8401222229004,1807.3401260375977,1701.8201179504395,1826.1601295471191,1900.3001289367676,1860.3401336669922,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,8216.10073852539,8209.980533599854,2559.0201721191406,2068.5801391601562,10250.240600585938,8216.10073852539,8209.980533599854,2559.0201721191406,2068.5801391601562,10250.240600585938,1714.720115661621,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,1689.6201210021973,1686.2401313781738,1693.0801391601562,1686.6601295471191,1713.180118560791,1689.6201210021973,1686.2401313781738,1693.0801391601562,1686.6601295471191,1713.180118560791,1695.3201217651367,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD | Sex: Male | Brain Region: Liver | Time Period: New Data,Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New Data vs Genotype: 5xFAD__Sex: Male__Brain Region: Liver__Time Period: New DataBlank1,5,5,Blank_500x_N1__liverLD__8_8_23
