Lipid,Brain_std,Liver_std,Brain_std,Liver_std
[TG(52:5)]_FA16:1,6.9,18.8,3.7,8.6
"[TG(55:11),TG(54:4)]_FA16:1",,13.9,,0.6
"[TG(56:7),]_FA16:1",,58.6,,36.0
[TG(50:3)]_FA18:1,97.9,89.8,4.0,2.2
"[TG(52:7),]_FA18:1",,100.0,,
"[TG(55:8),TG(54:1)]_FA18:1",100.0,92.4,0.0,4.7
"[TG(55:9),TG(54:2)]_FA18:1",97.3,93.3,4.8,0.7
"[TG(55:10),TG(54:3)]_FA18:1",97.3,88.3,2.7,2.0
"[TG(55:11),TG(54:4)]_FA18:1",96.3,84.8,3.9,1.5
[TG(54:5)]_FA18:1,96.9,85.3,4.4,1.6
[TG(54:6)]_FA18:1,98.2,89.8,4.1,4.0
"[TG(56:10),TG(55:3)]_FA18:1",,93.1,,7.2
"[TG(56:11),TG(55:4)]_FA18:1",100.0,96.7,,5.7
"[TG(57:9),TG(56:2)]_FA18:1",100.0,96.3,,3.5
"[TG(57:10),TG(56:3)]_FA18:1",95.4,92.7,6.5,4.4
"[TG(57:11),TG(56:4)]_FA18:1",100.0,86.8,0.0,5.2
"[TG(57:12),TG(56:5)]_FA18:1",100.0,90.2,,9.2
[TG(56:6)]_FA18:1,,93.6,,4.6
"[TG(56:7),]_FA18:1",82.2,95.9,25.2,4.2
"[TG(59:11),TG(58:4)]_FA18:1",,92.8,,9.8
"[TG(59:12),TG(58:5)]_FA18:1",,100.0,,0.0
"[TG(59:13),TG(58:6)]_FA18:1",,100.0,,0.0
"[TG(58:7),]_FA18:1",,100.0,,0.0
