,Lipid,Sample_ID,db_pos,LipidParent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Cluster_Label,Area,Area_RT,Group,Parent_Ion,Purity
30,"[TG(55:10),TG(54:3)]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-9,,603.6,18.01,63686.0,792.6 -> 603.6,0,1739593.25,0.1793833333333339,10.0,792.6,RBD
31,"[TG(55:11),TG(54:4)]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-7,,601.6,16.09,5501.0,818.7 -> 601.6,1,211550.7353515625,0.29354999999999976,18.0,818.7,Crude
32,"[TG(55:11),TG(54:4)]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-9,,601.6,16.07,27001.0,790.6 -> 601.6,0,742831.9755859375,0.19570000000000043,8.0,790.6,Crude
33,"[TG(55:11),TG(54:4)]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-7,,601.6,15.96,3479.0,818.7 -> 601.6,1,105451.52685546875,0.21199999999999974,18.0,818.7,Degummed
34,"[TG(55:11),TG(54:4)]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-9,,601.6,15.98,14145.0,790.6 -> 601.6,0,375331.701171875,0.14676666666666804,8.0,790.6,Degummed
35,"[TG(55:11),TG(54:4)]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-7,,601.6,16.1,3560.0,818.7 -> 601.6,1,132249.1298828125,0.2609333333333339,18.0,818.7,RBD
36,"[TG(55:11),TG(54:4)]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-9,,601.6,16.12,17709.0,790.6 -> 601.6,0,480251.9521484375,0.16306666666666914,8.0,790.6,RBD
37,"[TG(55:9),TG(54:2)]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-7,,605.6,19.98,2716.0,822.7 -> 605.6,6,287145.6201171875,2.2994166666666658,20.0,822.7,Crude
38,"[TG(55:9),TG(54:2)]_FA18:1",CrudeCanola_O3on_150gN3_02082023,n-9,,605.6,20.0,11693.0,794.6 -> 605.6,1,359426.345703125,0.4240166666666667,12.0,794.6,Crude
39,"[TG(55:9),TG(54:2)]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-7,,605.6,19.95,1345.0,822.7 -> 605.6,6,184049.6131591797,1.956949999999999,20.0,822.7,Degummed
40,"[TG(55:9),TG(54:2)]_FA18:1",DegummedCanola_O3on_150gN3_02082023,n-9,,605.6,19.92,5166.0,794.6 -> 605.6,1,193762.0927734375,0.47293333333333365,12.0,794.6,Degummed
41,"[TG(55:9),TG(54:2)]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-7,,605.6,19.98,1725.0,822.7 -> 605.6,6,239125.056640625,2.185266666666667,20.0,822.7,RBD
42,"[TG(55:9),TG(54:2)]_FA18:1",RBDCanola_O3on_150gN3_02082023,n-9,,605.6,20.04,7721.0,794.6 -> 605.6,1,267049.21826171875,0.35876666666666424,12.0,794.6,RBD
