Lipid,Class,SV13_p1_G1,SV13_p2_G1,SV13_p3_G1,SV13_s1_G1,SV13_s2_G1,SV13_s3_G1,SV14_p1_G1,SV14_p2_G1,SV14_p3_G1,SV14_s1_G1,SV14_s2_G1,SV14_s3_G1,SV21_p1_G1,SV21_p2_G1,SV21_p3_G1,SV21_s1_G1,SV21_s2_G1,SV21_s3_G1,SV22_p1_G1,SV22_p2_G1,SV22_p3_G1,SV22_s1_G1,SV22_s2_G1,SV22_s3_G1,SV23_p1_G1,SV23_p2_G1,SV23_p3_G1,SV23_s1_G1,SV23_s2_G1,SV23_s3_G1,SV24_p1_G1,SV24_p2_G1,SV24_p3_G1,SV24_s1_G1,SV24_s2_G1,SV24_s3_G1,DMSO_p1_G2,DMSO_p2_G2,DMSO_p3_G2,DMSO_s1_G2,DMSO_s2_G2,DMSO_s3_G2,Title1,Title2,Title,Length1,Length2
FA(22:4),FA,4436,4743,4918,4836,4575,5013,5234,4515,4150,5220,4888,4532,4309,4717,4899,4604,4863,5508,4981,4916,4262,4409,4233,4486,4326,4658,4649,4563,4949,4916,5129,5168,5201,5028,5026,5086,4287,4445,4418,4462,4831,4687,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(22:5),FA,4533,4766,5433,4652,4946,5383,5276,4600,4032,5084,4850,4467,4263,5000,4778,4536,5287,5520,5259,4885,4454,4632,4459,4322,4491,4552,4602,4349,4998,5148,5053,4968,5337,5605,5097,4935,4335,4166,4639,4440,4235,4881,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(22:6),FA,5313,5851,6246,6246,6108,5903,6304,4848,4848,5738,5619,5131,4897,5512,5635,5266,5633,5874,6025,5765,5065,5208,5242,5694,5484,5221,5925,5845,6202,5930,6019,6492,5852,6447,5995,5961,5151,4863,5504,4794,5637,5449,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(23:0),FA,6234,6376,6145,5867,6124,6107,6191,5033,5182,6291,5878,4976,5212,6019,5940,5522,6139,6058,6268,5944,5377,4737,5160,5666,6334,6303,5642,6063,5830,6498,5924,6055,5901,6267,5651,5908,5373,5767,6856,4993,6281,5832,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(24:0),FA,4767,5022,4830,4852,5068,4943,4981,4317,4363,4954,4907,4363,4316,4602,4629,4419,4706,4958,5209,4905,4387,4455,4251,4266,4478,4562,4452,4422,4943,4800,4720,4908,5215,5408,4999,5047,4380,4363,4513,4472,4748,4564,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(24:1),FA,4577,4654,5135,4988,5265,5024,5128,4253,4166,5214,4755,4394,4338,4867,4706,4619,4518,4935,4736,4934,4495,4417,4259,4424,4494,4369,4853,4524,4956,5224,4788,5104,4699,4907,4919,4949,4521,4433,4472,4376,4747,4704,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(26:0),FA,4391,4564,4693,4584,4889,4786,4371,4304,4268,4862,4621,4273,4163,4511,4315,4204,4548,4767,4916,4494,4419,4483,4018,4244,4402,4502,4609,4452,4647,4745,4470,4783,4889,4565,4882,4663,4325,4191,4188,4125,4389,4431,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(26:1),FA,6893,4984,4822,4427,4686,4698,4823,4608,4272,4852,4872,4363,4170,4681,4278,4178,4579,4723,4618,4946,4467,4272,4217,4140,4282,4495,4597,4523,4316,4676,4564,4705,4976,4856,4505,4858,4189,4477,4436,4270,4702,4472,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(28:0),FA,5180,5591,5424,5547,5173,5560,5466,4697,5340,5686,5700,5023,4944,5819,5256,5260,4807,5245,5382,5704,5043,4931,4650,4996,5422,5377,5243,4853,5120,5505,5414,5609,5771,5452,5239,5324,4975,4912,5435,4679,5232,5520,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(28:1),FA,4519,4557,4570,4518,4423,4624,4808,4412,4127,4769,4496,4187,4371,4835,4314,4354,4563,4623,4567,4703,4548,4294,4177,4269,4489,4725,4825,4426,4802,4389,4787,4510,5076,4709,4549,4867,4207,4292,4601,4411,4609,4567,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(30:0),FA,4619,4526,4910,4619,4500,4881,4812,4741,4587,4616,4598,4352,4604,4650,4540,4530,4699,4797,4822,4655,4504,4363,4293,4466,4371,4797,4774,5062,4633,4473,4559,5013,7180,4668,4955,4613,4918,4343,4541,4434,4667,5023,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
FA(30:1),FA,4601,4371,4727,4511,4344,4458,4336,4348,4216,4677,4373,4171,4221,4518,4486,4333,4303,4714,4796,4322,4276,4458,4211,4282,4294,4407,4404,4353,4365,4397,4407,4470,4666,4715,4456,4556,4225,4442,4543,4238,4310,4373,Group 1 Title,Group 2 Title,Group 1 Title vs Group 2 Title,36,6
