,Lipid,Retention_Time,Parent_Ion,Product_Ion,n-7,n-9,n-10,n-12,Average_Retention_Time
0,[TG(50:3)]_FA18:1,13.73,846.8,547.5,764.8,736.8,722.8,694.8,13.73
1,[TG(52:5)]_FA16:1,12.4,870.8,599.5,788.8,760.8,746.8,718.8,12.4
2,[TG(52:6)]_FA18:2,11.24,868.8,571.5,786.8,758.8,744.8,716.8,11.24
3,[TG(54:5)]_FA18:1,13.64,898.8,599.5,816.8,788.8,774.8,746.8,13.64
4,[TG(54:6)]_FA18:1,12.53,896.8,597.5,814.8,786.8,772.8,744.8,12.53
5,"[TG(55:10),TG(54:3)]_FA18:1",15.99,902.8,603.5,820.8,792.8,778.8,750.8,15.99
6,"[TG(55:11),TG(54:4)]_FA18:1",14.84,900.8,601.5,818.8,790.8,776.8,748.8,14.84
7,"[TG(55:8),TG(54:1)]_FA18:1",17.19,906.8,607.5,824.8,796.8,782.8,754.8,17.19
8,"[TG(55:9),TG(54:2)]_FA18:1",17.19,904.8,605.5,822.8,794.8,780.8,752.8,17.19
9,"[TG(56:7),TG(55:0)]_FA18:1",13.5,922.9,623.6,840.9,812.9,798.9,770.9,13.5
10,"[TG(57:11),TG(56:4)]_FA18:1",15.9,928.8,629.5,846.8,818.8,804.8,776.8,15.9
11,"[TG(57:12),TG(56:5)]_FA18:1",15.1,926.8,627.5,844.8,816.8,802.8,774.8,15.1
12,"[TG(57:9),TG(56:2)]_FA18:1",18.21,932.9,633.6,850.9,822.9,808.9,780.9,18.21
