,Unnamed: 0,Class,Transition,Lipid,LipidSet,IsInNew
241,676,PG,766.5 -> 577.5,PG(34:1),{'PG(34:1)'},False
255,690,PG,792.5 -> 603.5,PG(36:2),{'PG(36:2)'},False
279,714,PG,832.6 -> 643.6,PG(O-40:9),{'PG(O-40:9)'},False
282,717,PG,836.5 -> 647.5,PG(40:8),{'PG(40:8)'},False
324,760,PI,534.2 -> 257.2, PI(12:0)|LPI(12:0) ,"{'LPI(12:0)', 'PI(12:0)'}",False
325,761,PI,534.2 -> 257.2, PI(12:0)|LPI(12:0) ,"{'LPI(12:0)', 'PI(12:0)'}",False
326,764,PI,560.3 -> 283.3,PI(14:1),{'PI(14:1)'},False
327,766,PI,562.3 -> 285.3, PI(14:0)|LPI(14:0) ,"{'LPI(14:0)', 'PI(14:0)'}",False
328,768,PI,574.3 -> 297.3, PI(P-16:0)|LPI(15:1) ,"{'LPI(15:1)', 'PI(P-16:0)'}",False
329,770,PI,576.3 -> 299.3, PI(O-16:0)|LPI(15:0) ,"{'PI(O-16:0)', 'LPI(15:0)'}",False
330,772,PI,588.3 -> 311.3, PI(16:1)|LPI(16:1) ,"{'PI(16:1)', 'LPI(16:1)'}",False
331,774,PI,590.3 -> 313.3, PI(16:0)|LPI(16:0) ,"{'PI(16:0)', 'LPI(16:0)'}",False
332,777,PI,602.3 -> 325.3, PI(P-18:0)|LPI(17:1) ,"{'LPI(17:1)', 'PI(P-18:0)'}",False
333,778,PI,602.3 -> 325.3, PI(P-18:0)|LPI(17:1) ,"{'LPI(17:1)', 'PI(P-18:0)'}",False
334,780,PI,604.4 -> 327.4,PI(O-18:0),{'PI(O-18:0)'},False
335,782,PI,610.3 -> 333.3, PI(18:4)|LPI(18:4) ,"{'LPI(18:4)', 'PI(18:4)'}",False
336,784,PI,612.3 -> 335.3, PI(18:3)|LPI(18:3) ,"{'PI(18:3)', 'LPI(18:3)'}",False
337,786,PI,614.3 -> 337.3, PI(18:2)|LPI(18:2) ,"{'PI(18:2)', 'LPI(18:2)'}",False
338,788,PI,616.3 -> 339.3, PI(18:1)|LPI(18:1) ,"{'LPI(18:1)', 'PI(18:1)'}",False
339,790,PI,618.3 -> 341.3, PI(18:0)|LPI(18:0) ,"{'PI(18:0)', 'LPI(18:0)'}",False
340,792,PI,630.4 -> 353.4,PI(P-20:0),{'PI(P-20:0)'},False
341,794,PI,632.4 -> 355.4,PI(O-20:5),{'PI(O-20:5)'},False
342,796,PI,636.3 -> 359.3, PI(20:5)|LPI(20:5) ,"{'PI(20:5)', 'LPI(20:5)'}",False
343,798,PI,638.3 -> 361.3, PI(20:4)|LPI(20:4) ,"{'LPI(20:4)', 'PI(20:4)'}",False
344,800,PI,640.3 -> 363.3, PI(20:3)|LPI(20:3) ,"{'LPI(20:3)', 'PI(20:3)'}",False
345,802,PI,642.3 -> 365.3, PI(20:2)|LPI(20:2) ,"{'LPI(20:2)', 'PI(20:2)'}",False
346,804,PI,644.4 -> 367.3,PI(20:1),{'PI(20:1)'},False
347,806,PI,646.4 -> 369.4, PI(20:0)|LPI(20:0) ,"{'PI(20:0)', 'LPI(20:0)'}",False
348,809,PI,662.3 -> 385.3, PI(22:6)|LPI(22:6) ,"{'PI(22:6)', 'LPI(22:6)'}",False
349,811,PI,666.3 -> 389.3, PI(22:4)|LPI(22:4) ,"{'LPI(22:4)', 'PI(22:4)'}",False
350,813,PI,670.4 -> 393.4, PI(22:2)|LPI(22:2) ,"{'LPI(22:2)', 'PI(22:2)'}",False
351,815,PI,672.4 -> 395.4, PI(22:1)|LPI(22:1) ,"{'LPI(22:1)', 'PI(22:1)'}",False
352,817,PI,674.4 -> 397.4, PI(22:0)|LPI(22:0) ,"{'PI(22:0)', 'LPI(22:0)'}",False
353,862,PI,868.6 -> 591.6,"PI(O-36:1), PI(P-36:0)","{'PI(O-36:1), PI(P-36:0)'}",False
354,864,PI,870.6 -> 593.6,PI(O-36:0),{'PI(O-36:0)'},False
355,872,PI,884.6 -> 607.6,PI(36:0),{'PI(36:0)'},False
356,878,PI,894.6 -> 617.6,"PI(O-38:2), PI(P-38:1)","{'PI(O-38:2), PI(P-38:1)'}",False
357,880,PI,896.6 -> 619.6,"PI(O-38:1), PI(P-38:0)","{'PI(O-38:1), PI(P-38:0)'}",False
358,889,PI,912.6 -> 635.6, PI(P-40:6)|PI(38:0) ,"{'PI(P-40:6)', 'PI(38:0)'}",False
359,894,PI,920.6 -> 643.6,"PI(O-40:3), PI(P-40:2)","{'PI(O-40:3), PI(P-40:2)'}",False
360,896,PI,922.6 -> 645.6,"PI(O-40:2), PI(P-40:1)","{'PI(O-40:2), PI(P-40:1)'}",False
