Lipid,Retention_Time
[TG(50:3)]_FA18:1,12.754504040404042
[TG(52:5)]_FA16:1,12.752077272727274
[TG(54:5)]_FA18:1,12.750570707070707
[TG(54:6)]_FA18:1,12.750867171717172
"[TG(55:10),TG(54:3)]_FA18:1",15.747140196078433
"[TG(55:11),TG(54:4)]_FA16:1",14.23759117647059
"[TG(55:11),TG(54:4)]_FA18:1",14.23761323529412
"[TG(55:8),TG(54:1)]_FA18:1",17.25635931372549
"[TG(55:9),TG(54:2)]_FA18:1",15.746836764705884
"[TG(56:10),TG(55:3)]_FA18:1",15.74560833333333
"[TG(56:11),TG(55:4)]_FA18:1",15.745912254901963
[TG(56:6)]_FA18:1,12.747261111111111
"[TG(56:7),TG(55:0)]_FA16:1",12.74754595959596
"[TG(56:7),TG(55:0)]_FA18:1",12.74754595959596
"[TG(57:10),TG(56:3)]_FA18:1",17.25364117647059
"[TG(57:11),TG(56:4)]_FA18:1",15.744105882352942
"[TG(57:12),TG(56:5)]_FA18:1",14.234583333333333
"[TG(57:9),TG(56:2)]_FA18:1",18.763171568627453
"[TG(58:7),TG(57:0)]_FA18:1",14.23335637254902
"[TG(59:11),TG(58:4)]_FA18:1",17.252114215686273
"[TG(59:12),TG(58:5)]_FA18:1",15.742595098039214
"[TG(59:13),TG(58:6)]_FA18:1",15.742900980392157
