,Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Cage,Position,Dilution Factor,Sex2,Sex,Genotype,Brain Region,method_type,Blank Subtraction,subclasses,chain_length,saturation,between_parenthese,FA_Chain,IDs,Names
1875,[TG(46:1)]_FA16:0,794.7,521.4,94347.30627441406,794.7 -> 521.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,1,(46:1),16:0,"LMGL03013326, LMGL03012844, LMGL03014221, LMGL03013788, LMGL03014978","TG(12:0/16:0/18:1(9Z))[iso6], TG(14:1(9Z)/16:0/16:0)[iso3], TG(14:0/16:0/16:1(9Z))[iso6], TG(13:0/16:0/17:1(9Z))[iso6], TG(15:0/15:1(9Z)/16:0)[iso6]"
1876,[TG(46:0)]_FA16:0,796.7,523.4,200909.2126464844,796.7 -> 523.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,0,(46:0),16:0,"LMGL03010007, LMGL03012872, LMGL03013787, LMGL03012786","TG(12:0/16:0/18:0), TG(15:0/15:0/16:0)[iso3], TG(13:0/16:0/17:0)[iso6], TG(14:0/16:0/16:0)[iso3]"
1877,[TG(47:6)]_FA16:0,798.7,525.4,39222.76287841797,798.7 -> 525.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,6,(47:6),16:0,,
1878,[TG(47:5)]_FA16:0,800.7,527.4,30917.122131347656,800.7 -> 527.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,5,(47:5),16:0,,
1879,[TG(47:4)]_FA16:0,802.7,529.4,27145.201873779297,802.7 -> 529.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,4,(47:4),16:0,LMGL03013795,"TG(13:0/16:0/18:4(6Z,9Z,12Z,15Z))[iso6]"
1880,[TG(47:3)]_FA16:0,804.7,531.4,25391.902130126957,804.7 -> 531.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,3,(47:3),16:0,"LMGL03014630, LMGL03013794, LMGL03013793","TG(14:1(9Z)/16:0/17:2(9Z,12Z))[iso6], TG(13:0/16:0/18:3(9Z,12Z,15Z))[iso6], TG(13:0/16:0/18:3(6Z,9Z,12Z))[iso6]"
1881,[TG(47:2)]_FA16:0,806.7,533.4,31133.72201538086,806.7 -> 533.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,2,(47:2),16:0,"LMGL03014629, LMGL03014224, LMGL03015356, LMGL03013792","TG(14:1(9Z)/16:0/17:1(9Z))[iso6], TG(14:0/16:0/17:2(9Z,12Z))[iso6], TG(15:1(9Z)/16:0/16:1(9Z))[iso6], TG(13:0/16:0/18:2(9Z,12Z))[iso6]"
1882,[TG(48:8)|TG(47:1)]_FA16:0,808.7,535.4,62813.98400878906,808.7 -> 535.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,8,(48:8),16:0,"LMGL03012954, LMGL03013791, LMGL03013332, LMGL03015005, LMGL03014223, LMGL03014628","TG(15:1(9Z)/16:0/16:0)[iso3], TG(13:0/16:0/18:1(9Z))[iso6], TG(12:0/16:0/19:1(9Z))[iso6], TG(15:0/16:0/16:1(9Z))[iso6], TG(14:0/16:0/17:1(9Z))[iso6], TG(14:1(9Z)/16:0/17:0)[iso6]"
1883,[TG(48:7)|TG(47:0)]_FA16:0,810.8,537.5,149169.271484375,810.8 -> 537.5,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,7,(48:7),16:0,"LMGL03013790, LMGL03013331, LMGL03012900, LMGL03014222","TG(13:0/16:0/18:0)[iso6], TG(12:0/16:0/19:0)[iso6], TG(15:0/16:0/16:0)[iso3], TG(14:0/16:0/17:0)[iso6]"
1884,[TG(48:6)]_FA16:0,812.7,539.4,32211.022216796875,812.7 -> 539.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,6,(48:6),16:0,,
1885,[TG(48:5)]_FA16:0,814.7,541.4,26579.601806640625,814.7 -> 541.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,5,(48:5),16:0,"LMGL03014636, LMGL03013338","TG(14:1(9Z)/16:0/18:4(6Z,9Z,12Z,15Z))[iso6], TG(12:0/16:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]"
1886,[TG(48:4)]_FA16:0,816.7,543.4,25506.50180053711,816.7 -> 543.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,4,(48:4),16:0,"LMGL03014634, LMGL03014635, LMGL03013337, LMGL03014230","TG(14:1(9Z)/16:0/18:3(6Z,9Z,12Z))[iso6], TG(14:1(9Z)/16:0/18:3(9Z,12Z,15Z))[iso6], TG(12:0/16:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(14:0/16:0/18:4(6Z,9Z,12Z,15Z))[iso6]"
1887,[TG(48:3)]_FA16:0,818.7,545.4,24450.881774902344,818.7 -> 545.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,3,(48:3),16:0,"LMGL03013336, LMGL03015359, LMGL03014229, LMGL03014228, LMGL03014633","TG(12:0/16:0/20:3(8Z,11Z,14Z))[iso6], TG(15:1(9Z)/16:0/17:2(9Z,12Z))[iso6], TG(14:0/16:0/18:3(9Z,12Z,15Z))[iso6], TG(14:0/16:0/18:3(6Z,9Z,12Z))[iso6], TG(14:1(9Z)/16:0/18:2(9Z,12Z))[iso6]"
1888,[TG(48:2)]_FA16:0,820.7,547.4,165637.21020507812,820.7 -> 547.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,2,(48:2),16:0,"LMGL03014632, LMGL03015358, LMGL03010018, LMGL03014227, LMGL03013335, LMGL03015008","TG(14:1(9Z)/16:0/18:1(9Z))[iso6], TG(15:1(9Z)/16:0/17:1(9Z))[iso6], TG(16:0/16:1(9Z)/16:1(9Z))[iso3], TG(14:0/16:0/18:2(9Z,12Z))[iso6], TG(12:0/16:0/20:2(11Z,14Z))[iso6], TG(15:0/16:0/17:2(9Z,12Z))[iso6]"
1889,[TG(49:8)|TG(48:1)]_FA16:0,822.8,549.5,192793.9326171875,822.8 -> 549.5,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,8,(49:8),16:0,"LMGL03013797, LMGL03014631, LMGL03015007, LMGL03015357, LMGL03014226, LMGL03010017, LMGL03013334","TG(13:0/16:0/19:1(9Z))[iso6], TG(14:1(9Z)/16:0/18:0)[iso6], TG(15:0/16:0/17:1(9Z))[iso6], TG(15:1(9Z)/16:0/17:0)[iso6], TG(14:0/16:0/18:1(9Z))[iso6], TG(16:0/16:0/16:1(9Z))[iso3], TG(12:0/16:0/20:1(11Z))[iso6]"
1890,[TG(49:7)|TG(48:0)]_FA16:0,824.8,551.5,365920.0244140625,824.8 -> 551.5,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,7,(49:7),16:0,"LMGL03015006, LMGL03010001, LMGL03013796, LMGL03013333, LMGL03014225","TG(15:0/16:0/17:0)[iso6], TG(16:0/16:0/16:0), TG(13:0/16:0/19:0)[iso6], TG(12:0/16:0/20:0)[iso6], TG(14:0/16:0/18:0)[iso6]"
1891,[TG(49:6)]_FA16:0,826.7,553.4,50073.82385253906,826.7 -> 553.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,6,(49:6),16:0,,
1892,[TG(49:5)]_FA16:0,828.7,555.4,25648.701751708984,828.7 -> 555.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,5,(49:5),16:0,"LMGL03015365, LMGL03013803","TG(15:1(9Z)/16:0/18:4(6Z,9Z,12Z,15Z))[iso6], TG(13:0/16:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]"
1893,[TG(49:4)]_FA16:0,830.7,557.4,22939.501831054688,830.7 -> 557.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,4,(49:4),16:0,"LMGL03015363, LMGL03015364, LMGL03013802, LMGL03015014","TG(15:1(9Z)/16:0/18:3(6Z,9Z,12Z))[iso6], TG(15:1(9Z)/16:0/18:3(9Z,12Z,15Z))[iso6], TG(13:0/16:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(15:0/16:0/18:4(6Z,9Z,12Z,15Z))[iso6]"
1894,[TG(49:3)]_FA16:0,832.7,559.4,31380.10238647461,832.7 -> 559.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,3,(49:3),16:0,"LMGL03013801, LMGL03015012, LMGL03015013, LMGL03015362, LMGL03010030","TG(13:0/16:0/20:3(8Z,11Z,14Z))[iso6], TG(15:0/16:0/18:3(6Z,9Z,12Z))[iso6], TG(15:0/16:0/18:3(9Z,12Z,15Z))[iso6], TG(15:1(9Z)/16:0/18:2(9Z,12Z))[iso6], TG(16:0/16:1(9Z)/17:2(9Z,12Z))[iso6]"
1895,[TG(50:9)|TG(49:2)]_FA16:0,834.8,561.5,39292.64300537109,834.8 -> 561.5,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,9,(50:9),16:0,"LMGL03014638, LMGL03015361, LMGL03015011, LMGL03010026, LMGL03013800, LMGL03010025","TG(14:1(9Z)/16:0/19:1(9Z))[iso6], TG(15:1(9Z)/16:0/18:1(9Z))[iso6], TG(15:0/16:0/18:2(9Z,12Z))[iso6], TG(16:0/16:0/17:2(9Z,12Z))[iso3], TG(13:0/16:0/20:2(11Z,14Z))[iso6], TG(16:0/16:1(9Z)/17:1(9Z))[iso6]"
1896,[TG(50:8)|TG(49:1)]_FA16:0,836.8,563.5,162243.67126464844,836.8 -> 563.5,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,8,(50:8),16:0,"LMGL03014637, LMGL03015360, LMGL03010021, LMGL03013799, LMGL03015010, LMGL03010022, LMGL03014232","TG(14:1(9Z)/16:0/19:0)[iso6], TG(15:1(9Z)/16:0/18:0)[iso6], TG(16:0/16:1(9Z)/17:0)[iso6], TG(13:0/16:0/20:1(11Z))[iso6], TG(15:0/16:0/18:1(9Z))[iso6], TG(16:0/16:0/17:1(9Z))[iso3], TG(14:0/16:0/19:1(9Z))[iso6]"
1897,[TG(50:7)|TG(49:0)]_FA16:0,838.8,565.5,129869.74865722656,838.8 -> 565.5,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,7,(50:7),16:0,"LMGL03015009, LMGL03013798, LMGL03013339, LMGL03014231, LMGL03010019","TG(15:0/16:0/18:0)[iso6], TG(13:0/16:0/20:0)[iso6], TG(12:0/16:0/21:0)[iso6], TG(14:0/16:0/19:0)[iso6], TG(16:0/16:0/17:0)[iso3]"
1898,[TG(50:6)]_FA16:0,840.7,567.4,51137.48352050781,840.7 -> 567.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,6,(50:6),16:0,"LMGL03014644, LMGL03013346","TG(14:1(9Z)/16:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6], TG(12:0/16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6]"
1899,[TG(50:5)]_FA16:0,842.7,569.4,29862.22232055664,842.7 -> 569.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,5,(50:5),16:0,"LMGL03013345, LMGL03014238, LMGL03014643, LMGL03015708","TG(12:0/16:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(14:0/16:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6], TG(14:1(9Z)/16:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:0/16:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6]"
1900,[TG(50:4)]_FA16:0,844.7,571.4,35071.12240600586,844.7 -> 571.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,4,(50:4),16:0,"LMGL03012982, LMGL03013344, LMGL03014237, LMGL03010046, LMGL03014642, LMGL03015707, LMGL03010065","TG(16:0/16:0/18:4(6Z,9Z,12Z,15Z))[iso3], TG(12:0/16:0/22:4(7Z,10Z,13Z,16Z))[iso6], TG(14:0/16:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:0/17:2(9Z,12Z)/17:2(9Z,12Z))[iso3], TG(14:1(9Z)/16:0/20:3(8Z,11Z,14Z))[iso6], TG(16:0/16:1(9Z)/18:3(6Z,9Z,12Z))[iso6], TG(16:0/16:1(9Z)/18:3(9Z,12Z,15Z))[iso6]"
1901,[TG(50:3)]_FA16:0,846.8,573.5,39421.5026550293,846.8 -> 573.5,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,3,(50:3),16:0,"LMGL03014236, LMGL03010039, LMGL03012981, LMGL03014641, LMGL03010054, LMGL03010053, LMGL03013343","TG(14:0/16:0/20:3(8Z,11Z,14Z))[iso6], TG(16:0/17:1(9Z)/17:2(9Z,12Z))[iso6], TG(16:0/16:0/18:3(6Z,9Z,12Z))[iso3], TG(14:1(9Z)/16:0/20:2(11Z,14Z))[iso6], TG(16:0/16:0/18:3(9Z,12Z,15Z))[iso3], TG(16:0/16:1(9Z)/18:2(9Z,12Z))[iso6], TG(12:0/16:0/22:3(10Z,13Z,16Z))[iso6]"
1902,[TG(51:9)|TG(50:2)]_FA16:0,848.8,575.5,164916.07250976562,848.8 -> 575.5,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,9,(51:9),16:0,"LMGL03010032, LMGL03014235, LMGL03014640, LMGL03015367, LMGL03010043, LMGL03010044, LMGL03013342, LMGL03010034","TG(16:0/17:1(9Z)/17:1(9Z))[iso3], TG(14:0/16:0/20:2(11Z,14Z))[iso6], TG(14:1(9Z)/16:0/20:1(11Z))[iso6], TG(15:1(9Z)/16:0/19:1(9Z))[iso6], TG(16:0/16:1(9Z)/18:1(9Z))[iso6], TG(16:0/16:0/18:2(9Z,12Z))[iso3], TG(12:0/16:0/22:2(13Z,16Z))[iso6], TG(16:0/17:0/17:2(9Z,12Z))[iso6]"
1903,[TG(51:8)|TG(50:1)]_FA16:0,850.8,577.5,1707462.140625,850.8 -> 577.5,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,8,(51:8),16:0,"LMGL03010005, LMGL03010006, LMGL03013341, LMGL03014639, LMGL03015366, LMGL03015016, LMGL03010028, LMGL03010036, LMGL03014234","TG(16:0/16:0/18:1(11E)), TG(16:0/16:0/18:1(9Z)), TG(12:0/16:0/22:1(11Z))[iso6], TG(14:1(9Z)/16:0/20:0)[iso6], TG(15:1(9Z)/16:0/19:0)[iso6], TG(15:0/16:0/19:1(9Z))[iso6], TG(16:0/17:0/17:1(9Z))[iso6], TG(16:0/16:1(9Z)/18:0)[iso6], TG(14:0/16:0/20:1(11Z))[iso6]"
1904,[TG(51:7)|TG(50:0)]_FA16:0,852.8,579.5,805424.7626953125,852.8 -> 579.5,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,7,(51:7),16:0,"LMGL03010004, LMGL03013804, LMGL03015015, LMGL03013340, LMGL03010023, LMGL03014233","TG(16:0/16:0/18:0), TG(13:0/16:0/21:0)[iso6], TG(15:0/16:0/19:0)[iso6], TG(12:0/16:0/22:0)[iso6], TG(16:0/17:0/17:0)[iso3], TG(14:0/16:0/20:0)[iso6]"
1905,[TG(51:6)]_FA16:0,854.7,581.4,199890.83178710935,854.7 -> 581.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,6,(51:6),16:0,"LMGL03013811, LMGL03015373, LMGL03015720","TG(13:0/16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(15:1(9Z)/16:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6], TG(16:0/17:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))[iso6]"
1906,[TG(51:5)]_FA16:0,856.7,583.4,39190.08248901367,856.7 -> 583.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,5,(51:5),16:0,"LMGL03010107, LMGL03015372, LMGL03013810, LMGL03015022, LMGL03015719, LMGL03015716","TG(16:0/17:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6], TG(15:1(9Z)/16:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(13:0/16:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(15:0/16:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6], TG(16:0/17:2(9Z,12Z)/18:3(6Z,9Z,12Z))[iso6], TG(16:0/17:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6]"
1907,[TG(51:4)]_FA16:0,858.8,585.5,23257.22166442871,858.8 -> 585.5,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,4,(51:4),16:0,"LMGL03010088, LMGL03010091, LMGL03015371, LMGL03013809, LMGL03015021, LMGL03015712, LMGL03015715","TG(16:0/17:2(9Z,12Z)/18:2(9Z,12Z))[iso6], TG(16:0/17:1(9Z)/18:3(9Z,12Z,15Z))[iso6], TG(15:1(9Z)/16:0/20:3(8Z,11Z,14Z))[iso6], TG(13:0/16:0/22:4(7Z,10Z,13Z,16Z))[iso6], TG(15:0/16:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:0/17:0/18:4(6Z,9Z,12Z,15Z))[iso6], TG(16:0/17:1(9Z)/18:3(6Z,9Z,12Z))[iso6]"
1908,[TG(52:10)|TG(51:3)]_FA16:0,860.8,587.5,31416.36242675781,860.8 -> 587.5,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,10,(52:10),16:0,"LMGL03010075, LMGL03010072, LMGL03013808, LMGL03015020, LMGL03015370, LMGL03015711, LMGL03010077","TG(16:0/17:1(9Z)/18:2(9Z,12Z))[iso6], TG(16:0/17:2(9Z,12Z)/18:1(9Z))[iso6], TG(13:0/16:0/22:3(10Z,13Z,16Z))[iso6], TG(15:0/16:0/20:3(8Z,11Z,14Z))[iso6], TG(15:1(9Z)/16:0/20:2(11Z,14Z))[iso6], TG(16:0/17:0/18:3(6Z,9Z,12Z))[iso6], TG(16:0/17:0/18:3(9Z,12Z,15Z))[iso6]"
1909,[TG(52:9)|TG(51:2)]_FA16:0,862.8,589.5,42355.14306640625,862.8 -> 589.5,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,9,(52:9),16:0,"LMGL03010061, LMGL03015369, LMGL03013807, LMGL03015019, LMGL03015709, LMGL03010058, LMGL03010063","TG(16:0/17:1(9Z)/18:1(9Z))[iso6], TG(15:1(9Z)/16:0/20:1(11Z))[iso6], TG(13:0/16:0/22:2(13Z,16Z))[iso6], TG(15:0/16:0/20:2(11Z,14Z))[iso6], TG(16:0/16:1(9Z)/19:1(9Z))[iso6], TG(16:0/17:2(9Z,12Z)/18:0)[iso6], TG(16:0/17:0/18:2(9Z,12Z))[iso6]"
1910,[TG(52:8)|TG(51:1)]_FA16:0,864.8,591.5,63604.72448730469,864.8 -> 591.5,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,8,(52:8),16:0,"LMGL03012986, LMGL03010051, LMGL03012983, LMGL03010079, LMGL03014645, LMGL03015368, LMGL03013806, LMGL03015018, LMGL03010049","TG(16:0/18:4(6Z,9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z))[iso3], TG(16:0/17:0/18:1(9Z))[iso6], TG(16:0/16:0/19:1(9Z))[iso3], TG(16:0/16:1(9Z)/19:0)[iso6], TG(14:1(9Z)/16:0/21:0)[iso6], TG(15:1(9Z)/16:0/20:0)[iso6], TG(13:0/16:0/22:1(11Z))[iso6], TG(15:0/16:0/20:1(11Z))[iso6], TG(16:0/17:1(9Z)/18:0)[iso6]"
1911,[TG(52:7)|TG(51:0)]_FA16:0,866.8,593.5,127778.15014648438,866.8 -> 593.5,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,7,(52:7),16:0,"LMGL03014652, LMGL03015753, LMGL03015736, LMGL03010066, LMGL03014239, LMGL03013805, LMGL03015017, LMGL03010041","TG(14:1(9Z)/16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:0/18:3(9Z,12Z,15Z)/18:4(6Z,9Z,12Z,15Z))[iso6], TG(16:0/18:3(6Z,9Z,12Z)/18:4(6Z,9Z,12Z,15Z))[iso6], TG(16:0/16:0/19:0)[iso3], TG(14:0/16:0/21:0)[iso6], TG(13:0/16:0/22:0)[iso6], TG(15:0/16:0/20:0)[iso6], TG(16:0/17:0/18:0)[iso6]"
1912,[TG(52:6)]_FA16:0,868.7,595.4,45473.023040771484,868.7 -> 595.4,TG,TAG16_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG16,0.0,TG,TG,6,(52:6),16:0,"LMGL03012985, LMGL03014246, LMGL03014651, LMGL03015732, LMGL03015735, LMGL03010192, LMGL03010215","TG(16:0/18:3(6Z,9Z,12Z)/18:3(6Z,9Z,12Z))[iso3], TG(14:0/16:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))[iso6], TG(14:1(9Z)/16:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:0/18:2(9Z,12Z)/18:4(6Z,9Z,12Z,15Z))[iso6], TG(16:0/18:3(6Z,9Z,12Z)/18:3(9Z,12Z,15Z))[iso6], TG(16:0/18:3(9Z,12Z,15Z)/18:3(9Z,12Z,15Z))[iso3], TG(16:0/16:1(9Z)/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]"
