,Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Cage,Position,Dilution Factor,Sex2,Sex,Genotype,Brain Region,method_type,Blank Subtraction,subclasses,chain_length,saturation,between_parenthese,FA_Chain,IDs,Names
1667,[TG(41:0)]_FA14:0,726.7,481.5,32394.162384033203,726.7 -> 481.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,0,(41:0),14:0,"LMGL03013209, LMGL03012722","TG(12:0/14:0/15:0)[iso6], TG(13:0/14:0/14:0)[iso3]"
1668,[TG(42:4)]_FA14:0,732.6,487.4,19876.82141113281,732.6 -> 487.4,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,4,(42:4),14:0,,
1669,[TG(42:3)]_FA14:0,734.6,489.4,35728.92272949219,734.6 -> 489.4,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,3,(42:3),14:0,,
1670,[TG(42:2)]_FA14:0,736.6,491.4,22672.82162475586,736.6 -> 491.4,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,2,(42:2),14:0,LMGL03012783,TG(14:0/14:1(9Z)/14:1(9Z))[iso3]
1671,[TG(42:1)]_FA14:0,738.7,493.5,152156.83129882812,738.7 -> 493.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,1,(42:1),14:0,"LMGL03012753, LMGL03013674, LMGL03013212","TG(14:0/14:0/14:1(9Z))[iso3], TG(13:0/14:0/15:1(9Z))[iso6], TG(12:0/14:0/16:1(9Z))[iso6]"
1672,[TG(42:0)]_FA14:0,740.7,495.5,113048.08764648438,740.7 -> 495.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,0,(42:0),14:0,"LMGL03013673, LMGL03013211, LMGL03012616","TG(13:0/14:0/15:0)[iso6], TG(12:0/14:0/16:0)[iso6], TG(14:0/14:0/14:0)"
1673,[TG(43:4)]_FA14:0,746.6,501.4,20904.101501464844,746.6 -> 501.4,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,4,(43:4),14:0,,
1674,[TG(43:3)]_FA14:0,748.6,503.4,306187.55657958984,748.6 -> 503.4,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,3,(43:3),14:0,,
1675,[TG(43:2)]_FA14:0,750.7,505.5,130534.30740356444,750.7 -> 505.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,2,(43:2),14:0,"LMGL03013215, LMGL03014138","TG(12:0/14:0/17:2(9Z,12Z))[iso6], TG(14:0/14:1(9Z)/15:1(9Z))[iso6]"
1676,[TG(43:1)]_FA14:0,752.7,507.5,45029.04293823242,752.7 -> 507.5,TG,TAG14_0_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,TAG14,0.0,TG,TG,1,(43:1),14:0,"LMGL03013214, LMGL03014137, LMGL03012755, LMGL03013676","TG(12:0/14:0/17:1(9Z))[iso6], TG(14:0/14:1(9Z)/15:0)[iso6], TG(14:0/14:0/15:1(9Z))[iso3], TG(13:0/14:0/16:1(9Z))[iso6]"
