,Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Position,nickname,Sex,Genotype,time point,method_type,Blank Subtraction,IDs,Names
0,"(5Z,8Z)-tetradecadienoylcarnitine",368.3,85.1,764319.4936523438,368.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,605958.063659668,LMFA07070020,"(5Z,8Z)-tetradecadienoylcarnitine"
1,cis-5-Tetradecenoylcarnitine,370.3,85.1,624912.4838867188,370.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,481725.4944152832,LMFA07070057,cis-5-Tetradecenoylcarnitine
2,Tetradecanoylcarnitine,372.3,85.1,1474941.4803466797,372.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1331806.030555725,LMFA07070107,Tetradecanoylcarnitine
3,O-(11-carboxyundecanoyl)carnitine,374.2,85.1,1860771.217285156,374.2 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1733806.428123474,LMFA07070083,O-(11-carboxyundecanoyl)carnitine
4,"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",384.3,85.1,2312001.0830078125,384.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,2197977.495765686,LMFA07070019,"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine"
5,2-Hydroxymyristoylcarnitine | 3-hydroxytetradecanoylcarnitine,388.3,85.1,604128.2267456055,388.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,490013.1590156555,"LMFA07070033, LMFA07070045","2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine"
6,"(7Z,10Z)-hexadecadienoylcarnitine",396.3,85.1,1123748.903076172,396.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,975729.2319755554,LMFA07070021,"(7Z,10Z)-hexadecadienoylcarnitine"
7,O-palmitoleoylcarnitine | trans-Hexadec-2-enoyl carnitine,398.3,85.1,1174993.0052490234,398.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1027477.3540878296,"LMFA07070097, LMFA07070109","O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine"
8,Palmitoylcarnitine | (5Z)-13-carboxytridec-5-enoylcarnitine,400.3,85.1,1214249.8793945312,400.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1061256.8483657837,"LMFA07070004, LMFA07070018","Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine"
9,O-(13-carboxytridecanoyl)carnitine,402.3,85.1,1420752.5260009766,402.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1272548.8363227844,LMFA07070084,O-(13-carboxytridecanoyl)carnitine
10,"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",412.3,85.1,1940554.4440917969,412.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1772070.4115753174,LMFA07070026,"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine"
11,3-hydroxypalmitoleoylcarnitine | Heptadecanoyl carnitine,414.3,85.1,3219900.092529297,414.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,2581645.63350296,"LMFA07070044, LMFA07070067","3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine"
12,Stearidonyl carnitine,420.3,85.1,5211504.91796875,420.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,4111302.600738525,LMFA07070106,Stearidonyl carnitine
13,"Linoelaidyl carnitine | O-linoleoylcarnitine | 9,12-Hexadecadienylcarnitine",424.3,85.1,5459029.475097656,424.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,4368406.532119751,"LMFA07070078, LMFA07070092","Linoelaidyl carnitine, O-linoleoylcarnitine"
14,O-oleoylcarnitine | Elaidic carnitine,426.4,85.1,4318063.413330078,426.4 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,3290458.7598991394,"LMFA07070096, LMFA07070063","O-oleoylcarnitine, Elaidic carnitine"
15,Stearoylcarnitine | hexadecanedioic acid mono-L-carnitine ester,428.4,85.1,6482335.626220703,428.4 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,5420090.456745148,"LMFA07070008, LMFA07070007","Stearoylcarnitine, hexadecanedioic acid mono-L-carnitine ester"
16,"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",438.3,85.1,4891001.678283691,438.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,4627821.238220215,LMFA07070027,"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine"
17,3-hydroxylinoleoylcarnitine,440.3,85.1,5014741.150756836,440.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,4755612.872493744,LMFA07070042,3-hydroxylinoleoylcarnitine
18,(9Z)-3-hydroxyoctadecenoylcarnitine,442.3,85.1,4887687.393920898,442.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,4546429.333595276,LMFA07070025,(9Z)-3-hydroxyoctadecenoylcarnitine
19,12-Hydroxy-12-octadecanoylcarnitine | 3-hydroxyoctadecanoylcarnitine,444.4,85.1,1773598.3264160156,444.4 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1446183.884273529,"LMFA07070028, LMFA07070043","12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine"
20,O-arachidonoylcarnitine,448.3,85.1,1267969.9151611328,448.3 -> 85.1,CAR,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,980931.5352783204,LMFA07070088,O-arachidonoylcarnitine
