IDs,Names,Lipid,Transition,Class
LMFA07070083,O-(11-carboxyundecanoyl)carnitine,O-(11-carboxyundecanoyl)carnitine,374.2 -> 85.1,CAR
LMFA07070019,"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine","(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",384.3 -> 85.1,CAR
"LMFA07070033, LMFA07070045","2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",2-Hydroxymyristoylcarnitine | 3-hydroxytetradecanoylcarnitine,388.3 -> 85.1,CAR
LMFA07070084,O-(13-carboxytridecanoyl)carnitine,O-(13-carboxytridecanoyl)carnitine,402.3 -> 85.1,CAR
LMFA07070026,"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine","(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",412.3 -> 85.1,CAR
"LMFA07070044, LMFA07070067","3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",3-hydroxypalmitoleoylcarnitine | Heptadecanoyl carnitine,414.3 -> 85.1,CAR
LMFA07070027,"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine","(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",438.3 -> 85.1,CAR
LMFA07070042,3-hydroxylinoleoylcarnitine,3-hydroxylinoleoylcarnitine,440.3 -> 85.1,CAR
LMFA07070025,(9Z)-3-hydroxyoctadecenoylcarnitine,(9Z)-3-hydroxyoctadecenoylcarnitine,442.3 -> 85.1,CAR
"LMFA07070028, LMFA07070043","12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",12-Hydroxy-12-octadecanoylcarnitine | 3-hydroxyoctadecanoylcarnitine,444.4 -> 85.1,CAR
LMFA07070085,O-(17-carboxyheptadecanoyl)carnitine,O-(17-carboxyheptadecanoyl)carnitine,458.3 -> 85.1,CAR
LMFA07070036,3-hydroxyarachidonoylcarnitine,3-hydroxyarachidonoylcarnitine,464.3 -> 85.1,CAR
"LMFA07070040, LMFA07070055","3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",3-hydroxyeicosanoylcarnitine | Cervonyl carnitine,472.4 -> 85.1,CAR
LMST01020001,12:0 Cholesterol ester,CE(12:0),586.5 -> 369.1,CE
"LMST01020041, LMST01020006","16:1 Cholesterol ester, 16:1 Cholesterol ester",15:1 Campesteryl ester_simulated | CE(16:1),640.6 -> 369.1,CE
LMST01020005,16:0 Cholesterol ester,15:0 Campesteryl ester_simulated | CE(16:0),642.6 -> 369.1,CE
LMST01020061,16:3 Campesterol ester,16:3 Campesteryl ester,650.6 -> 369.1,CE
LMST01020058,16:2 Campesterol ester,16:2 Campesteryl ester,652.6 -> 369.1,CE
"LMST01020023, LMST01020057","17:1 Cholesterol ester, 16:1 Campesterol ester",CE(17:1) | 16:1 Campesteryl ester,654.6 -> 369.1,CE
"LMST01020043, LMST01020026","16:0 Campesterol ester, 17:0 Cholesterol ester",16:0 Campesteryl ester | CE(17:0),656.6 -> 369.1,CE
"LMST01020043, LMST01020026","16:0 Campesterol ester, 17:0 Cholesterol ester",16:0 Campesteryl ester | CE(17:0),656.6 -> 369.1,CE
LMST01020063,16:3 Stigmasterol ester,16:3 Stigmasteryl ester,662.6 -> 369.1,CE
"LMST01020003, LMST01020054, LMST01020056","18:1 Cholesterol ester, 16:0 Stigmasterol ester, 16:1 Sitosterol ester",17:1 Campesteryl ester_simulated | CE(18:1) | 16:0 Stigmasteryl ester | 16:1 Sitosteryl ester,668.6 -> 369.1,CE
"LMST01020007, LMST01020047","18:0 Cholesterol ester, 16:0 Sitosterol ester",17:0 Campesteryl ester_simulated | CE(18:0) | 16:0 Sitosteryl ester,670.6 -> 369.1,CE
"LMST01020007, LMST01020047","18:0 Cholesterol ester, 16:0 Sitosterol ester",17:0 Campesteryl ester_simulated | CE(18:0) | 16:0 Sitosteryl ester,670.6 -> 369.1,CE
LMST01020072,18:3 Campesterol ester,18:3 Campesteryl ester,678.6 -> 369.1,CE
"LMST01020033, LMST01020067","lanosteryl palmitoleate, 18:2 Campesterol ester",lanosteryl palmitoleate | 18:2 Campesteryl ester,680.6 -> 369.1,CE
LMST01020066,18:1 Campesterol ester,18:1 Campesteryl ester,682.6 -> 369.1,CE
LMST01020044,18:0 Campesterol ester,18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated | 17:0 sitosteryl ester_simulated,684.6 -> 369.1,CE
LMST01020044,18:0 Campesterol ester,18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated | 17:0 sitosteryl ester_simulated,684.6 -> 369.1,CE
"LMST01020012, LMST01020064, LMST01020068","20:2 Cholesterol ester, 18:1 Stigmasterol ester, 18:2 Sitosterol ester",CE(20:2) | 18:1 Stigmasteryl ester | 18:2 Sitosteryl ester,694.6 -> 369.1,CE
"LMST01020010, LMST01020048","20:0 Cholesterol ester, 18:0 Sitosterol ester",19:0 Campesteryl ester_simulated | CE(20:0) | 18:0 Sitosteryl ester,698.6 -> 369.1,CE
LMST01020079,20:3 Campesterol ester,20:3 Campesteryl ester,706.6 -> 369.1,CE
"LMST01020032, LMST01020078","lanosteryl oleate, 20:2 Campesterol ester",lanosteryl oleate | 20:2 Campesteryl ester,708.6 -> 369.1,CE
LMST01020073,20:1 Campesterol ester,20:1 Campesteryl ester,710.6 -> 369.1,CE
LMST01020028,Cholesteryl nitrolinoleate,Cholesteryl nitrolinoleate,711.6 -> 369.1,CE
LMST01020045,20:0 Campesterol ester,20:0 Campesteryl ester,712.7 -> 369.1,CE
"LMST01020018, LMST01020081","22:4 Cholesterol ester, 20:3 Stigmasterol ester",CE(22:4) | 20:3 Stigmasteryl ester,718.6 -> 369.1,CE
"LMST01020029, LMST01020017, LMST01020075, LMST01020077","Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesterol ester, 20:1 Stigmasterol ester, 20:2 Sitosterol ester",Cholesteryl 11-hydroperoxy-eicosatetraenoate | CE(22:2) | 20:1 Stigmasteryl ester | 20:2 Sitosteryl ester,722.6 -> 369.1,CE
LMST01020090,22:3 Campesterol ester,22:3 Campesteryl ester,734.6 -> 369.1,CE
LMST01020085,22:2 Campesterol ester,22:2 Campesteryl ester,736.7 -> 369.1,CE
LMST01020084,22:1 Campesterol ester,22:1 Campesteryl ester,738.7 -> 369.1,CE
