,Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID
0,,446.0,257.0,22320.76155090332,446.0 -> 257.0,,PG_FAD131-5xFAD-M4liver_033123_r007
1,,460.0,271.0,22809.581649780273,460.0 -> 271.0,,PG_FAD131-5xFAD-M4liver_033123_r007
2,,472.0,283.0,196098.9345703125,472.0 -> 283.0,,PG_FAD131-5xFAD-M4liver_033123_r007
3,,474.0,285.0,28083.942016601562,474.0 -> 285.0,,PG_FAD131-5xFAD-M4liver_033123_r007
4,,486.0,297.0,53614.32458496094,486.0 -> 297.0,,PG_FAD131-5xFAD-M4liver_033123_r007
5,,488.0,299.0,104128.78759765625,488.0 -> 299.0,,PG_FAD131-5xFAD-M4liver_033123_r007
6,,500.0,311.0,2018.540138244629,500.0 -> 311.0,,PG_FAD131-5xFAD-M4liver_033123_r007
7,,502.0,313.0,1907.0801391601562,502.0 -> 313.0,,PG_FAD131-5xFAD-M4liver_033123_r007
8,,512.0,323.0,35021.582458496094,512.0 -> 323.0,,PG_FAD131-5xFAD-M4liver_033123_r007
9,,514.0,325.0,35454.88229370117,514.0 -> 325.0,,PG_FAD131-5xFAD-M4liver_033123_r007
10,,516.0,327.0,322956.3046875,516.0 -> 327.0,,PG_FAD131-5xFAD-M4liver_033123_r007
11,,522.0,333.0,31111.7421875,522.0 -> 333.0,,PG_FAD131-5xFAD-M4liver_033123_r007
12,,524.0,335.0,31204.04214477539,524.0 -> 335.0,,PG_FAD131-5xFAD-M4liver_033123_r007
13,,526.0,337.0,29529.582000732422,526.0 -> 337.0,,PG_FAD131-5xFAD-M4liver_033123_r007
14,,528.0,339.0,36627.62252807617,528.0 -> 339.0,,PG_FAD131-5xFAD-M4liver_033123_r007
15,,530.0,341.0,170181.56866455078,530.0 -> 341.0,,PG_FAD131-5xFAD-M4liver_033123_r007
16,,542.0,353.0,33553.60217285156,542.0 -> 353.0,,PG_FAD131-5xFAD-M4liver_033123_r007
17,,544.0,355.0,110189.00799560547,544.0 -> 355.0,,PG_FAD131-5xFAD-M4liver_033123_r007
18,,548.0,359.0,41862.88293457031,548.0 -> 359.0,,PG_FAD131-5xFAD-M4liver_033123_r007
19,,550.0,361.0,32345.922119140625,550.0 -> 361.0,,PG_FAD131-5xFAD-M4liver_033123_r007
20,,552.0,363.0,34810.042419433594,552.0 -> 363.0,,PG_FAD131-5xFAD-M4liver_033123_r007
21,,554.0,365.0,28399.742126464844,554.0 -> 365.0,,PG_FAD131-5xFAD-M4liver_033123_r007
22,,556.0,367.0,59723.40399169922,556.0 -> 367.0,,PG_FAD131-5xFAD-M4liver_033123_r007
23,,558.0,369.0,37167.182556152344,558.0 -> 369.0,,PG_FAD131-5xFAD-M4liver_033123_r007
24,,572.0,383.0,89345.00659179688,572.0 -> 383.0,,PG_FAD131-5xFAD-M4liver_033123_r007
25,,574.0,385.0,46145.043212890625,574.0 -> 385.0,,PG_FAD131-5xFAD-M4liver_033123_r007
26,,578.0,389.0,31412.12222290039,578.0 -> 389.0,,PG_FAD131-5xFAD-M4liver_033123_r007
27,,582.0,393.0,28475.82196044922,582.0 -> 393.0,,PG_FAD131-5xFAD-M4liver_033123_r007
28,,584.0,395.0,25991.78173828125,584.0 -> 395.0,,PG_FAD131-5xFAD-M4liver_033123_r007
