Class,Lipid,OzESI_Intensity,Precursor_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,n-7,n-9,n-12,db_pos,Ratio
,TG(50:1)]_FA18:1,144069.0,740.8,551.6,14.95,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,740.8 -> 551.6,658.8,630.8,588.8,n-9,1.73
TG,TG(50:1)]_FA18:1,2236988.0,850.8,551.6,15.13,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,850.8 -> 551.6,768.8,740.8,698.8,,
,TG(50:1)]_FA18:1,59211.0,698.7,551.6,14.0,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,698.7 -> 551.6,616.7,588.7,546.7,n-12,
,TG(50:1)]_FA18:1,83299.0,768.8,551.6,14.92,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,768.8 -> 551.6,686.8,658.8,616.8,n-7,
,TG(50:2)]_FA18:1,49935.0,738.7,549.6,13.74,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,738.7 -> 549.6,656.7,628.7,586.7,n-9,3.24
TG,TG(50:2)]_FA18:1,409651.0,848.8,549.6,13.79,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,848.8 -> 549.6,766.8,738.8,696.8,,
,TG(50:2)]_FA18:1,18586.0,696.6,549.6,12.91,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,696.6 -> 549.6,614.6,586.6,544.6,n-12,
,TG(50:2)]_FA18:1,15393.0,766.7,549.6,13.71,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,766.7 -> 549.6,684.7,656.7,614.7,n-7,
,TG(52:2)]_FA18:1,266662.0,766.7,577.6,14.81,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,766.7 -> 577.6,684.7,656.7,614.7,n-9,2.7
TG,TG(52:2)]_FA18:1,4376154.0,876.8,577.6,14.99,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,876.8 -> 577.6,794.8,766.8,724.8,,
,TG(52:2)]_FA18:1,15596.0,724.7,577.6,13.99,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,724.7 -> 577.6,642.7,614.7,572.7,n-12,
,TG(52:2)]_FA18:1,98857.0,794.7,577.6,14.78,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,794.7 -> 577.6,712.7,684.7,642.7,n-7,
,TG(52:3)]_FA18:1,26821.0,764.7,575.6,13.59,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,764.7 -> 575.6,682.7,654.7,612.7,n-9,1.43
TG,TG(52:3)]_FA18:1,928619.0,874.8,575.6,13.66,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,874.8 -> 575.6,792.8,764.8,722.8,,
,TG(52:3)]_FA18:1,3643.0,722.6,575.6,12.77,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,722.6 -> 575.6,640.6,612.6,570.6,n-12,
,TG(52:3)]_FA18:1,18782.0,792.7,575.6,13.69,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,792.7 -> 575.6,710.7,682.7,640.7,n-7,
,TG(54:3)]_FA18:1,116813.0,792.8,603.6,14.66,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,792.8 -> 603.6,710.8,682.8,640.8,n-9,4.51
TG,TG(54:3)]_FA18:1,2345724.0,902.8,603.6,14.74,DOD93_F4-5xFAD-Cereb_TG18-1_o3on,902.8 -> 603.6,820.8,792.8,750.8,,
