,Parent_Ion_new,Product_Ion_new,Intensity_new,Transition,Class,Sample_ID_new,Sample Name_new,Cage,Position_new,Dilution Factor,Sex2,Sex_new,Genotype_new,Brain Region,method_type_new,Blank Subtraction_new,subclasses,chain_length,saturation,between_parenthese,FA_Chain,Parent_Ion_old,Product_Ion_old,Intensity_old,Sample_ID_old,Sample Name_old,Position_old,nickname,Sex_old,Genotype_old,time point,method_type_old,Blank Subtraction_old,Lipid
11,452.4,85.1,542018.3017578125,452.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(20:2),None,452.4,85.1,1386486.881225586,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1102882.0004386902,CAR(20:2)
12,454.4,85.1,602583.583984375,454.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(20:1),None,454.4,85.1,1385807.142211914,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1100760.6635513306,CAR(20:1)
13,456.4,85.1,631235.4873046875,456.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(20:0),None,456.4,85.1,1469895.6339111328,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1177517.5937919617,CAR(20:0)
14,472.4,85.1,318534.2431640625,472.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,6,(22:6),None,472.4,85.1,1041805.2813110352,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,901487.3715629578,CAR(22:6)
15,474.4,85.1,303855.1018066406,474.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,5,(22:5),None,474.4,85.1,1027983.7938842772,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,890174.0239028931,CAR(22:5)
16,476.4,85.1,317976.1638183594,476.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,4,(22:4),None,476.4,85.1,1126353.620300293,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,973097.4693565367,CAR(22:4)
17,480.4,85.1,311783.7636947632,480.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(22:2),None,480.4,85.1,1193675.4536132812,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1012010.879989624,CAR(22:2)
18,484.4,85.1,246921.7578163147,484.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(22:0),None,484.4,85.1,988227.7280578612,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,842378.0179405212,CAR(22:0)
19,540.5,85.1,310939.6223144531,540.5 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(26:0),None,540.5,85.1,1051320.6752319336,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,837222.299987793,CAR(26:0)
20,508.5,262.4,21388.84144592285,508.5 -> 262.4,Cer,CER_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,CER,0.0,Cer,Cer,,(d18:2/14:0),None,508.5,262.4,8495.920574188232,CER_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,CER,4880.080307006836,Cer(d18:2/14:0)
