IDs,Names,Lipid,Transition,Class
"LMFA01020108, LMFA07040050, LMFA01030248, LMFA01030047, LMFA01030048, LMFA01031196, LMFA01031161, LMFA07040045, LMFA01030913, LMFA01140047, LMFA01030050, LMFA01030250, LMFA01030249, LMFA01030770, LMFA01030771, LMFA01030247, LMFA07040051, LMFA01030246, LMFA01020132, LMFA01030051, LMFA01031183","5-methyl-2E-tridecenoic acid, 13-tetradecanolide, Physeteric acid, 2-tetradecenoic acid, Tsuzuic acid, 7E-tetradecenoic acid, 2Z-tetradecenoic acid, delta-nonyl-valeralactone, 5E-Tetradecenoic acid, 5,6-methylene-tridecanoic acid, 8Z-tetradecenoic acid, Myristelaidic acid, 7Z-tetradecenoic acid, cis-tetradec-11-enoic acid, trans-tetradec-11-enoic acid, Tsuzuic acid, gamma-tetradecalactone, 3E-tetradecenoic acid, 2,4-dimethyl-2E-dodecenoic acid, Myristoleic acid, 6Z-tetradecenoic acid",FA(14:1),225.2 -> 225.2,FA
"LMFA01020069, LMFA01020272, LMFA01020431, LMFA01020432, LMFA01020159, LMFA01020160, LMFA01020191, LMFA01020070, LMFA01020285, LMFA01020190, LMFA01020035, LMFA01020158, LMFA01020007, LMFA01020036, LMFA01020388, LMFA01010053, LMFA01010014, LMFA01020161, LMFA01020189","2-methyl-tridecanoic acid, 2,4,6,8-tetramethyl-decanoic acid, 4,11-dimethyldodecanoic acid, 4,10-dimethyldodecanoic acid, 9-methyl-tridecanoic acid, 6-ethyl-dodecanoic acid, 3-methyl-tridecanoic acid, 4-methyl-tridecanoic acid, 2,6,10-trimethyl-undecanoic acid, Anteisomyristic acid, 2,6-dimethyl-dodecanoic acid, 2-ethyl-dodecanoic acid, Isomyristic acid, 4,8-dimethyl-dodecanoic acid, 3,5-Dimethyldodecanoic acid, 3R,5S-Dimethyldodecanoic acid, Myristic acid, 2,4-dimethyl-dodecanoic acid, 2,5-dimethyl-dodecanoic acid",FA(14:0),227.2 -> 227.2,FA
"LMFA01031197, LMFA01030053, LMFA01030580, LMFA01031184, LMFA01031162, LMFA01030259, LMFA01030052, LMFA01140043, LMFA01030866, LMFA01020109, LMFA01030855","5Z-pentadecenoic acid, 14-pentadecenoic acid, 6-pentadecenoic acid, 6Z-pentadecenoic acid, 2Z-pentadecenoic acid, 10Z-pentadecenoic acid, 2-pentadecenoic acid, 5,6-methylenetetradecanoic acid, 15:1(9Z), 2,5-dimethyl-2E-tridecenoic acid, 15:1(7Z)",FA(15:1),239.2 -> 239.2,FA
"LMFA01020009, LMFA01010015, LMFA01020163, LMFA01020348, LMFA01020037, LMFA01020389, LMFA01020008, LMFA01020162, LMFA01020248, LMFA01020091, LMFA01030704, LMFA01030705","Isopentadecylic acid, Pentadecylic acid, 11-methyl-tetradecanoic acid, 13:0(12Me,12Me), 4,12-dimethyl-tridecanoic acid, 3,5-Dimethyltridecanoic acid, Sarcinic acid, 3-methyl-tetradecanoic acid, Farnesylic acid, 2-methyl-tetradecanoic acid, 6E,8E,14E-Hexadecatriene-10,12-diynoic acid, 6E,8E,14Z-Hexadecatriene-10,12-diynoic acid",FA(15:0) | FA(16:7),241.1 -> 241.1,FA
"LMFA01020009, LMFA01010015, LMFA01020163, LMFA01020348, LMFA01020037, LMFA01020389, LMFA01020008, LMFA01020162, LMFA01020248, LMFA01020091, LMFA01030704, LMFA01030705","Isopentadecylic acid, Pentadecylic acid, 11-methyl-tetradecanoic acid, 13:0(12Me,12Me), 4,12-dimethyl-tridecanoic acid, 3,5-Dimethyltridecanoic acid, Sarcinic acid, 3-methyl-tetradecanoic acid, Farnesylic acid, 2-methyl-tetradecanoic acid, 6E,8E,14E-Hexadecatriene-10,12-diynoic acid, 6E,8E,14Z-Hexadecatriene-10,12-diynoic acid",FA(15:0) | FA(16:7),241.2 -> 241.2,FA
"LMFA01030267, LMFA01030260, LMFA01030265, LMFA01030894, LMFA07040032, LMFA01030058, LMFA01020133, LMFA01030264, LMFA01140044, LMFA01020140, LMFA01030054, LMFA01020440, LMFA01030893, LMFA01030266, LMFA01031081, LMFA01140096, LMFA07040052, LMFA07040054, LMFA01030263, LMFA01031190, LMFA01030854, LMFA01031198, LMFA07040055, LMFA01031082, LMFA01030055, LMFA01020142, LMFA01030261, LMFA01020141, LMFA01030808, LMFA01030057, LMFA01030262, LMFA01030056","Sapienic acid, 10-hexadecenoic acid, 2Z-hexadecenoic acid, 16:1(4), Vittatalactone, cis-10-palmitoleic acid, 2,4-dimethyl-2E-tetradecenoic acid, 13Z-hexadecenoic acid, 6,7-methylene-pentadecanoic acid, 14-methyl-4-pentadecenoic acid, Gaidic acid, 14-methyl-6Z-pentadecenoic acid, 15:1(4)(13Me), 3E-hexadecenoic acid, 8Z-Hexadecenoic acid, 11-Cycloheptylnonanoic acid, 15R-Hexadecanolide, 16-Hexadecanolide, 13-hexadecenoic acid, 8E-hexadecenoic acid, 16:1(5Z), None, delta-hexadecalactone, 6E-Hexadecenoic acid, 7Z-palmitoleic acid, 6-isopentyl-9-methyl-5-decenoic acid, Lycopodic acid, 2-hexyl-2-decenoic acid, Hypogeic acid, trans-9-palmitoleic acid, cis-Palmitvaccenic acid, cis-9-palmitoleic acid",FA(16:1),253.2 -> 253.2,FA
"LMFA01020249, LMFA01010001, LMFA01020038, LMFA01020168, LMFA01020435, LMFA01020434, LMFA01020433, LMFA01020429, LMFA01020289, LMFA01020192, LMFA01020167, LMFA01020169, LMFA01020166, LMFA01020355, LMFA01020165, LMFA01020010, LMFA01020039, LMFA01020172, LMFA01020173, LMFA01020170, LMFA01020171, LMFA01020164","4,8,12-trimethyl-tridecanoic acid, Palmitic acid, 2,6-dimethyl-tetradecanoic acid, 2-heptyl-nonanoic acid, 2,12-dimethyltetradecanoic acid, 4,12-dimethyltetradecanoic acid, 4,13-dimethyltetradecanoic acid, 2,13-dimethyltetradecanoic acid, Neopalmitic acid, Anteisohexadecanoic acid, 3-ethyl-3-methyl-tridecanoic acid, 6-ethyl-tetradecanoic acid, 2-hexyl-decanoic acid, 14:0(10Me,13Me), 2-propyl-tridecanoic acid, Isopalmitic acid, 2,8-dimethyl-tetradecanoic acid, 4-hexyl-decanoic acid, 2-ethyl-2-butyl-decanoic acid, 2,4-dimethyl-tetradecanoic acid, 3,5-dimethyl-tetradecanoic acid, 3-methyl-pentadecanoic acid",FA(16:0),255.2 -> 255.2,FA
"LMFA01020385, LMFA01020409, LMFA01030856, LMFA01140038, LMFA01020267, LMFA01020268, LMFA01030282, LMFA01140007, LMFA01140037, LMFA01140095, LMFA07040053, LMFA01030481, LMFA01031186, LMFA01030289, LMFA01020203, LMFA01030285, LMFA01020406, LMFA01140026, LMFA01030287, LMFA01030283, LMFA01020383, LMFA01020384, LMFA01020410, LMFA01020382, LMFA01030907, LMFA01020204, LMFA01030286, LMFA01031072, LMFA01140050, LMFA01030059, LMFA01020266, LMFA01030480, LMFA01030060, LMFA01030288, LMFA01030284","16:1(10Z)(15Me), 15-methyl-11Z-hexadecenoic acid, 17:1(11Z), 7,8-methylenehexanoic acid, 14R-methyl-8Z-hexadecenoic acid, 14S-methyl-8Z-hexadecenoic acid, 10E-heptadecenoic acid, 11-Cyclohexylundecanoic acid, 7R,8S-methylenehexanoic acid, 11-Cycloheptyldecanoic acid, 1-methylpropyl-tridecanolide, 7-heptadecenoic acid, 6Z-heptadecenoic acid, 9E-heptadecenoic acid, 7-methyl-6E-hexadecenoic acid, 2Z-heptadecenoic acid, 15-methyl-11-Hexadecenoic acid, cis-9,10-methylene-hexadecanoic acid, 8E-heptadecenoic acid, 10Z-heptadecenoic acid, 16:1(8Z)(15Me), 16:1(9Z)(15Me), 9-methyl-10Z-hexadecenoic acid, 16:1(6Z)(15Me), 17:1(12Z), 14-methyl-8E-hexadecenoic acid, 7Z-heptadecenoic acid, 11-Heptadecenoic acid, 9,10-Methylenehexadecanoic acid, 2-heptadecylenic acid, 10-methyl-9-hexadecenoic acid, 3-heptadecenoic acid, Margaroleic acid, Civetic acid, 16-heptadecenoic acid",FA(17:1),267.2 -> 267.2,FA
"LMFA01020040, LMFA01020199, LMFA01020197, LMFA01020281, LMFA01020202, LMFA01020390, LMFA01020011, LMFA01020265, LMFA01020201, LMFA01020198, LMFA01020200, LMFA01020092, LMFA01020012, LMFA01020041, LMFA01020194, LMFA01010017, LMFA01020193, LMFA01020418, LMFA01020195, LMFA01020196, LMFA01031251, LMFA01031277, LMFA01031137, LMFA01031147","2,6-dimethyl-pentadecanoic acid, 5-methyl-hexadecanoic acid, 3-methyl-hexadecanoic acid, 9,14-dimethylpentadecanoic acid, 9-methyl-hexadecanoic acid, 3,5-Dimethylpentadecanoic acid, Anteisoheptadecanoic acid, 4R-methyl-hexadecanoic acid, 8-methyl-hexadecanoic acid, 4-methyl-hexadecanoic acid, 7-methyl-hexadecanoic acid, 2-methyl-hexadecanoic acid, Isoheptadecanoic acid, 4,8-dimethyl-pentadecanoic acid, 11-methyl-hexadecanoic acid, Margaric acid, 10-methyl-hexadecanoic acid, 8,14-dimethyl-pentadecanoic acid, 12-methyl-hexadecanoic acid, 13-methyl-hexadecanoic acid, Protegenin D, Oropheic acid, Octadeca-9-en-12,14,16-triynoic acid, (E)-octadeca-15-en-9,11,13-triynoic acid",FA(17:0) | FA(18:7),269.2 -> 269.1,FA
"LMFA01020040, LMFA01020199, LMFA01020197, LMFA01020281, LMFA01020202, LMFA01020390, LMFA01020011, LMFA01020265, LMFA01020201, LMFA01020198, LMFA01020200, LMFA01020092, LMFA01020012, LMFA01020041, LMFA01020194, LMFA01010017, LMFA01020193, LMFA01020418, LMFA01020195, LMFA01020196, LMFA01031251, LMFA01031277, LMFA01031137, LMFA01031147","2,6-dimethyl-pentadecanoic acid, 5-methyl-hexadecanoic acid, 3-methyl-hexadecanoic acid, 9,14-dimethylpentadecanoic acid, 9-methyl-hexadecanoic acid, 3,5-Dimethylpentadecanoic acid, Anteisoheptadecanoic acid, 4R-methyl-hexadecanoic acid, 8-methyl-hexadecanoic acid, 4-methyl-hexadecanoic acid, 7-methyl-hexadecanoic acid, 2-methyl-hexadecanoic acid, Isoheptadecanoic acid, 4,8-dimethyl-pentadecanoic acid, 11-methyl-hexadecanoic acid, Margaric acid, 10-methyl-hexadecanoic acid, 8,14-dimethyl-pentadecanoic acid, 12-methyl-hexadecanoic acid, 13-methyl-hexadecanoic acid, Protegenin D, Oropheic acid, Octadeca-9-en-12,14,16-triynoic acid, (E)-octadeca-15-en-9,11,13-triynoic acid",FA(17:0) | FA(18:7),269.2 -> 269.2,FA
