IDs,Names,Lipid,Transition,Class
,,[TG(37:0)]_FA14:0,670.6 -> 425.4,TG
,,[TG(38:1)]_FA14:0,682.6 -> 437.4,TG
,,[TG(39:1)]_FA14:0,696.6 -> 451.4,TG
,,[TG(40:2)]_FA14:0,708.6 -> 463.4,TG
,,[TG(41:2)]_FA14:0,722.6 -> 477.4,TG
,,[TG(42:4)]_FA14:0,732.6 -> 487.4,TG
,,[TG(42:3)]_FA14:0,734.6 -> 489.4,TG
,,[TG(43:4)]_FA14:0,746.6 -> 501.4,TG
,,[TG(43:3)]_FA14:0,748.6 -> 503.4,TG
,,[TG(44:5)]_FA14:0,758.6 -> 513.4,TG
,,[TG(45:5)]_FA14:0,772.6 -> 527.4,TG
,,[TG(46:6)]_FA14:0,784.6 -> 539.4,TG
,,[TG(47:6)]_FA14:0,798.7 -> 553.5,TG
"LMGL03014229, LMGL03014252, LMGL03014154, LMGL03014296, LMGL03014228, LMGL03012772, LMGL03013234","TG(14:0/16:0/18:3(9Z,12Z,15Z))[iso6], TG(14:0/16:1(9Z)/18:2(9Z,12Z))[iso6], TG(14:0/14:1(9Z)/20:2(11Z,14Z))[iso6], TG(14:0/17:1(9Z)/17:2(9Z,12Z))[iso6], TG(14:0/16:0/18:3(6Z,9Z,12Z))[iso6], TG(14:0/14:0/20:3(8Z,11Z,14Z))[iso3], TG(12:0/14:0/22:3(10Z,13Z,16Z))[iso6]",[TG(48:3)]_FA14:0,818.7 -> 573.5,TG
"LMGL03012789, LMGL03014251, LMGL03014273, LMGL03014227, LMGL03014206, LMGL03012771, LMGL03014153, LMGL03013233","TG(14:0/17:1(9Z)/17:1(9Z))[iso3], TG(14:0/16:1(9Z)/18:1(9Z))[iso6], TG(14:0/17:0/17:2(9Z,12Z))[iso6], TG(14:0/16:0/18:2(9Z,12Z))[iso6], TG(14:0/15:1(9Z)/19:1(9Z))[iso6], TG(14:0/14:0/20:2(11Z,14Z))[iso3], TG(14:0/14:1(9Z)/20:1(11Z))[iso6], TG(12:0/14:0/22:2(13Z,16Z))[iso6]",[TG(48:2)]_FA14:0,820.7 -> 575.5,TG
"LMGL03014179, LMGL03013232, LMGL03014272, LMGL03012770, LMGL03014250, LMGL03014152, LMGL03014226, LMGL03014205","TG(14:0/15:0/19:1(9Z))[iso6], TG(12:0/14:0/22:1(11Z))[iso6], TG(14:0/17:0/17:1(9Z))[iso6], TG(14:0/14:0/20:1(11Z))[iso3], TG(14:0/16:1(9Z)/18:0)[iso6], TG(14:0/14:1(9Z)/20:0)[iso6], TG(14:0/16:0/18:1(9Z))[iso6], TG(14:0/15:1(9Z)/19:0)[iso6]",[TG(49:8)|TG(48:1)]_FA14:0,822.8 -> 577.6,TG
