lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,Transition,type,AK0161-1x_p1-b2,AK0170-1x_p1-b4,AK0139-1x_p1-b6,AK0200-1x_p1-b8,AK0202-2x_p1-c5,AK0204-1x_p1-c1,AK0174-1x_p1-b1,AK0145-1x_p1-b3,AK0175-2x_p1-c3,AK0164-1x_p1-b5,AK0141-1x_p1-b9,Blank-1x_p1 -a2
Lyso_PE(20:5),-0.16046163548516737,8.173121596244542,0.29119076002280053,0.5894584718786265,0.9995784849370064,6,5,H KO,H WT,500.2699 -> 358.2699,PE,269915.11865236,298643.0405274,166259.17248537,307371.23925786,149877.93029788,274400.9970703,281832.1000976,303741.49902349,252222.25830078,152696.651123,350301.52783212,211274.15686031
Lyso_PE(21:0),-0.060140167790761034,6.47680506890616,0.040834046264762947,0.8398585934849909,0.9995784849370064,6,5,H KO,H WT,524.3638 -> 382.3638,PE,145470.090271048,135518.889648377,73271.145431511,146630.450866679,53872.343551607,139267.98944085,141152.370117187,123766.068115184,102911.246887166,66875.045547495,152372.491271966,24367.901443489
Lyso_PE(22:0),-0.11087673906702433,6.296542681866112,0.13891760726255598,0.7093594368563844,0.9995784849370064,6,5,H KO,H WT,538.3794 -> 396.3794,PE,126521.16766358,109233.266906768,71582.525955192,120658.907714749,45523.803497321,118478.467834531,121418.229248103,104409.24841303,92881.247070393,54606.503112767,146093.192504778,23679.1016387885
Lyso_PE(22:1),-0.11222332477504758,7.777789776406801,0.1423216252005659,0.7059838247070271,0.9995784849370064,6,5,H KO,H WT,536.3638 -> 394.3638,PE,238446.736328062,248301.857238761,118503.609222365,242345.435607991,57332.143783539,254912.697875989,249014.475036566,217333.974548262,122272.469299394,141386.931747426,309904.80383314,161333.568870494
Lyso_PE(22:2),0.018898906088787304,9.60479488921519,0.004026232723845169,0.9494061011194528,0.9995784849370064,6,5,H KO,H WT,534.3481 -> 392.3481,PE,653482.543884325,767312.00915532,349752.810546957,669073.003906275,125076.85182201,714920.35754399,706473.619445721,705006.473815857,239406.280761699,381285.570496195,640977.916687041,755372.870101941
Lyso_PE(22:4),-0.13396106367820224,6.510952606167103,0.20285816347950458,0.6524236428207215,0.9995784849370064,6,5,H KO,H WT,530.3168 -> 388.3168,PE,113083.328674359,103350.007507365,69575.62597648,113802.829101525,39916.503036441,104100.827209463,113939.90887449,105197.386291468,84406.0264893,50528.344162038,129545.550414962,53795.563797043
Lyso_PE(22:5),-0.0739835528923257,6.317156174003581,0.06181159171683248,0.8036552228824045,0.9995784849370064,6,5,H KO,H WT,528.3012 -> 386.3012,PE,118505.728820673,122245.787780831,85213.986892729,129013.688171427,41526.8632202104,116073.149108899,124190.888061501,115541.028442413,81651.405456625,64466.844039906,140566.589874324,23393.641632083
Lyso_PE(22:6),-0.020692206860339155,6.369328435660608,0.0048302645882358775,0.9445915491180337,0.9995784849370064,6,5,H KO,H WT,526.2855 -> 384.2855,PE,120651.84765622,108251.467712342,94034.665969836,132974.289856041,47797.623596196,132317.809692356,120510.309326275,117152.967773427,87368.706237813,59807.004592896,138611.070068424,26118.662017823
Lyso_PE(24:0),-0.1581852022286815,6.393951017180604,0.28296471412249957,0.5947645896102461,0.9995784849370064,6,5,H KO,H WT,566.4107 -> 424.4107,PE,125309.90808099,117642.768737818,64809.5647734765,139462.49084479,38153.242614734,134153.829345587,133732.36755368,120304.78900145,90838.386291556,55611.864044167,161478.41235346,27012.822143553
Lyso_PE(24:1),-0.7473115040216357,7.016662613292171,6.3266342473289114,0.01189378304326413,0.9995784849370064,6,5,H KO,H WT,564.3951 -> 422.3951,PE,169495.531189024,181812.373168987,85684.945571873,175290.153320225,54655.284149162,175639.912597716,228950.335937486,145405.789855935,105429.467956536,76986.9441528051,721564.31896979,22666.3416137618
Lyso_PE(24:6),-0.15050691691730517,6.450626423970125,0.25613357872316556,0.6127889689097354,0.9995784849370064,6,5,H KO,H WT,554.3168 -> 412.3168,PE,148201.990661666,148908.311096208,76221.943923978,139416.069824159,37586.342735296,130125.208923345,139524.727111747,138493.39105228,118037.8882446,52454.303344749,151946.052856478,21413.601501455
Lyso_PG(12:0),0.11997894802416927,6.4399561769107985,0.16187009845273792,0.6874405666521576,0.9995784849370064,6,5,H KO,H WT,446.2175 -> 257.2175,PG,132418.370239242,127813.170806942,116370.348144508,123550.70782472,82389.726562607,107108.14804079,114726.589446877,126284.450683479,72963.804351805,103249.068450934,112789.187683067,25639.721740722
Lyso_PG(13:0),0.1341606915352488,6.618651238614078,0.20232365999976298,0.6528517560755595,0.9995784849370064,6,5,H KO,H WT,460.2332 -> 271.2332,PG,127203.007873504,116435.949340768,113521.746765011,125862.848999058,92997.246460022,111684.44714353,116446.34826659,106959.467529181,81508.906066846,106034.767944297,112291.60772704,45520.443664528
Lyso_PG(14:0),-0.04164782202796045,1.2082362340514892,0.019499611562565633,0.8889436370735148,0.9995784849370064,6,5,H KO,H WT,474.2488 -> 285.2488,PG,1984.9801254262,3049.1802253716,2163.0601425172,1969.5001487723,1736.2401275641,1941.6601333622,2457.1601600635,2093.180160522,2052.1001396174,2203.9201545721,2163.2801628109,1538.6601142882
Lyso_PG(14:1),0.16764935162870354,2.2366045544185957,0.3151824960077647,0.574517274591387,0.9995784849370064,6,5,H KO,H WT,472.2332 -> 283.2332,PG,2860.1802177428,10380.5206565875,2589.5002059932,2700.6602058412,2352.8201789849,16957.1411247279,7860.9205398537,2190.0201416017,9390.1006927465,2718.0801849365,2463.1201667789,1523.6801223751
Lyso_PG(15:0),-0.02085954335928473,1.1436626812311605,0.004887503403168125,0.9442647512381094,0.9995784849370064,6,5,H KO,H WT,488.2645 -> 299.2645,PG,1777.6001243592,1810.4401245118,2196.4801559448,2091.1001434322,1775.6001205454,2027.4201431277,1886.8201293942,2168.2801666262,1762.5401344301,1874.1601371764,2174.4801445009,1613.2401161193
Lyso_PG(15:1),0.018217476611053288,1.0924872928049536,0.003724252396276162,0.9513379824560365,0.9995784849370064,6,5,H KO,H WT,486.2488 -> 297.2488,PG,2115.2801475526,1816.5201187132,1880.8401374819,1863.6401367187,1830.3401260378,1871.4201202387,1975.2801437389,1660.4601249696,1607.7001113891,1860.680122375,2422.1601676943,1553.92011261
Lyso_PG(16:0),0.07865829142506205,8.780441667009352,0.06964990923006553,0.791847195133683,0.9995784849370064,6,5,H KO,H WT,502.2801 -> 313.2801,PG,675352.504760643,800067.58288578,742030.716247716,714387.21295158,486652.580444275,491199.573792049,586709.10967973,577372.203491287,416499.850097146,731777.014831605,850501.61157226,42053.063110365
Lyso_PG(16:1),0.04569128633625293,8.0382967719347,0.02351958246617869,0.8781136341196943,0.9995784849370064,6,5,H KO,H WT,500.2645 -> 311.2645,PG,421399.568298368,321494.602844205,403157.049865711,401412.13049321,287370.959045472,355949.90527345,352255.54675289,329720.10449205,227949.497802673,411879.446045,487358.86737101,49891.123413075
Lyso_PG(17:0),0.11634972267304024,10.608501215504663,0.15225086117425235,0.696393568400597,0.9995784849370064,6,5,H KO,H WT,516.2958 -> 327.2958,PG,2987071.94140628,2264503.69824178,2609481.83203125,2087696.08691411,1760994.14404292,1528264.50341805,2112616.97509776,2372498.21484393,1314081.76855452,2473266.43945311,1996870.50878917,295538.84228521
Lyso_PG(17:1),-0.10453762618015382,7.903394133898136,0.12348144787983983,0.7252888289899198,0.9995784849370064,6,5,H KO,H WT,514.2801 -> 325.2801,PG,370892.74810788,271106.922241238,375376.691711421,350423.568725578,258443.536682132,310409.879760832,332439.281830012,229579.338500996,217316.937499957,458173.580078103,563654.737304772,38608.142883306
Lyso_PG(17:2),-0.03077111540695592,8.103572316248139,0.01068456677762697,0.91767235428003,0.9995784849370064,6,5,H KO,H WT,512.2645 -> 323.2645,PG,446469.68975834,308828.916992235,422302.412109272,395210.58837888,295233.90051284,352119.5070801,357502.965942302,301073.342773305,267358.580261278,459646.169738308,543897.64599606,55554.124450698
Lyso_PG(18:0),-0.12120958085288532,8.459608012011813,0.16605385052389465,0.6836429560763865,0.9995784849370064,6,5,H KO,H WT,530.3114 -> 341.3114,PG,320965.54479985,248846.93554696,340965.8259278,300690.02172861,283097.85961912,286496.32019045,286690.54064945,222136.77807636,278937.315918,400453.54956046,460344.36840802,256118.976868224
Lyso_PG(18:1),0.03617225156298488,7.391835896995463,0.014743513083431026,0.9033561041571267,0.9995784849370064,6,5,H KO,H WT,528.2958 -> 339.2958,PG,269800.620056196,185277.772521877,256724.176086504,249552.637145888,172443.592926,218507.431579571,213169.01983638,178334.811645411,160248.750488381,253414.038208074,309186.38134761,40653.262695294
Lyso_PG(18:2),0.07184153434227239,7.5348937856908265,0.05810915280653722,0.8095098531507091,0.9995784849370064,6,5,H KO,H WT,526.2801 -> 337.2801,PG,302418.779724075,228386.119872999,269191.700683643,276577.003662193,187666.69540393,258696.44042973,251732.498779345,206083.975402929,157634.610168488,278493.162658581,337406.41088868,42633.023498518
Lyso_PG(18:3),0.0350378047090869,7.929292617781066,0.013833732425496237,0.9063712228614657,0.9995784849370064,6,5,H KO,H WT,524.2645 -> 335.2645,PG,344942.101989759,276304.62158204,353373.217590345,338470.385498096,215071.579834081,329259.601867726,325747.022094788,237095.819885115,184146.455322313,358090.472656197,440712.424682739,79696.885864334
Lyso_PG(18:4),0.07084690561610153,10.640562816209613,0.056514001087634824,0.8120930455828164,0.9995784849370064,6,5,H KO,H WT,522.2488 -> 333.2488,PG,963266.148925767,1111415.6381225,939979.014282171,1019557.46777349,190692.777221705,969426.809936422,949961.880554235,903768.12493905,165826.90878296,1190525.32891847,969096.682434114,1838982.05484008
Lyso_PG(19:0),0.020790706758937846,7.287044472563475,0.004872252710356406,0.9443516344035524,0.9995784849370064,6,5,H KO,H WT,544.3271 -> 355.3271,PG,183937.95318604,151746.950622706,179186.75085438,171232.19311515,127475.068359376,159951.41247562,162748.010803225,134238.249633865,122912.508788977,172020.032470647,218024.33264149,88345.446655316
Lyso_PG(19:1),0.041160410903029895,7.148657272111682,0.019087842086264573,0.8901149497299644,0.9995784849370064,6,5,H KO,H WT,542.3114 -> 353.3114,PG,209435.855041441,162421.652801499,208166.073730657,197506.512146016,137147.669982933,195253.694152724,178606.013061592,167100.132019098,124801.548156787,192793.395324696,248456.154724179,40770.302917467
Lyso_PG(20:0),0.11323369084727906,7.05220546445647,0.14420947311919008,0.7041315769994178,0.9995784849370064,6,5,H KO,H WT,558.3427 -> 369.3427,PG,174394.75195303,141776.550231939,190705.431091281,194410.19323721,129611.928710976,181572.510742165,162807.872924656,148494.309997601,105333.866760347,161433.230041471,215284.57568366,46651.603576654
Lyso_PG(20:1),-0.043495225455815696,7.589490123344194,0.021352772477143844,0.8838220173006053,0.9995784849370064,6,5,H KO,H WT,556.3271 -> 367.3271,PG,230989.39477532,191853.81420902,231291.07690423,226864.19433608,183335.61352542,215572.91552735,216645.79699706,225360.89306637,167496.31152347,222703.03442384,282337.45874024,88001.22631838
Lyso_PG(20:2),-0.6309750645350077,7.6367164288949985,4.513642780109876,0.03362555418938228,0.9995784849370064,6,5,H KO,H WT,554.3114 -> 365.3114,PG,224459.511962986,225609.736755289,264244.019897378,234268.237854018,146148.769653195,203133.558044402,286966.361114386,163792.7491456,130874.311279364,213340.273437491,1080247.26971439,41891.34286498
Lyso_PG(20:3),-0.0908379591425891,7.312720350623725,0.09321434191599565,0.7601298785572081,0.9995784849370064,6,5,H KO,H WT,552.2958 -> 363.2958,PG,228991.798767016,173799.252197277,241313.960937519,223029.275329684,136424.35125733,214462.838440043,229120.853759778,156395.233398341,119571.027313298,228306.91778564,391082.098510744,42300.483520499
Lyso_PG(20:4),0.13604033767196816,6.846349818463374,0.20802658099046312,0.648318566011559,0.9995784849370064,6,5,H KO,H WT,550.2801 -> 361.2801,PG,172186.451416076,133283.609619083,167137.010650666,180907.991393934,103050.065246603,165030.372924885,152710.151031517,130736.809845021,94506.94641108,135464.070297158,191271.517150856,35032.642669666
Lyso_PG(20:5),0.06895456684184047,6.68301775491404,0.05353396778730257,0.8170241951864711,0.9995784849370064,6,5,H KO,H WT,548.2645 -> 359.2645,PG,120467.58819571,105067.166992194,112790.367858877,118370.52941888,92490.58666988,112862.206787114,110768.027038459,113883.088745196,82574.926391584,100529.90734869,120711.828185987,55369.523803714
Lyso_PG(21:0),0.06968432327937707,7.0371159565867565,0.05467349391074097,0.8151218973566285,0.9995784849370064,6,5,H KO,H WT,572.3584 -> 383.3584,PG,173863.61083993,146445.9699098,171947.57336428,168361.17346194,126808.12933346,170644.21081538,158895.812194766,149308.829162555,113245.609985299,154204.7097168,192637.45385741,51033.48358156
Lyso_PG(22:0),0.03723668150711356,7.431422295822175,0.015623554526428052,0.9005281278306193,0.9995784849370064,6,5,H KO,H WT,586.374 -> 397.374,PG,203551.35339345,173937.27270517,229140.2766114,220151.05725101,153779.34973147,254427.11950683,207507.61511226,183766.97265631,146883.63049323,194051.57092298,282395.47790532,70491.484558102
Lyso_PG(22:1),0.0152644834001637,7.0775385758529,0.002626695109938737,0.9591252790254668,0.9995784849370064,6,5,H KO,H WT,584.3584 -> 395.3584,PG,190605.433868268,150533.452148357,196334.113159254,201645.897644076,129006.92932123,197360.773376341,178864.153564354,153280.672424387,121673.068878181,193961.574706997,241938.576660102,36001.782196051
Lyso_PG(22:2),-0.020982182795517255,8.0117504955589,0.0049668847134398675,0.9438146998526312,0.9995784849370064,6,5,H KO,H WT,582.3427 -> 393.3427,PG,338369.764099135,258570.577758788,335165.903808569,322710.182189903,185264.973022427,309442.360717639,339908.706268381,300148.178253099,183469.877502566,314637.866088899,344269.34698475,120221.691162156
Lyso_PG(22:4),0.02035875700453511,7.0332680528424,0.004671939211448262,0.9455057609872384,0.9995784849370064,6,5,H KO,H WT,578.3114 -> 389.3114,PG,165725.090942427,153345.091003498,169305.472839282,170000.454773005,125052.027221667,155933.871398927,151042.609802313,141411.152038498,112522.326904267,155451.150817918,228940.359497062,50887.423706046
Lyso_PG(22:6),0.12113672062573812,7.0109400331889935,0.16500813230868516,0.6845868889017735,0.9995784849370064,6,5,H KO,H WT,574.2801 -> 385.2801,PG,155247.130371083,132297.5094604,189794.71337896,168863.970947192,133006.509155242,209575.835571281,175838.794860831,147468.60913079,119070.528625514,138605.570190356,177337.050842348,44352.282867428
Lyso_PI(12:0),0.5016097234661916,10.595280821815745,2.7941403682198143,0.09460949267354528,0.9995784849370064,6,5,H KO,H WT,534.2336 -> 257.2336,PI,3794366.73632808,2132474.42553715,2249138.49664311,2314993.72525795,956636.744644148,5636275.036438,2615538.61196849,2387095.67605539,898895.882423361,1847413.39190684,2122436.88156125,19044.081504819
Lyso_PI(13:0),-0.14931254948342754,1.898821870252,0.25157662589862184,0.6159671081641449,0.9995784849370064,6,5,H KO,H WT,548.2492 -> 271.2492,PI,4389.6403274505,5067.4804344105,3154.9401817319,3119.5402374272,1559.7000885009,6502.6205940164,8530.2404823278,3039.4002265928,2661.8402252201,4081.7403183005,3176.6801872249,1893.1201324456
Lyso_PI(14:0),-0.006113809803969991,1.996098898360342,4.2082463389192526e-4,0.9836333355278497,0.9995784849370064,6,5,H KO,H WT,562.2649 -> 285.2649,PI,4607.6402931219,6639.5204124425,4123.9202880865,3053.480201721,2365.2001876832,7902.1006088296,10112.0207099877,3771.7802352909,3247.0402107242,3388.6402587884,2947.1402091989,1583.7401123042
Lyso_PI(14:1),0.4590930575967354,2.235538534512516,2.340765575701141,0.1260276031267595,0.9995784849370064,6,5,H KO,H WT,560.2492 -> 283.2492,PI,5199.7004280085,4906.4403572108,5372.5003051742,4261.0802955622,11350.700786594,5362.3804321295,4880.340358732,6003.2403984069,3540.8003005987,4935.0204086352,4635.6002998341,1611.620113373
Lyso_PI(15:0),-0.019592250723089642,13.046469696609128,0.004330613245162596,0.9475311685910986,0.9995784849370064,6,5,H KO,H WT,576.2805 -> 299.2805,PI,15557133.9560547,13779285.0830076,12979409.2373043,7514470.89794926,9147089.20654294,18092338.2998056,25476607.0957023,11171416.0263676,6661211.40820327,12915573.7314454,9433474.34521375,117070.548095722
Lyso_PI(15:1),0.37209393306592015,9.177239928912575,1.5450538494405919,0.2138671146357396,0.9995784849370064,6,5,H KO,H WT,574.2649 -> 297.2649,PI,1384878.28601084,1062813.21148685,988897.341674828,706661.729492292,461185.67153921,1156969.88305614,994080.94598395,968298.163635235,372340.176071161,822693.47784424,482946.10094454,53372.003097557
Lyso_PI(16:0),0.24763073658630252,8.706036501041007,0.6871169454971096,0.40714674896236847,0.9995784849370064,6,5,H KO,H WT,590.2962 -> 313.2962,PI,893116.36572266,665477.88684127,773215.02404787,444134.381408628,291837.377441318,933804.78564452,754104.10388191,670262.68872089,243083.298995951,666497.69128416,443416.830505408,44593.803222656
Lyso_PI(16:1),0.08088476922391052,9.473992208414256,0.07364512188996741,0.7861015918036668,0.9995784849370064,6,5,H KO,H WT,588.2805 -> 311.2805,PI,1428697.64794922,1118200.76538095,1105194.87841803,712268.100067146,582538.285705571,1548958.62121589,1509616.23217766,1303662.64880379,460003.93344118,1080595.3985595,726255.534973118,63292.804473853
Lyso_PI(17:0),-0.07219170583357498,11.977616613249598,0.058856656920397654,0.8083122523169054,0.9995784849370064,6,5,H KO,H WT,604.3118 -> 327.3118,PI,7967135.5405274,6816435.81054681,5369659.62841864,3221726.17010446,4191311.75219731,8393237.95214859,12512243.2084964,5025359.86279332,3118459.21057114,6843751.36621056,4298155.39282219,86287.106811547
Lyso_PI(17:1),0.18622502667722585,9.337063379663482,0.3893012161133811,0.5326669410327344,0.9995784849370064,6,5,H KO,H WT,602.2962 -> 325.2962,PI,1341488.62640371,1013256.49017394,1280882.54138229,650504.201080269,452196.727935919,1403669.35742117,1243840.95865019,967649.337830192,374319.248794556,1224759.13732813,639590.545563701,59288.924087542
Lyso_PI(17:2),0.07731691493532318,8.084339044528097,0.06729626267770072,0.7953148783226568,0.9995784849370064,6,5,H KO,H WT,600.2805 -> 323.2805,PI,530907.33166492,394384.90881347,540167.72277894,252681.933105508,192077.953155503,495710.954040488,484995.274047847,423250.731140202,143704.611205954,535978.43505869,313115.960296607,39236.782455452
Lyso_PI(18:0),0.05413379831976469,8.885116284026163,0.033008102953317575,0.8558328244861642,0.9995784849370064,6,5,H KO,H WT,618.3275 -> 341.3275,PI,958249.65954593,731079.90246582,976119.14904758,391925.647338845,320745.925064038,855996.21533199,841865.87878366,616464.44750973,272457.062866188,1112028.27892998,555155.585418676,55850.343444779
Lyso_PI(18:1),0.027593830171952834,8.527464453265491,0.008581572154071182,0.9261921268190625,0.9995784849370064,6,5,H KO,H WT,616.3118 -> 339.3118,PI,814469.88757329,590089.5437007,621049.24621631,401086.76704407,270355.951690742,626570.84655695,488968.015808193,445951.85534612,200422.371765198,1126372.24877935,482512.411437955,33700.622055059
Lyso_PI(18:2),0.10793148944299272,8.146769187250378,0.1310422132301028,0.7173538746748526,0.9995784849370064,6,5,H KO,H WT,614.2962 -> 337.2962,PI,615660.725219248,453460.852538568,488634.79455461,300410.386032142,211840.533004815,520373.640198252,411843.810119586,374353.030700841,129944.590103145,766647.960571243,343082.701309273,30482.582290652
Lyso_PI(18:3),0.1756058680840142,7.233683240270256,0.3462609503621934,0.5562373852939897,0.9995784849370064,6,5,H KO,H WT,612.2805 -> 335.2805,PI,292800.941314656,239937.479125976,284955.341552667,128130.168327323,110893.470352177,295993.88024894,269297.618164038,214615.078308089,101920.427093565,246102.177978473,155629.930847106,24722.201492301
Lyso_PI(18:4),0.09044611471137225,6.934579847537066,0.09205997203389416,0.7615744824628792,0.9995784849370064,6,5,H KO,H WT,610.2649 -> 333.2649,PI,242512.798401005,191939.957702646,213640.034301808,106692.508285585,66409.325073209,233850.395446716,208342.271545513,243165.3989257,57586.004379289,189366.654357941,117040.666671815,24885.301719663
Lyso_PI(19:0),0.08174442227802198,8.966138400572452,0.07521645110682584,0.7838877587477237,0.9995784849370064,6,5,H KO,H WT,632.3431 -> 355.3431,PI,583665.84716695,539422.22155714,595738.54553177,241741.23870846,199749.896423314,581049.47705066,586011.59912054,459050.69287109,198016.855224533,634394.69409222,248283.260238629,373484.408568806
Lyso_PI(19:1),0.14211168648155345,8.104308829324946,0.22698065493023023,0.6337717214833055,0.9995784849370064,6,5,H KO,H WT,630.3275 -> 353.3275,PI,526354.91967774,441784.89843755,513999.1901856,237176.581237843,181325.812072668,483845.20410169,485749.77954104,486569.23461915,147457.772491512,423646.12841792,237364.575897228,57349.964416483
Lyso_PI(20:0),0.3220751541034508,8.205690447037211,1.1595699730096385,0.28155474209180176,0.9995784849370064,6,5,H KO,H WT,646.3588 -> 369.3588,PI,652208.575134322,605275.640380899,575638.106262328,235885.277099018,94132.327514562,828656.096313441,578640.59680171,553872.65124512,76653.264953559,502592.80981497,257083.620559774,22518.121826166
Lyso_PI(20:1),0.12090104919274637,7.9504728079877,0.16437252960167825,0.6851623287437777,0.9995784849370064,6,5,H KO,H WT,644.3431 -> 367.3431,PI,482204.43603517,396791.2478027,449649.89160158,170050.530090273,94684.207672125,519645.50024422,463348.45410161,453695.03662116,86415.605773876,414838.77172851,169095.891052138,60406.064208969
Lyso_PI(20:2),0.2972771852355663,8.09699808025438,0.9886908978223801,0.32006254110665766,0.9995784849370064,6,5,H KO,H WT,642.3275 -> 365.3275,PI,626406.858947739,490634.058105486,565831.622680192,236890.172653224,136203.989974982,674937.71136478,602633.883667503,485007.530028778,75576.285110524,443850.055786158,230924.877883985,22013.4415054248
Lyso_PI(20:3),0.1644347864534504,6.929057972622028,0.30369862171210116,0.5815729543559355,0.9995784849370064,6,5,H KO,H WT,640.3118 -> 363.3118,PI,257213.657165562,204311.950317373,230265.458984284,94947.406425386,43577.603210458,246142.195129478,235735.456268354,211295.313842695,38485.142883303,200256.896850644,103791.868972773,26428.1418914807
Lyso_PI(20:4),0.17202343298068523,6.733685381970871,0.3323049320606515,0.5643050022850442,0.9995784849370064,6,5,H KO,H WT,638.2962 -> 361.2962,PI,222955.81668092,175453.335632329,204035.915008554,86645.0435104466,55663.543319719,214940.396179237,195529.697448837,187836.973754861,54563.303543058,169066.893524167,88861.3856429787,18737.3412780765
Lyso_PI(20:5),0.09126008337390772,6.911155438581178,0.09372219588112785,0.7594974363235102,0.9995784849370064,6,5,H KO,H WT,636.2805 -> 359.2805,PI,229732.7382811,187987.928192136,182305.453857547,93006.966125498,73570.686493001,220369.534545763,194806.13250728,247393.858154241,59554.444519068,172324.610046301,85402.585647499,32258.38220214
Lyso_PI(21:0),0.21923922929582104,7.3931541481908,0.5390375279530417,0.4628318799727896,0.9995784849370064,6,5,H KO,H WT,660.3744 -> 383.3744,PI,348141.34277351,276674.041748,367333.74719254,101697.465881245,73478.805786119,302147.10620113,311457.06262204,274601.7996826,65244.904785151,273784.87890639,105620.106613175,41685.243072493
Lyso_PI(22:0),0.0989037228185022,8.421683504892497,0.11006260710564675,0.7400728697732936,0.9995784849370064,6,5,H KO,H WT,674.3901 -> 397.3901,PI,597120.16979975,499693.82775884,785173.90234371,219516.514465362,113804.289825433,891227.920959569,766832.84448242,525129.6072998,174812.991149936,569574.506774977,314231.160263063,53458.083587644
Lyso_PI(22:1),0.21158105524756288,7.641953881602865,0.5021544572955463,0.4785549989506967,0.9995784849370064,6,5,H KO,H WT,672.3744 -> 395.3744,PI,409635.69201652,343142.64453122,429495.24694817,129536.910552938,79448.105438214,470695.43090817,422219.83654797,381028.76879884,66644.46528624,342196.29821783,92196.447540211,30714.202148432
Lyso_PI(22:2),0.11041441880419475,7.018291197246926,0.13712871239113156,0.7111523120475731,0.9995784849370064,6,5,H KO,H WT,670.3588 -> 393.3588,PI,275825.580291686,221868.735778794,260737.597808801,93921.387039086,44841.34333801,283660.583007735,275981.801299975,286970.357757518,37158.1627349776,222631.755676208,65091.7438812054,19027.3414764433
Lyso_PI(22:4),0.2632121778540467,7.905465887123629,0.7759253791882657,0.3783902077495326,0.9995784849370064,6,5,H KO,H WT,666.3275 -> 389.3275,PI,612699.444641091,594325.421325624,522526.399108938,99976.0481720562,63002.004302897,486231.189453657,505602.145263605,542567.573608399,54395.463378883,417242.015380826,94616.1437073172,18227.841117862
Lyso_PI(22:6),0.18814985782942406,7.280876769313884,0.39735664798354264,0.5284575610175838,0.9995784849370064,6,5,H KO,H WT,662.2962 -> 385.2962,PI,323544.254882768,293572.262084915,313522.16455067,97791.4481888098,59032.703918467,294949.239990168,291120.919372435,280393.623046829,55740.583847033,260384.440551838,105698.727111781,32718.982070931
Lyso_PS(12:0),-0.03567658643099373,6.02314984319666,0.014362947539666493,0.904605525750976,0.9995784849370064,6,5,H KO,H WT,442.2128 -> 257.2128,PS,4315.6003494256,108540.64697265,108118.426513675,100492.147300772,68740.6642838128,85803.9061088507,82183.0662917867,126105.528976469,38667.3621902509,75322.0642318283,104084.406795463,20402.841194161
Lyso_PS(13:0),-0.07508929961590162,1.3259347111034618,0.06341494680861004,0.8011776891552853,0.9995784849370064,6,5,H KO,H WT,456.2284 -> 271.2284,PS,2069.9201393128,1982.5201377867,2252.3401679994,2452.5801620493,1741.2201271052,1858.740127563,2022.600147247,1858.740142822,2415.8401756276,1994.7801361076,2265.1401710515,1971.3601493837
Lyso_PS(14:0),0.22978365167397136,1.5894272965091787,0.5903366535151662,0.44228896641590687,0.9995784849370064,6,5,H KO,H WT,470.2441 -> 285.2441,PS,4651.6803474437,2589.2201728827,2731.4601631175,4403.2603263859,2571.8201789854,3621.9802703853,3755.7602653503,2427.4001617428,2554.7802085874,3062.2201995842,2411.7402000424,1648.1201210016
Lyso_PS(14:1),0.08454405623957673,1.445741437044932,0.08019533625993214,0.7770328715534186,0.9995784849370064,6,5,H KO,H WT,468.2284 -> 283.2284,PS,3058.600223541,2653.120208741,3056.3602066039,2396.3801994328,2211.2001495357,3371.7202415463,2776.6001853955,2439.6401824946,2422.38018036,2365.9401588444,3031.8202133177,1661.8001289362
Lyso_PS(15:0),0.11773553860047369,9.255684018815804,0.15589252977360957,0.6929666699585211,0.9995784849370064,6,5,H KO,H WT,484.2597 -> 299.2597,PS,852014.98046882,704137.5185547,746453.08642578,805262.67627017,597151.2236328,749788.86914009,758205.57714846,650864.16357477,541631.75683605,692643.21533311,786452.61425774,249046.49902355
Lyso_PS(15:1),0.21106558817224932,9.615475478635805,0.4997285630497572,0.4796194135048657,0.9995784849370064,6,5,H KO,H WT,482.2441 -> 297.2441,PS,1308260.9807135,987947.83959957,925355.42907702,1165930.83227534,757077.62561036,1025674.13757329,943881.73266601,809855.29528807,646873.21106013,1007142.52563485,1052724.68066398,274597.23925781
Lyso_PS(16:0),0.03680255547411387,8.761098035204657,0.015261963123521127,0.9016800413716078,0.9995784849370064,6,5,H KO,H WT,498.2754 -> 313.2754,PS,672044.94860835,693353.258300704,716102.759399427,682023.22302254,457844.812744592,511780.44543455,603335.642883275,544081.67956545,404055.28662059,714568.209167508,834871.05407711,57923.064147946
Lyso_PS(16:1),0.053203995888147455,8.682525405872259,0.031884556927479935,0.8582812626817556,0.9995784849370064,6,5,H KO,H WT,496.2597 -> 311.2597,PS,712378.729980539,539393.05944889,640442.22937108,655008.96472211,436786.077454151,578325.79504288,608354.61425781,497196.37817383,374854.2196045,671472.73632814,755600.490234471,56592.324157712
Lyso_PS(17:0),0.11633774902524834,12.007501972833767,0.1522199513274245,0.6964228565266939,0.9995784849370064,6,5,H KO,H WT,512.291 -> 327.291,PS,7562019.3759766,5751533.688476,6687786.427735,5556288.1904297,4650593.3369135,4136712.143555,5406261.5732421,5893578.1044924,3597417.6230476,6348889.9628909,5381644.6513673,877500.96582016
