,Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Position,nickname,Sex,Genotype,time point,method_type,Blank Subtraction,IDs,Names
1114,[TG(48:3)]_FA18:0,818.8,517.8,413837.6062927246,818.8 -> 517.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,399457.6653289795,"LMGL03013444, LMGL03013443","TG(12:0/18:0/18:3(9Z,12Z,15Z))[iso6], TG(12:0/18:0/18:3(6Z,9Z,12Z))[iso6]"
1115,[TG(48:3)]_FA18:1,818.8,519.8,604648.539276123,818.8 -> 519.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,585955.0578613281,"LMGL03013885, LMGL03013462, LMGL03012933, LMGL03014657","TG(13:0/17:2(9Z,12Z)/18:1(9Z))[iso6], TG(12:0/18:1(9Z)/18:2(9Z,12Z))[iso6], TG(15:1(9Z)/15:1(9Z)/18:1(9Z))[iso3], TG(14:1(9Z)/16:1(9Z)/18:1(9Z))[iso6]"
1116,[TG(48:3)]_FA16:0,818.8,545.8,152071.51068115234,818.8 -> 545.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,122819.5686187744,"LMGL03014229, LMGL03014228, LMGL03014633, LMGL03013336, LMGL03015359","TG(14:0/16:0/18:3(9Z,12Z,15Z))[iso6], TG(14:0/16:0/18:3(6Z,9Z,12Z))[iso6], TG(14:1(9Z)/16:0/18:2(9Z,12Z))[iso6], TG(12:0/16:0/20:3(8Z,11Z,14Z))[iso6], TG(15:1(9Z)/16:0/17:2(9Z,12Z))[iso6]"
1117,[TG(48:3)]_FA16:1,818.8,547.8,181759.51458740237,818.8 -> 547.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,146189.99197387695,"LMGL03014252, LMGL03010020, LMGL03013360, LMGL03014657, LMGL03015033, LMGL03015383","TG(14:0/16:1(9Z)/18:2(9Z,12Z))[iso6], TG(16:1(9Z)/16:1(9Z)/16:1(9Z)), TG(12:0/16:1(9Z)/20:2(11Z,14Z))[iso6], TG(14:1(9Z)/16:1(9Z)/18:1(9Z))[iso6], TG(15:0/16:1(9Z)/17:2(9Z,12Z))[iso6], TG(15:1(9Z)/16:1(9Z)/17:1(9Z))[iso6]"
1118,[TG(48:2)]_FA18:0,820.8,519.8,608329.34815979,820.8 -> 519.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,589239.666809082,"LMGL03013442, LMGL03012932, LMGL03013884, LMGL03014656","TG(12:0/18:0/18:2(9Z,12Z))[iso6], TG(15:1(9Z)/15:1(9Z)/18:0)[iso3], TG(13:0/17:2(9Z,12Z)/18:0)[iso6], TG(14:1(9Z)/16:1(9Z)/18:0)[iso6]"
1119,[TG(48:2)]_FA18:1,820.8,521.8,565950.5378417969,820.8 -> 521.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,547728.3167495728,"LMGL03013863, LMGL03014984, LMGL03014251, LMGL03012670, LMGL03014632","TG(13:0/17:1(9Z)/18:1(9Z))[iso6], TG(15:0/15:1(9Z)/18:1(9Z))[iso6], TG(14:0/16:1(9Z)/18:1(9Z))[iso6], TG(12:0/18:1(9Z)/18:1(9Z))[iso3], TG(14:1(9Z)/16:0/18:1(9Z))[iso6]"
1120,[TG(48:2)]_FA16:0,820.8,547.8,194777.89428710935,820.8 -> 547.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,156693.63150024414,"LMGL03015358, LMGL03010018, LMGL03014227, LMGL03013335, LMGL03015008, LMGL03014632","TG(15:1(9Z)/16:0/17:1(9Z))[iso6], TG(16:0/16:1(9Z)/16:1(9Z))[iso3], TG(14:0/16:0/18:2(9Z,12Z))[iso6], TG(12:0/16:0/20:2(11Z,14Z))[iso6], TG(15:0/16:0/17:2(9Z,12Z))[iso6], TG(14:1(9Z)/16:0/18:1(9Z))[iso6]"
1121,[TG(48:2)]_FA16:1,820.8,549.8,361226.1422729492,820.8 -> 549.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,319989.3992919922,"LMGL03010018, LMGL03013822, LMGL03014251, LMGL03013359, LMGL03014656, LMGL03015032, LMGL03015382","TG(16:0/16:1(9Z)/16:1(9Z))[iso3], TG(13:0/16:1(9Z)/19:1(9Z))[iso6], TG(14:0/16:1(9Z)/18:1(9Z))[iso6], TG(12:0/16:1(9Z)/20:1(11Z))[iso6], TG(14:1(9Z)/16:1(9Z)/18:0)[iso6], TG(15:0/16:1(9Z)/17:1(9Z))[iso6], TG(15:1(9Z)/16:1(9Z)/17:0)[iso6]"
1122,[TG(48:1)]_FA18:0,822.8,521.8,542719.3671264648,822.8 -> 521.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,523150.88569641113,"LMGL03013862, LMGL03014983, LMGL03013441, LMGL03014250, LMGL03014631","TG(13:0/17:1(9Z)/18:0)[iso6], TG(15:0/15:1(9Z)/18:0)[iso6], TG(12:0/18:0/18:1(9Z))[iso6], TG(14:0/16:1(9Z)/18:0)[iso6], TG(14:1(9Z)/16:0/18:0)[iso6]"
1123,[TG(48:1)]_FA18:1,822.8,523.8,363216.5430908203,822.8 -> 523.8,TG,TAG1_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,TAG1,327659.78088378906,"LMGL03013840, LMGL03014226, LMGL03013441, LMGL03012878","TG(13:0/17:0/18:1(9Z))[iso6], TG(14:0/16:0/18:1(9Z))[iso6], TG(12:0/18:0/18:1(9Z))[iso6], TG(15:0/15:0/18:1(9Z))[iso3]"
