,Parent_Ion_new,Product_Ion_new,Intensity_new,Transition_new,Class,Sample_ID_new,Sample Name_new,Cage,Position_new,Dilution Factor,Sex2,Sex_new,Genotype_new,Brain Region,method_type_new,Blank Subtraction_new,subclasses,chain_length,saturation,between_parenthese,FA_Chain,Start,End,_tmpkey_new,Parent_Ion_old,Product_Ion_old,Intensity_old,Transition_old,Sample_ID_old,Sample Name_old,Position_old,nickname,Sex_old,Genotype_old,time point,method_type_old,Blank Subtraction_old,_tmpkey_old,Lipid
1312,368.3,85.1,397565.6098632813,368.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(14:2),None,368.3,85.1,CAR1227.0283.0,368.3,85.1,764319.4936523438,368.3 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,605958.063659668,CAR1227.0283.0,CAR(14:2)
1377,370.3,85.1,368998.5258789063,370.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(14:1),None,370.3,85.1,CAR1234.0283.0,370.3,85.1,624912.4838867188,370.3 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,481725.4944152832,CAR1234.0283.0,CAR(14:1)
1442,372.3,85.1,372286.3051757813,372.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(14:0),None,372.3,85.1,CAR1241.0283.0,372.3,85.1,1474941.4803466797,372.3 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1331806.030555725,CAR1241.0283.0,CAR(14:0)
1510,396.3,85.1,256414.337890625,396.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(16:2),None,396.3,85.1,CAR1321.0283.0,396.3,85.1,1123748.903076172,396.3 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,975729.2319755554,CAR1321.0283.0,CAR(16:2)
1575,398.3,85.1,271161.9794921875,398.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(16:1),None,398.3,85.1,CAR1327.0283.0,398.3,85.1,1174993.0052490234,398.3 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1027477.3540878296,CAR1327.0283.0,CAR(16:1)
1640,400.3,85.1,283562.0600585937,400.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(16:0),None,400.3,85.1,CAR1334.0283.0,400.3,85.1,1214249.8793945312,400.3 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,1061256.8483657837,CAR1334.0283.0,CAR(16:0)
1707,414.4,85.1,1142501.9833984375,414.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,0,(17:0),None,414.4,85.1,CAR1381.0283.0,414.3,85.1,3219900.092529297,414.3 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,2581645.63350296,CAR1381.0283.0,CAR(17:0)
1772,420.3,85.1,3109092.08203125,420.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,4,(18:4),None,420.3,85.1,CAR1401.0283.0,420.3,85.1,5211504.91796875,420.3 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,4111302.600738525,CAR1401.0283.0,CAR(18:4)
1901,424.3,85.1,3252238.28515625,424.3 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,2,(18:2),None,424.3,85.1,CAR1414.0283.0,424.3,85.1,5459029.475097656,424.3 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,4368406.532119751,CAR1414.0283.0,CAR(18:2)
1966,426.4,85.1,3208659.5,426.4 -> 85.1,CAR,AC_Blank_Blank_Blank_Blank_Blank_N1_Brain_Region_5_9_23,Blank_Blank_Blank_Blank_Blank,Blank,p1-a1,Blank,Blank,Blank,Blank,Blank,AC,0.0,CAR,CAR,1,(18:1),None,426.4,85.1,CAR1421.0283.0,426.4,85.1,4318063.413330078,426.4 -> 85.1,AC_AK0135-2x_p1-c2_N1__Burda__3_17_23,AK0135,Test,I_KO_1,M,cKO,28d ISCI,AC,3290458.7598991394,CAR1421.0283.0,CAR(18:1)
