File Path,File Name,Time,Dose,Bacteria
Projects/DTRA/mzml/done/bsub_done/A-T4-0-BDL-r001.mzML,A-T4-0-BDL-r001,T4,0,
Projects/DTRA/mzml/done/bsub_done/C-T4-8GEN-BDL-r003.mzML,C-T4-8GEN-BDL-r003,T4,,
Projects/DTRA/mzml/done/bsub_done/B-T4-0-BDL-r002.mzML,B-T4-0-BDL-r002,T4,0,
Projects/DTRA/mzml/done/bsub_done/Bsub-C-T6-0-r002.mzML,Bsub-C-T6-0-r002,T6,0,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-A-T2-0-r002.mzML,Bsub-A-T2-0-r002,T2,0,Bsub
Projects/DTRA/mzml/done/bsub_done/A-T0-0-BDL-r002.mzML,A-T0-0-BDL-r002,T0,0,
Projects/DTRA/mzml/done/bsub_done/Bsub-C-T0-0-r003.mzML,Bsub-C-T0-0-r003,T0,0,Bsub
Projects/DTRA/mzml/done/bsub_done/B-T0-0-BDL-r001.mzML,B-T0-0-BDL-r001,T0,0,
Projects/DTRA/mzml/done/bsub_done/Bsub-C-T2-8GEN-r002.mzML,Bsub-C-T2-8GEN-r002,T2,,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-C-T6-8GEN-r001.mzML,Bsub-C-T6-8GEN-r001,T6,,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-B-T2-0-r001.mzML,Bsub-B-T2-0-r001,T2,0,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-A-T2-8GEN-r001.mzML,Bsub-A-T2-8GEN-r001,T2,,Bsub
Projects/DTRA/mzml/done/bsub_done/B-T4-8GEN-BDL-r002.mzML,B-T4-8GEN-BDL-r002,T4,,
Projects/DTRA/mzml/done/bsub_done/Bsub-A-T6-8GEN-r002.mzML,Bsub-A-T6-8GEN-r002,T6,,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-A-T0-0-r002.mzML,Bsub-A-T0-0-r002,T0,0,Bsub
Projects/DTRA/mzml/done/bsub_done/C-T0-0-BDL-r003.mzML,C-T0-0-BDL-r003,T0,0,
Projects/DTRA/mzml/done/bsub_done/Bsub-B-T2-8GEN-r003.mzML,Bsub-B-T2-8GEN-r003,T2,,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-B-T0-0-r001.mzML,Bsub-B-T0-0-r001,T0,0,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-C-T2-0-r003.mzML,Bsub-C-T2-0-r003,T2,0,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-A-T6-0-r003.mzML,Bsub-A-T6-0-r003,T6,0,Bsub
Projects/DTRA/mzml/done/bsub_done/B-T4-8GEN-BDL-r003.mzML,B-T4-8GEN-BDL-r003,T4,,
Projects/DTRA/mzml/done/bsub_done/Bsub-A-T6-8GEN-r003.mzML,Bsub-A-T6-8GEN-r003,T6,,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-A-T0-0-r003.mzML,Bsub-A-T0-0-r003,T0,0,Bsub
Projects/DTRA/mzml/done/bsub_done/C-T4-0-BDL-r001.mzML,C-T4-0-BDL-r001,T4,0,
Projects/DTRA/mzml/done/bsub_done/Bsub-B-T6-0-r001.mzML,Bsub-B-T6-0-r001,T6,0,Bsub
Projects/DTRA/mzml/done/bsub_done/A-T4-8GEN-BDL-r001.mzML,A-T4-8GEN-BDL-r001,T4,,
Projects/DTRA/mzml/done/bsub_done/Bsub-B-T6-8GEN-r001.mzML,Bsub-B-T6-8GEN-r001,T6,,Bsub
Projects/DTRA/mzml/done/bsub_done/C-T0-0-BDL-r002.mzML,C-T0-0-BDL-r002,T0,0,
Projects/DTRA/mzml/done/bsub_done/Bsub-B-T2-8GEN-r002.mzML,Bsub-B-T2-8GEN-r002,T2,,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-A-T6-0-r002.mzML,Bsub-A-T6-0-r002,T6,0,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-C-T2-0-r002.mzML,Bsub-C-T2-0-r002,T2,0,Bsub
Projects/DTRA/mzml/done/bsub_done/C-T4-8GEN-BDL-r002.mzML,C-T4-8GEN-BDL-r002,T4,,
Projects/DTRA/mzml/done/bsub_done/B-T4-0-BDL-r003.mzML,B-T4-0-BDL-r003,T4,0,
Projects/DTRA/mzml/done/bsub_done/Bsub-A-T2-0-r003.mzML,Bsub-A-T2-0-r003,T2,0,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-C-T6-0-r003.mzML,Bsub-C-T6-0-r003,T6,0,Bsub
Projects/DTRA/mzml/done/bsub_done/A-T0-0-BDL-r003.mzML,A-T0-0-BDL-r003,T0,0,
Projects/DTRA/mzml/done/bsub_done/Bsub-C-T0-0-r002.mzML,Bsub-C-T0-0-r002,T0,0,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-C-T2-8GEN-r003.mzML,Bsub-C-T2-8GEN-r003,T2,,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-A-T2-8GEN-r002.mzML,Bsub-A-T2-8GEN-r002,T2,,Bsub
Projects/DTRA/mzml/done/bsub_done/B-T4-8GEN-BDL-r001.mzML,B-T4-8GEN-BDL-r001,T4,,
Projects/DTRA/mzml/done/bsub_done/Bsub-A-T0-0-r001.mzML,Bsub-A-T0-0-r001,T0,0,Bsub
Projects/DTRA/mzml/done/bsub_done/C-T4-0-BDL-r003.mzML,C-T4-0-BDL-r003,T4,0,
Projects/DTRA/mzml/done/bsub_done/Bsub-A-T6-8GEN-r001.mzML,Bsub-A-T6-8GEN-r001,T6,,Bsub
Projects/DTRA/mzml/done/bsub_done/A-T4-8GEN-BDL-r003.mzML,A-T4-8GEN-BDL-r003,T4,,
Projects/DTRA/mzml/done/bsub_done/Bsub-B-T6-0-r003.mzML,Bsub-B-T6-0-r003,T6,0,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-B-T6-8GEN-r003.mzML,Bsub-B-T6-8GEN-r003,T6,,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-B-T0-0-r002.mzML,Bsub-B-T0-0-r002,T0,0,Bsub
Projects/DTRA/mzml/done/bsub_done/A-T4-0-BDL-r002.mzML,A-T4-0-BDL-r002,T4,0,
Projects/DTRA/mzml/done/bsub_done/Bsub-C-T6-0-r001.mzML,Bsub-C-T6-0-r001,T6,0,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-A-T2-0-r001.mzML,Bsub-A-T2-0-r001,T2,0,Bsub
Projects/DTRA/mzml/done/bsub_done/B-T4-0-BDL-r001.mzML,B-T4-0-BDL-r001,T4,0,
Projects/DTRA/mzml/done/bsub_done/A-T0-0-BDL-r001.mzML,A-T0-0-BDL-r001,T0,0,
Projects/DTRA/mzml/done/bsub_done/Bsub-C-T2-8GEN-r001.mzML,Bsub-C-T2-8GEN-r001,T2,,Bsub
Projects/DTRA/mzml/done/bsub_done/B-T0-0-BDL-r002.mzML,B-T0-0-BDL-r002,T0,0,
Projects/DTRA/mzml/done/bsub_done/Bsub-B-T2-0-r002.mzML,Bsub-B-T2-0-r002,T2,0,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-C-T6-8GEN-r002.mzML,Bsub-C-T6-8GEN-r002,T6,,Bsub
Projects/DTRA/mzml/done/bsub_done/C-T4-8GEN-BDL-r001.mzML,C-T4-8GEN-BDL-r001,T4,,
Projects/DTRA/mzml/done/bsub_done/A-T4-0-BDL-r003.mzML,A-T4-0-BDL-r003,T4,0,
Projects/DTRA/mzml/done/bsub_done/Bsub-C-T0-0-r001.mzML,Bsub-C-T0-0-r001,T0,0,Bsub
Projects/DTRA/mzml/done/bsub_done/B-T0-0-BDL-r003.mzML,B-T0-0-BDL-r003,T0,0,
Projects/DTRA/mzml/done/bsub_done/Bsub-B-T2-0-r003.mzML,Bsub-B-T2-0-r003,T2,0,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-C-T6-8GEN-r003.mzML,Bsub-C-T6-8GEN-r003,T6,,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-A-T2-8GEN-r003.mzML,Bsub-A-T2-8GEN-r003,T2,,Bsub
Projects/DTRA/mzml/done/bsub_done/C-T4-0-BDL-r002.mzML,C-T4-0-BDL-r002,T4,0,
Projects/DTRA/mzml/done/bsub_done/A-T4-8GEN-BDL-r002.mzML,A-T4-8GEN-BDL-r002,T4,,
Projects/DTRA/mzml/done/bsub_done/Bsub-B-T6-0-r002.mzML,Bsub-B-T6-0-r002,T6,0,Bsub
Projects/DTRA/mzml/done/bsub_done/C-T0-0-BDL-r001.mzML,C-T0-0-BDL-r001,T0,0,
Projects/DTRA/mzml/done/bsub_done/Bsub-B-T6-8GEN-r002.mzML,Bsub-B-T6-8GEN-r002,T6,,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-B-T2-8GEN-r001.mzML,Bsub-B-T2-8GEN-r001,T2,,Bsub
Projects/DTRA/mzml/done/bsub_done/Bsub-B-T0-0-r003.mzML,Bsub-B-T0-0-r003,T0,0,Bsub
