,Class,Transition,Lipid
0,CAR,162.2 -> 60.1,CAR_QUAL
1,CAR,162.2 -> 85.1,CAR
2,CAR,204.1 -> 60.1,CAR(2:0)_QUAL
3,CAR,204.1 -> 85.1,CAR(2:0)
4,CAR,216.1 -> 60.1,CAR(3:1)_QUAL
5,CAR,216.1 -> 85.1,CAR(3:1)
6,CAR,218.1 -> 60.1,CAR(3:0)_QUAL
7,CAR,218.1 -> 85.1,CAR(3:0)
8,CAR,230.1 -> 60.1,CAR(4:1)_QUAL
9,CAR,230.1 -> 85.1,CAR(4:1)
10,CAR,232.2 -> 60.1,CAR(4:0)_QUAL
11,CAR,232.2 -> 85.1,CAR(4:0)
12,CAR,244.2 -> 60.1,CAR(5:1)_QUAL
13,CAR,244.2 -> 85.1,CAR(5:1)
14,CAR,246.2 -> 60.1,CAR(5:0)_QUAL
15,CAR,246.2 -> 85.1,CAR(5:0)
16,CAR,258.2 -> 60.1,CAR(6:1)_QUAL
17,CAR,258.2 -> 85.1,CAR(6:1)
18,CAR,260.2 -> 60.1,CAR(6:0)_QUAL
19,CAR,260.2 -> 85.1,CAR(6:0)
20,CAR,274.2 -> 60.1,CAR(7:0)_QUAL
21,CAR,274.2 -> 85.1,CAR(7:0)
22,CAR,286.2 -> 60.1,CAR(8:1)_QUAL
23,CAR,286.2 -> 85.1,CAR(8:1)
24,CAR,288.2 -> 60.1,CAR(8:0)_QUAL
25,CAR,288.2 -> 85.1,CAR(8:0)
26,CAR,302.2 -> 60.1,CAR(9:0)_QUAL
27,CAR,302.2 -> 85.1,CAR(9:0)
28,CAR,310.2 -> 60.1,CAR(10:3)_QUAL
29,CAR,310.2 -> 85.1,CAR(10:3)
30,CAR,312.2 -> 60.1,CAR(10:2)_QUAL
31,CAR,312.2 -> 85.1,CAR(10:2)
32,CAR,314.2 -> 60.1,CAR(10:1)_QUAL
33,CAR,314.2 -> 85.1,CAR(10:1)
34,CAR,316.2 -> 60.1,CAR(10:0)_QUAL
35,CAR,316.2 -> 85.1,CAR(10:0)
36,CAR,330.3 -> 60.1,CAR(11:0)_QUAL
37,CAR,330.3 -> 85.1,CAR(11:0)
38,CAR,344.3 -> 60.1,CAR(12:0)_QUAL
39,CAR,344.3 -> 85.1,CAR(12:0)
40,CAR,368.3 -> 60.1,CAR(14:2)_QUAL
42,CAR,370.3 -> 60.1,CAR(14:1)_QUAL
44,CAR,372.3 -> 60.1,CAR(14:0)_QUAL
46,CAR,396.3 -> 60.1,CAR(16:2)_QUAL
48,CAR,398.3 -> 60.1,CAR(16:1)_QUAL
50,CAR,400.3 -> 60.1,CAR(16:0)_QUAL
52,CAR,414.4 -> 60.1,CAR(17:0)_QUAL
54,CAR,420.3 -> 60.1,CAR(18:4)_QUAL
56,CAR,422.3 -> 60.1,CAR(18:3)_QUAL
57,CAR,422.3 -> 85.1,CAR(18:3)
58,CAR,424.3 -> 60.1,CAR(18:2)_QUAL
60,CAR,426.4 -> 60.1,CAR(18:1)_QUAL
62,CAR,428.4 -> 60.1,CAR(18:0)_QUAL
64,CAR,448.3 -> 60.1,CAR(20:4)_QUAL
66,CAR,452.4 -> 60.1,CAR(20:2)_QUAL
68,CAR,454.4 -> 60.1,CAR(20:1)_QUAL
70,CAR,456.4 -> 60.1,CAR(20:0)_QUAL
72,CAR,472.4 -> 60.1,CAR(22:6)_QUAL
74,CAR,474.4 -> 60.1,CAR(22:5)_QUAL
76,CAR,476.4 -> 60.1,CAR(22:4)_QUAL
78,CAR,480.4 -> 60.1,CAR(22:2)_QUAL
80,CAR,484.4 -> 60.1,CAR(22:0)_QUAL
82,CAR,540.5 -> 60.1,CAR(26:0)_QUAL
86,Cer,428.4 -> 182.4,Cer(d12:0/14:0)
89,Cer,496.5 -> 222.4,Cer(d15:1/16:0)
90,Cer,498.5 -> 266.4,Cer(d18:0/13:0)
94,Cer,510.5 -> 264.4,Cer(d18:1/14:0)
96,Cer,522.5 -> 262.4,Cer(d18:2/15:0)
97,Cer,524.5 -> 236.4,Cer(d16:1/17:0)
98,Cer,526.5 -> 266.4,Cer(d18:0/15:0)
103,Cer,550.5 -> 220.4,"Cer(d15:2(4E,6E)/20:0)"
104,Cer,552.5 -> 264.4,Cer(d18:1/17:0)
105,Cer,554.6 -> 266.4,Cer(d18:0/17:0)
111,Cer,570.5 -> 266.4,Cer(d18:0/h17:0)
112,Cer,578.6 -> 220.4,"Cer(d15:2(4E,6E)/22:0)"
113,Cer,580.6 -> 264.4,Cer(d18:1/19:0)
114,Cer,582.6 -> 266.4,Cer(d18:0/19:0)
120,Cer,606.6 -> 262.4,Cer(d18:2/21:0)
121,Cer,608.6 -> 236.4,Cer(d16:1/23:0)
122,Cer,610.6 -> 266.4,Cer(d18:0/21:0)
128,Cer,634.6 -> 262.4,Cer(d18:2/23:0)
129,Cer,636.6 -> 264.4,Cer(d18:1/23:0)
130,Cer,638.6 -> 266.4,Cer(d18:0/23:0)
137,Cer,662.6 -> 262.4,Cer(d18:2/25:0)
138,SM,663.5 -> 184.1,SM(d18:0/13:0)
139,Cer,664.7 -> 264.4,Cer(d18:1/25:0)
140,Cer,666.7 -> 266.4,Cer(d18:0/25:0)
149,SM,687.5 -> 184.1,SM(d18:2/15:0)
150,SM,689.6 -> 184.1,SM(d16:1/17:0)
151,Cer,690.7 -> 262.4,Cer(d18:2/27:0)
152,SM,691.6 -> 184.1,SM(d18:0/15:0)
153,Cer,692.7 -> 264.4,Cer(d18:1/27:0)
154,Cer,694.7 -> 266.4,Cer(d18:0/27:0)
159,Cer,704.7 -> 262.4,Cer(d18:2/28:0)
161,Cer,706.7 -> 264.4,Cer(d18:1/28:0)
162,Cer,708.7 -> 294.4,Cer(d20:0/26:0)
163,SM,717.6 -> 184.1,SM(d18:1/17:0)
164,Cer,718.7 -> 262.4,Cer(d18:2/29:0)
165,SM,719.6 -> 184.1,SM(d18:0/17:0)
166,Cer,720.7 -> 264.4,Cer(d18:1/29:0)
167,Cer,722.7 -> 266.4,Cer(d18:0/29:0)
173,Cer,732.7 -> 262.4,Cer(d18:2/30:0)
175,Cer,734.7 -> 264.4,Cer(d18:1/30:0)
176,Cer,736.8 -> 266.4,Cer(d18:0/30:0)
177,SM,745.6 -> 184.1,SM(d18:1/19:0)
179,Cer,750.8 -> 266.4,Cer(d18:0/31:0)
185,Cer,760.8 -> 262.4,Cer(d18:2/32:0)
187,Cer,762.8 -> 264.4,Cer(d18:1/32:0)
188,Cer,764.8 -> 266.4,Cer(d18:0/32:0)
189,SM,771.6 -> 184.1,SM(d18:2/21:0)
190,SM,773.7 -> 184.1,SM(d16:1/23:0)
191,SM,775.7 -> 184.1,SM(d16:0/23:0)
197,Cer,790.8 -> 264.4,Cer(d18:1/34:0)
198,SM,799.7 -> 184.1,SM(d17:1/24:1)
199,SM,801.7 -> 184.1,SM(d16:1/25:0)
200,SM,803.7 -> 184.1,SM(d16:0/25:0)
206,SM,827.7 -> 184.1,SM(d17:1/26:1)
207,SM,829.7 -> 184.1,SM(d18:1/25:0)
218,Cer,956.9 -> 264.4,omega-linoleoyloxy-Cer(d18:1/26:0)
219,Cer,958.9 -> 266.4,omega-linoleoyloxy-Cer(d18:0/26:0)
220,Cer,970.9 -> 264.4,omega-linoleoyloxy-Cer(d18:1/27:0)
222,Cer,984.9 -> 264.4,omega-linoleoyloxy-Cer(d18:1/28:0)
223,Cer,986.9 -> 266.4,omega-linoleoyloxy-Cer(d18:0/28:0)
224,Cer,998.9 -> 264.4,omega-linoleoyloxy-Cer(d18:1/29:0)
225,Cer,1001.0 -> 280.4,omega-linoleoyloxy-Cer(d19:0/28:0)
227,Cer,1010.9 -> 262.4,omega-linoleoyloxy-Cer(d18:2/30:0)
228,Cer,1013.0 -> 264.4,omega-linoleoyloxy-Cer(d18:1/30:0)
229,Cer,1015.0 -> 266.4,omega-linoleoyloxy-Cer(d18:0/30:0)
230,Cer,1025.0 -> 262.4,omega-linoleoyloxy-Cer(d18:2/31:0)
231,Cer,1027.0 -> 264.4,omega-linoleoyloxy-Cer(d18:1/31:0)
232,Cer,1029.0 -> 266.4,omega-linoleoyloxy-Cer(d18:0/31:0)
233,Cer,1039.0 -> 262.4,omega-linoleoyloxy-Cer(d18:2/32:0)
234,Cer,1041.0 -> 264.4,omega-linoleoyloxy-Cer(d18:1/32:0)
235,Cer,1043.0 -> 266.4,omega-linoleoyloxy-Cer(d18:0/32:0)
236,Cer,1055.0 -> 264.4,omega-linoleoyloxy-Cer(d18:1/33:0)
237,Cer,1057.0 -> 266.4,omega-linoleoyloxy-Cer(d18:0/33:0)
238,Cer,1067.0 -> 262.4,omega-linoleoyloxy-Cer(d18:2/34:0)
239,Cer,1069.0 -> 264.4,omega-linoleoyloxy-Cer(d18:1/34:0)
240,Cer,1071.0 -> 266.4,omega-linoleoyloxy-Cer(d18:0/34:0)
241,Cer,1083.0 -> 264.4,omega-linoleoyloxy-Cer(d19:1/34:0)
242,Cer,1085.1 -> 280.4,omega-linoleoyloxy-Cer(d19:0/34:0)
243,Cer,1097.1 -> 292.4,omega-linoleoyloxy-Cer(d20:1/34:0)
244,Cer,1099.1 -> 294.4,omega-linoleoyloxy-Cer(d21:0/33:0)
245,Cer,1175.0 -> 264.4,omega-linoleoyloxy-GlcCer(d18:1/30:0)
273,CE,1089.0 -> 369.2,CE(46:3;O2)
274,CE,1117.1 -> 369.2,CE(48:3;O2)
275,CE,1145.1 -> 369.2,CE(50:3;O2)
276,CE,1173.1 -> 369.2,CE(52:3;O2)
277,DAG,474.4 -> 201.1,DG(24:0)_C16:0
278,DAG,502.4 -> 229.1,DG(26:0)_C16:0
279,DAG,526.4 -> 253.1,DG(28:2)_C16:0
280,DAG,528.5 -> 255.2,DG(28:1)_C16:0
281,DAG,540.5 -> 267.2,DG(29:2)_C16:0
282,DAG,542.5 -> 269.2,DG(29:1)_C16:0
283,DAG,544.5 -> 271.2,DG(29:0)_C16:0
284,DAG,552.5 -> 279.2,DG(30:3)_C16:0
285,DAG,554.5 -> 281.2,DG(30:2)_C16:0
286,DAG,556.5 -> 283.2,DG(30:1)_C16:0
287,DAG,558.5 -> 285.2,DG(30:0)_C16:0
288,DAG,566.5 -> 293.2,DG(31:3)_C16:0
289,DAG,568.5 -> 295.2,DG(31:2)|DG(P-14:0/18:1)_C16:0
290,DAG,570.5 -> 297.2,DG(31:1)_C16:0
291,DAG,572.5 -> 299.2,DG(31:0)_C16:0
292,DAG,576.5 -> 303.2,DG(32:5)_C16:0
293,DAG,580.5 -> 307.2,DG(32:3)_C16:0
294,DAG,582.5 -> 309.2,DG(32:2)_C16:0
295,DAG,584.5 -> 311.2,DG(32:1)_C16:0
296,DAG,586.5 -> 313.2,DG(32:0)_C16:0
297,DAG,590.5 -> 317.2,DG(33:5)_C16:0
298,DAG,592.5 -> 319.2,DG(33:4)_C16:0
299,DAG,594.5 -> 321.2,DG(33:3)_C16:0
300,DAG,596.5 -> 323.2,DG(33:2)_C16:0
301,DAG,598.6 -> 325.3,DG(33:1)|DG(O-34:1)_C16:0
302,DAG,600.6 -> 327.3,DG(33:0)_C16:0
303,DAG,602.5 -> 329.2,DG(34:6)_C16:0
304,DAG,604.5 -> 331.2,DG(34:5)_C16:0
305,DAG,606.6 -> 333.3,DG(34:4)|DG(dO-36:4)_C16:0
306,DAG,608.5 -> 335.2,DG(34:3)_C16:0
307,DAG,610.5 -> 337.2,DG(34:2)_C16:0
308,DAG,612.6 -> 339.3,DG(34:1)_C16:0
309,DAG,614.6 -> 341.3,DG(34:0)_C16:0
310,DAG,616.5 -> 343.2,DG(35:6)_C16:0
311,DAG,618.5 -> 345.2,DG(35:5)_C16:0
312,DAG,620.6 -> 347.3,DG(35:4)|DG(O-36:4)|DG(dO-37:4)_C16:0
313,DAG,622.5 -> 349.2,DG(35:3)_C16:0
314,DAG,624.6 -> 351.3,DG(dO-38:9)|DG(35:2)_C16:0
315,DAG,626.6 -> 353.3,DG(36:8)|DG(35:1)_C16:0
316,DAG,628.6 -> 355.3,DG(36:7)|DG(35:0)_C16:0
317,DAG,630.5 -> 357.2,DG(36:6)_C16:0
318,DAG,632.5 -> 359.2,DG(36:5)_C16:0
319,DAG,634.6 -> 361.3,DG(36:4)|DG(O-37:4)_C16:0
320,DAG,636.6 -> 363.3,DG(36:3)_C16:0
321,DAG,638.6 -> 365.3,DG(O-38:9)|DG(36:2)_C16:0
322,DAG,640.6 -> 367.3,DG(O-38:8)|DG(36:1)_C16:0
323,DAG,642.6 -> 369.3,DG(37:7)|DG(36:0)_C16:0
324,DAG,644.5 -> 371.2,DG(37:6)_C16:0
325,DAG,646.5 -> 373.2,DG(37:5)_C16:0
326,DAG,648.6 -> 375.3,DG(37:4)_C16:0
327,DAG,650.6 -> 377.3,DG(37:3)_C16:0
328,DAG,652.6 -> 379.3,DG(38:9)|DG(dO-40:9)|DG(37:2)_C16:0
329,DAG,654.6 -> 381.3,DG(38:8)|DG(dO-40:8)|DG(37:1)_C16:0
330,DAG,656.6 -> 383.3,DG(38:7)|DG(37:0)_C16:0
331,DAG,658.6 -> 385.3,DG(38:6)|DG(dO-40:6)_C16:0
332,DAG,660.6 -> 387.3,DG(38:5)_C16:0
333,DAG,662.6 -> 389.3,DG(38:4)_C16:0
334,DAG,664.6 -> 391.3,DG(38:3)_C16:0
335,DAG,666.6 -> 393.3,DG(O-40:9)|DG(38:2)_C16:0
336,DAG,668.6 -> 395.3,DG(39:8)|DG(O-40:8)|DG(38:1)_C16:0
337,DAG,670.7 -> 397.4,DG(39:7)|DG(38:0)|DG(dO-40:0)_C16:0
338,DAG,672.6 -> 399.3,DG(39:6)_C16:0
339,DAG,674.6 -> 401.3,DG(39:5)_C16:0
340,DAG,676.6 -> 403.3,DG(39:4)_C16:0
341,DAG,678.6 -> 405.3,DG(40:10)|DG(39:3)_C16:0
342,DAG,680.6 -> 407.3,DG(40:9)|DG(39:2)_C16:0
343,DAG,682.6 -> 409.3,[TG(38:1)]_FA16:0 | DG(40:8)|DG(39:1)_C16:0
344,DAG,684.7 -> 411.3,DG(40:7)|DG(39:0)_C16:0
345,DAG,686.7 -> 413.4,DG(40:6)|DG(dO-40:0)_C16:0
346,DAG,688.6 -> 415.3,DG(40:5)_C16:0
347,DAG,690.6 -> 417.3,DG(40:4)_C16:0
348,DAG,692.6 -> 419.3,DG(40:3)_C16:0
349,DAG,694.6 -> 421.3,DG(40:2)_C16:0
350,DAG,696.7 -> 423.3,DG(40:1)_C16:0
351,DAG,698.7 -> 425.4,DG(41:7)|DG(40:0)_C16:0
352,DAG,700.6 -> 427.3,DG(41:6)_C16:0
353,DAG,702.6 -> 429.3,DG(41:5)_C16:0
354,DAG,704.6 -> 431.3,DG(42:11)|DG(41:4)_C16:0
355,DAG,706.6 -> 433.3,DG(42:10)|DG(41:3)_C16:0
356,DAG,708.7 -> 435.3,DG(42:9)|DG(41:2)_C16:0
357,DAG,710.7 -> 437.4,DG(42:8)|DG(41:1)_C16:0
358,DAG,712.7 -> 439.4,DG(42:7)|DG(41:0)_C16:0
359,DAG,714.6 -> 441.3,DG(42:6)_C16:0
360,DAG,716.6 -> 443.3,DG(42:5)_C16:0
361,DAG,718.6 -> 445.3,DG(42:4)_C16:0
362,DAG,720.7 -> 447.3,DG(42:3)_C16:0
363,DAG,722.7 -> 449.4,DG(42:2)_C16:0
364,DAG,724.7 -> 451.4,DG(42:1)_C16:0
365,DAG,726.7 -> 453.4,[TG(41:0)]_FA16:0 | DG(42:0)_C16:0
366,DAG,728.6 -> 455.3,DG(43:6)_C16:0
367,DAG,730.6 -> 457.3,DG(44:12)|DG(43:5)_C16:0
368,DAG,732.7 -> 459.3,DG(44:11)|DG(43:4)_C16:0
369,DAG,734.7 -> 461.4,DG(44:10)|DG(43:3)_C16:0
370,DAG,736.7 -> 463.4,DG(44:9)|DG(43:2)_C16:0
371,DAG,738.7 -> 465.4,[TG(42:1)]_FA16:0 | DG(44:8)|DG(43:1)_C16:0
372,DAG,740.7 -> 467.4,[TG(42:0)]_FA16:0 | DG(44:7)|DG(43:0)_C16:0
373,DAG,742.6 -> 469.3,DG(44:6)_C16:0
374,DAG,744.7 -> 471.3,DG(44:5)_C16:0
375,DAG,746.7 -> 473.4,DG(44:4)_C16:0
376,DAG,748.7 -> 475.4,DG(44:3)_C16:0
377,DAG,750.7 -> 477.4,[TG(43:2)]_FA16:0 | DG(44:2)_C16:0
378,DAG,752.7 -> 479.4,[TG(43:1)]_FA16:0 | DG(44:1)_C16:0
379,DAG,754.7 -> 481.4,[TG(43:0)]_FA16:0 | DG(44:0)_C16:0
380,DAG,526.4 -> 255.1,DG(28:2)_C16:1
381,DAG,528.5 -> 257.2,DG(28:1)_C16:1
382,DAG,540.5 -> 269.2,DG(29:2)_C16:1
383,DAG,542.5 -> 271.2,DG(29:1)_C16:1
384,DAG,552.5 -> 281.2,DG(30:3)_C16:1
385,DAG,554.5 -> 283.2,DG(30:2)_C16:1
386,DAG,556.5 -> 285.2,DG(30:1)_C16:1
387,DAG,566.5 -> 295.2,DG(31:3)_C16:1
388,DAG,568.5 -> 297.2,DG(31:2)|DG(P-14:0/18:1)_C16:1
389,DAG,570.5 -> 299.2,DG(31:1)_C16:1
390,DAG,576.5 -> 305.2,DG(32:5)_C16:1
391,DAG,580.5 -> 309.2,DG(32:3)_C16:1
392,DAG,582.5 -> 311.2,DG(32:2)_C16:1
393,DAG,584.5 -> 313.2,DG(32:1)_C16:1
394,DAG,590.5 -> 319.2,DG(33:5)_C16:1
395,DAG,592.5 -> 321.2,DG(33:4)_C16:1
396,DAG,594.5 -> 323.2,DG(33:3)_C16:1
397,DAG,596.5 -> 325.2,DG(33:2)_C16:1
398,DAG,598.6 -> 327.3,DG(33:1)|DG(O-34:1)_C16:1
399,DAG,602.5 -> 331.2,DG(34:6)_C16:1
400,DAG,604.5 -> 333.2,DG(34:5)_C16:1
401,DAG,606.6 -> 335.3,DG(34:4)|DG(dO-36:4)_C16:1
402,DAG,608.5 -> 337.2,DG(34:3)_C16:1
403,DAG,610.5 -> 339.2,DG(34:2)_C16:1
404,DAG,612.6 -> 341.3,DG(34:1)_C16:1
405,DAG,616.5 -> 345.2,DG(35:6)_C16:1
406,DAG,618.5 -> 347.2,DG(35:5)_C16:1
407,DAG,620.6 -> 349.3,DG(35:4)|DG(O-36:4)|DG(dO-37:4)_C16:1
408,DAG,622.5 -> 351.2,DG(35:3)_C16:1
