,Unnamed: 0,Class,Transition,Lipid,LipidInfo,IsInNew
428,1122,TAG,822.8 -> 521.8,[TG(48:1)]_FA18:0,"({'[TG(48:1)]'}, 'FA18:0')",False
429,1123,TAG,822.8 -> 523.8,[TG(48:1)]_FA18:1,"({'[TG(48:1)]'}, 'FA18:1')",False
430,1124,TAG,822.8 -> 549.8,[TG(48:1)]_FA16:0,"({'[TG(48:1)]'}, 'FA16:0')",False
431,1125,TAG,822.8 -> 551.8,[TG(48:1)]_FA16:1,"({'[TG(48:1)]'}, 'FA16:1')",False
432,1126,TAG,824.8 -> 523.8,[TG(48:0)]_FA18:0,"({'[TG(48:0)]'}, 'FA18:0')",False
433,1127,TAG,824.8 -> 525.8,[TG(48:0)]_FA18:1,"({'[TG(48:0)]'}, 'FA18:1')",False
434,1128,TAG,824.8 -> 551.8,[TG(48:0)]_FA16:0,"({'[TG(48:0)]'}, 'FA16:0')",False
435,1129,TAG,824.8 -> 553.8,[TG(48:0)]_FA16:1,"({'[TG(48:0)]'}, 'FA16:1')",False
444,1138,TAG,850.8 -> 549.8,[TG(50:2)]_FA18:0,"({'[TG(50:2)]'}, 'FA18:0')",False
445,1139,TAG,850.8 -> 551.8,[TG(50:2)]_FA18:1,"({'[TG(50:2)]'}, 'FA18:1')",False
446,1140,TAG,850.8 -> 577.8,[TG(50:2)]_FA16:0,"({'[TG(50:2)]'}, 'FA16:0')",False
447,1141,TAG,850.8 -> 579.8,[TG(50:2)]_FA16:1,"({'[TG(50:2)]'}, 'FA16:1')",False
448,1142,TAG,852.8 -> 551.8,[TG(50:1)]_FA18:0,"({'[TG(50:1)]'}, 'FA18:0')",False
449,1143,TAG,852.8 -> 553.8,[TG(50:1)]_FA18:1,"({'[TG(50:1)]'}, 'FA18:1')",False
450,1144,TAG,852.8 -> 579.8,[TG(50:0)]_FA16:0,"({'[TG(50:0)]'}, 'FA16:0')",False
451,1145,TAG,852.8 -> 581.8,[TG(50:0)]_FA16:1,"({'[TG(50:0)]'}, 'FA16:1')",False
464,1158,TAG,874.8 -> 573.8,[TG(52:3)]_FA18:0,"({'[TG(52:3)]'}, 'FA18:0')",False
465,1159,TAG,874.8 -> 575.8,[TG(52:3)]_FA18:1,"({'[TG(52:3)]'}, 'FA18:1')",False
466,1160,TAG,874.8 -> 601.8,[TG(52:3)]_FA16:0,"({'[TG(52:3)]'}, 'FA16:0')",False
467,1161,TAG,874.8 -> 603.8,[TG(52:3)]_FA16:1,"({'[TG(52:3)]'}, 'FA16:1')",False
468,1162,TAG,876.8 -> 575.8,[TG(52:2)]_FA18:0,"({'[TG(52:2)]'}, 'FA18:0')",False
469,1163,TAG,876.8 -> 577.8,[TG(52:2)]_FA18:1,"({'[TG(52:2)]'}, 'FA18:1')",False
470,1164,TAG,876.8 -> 603.8,[TG(52:2)]_FA16:0,"({'[TG(52:2)]'}, 'FA16:0')",False
471,1165,TAG,876.8 -> 605.8,[TG(52:2)]_FA16:1,"({'[TG(52:2)]'}, 'FA16:1')",False
472,1166,TAG,878.8 -> 577.8,[TG(52:1)]_FA18:0,"({'[TG(52:1)]'}, 'FA18:0')",False
473,1167,TAG,878.8 -> 579.8,[TG(52:1)]_FA18:1,"({'[TG(52:1)]'}, 'FA18:1')",False
474,1168,TAG,878.8 -> 605.8,[TG(52:1)]_FA16:0,"({'[TG(52:1)]'}, 'FA16:0')",False
