IDs,Names,Lipid,Transition,Class
LMGL03012628,TG(12:0/12:0/14:0)[iso3],[TG(38:0)]_FA14:0,684.6 -> 439.4,TG
LMGL03013177,TG(12:0/13:0/14:0)[iso6],[TG(39:0)]_FA14:0,698.6 -> 453.4,TG
LMGL03013208,TG(12:0/14:0/14:1(9Z))[iso6],[TG(40:1)]_FA14:0,710.6 -> 465.4,TG
"LMGL03012660, LMGL03012691","TG(12:0/14:0/14:0)[iso3], TG(13:0/13:0/14:0)[iso3]",[TG(40:0)]_FA14:0,712.6 -> 467.4,TG
"LMGL03013672, LMGL03013210","TG(13:0/14:0/14:1(9Z))[iso6], TG(12:0/14:0/15:1(9Z))[iso6]",[TG(41:1)]_FA14:0,724.6 -> 479.4,TG
"LMGL03013209, LMGL03012722","TG(12:0/14:0/15:0)[iso6], TG(13:0/14:0/14:0)[iso3]",[TG(41:0)]_FA14:0,726.7 -> 481.5,TG
LMGL03012783,TG(14:0/14:1(9Z)/14:1(9Z))[iso3],[TG(42:2)]_FA14:0,736.6 -> 491.4,TG
"LMGL03012753, LMGL03013674, LMGL03013212","TG(14:0/14:0/14:1(9Z))[iso3], TG(13:0/14:0/15:1(9Z))[iso6], TG(12:0/14:0/16:1(9Z))[iso6]",[TG(42:1)]_FA14:0,738.7 -> 493.5,TG
"LMGL03013673, LMGL03013211, LMGL03012616","TG(13:0/14:0/15:0)[iso6], TG(12:0/14:0/16:0)[iso6], TG(14:0/14:0/14:0)",[TG(42:0)]_FA14:0,740.7 -> 495.5,TG
"LMGL03013215, LMGL03014138","TG(12:0/14:0/17:2(9Z,12Z))[iso6], TG(14:0/14:1(9Z)/15:1(9Z))[iso6]",[TG(43:2)]_FA14:0,750.7 -> 505.5,TG
"LMGL03013214, LMGL03014137, LMGL03012755, LMGL03013676","TG(12:0/14:0/17:1(9Z))[iso6], TG(14:0/14:1(9Z)/15:0)[iso6], TG(14:0/14:0/15:1(9Z))[iso3], TG(13:0/14:0/16:1(9Z))[iso6]",[TG(43:1)]_FA14:0,752.7 -> 507.5,TG
"LMGL03013675, LMGL03013213, LMGL03012754","TG(13:0/14:0/16:0)[iso6], TG(12:0/14:0/17:0)[iso6], TG(14:0/14:0/15:0)[iso3]",[TG(43:0)]_FA14:0,754.7 -> 509.5,TG
LMGL03013221,"TG(12:0/14:0/18:4(6Z,9Z,12Z,15Z))[iso6]",[TG(44:4)]_FA14:0,760.6 -> 515.4,TG
"LMGL03013219, LMGL03013220","TG(12:0/14:0/18:3(6Z,9Z,12Z))[iso6], TG(12:0/14:0/18:3(9Z,12Z,15Z))[iso6]",[TG(44:3)]_FA14:0,762.7 -> 517.5,TG
"LMGL03013218, LMGL03014140, LMGL03013679, LMGL03012785","TG(12:0/14:0/18:2(9Z,12Z))[iso6], TG(14:0/14:1(9Z)/16:1(9Z))[iso6], TG(13:0/14:0/17:2(9Z,12Z))[iso6], TG(14:0/15:1(9Z)/15:1(9Z))[iso3]",[TG(44:2)]_FA14:0,764.7 -> 519.5,TG
"LMGL03012757, LMGL03013678, LMGL03014139, LMGL03013217, LMGL03014166","TG(14:0/14:0/16:1(9Z))[iso3], TG(13:0/14:0/17:1(9Z))[iso6], TG(14:0/14:1(9Z)/16:0)[iso6], TG(12:0/14:0/18:1(9Z))[iso6], TG(14:0/15:0/15:1(9Z))[iso6]",[TG(44:1)]_FA14:0,766.7 -> 521.5,TG
"LMGL03013216, LMGL03012756, LMGL03013677, LMGL03012784, LMGL03020013","TG(12:0/14:0/18:0)[iso6], TG(14:0/14:0/16:0)[iso3], TG(13:0/14:0/17:0)[iso6], TG(14:0/15:0/15:0)[iso3], TG(O-14:0(13Me)_14:0(13Me)_14:0(13Me))",[TG(44:0)|TG(O-45:0)]_FA14:0,768.7 -> 523.5,TG
LMGL03013685,"TG(13:0/14:0/18:4(6Z,9Z,12Z,15Z))[iso6]",[TG(45:4)]_FA14:0,774.7 -> 529.5,TG
"LMGL03014143, LMGL03013683, LMGL03013684","TG(14:0/14:1(9Z)/17:2(9Z,12Z))[iso6], TG(13:0/14:0/18:3(6Z,9Z,12Z))[iso6], TG(13:0/14:0/18:3(9Z,12Z,15Z))[iso6]",[TG(45:3)]_FA14:0,776.7 -> 531.5,TG
"LMGL03014142, LMGL03013682, LMGL03012760, LMGL03014195","TG(14:0/14:1(9Z)/17:1(9Z))[iso6], TG(13:0/14:0/18:2(9Z,12Z))[iso6], TG(14:0/14:0/17:2(9Z,12Z))[iso3], TG(14:0/15:1(9Z)/16:1(9Z))[iso6]",[TG(45:2)]_FA14:0,778.7 -> 533.5,TG
"LMGL03012759, LMGL03014194, LMGL03013223, LMGL03014141, LMGL03014168, LMGL03013681","TG(14:0/14:0/17:1(9Z))[iso3], TG(14:0/15:1(9Z)/16:0)[iso6], TG(12:0/14:0/19:1(9Z))[iso6], TG(14:0/14:1(9Z)/17:0)[iso6], TG(14:0/15:0/16:1(9Z))[iso6], TG(13:0/14:0/18:1(9Z))[iso6]",[TG(45:1)]_FA14:0,780.7 -> 535.5,TG
"LMGL03014167, LMGL03012758, LMGL03013222, LMGL03013680","TG(14:0/15:0/16:0)[iso6], TG(14:0/14:0/17:0)[iso3], TG(12:0/14:0/19:0)[iso6], TG(13:0/14:0/18:0)[iso6]",[TG(45:0)]_FA14:0,782.7 -> 537.5,TG
"LMGL03013229, LMGL03014149","TG(12:0/14:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6], TG(14:0/14:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6]",[TG(46:5)]_FA14:0,786.7 -> 541.5,TG
"LMGL03014147, LMGL03014148, LMGL03012766, LMGL03013228","TG(14:0/14:1(9Z)/18:3(6Z,9Z,12Z))[iso6], TG(14:0/14:1(9Z)/18:3(9Z,12Z,15Z))[iso6], TG(14:0/14:0/18:4(6Z,9Z,12Z,15Z))[iso3], TG(12:0/14:0/20:4(5Z,8Z,11Z,14Z))[iso6]",[TG(46:4)]_FA14:0,788.7 -> 543.5,TG
"LMGL03012765, LMGL03012764, LMGL03014198, LMGL03014146, LMGL03013227","TG(14:0/14:0/18:3(9Z,12Z,15Z))[iso3], TG(14:0/14:0/18:3(6Z,9Z,12Z))[iso3], TG(14:0/15:1(9Z)/17:2(9Z,12Z))[iso6], TG(14:0/14:1(9Z)/18:2(9Z,12Z))[iso6], TG(12:0/14:0/20:3(8Z,11Z,14Z))[iso6]",[TG(46:3)]_FA14:0,790.7 -> 545.5,TG
"LMGL03012787, LMGL03014145, LMGL03014171, LMGL03014197, LMGL03013226, LMGL03012763","TG(14:0/16:1(9Z)/16:1(9Z))[iso3], TG(14:0/14:1(9Z)/18:1(9Z))[iso6], TG(14:0/15:0/17:2(9Z,12Z))[iso6], TG(14:0/15:1(9Z)/17:1(9Z))[iso6], TG(12:0/14:0/20:2(11Z,14Z))[iso6], TG(14:0/14:0/18:2(9Z,12Z))[iso3]",[TG(46:2)]_FA14:0,792.7 -> 547.5,TG
"LMGL03013225, LMGL03014144, LMGL03014170, LMGL03012762, LMGL03014196, LMGL03014221, LMGL03013687","TG(12:0/14:0/20:1(11Z))[iso6], TG(14:0/14:1(9Z)/18:0)[iso6], TG(14:0/15:0/17:1(9Z))[iso6], TG(14:0/14:0/18:1(9Z))[iso3], TG(14:0/15:1(9Z)/17:0)[iso6], TG(14:0/16:0/16:1(9Z))[iso6], TG(13:0/14:0/19:1(9Z))[iso6]",[TG(46:1)]_FA14:0,794.7 -> 549.5,TG
"LMGL03012761, LMGL03014169, LMGL03012786, LMGL03013224, LMGL03013686","TG(14:0/14:0/18:0)[iso3], TG(14:0/15:0/17:0)[iso6], TG(14:0/16:0/16:0)[iso3], TG(12:0/14:0/20:0)[iso6], TG(13:0/14:0/19:0)[iso6]",[TG(46:0)]_FA14:0,796.7 -> 551.5,TG
"LMGL03014204, LMGL03013693","TG(14:0/15:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6], TG(13:0/14:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso6]",[TG(47:5)]_FA14:0,800.7 -> 555.5,TG
"LMGL03013692, LMGL03014203, LMGL03014177, LMGL03014202","TG(13:0/14:0/20:4(5Z,8Z,11Z,14Z))[iso6], TG(14:0/15:1(9Z)/18:3(9Z,12Z,15Z))[iso6], TG(14:0/15:0/18:4(6Z,9Z,12Z,15Z))[iso6], TG(14:0/15:1(9Z)/18:3(6Z,9Z,12Z))[iso6]",[TG(47:4)]_FA14:0,802.7 -> 557.5,TG
