,Lipid,Parent_Ion,Product_Ion,Sample_ID,Transition,OzESI_Intensity,Retention_Time,n-7,n-9,n-10,n-12,db_pos
3,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_DOD94_F3_WT_cereb_O3on_01,900.8 -> 601.5,35436.0,14.24,818.8,790.8,776.8,748.8,
4,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_DOD94_F3_WT_cereb_O3on_01,902.8 -> 603.5,180245.0,15.75,820.8,792.8,778.8,750.8,
5,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_DOD94_F3_WT_cereb_O3on_01,904.8 -> 605.5,47688.0,17.26,822.8,794.8,780.8,752.8,
9,[TG(54:5)]_FA18:1,898.8,599.5,11282023_DOD94_F3_WT_cortex_O3on_01,898.8 -> 599.5,11254.0,12.75,816.8,788.8,774.8,746.8,
10,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_DOD94_F3_WT_cortex_O3on_01,900.8 -> 601.5,61292.0,14.24,818.8,790.8,776.8,748.8,
11,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_DOD94_F3_WT_cortex_O3on_01,902.8 -> 603.5,188305.0,15.75,820.8,792.8,778.8,750.8,
12,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_DOD94_F3_WT_cortex_O3on_01,904.8 -> 605.5,45567.0,17.26,822.8,794.8,780.8,752.8,
18,[TG(50:3)]_FA18:1,846.8,547.5,11282023_DOD94_F3_WT_dienc_O3on_01,846.8 -> 547.5,22443.0,12.75,764.8,736.8,722.8,694.8,
19,[TG(54:5)]_FA18:1,898.8,599.5,11282023_DOD94_F3_WT_dienc_O3on_01,898.8 -> 599.5,30339.0,12.75,816.8,788.8,774.8,746.8,
20,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_DOD94_F3_WT_dienc_O3on_01,900.8 -> 601.5,120474.0,14.24,818.8,790.8,776.8,748.8,
21,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_DOD94_F3_WT_dienc_O3on_01,902.8 -> 603.5,320354.0,15.75,820.8,792.8,778.8,750.8,
22,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_DOD94_F3_WT_dienc_O3on_01,904.8 -> 605.5,88377.0,17.26,822.8,794.8,780.8,752.8,
26,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_DOD94_F3_WT_hippo_O3on_01,900.8 -> 601.5,39277.0,14.24,818.8,790.8,776.8,748.8,
27,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_DOD94_F3_WT_hippo_O3on_01,902.8 -> 603.5,258362.0,15.75,820.8,792.8,778.8,750.8,
28,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_DOD94_F3_WT_hippo_O3on_01,904.8 -> 605.5,66420.0,17.26,822.8,794.8,780.8,752.8,
33,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD184_F3_WT_cereb_O3on_01,900.8 -> 601.5,37018.0,14.24,818.8,790.8,776.8,748.8,
34,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD184_F3_WT_cereb_O3on_01,902.8 -> 603.5,186327.0,15.75,820.8,792.8,778.8,750.8,
35,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD184_F3_WT_cereb_O3on_01,904.8 -> 605.5,61383.0,17.26,822.8,794.8,780.8,752.8,
41,[TG(50:3)]_FA18:1,846.8,547.5,11282023_FAD184_F3_WT_cortex_O3on_01,846.8 -> 547.5,27905.0,12.75,764.8,736.8,722.8,694.8,
42,[TG(54:5)]_FA18:1,898.8,599.5,11282023_FAD184_F3_WT_cortex_O3on_01,898.8 -> 599.5,56097.0,12.75,816.8,788.8,774.8,746.8,
43,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD184_F3_WT_cortex_O3on_01,900.8 -> 601.5,228737.0,14.24,818.8,790.8,776.8,748.8,
44,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD184_F3_WT_cortex_O3on_01,902.8 -> 603.5,387878.0,15.75,820.8,792.8,778.8,750.8,
45,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD184_F3_WT_cortex_O3on_01,904.8 -> 605.5,78146.0,17.26,822.8,794.8,780.8,752.8,
49,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD184_F3_WT_dienc_O3on_01,900.8 -> 601.5,34288.0,14.24,818.8,790.8,776.8,748.8,
50,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD184_F3_WT_dienc_O3on_01,902.8 -> 603.5,146295.0,15.75,820.8,792.8,778.8,750.8,
51,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD184_F3_WT_dienc_O3on_01,904.8 -> 605.5,37807.0,17.26,822.8,794.8,780.8,752.8,
55,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD184_F3_WT_hippo_O3on_01,900.8 -> 601.5,25962.0,14.24,818.8,790.8,776.8,748.8,
56,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD184_F3_WT_hippo_O3on_01,902.8 -> 603.5,159020.0,15.75,820.8,792.8,778.8,750.8,
57,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD184_F3_WT_hippo_O3on_01,904.8 -> 605.5,67684.0,17.26,822.8,794.8,780.8,752.8,
61,[TG(50:3)]_FA18:1,846.8,547.5,11282023_FAD184_F4_WT_cereb_O3on_01,846.8 -> 547.5,17078.0,14.24,764.8,736.8,722.8,694.8,
62,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD184_F4_WT_cereb_O3on_01,900.8 -> 601.5,40251.0,14.24,818.8,790.8,776.8,748.8,
63,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD184_F4_WT_cereb_O3on_01,902.8 -> 603.5,170412.0,15.75,820.8,792.8,778.8,750.8,
64,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD184_F4_WT_cereb_O3on_01,904.8 -> 605.5,50260.0,17.26,822.8,794.8,780.8,752.8,
66,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD184_F4_WT_cortex_O3on_01,900.8 -> 601.5,20356.0,14.24,818.8,790.8,776.8,748.8,
67,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD184_F4_WT_cortex_O3on_01,902.8 -> 603.5,102627.0,15.75,820.8,792.8,778.8,750.8,
68,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD184_F4_WT_cortex_O3on_01,904.8 -> 605.5,27331.0,17.26,822.8,794.8,780.8,752.8,
71,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD184_F4_WT_dienc_O3on_01,900.8 -> 601.5,26926.0,14.24,818.8,790.8,776.8,748.8,
72,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD184_F4_WT_dienc_O3on_01,902.8 -> 603.5,152598.0,15.75,820.8,792.8,778.8,750.8,
73,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD184_F4_WT_dienc_O3on_01,904.8 -> 605.5,50229.0,17.26,822.8,794.8,780.8,752.8,
75,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD184_F4_WT_hippo_O3on_01,900.8 -> 601.5,10299.0,14.24,818.8,790.8,776.8,748.8,
76,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD184_F4_WT_hippo_O3on_01,902.8 -> 603.5,91552.0,15.75,820.8,792.8,778.8,750.8,
77,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD184_F4_WT_hippo_O3on_01,904.8 -> 605.5,25686.0,17.26,822.8,794.8,780.8,752.8,
79,"[TG(42:2)]_FA18:1 | DG(44:9),DG(43:2)_C18:1",736.6,437.3,11282023_FAD185_M4_WT_cereb_O3on_01,736.6 -> 437.3,13466.0,12.76,654.6,626.6,612.6,584.6,
81,[TG(45:3)]_FA16:1,776.7,505.4,11282023_FAD185_M4_WT_cereb_O3on_01,776.7 -> 505.4,11778.0,12.75,694.7,666.7,652.7,624.7,
95,[TG(50:3)]_FA18:1,846.8,547.5,11282023_FAD185_M4_WT_cereb_O3on_01,846.8 -> 547.5,61470.0,12.75,764.8,736.8,722.8,694.8,
96,[TG(52:5)]_FA16:1,870.8,599.5,11282023_FAD185_M4_WT_cereb_O3on_01,870.8 -> 599.5,42528.0,12.75,788.8,760.8,746.8,718.8,
97,[TG(54:6)]_FA18:1,896.8,597.5,11282023_FAD185_M4_WT_cereb_O3on_01,896.8 -> 597.5,18764.0,12.75,814.8,786.8,772.8,744.8,
98,[TG(54:5)]_FA18:1,898.8,599.5,11282023_FAD185_M4_WT_cereb_O3on_01,898.8 -> 599.5,239698.0,12.75,816.8,788.8,774.8,746.8,
99,"[TG(55:11),TG(54:4)]_FA18:1",900.8,601.5,11282023_FAD185_M4_WT_cereb_O3on_01,900.8 -> 601.5,834295.0,14.24,818.8,790.8,776.8,748.8,
100,"[TG(55:10),TG(54:3)]_FA18:1",902.8,603.5,11282023_FAD185_M4_WT_cereb_O3on_01,902.8 -> 603.5,1466778.0,15.75,820.8,792.8,778.8,750.8,
101,"[TG(55:9),TG(54:2)]_FA18:1",904.8,605.5,11282023_FAD185_M4_WT_cereb_O3on_01,904.8 -> 605.5,341389.0,17.26,822.8,794.8,780.8,752.8,
102,"[TG(55:8),TG(54:1)]_FA18:1",906.8,607.5,11282023_FAD185_M4_WT_cereb_O3on_01,906.8 -> 607.5,28396.0,17.26,824.8,796.8,782.8,754.8,
103,"[TG(56:11),TG(55:4)]_FA18:1",914.8,615.5,11282023_FAD185_M4_WT_cereb_O3on_01,914.8 -> 615.5,10313.0,15.75,832.8,804.8,790.8,762.8,
104,"[TG(56:10),TG(55:3)]_FA18:1",916.8,617.5,11282023_FAD185_M4_WT_cereb_O3on_01,916.8 -> 617.5,22182.0,15.75,834.8,806.8,792.8,764.8,
105,"[TG(57:11),TG(56:4)]_FA18:1",928.8,629.5,11282023_FAD185_M4_WT_cereb_O3on_01,928.8 -> 629.5,43059.0,15.74,846.8,818.8,804.8,776.8,
106,"[TG(57:10),TG(56:3)]_FA18:1",930.6,631.5,11282023_FAD185_M4_WT_cereb_O3on_01,930.6 -> 631.5,19445.0,17.25,848.6,820.6,806.6,778.6,
107,"[TG(57:9),TG(56:2)]_FA18:1",932.9,633.6,11282023_FAD185_M4_WT_cereb_O3on_01,932.9 -> 633.6,31254.0,17.25,850.9,822.9,808.9,780.9,
115,[TG(50:3)]_FA18:1,846.8,547.5,11282023_FAD185_M4_WT_cortex_O3on_01,846.8 -> 547.5,33948.0,12.75,764.8,736.8,722.8,694.8,
116,[TG(52:5)]_FA16:1,870.8,599.5,11282023_FAD185_M4_WT_cortex_O3on_01,870.8 -> 599.5,21808.0,11.26,788.8,760.8,746.8,718.8,
117,[TG(54:6)]_FA18:1,896.8,597.5,11282023_FAD185_M4_WT_cortex_O3on_01,896.8 -> 597.5,11618.0,12.75,814.8,786.8,772.8,744.8,
