Class,Lipid,OzESI_Intensity,Precursor_Ion,Product_Ion,Retention_Time,Sample_ID,Transition,n-7,n-9,n-12,db_pos,Ratio
DG,DG(32:0)_C16:0,14237.0,586.5,313.2,10.03,A-T0-0-BDL-r001,586.5 -> 313.2,504.5,476.5,434.5,,
DG,DG(34:1)_C18:1,9423.0,612.6,313.3,10.07,A-T0-0-BDL-r001,612.6 -> 313.3,530.6,502.6,460.6,,
DG,DG(34:2)_C18:2,1722.0,610.5,313.2,10.09,A-T0-0-BDL-r001,610.5 -> 313.2,528.5,500.5,458.5,,
DG,DG(36:1)_C18:1,2424.0,640.6,341.3,10.26,A-T0-0-BDL-r001,640.6 -> 341.3,558.6,530.6,488.6,,
DG,DG(36:2)_C18:1,11216.0,638.6,339.3,10.1,A-T0-0-BDL-r001,638.6 -> 339.3,556.6,528.6,486.6,,
DG,DG(36:2)_C18:2,2115.0,638.6,341.3,10.13,A-T0-0-BDL-r001,638.6 -> 341.3,556.6,528.6,486.6,,
DG,DG(36:3)_C18:2,2167.0,636.6,339.3,10.02,A-T0-0-BDL-r001,636.6 -> 339.3,554.6,526.6,484.6,,
TG,TG(48:0)]_FA16:0,41223.0,824.8,551.5,11.39,A-T0-0-BDL-r001,824.8 -> 551.5,742.8,714.8,672.8,,
TG,TG(48:0)]_FA18:0,4148.0,824.8,523.5,11.39,A-T0-0-BDL-r001,824.8 -> 523.5,742.8,714.8,672.8,,
TG,TG(48:1)]_FA16:1,26772.0,822.8,551.5,11.24,A-T0-0-BDL-r001,822.8 -> 551.5,740.8,712.8,670.8,,
TG,TG(48:1)]_FA18:1,11403.0,822.8,523.5,11.21,A-T0-0-BDL-r001,822.8 -> 523.5,740.8,712.8,670.8,,
TG,TG(49:1)]_FA16:0,5742.0,836.8,563.5,11.37,A-T0-0-BDL-r001,836.8 -> 563.5,754.8,726.8,684.8,,
TG,TG(49:1)]_FA16:1,8532.0,836.8,565.5,11.31,A-T0-0-BDL-r001,836.8 -> 565.5,754.8,726.8,684.8,,
TG,TG(49:1)]_FA18:1,2801.0,836.8,537.5,11.37,A-T0-0-BDL-r001,836.8 -> 537.5,754.8,726.8,684.8,,
TG,TG(49:2)]_FA16:1,18405.0,834.8,563.5,11.18,A-T0-0-BDL-r001,834.8 -> 563.5,752.8,724.8,682.8,,
TG,TG(49:2)]_FA18:1,9465.0,834.8,535.5,11.17,A-T0-0-BDL-r001,834.8 -> 535.5,752.8,724.8,682.8,,
TG,TG(49:2)]_FA18:2,4709.0,834.8,537.5,11.2,A-T0-0-BDL-r001,834.8 -> 537.5,752.8,724.8,682.8,,
TG,TG(50:0)]_FA18:0,7166.0,852.8,551.5,11.61,A-T0-0-BDL-r001,852.8 -> 551.5,770.8,742.8,700.8,,
TG,TG(50:1)]_FA14:0,1740.0,850.8,605.5,11.42,A-T0-0-BDL-r001,850.8 -> 605.5,768.8,740.8,698.8,,
TG,TG(50:1)]_FA16:0,36754.0,850.8,577.5,11.42,A-T0-0-BDL-r001,850.8 -> 577.5,768.8,740.8,698.8,,
TG,TG(50:1)]_FA18:1,18887.0,850.8,551.5,11.41,A-T0-0-BDL-r001,850.8 -> 551.5,768.8,740.8,698.8,,
TG,TG(50:2)]_FA14:0,3423.0,848.8,603.5,11.24,A-T0-0-BDL-r001,848.8 -> 603.5,766.8,738.8,696.8,,
TG,TG(50:2)]_FA16:1,20178.0,848.8,577.5,11.27,A-T0-0-BDL-r001,848.8 -> 577.5,766.8,738.8,696.8,,
TG,TG(50:2)]_FA18:1,16910.0,848.8,549.5,11.26,A-T0-0-BDL-r001,848.8 -> 549.5,766.8,738.8,696.8,,
TG,TG(50:2)]_FA18:2,12054.0,848.8,551.5,11.26,A-T0-0-BDL-r001,848.8 -> 551.5,766.8,738.8,696.8,,
TG,TG(51:0)]_FA16:0,1143.0,866.7,593.4,11.71,A-T0-0-BDL-r001,866.7 -> 593.4,784.7,756.7,714.7,,
TG,TG(51:1)]_FA16:0,630.0,864.8,591.5,12.02,A-T0-0-BDL-r001,864.8 -> 591.5,782.8,754.8,712.8,,
TG,TG(51:1)]_FA18:1,446.0,864.8,565.5,11.6,A-T0-0-BDL-r001,864.8 -> 565.5,782.8,754.8,712.8,,
TG,TG(51:2)]_FA16:0,3588.0,862.8,589.5,11.37,A-T0-0-BDL-r001,862.8 -> 589.5,780.8,752.8,710.8,,
TG,TG(51:2)]_FA18:1,6357.0,862.8,563.5,11.37,A-T0-0-BDL-r001,862.8 -> 563.5,780.8,752.8,710.8,,
TG,TG(52:1)]_FA18:0,11038.0,878.8,577.5,11.63,A-T0-0-BDL-r001,878.8 -> 577.5,796.8,768.8,726.8,,
TG,TG(52:1)]_FA18:1,8451.0,878.8,579.5,11.63,A-T0-0-BDL-r001,878.8 -> 579.5,796.8,768.8,726.8,,
TG,TG(52:2)]_FA16:0,25111.0,876.8,603.5,11.44,A-T0-0-BDL-r001,876.8 -> 603.5,794.8,766.8,724.8,,
TG,TG(52:2)]_FA18:2,8784.0,876.8,579.5,11.45,A-T0-0-BDL-r001,876.8 -> 579.5,794.8,766.8,724.8,,
TG,TG(52:3)]_FA16:1,5795.0,874.8,603.5,11.29,A-T0-0-BDL-r001,874.8 -> 603.5,792.8,764.8,722.8,,
TG,TG(52:3)]_FA18:2,25683.0,874.8,577.5,11.26,A-T0-0-BDL-r001,874.8 -> 577.5,792.8,764.8,722.8,,
TG,TG(53:2)]_FA18:1,2208.0,890.8,591.5,11.53,A-T0-0-BDL-r001,890.8 -> 591.5,808.8,780.8,738.8,,
TG,TG(53:3)]_FA18:1,1603.0,888.8,589.5,11.4,A-T0-0-BDL-r001,888.8 -> 589.5,806.8,778.8,736.8,,
TG,TG(53:4)]_FA18:2,2846.0,886.8,589.5,11.22,A-T0-0-BDL-r001,886.8 -> 589.5,804.8,776.8,734.8,,
TG,TG(54:0)]_FA18:0,4550.0,908.8,607.5,12.03,A-T0-0-BDL-r001,908.8 -> 607.5,826.8,798.8,756.8,,
TG,TG(54:1)]_FA18:1,3324.0,906.8,607.5,11.86,A-T0-0-BDL-r001,906.8 -> 607.5,824.8,796.8,754.8,,
TG,TG(54:2)]_FA18:0,11132.0,904.8,603.5,11.65,A-T0-0-BDL-r001,904.8 -> 603.5,822.8,794.8,752.8,,
,TG(54:3)]_FA18:1,3111.0,820.8,577.5,11.08,A-T0-0-BDL-r001,820.8 -> 577.5,738.8,710.8,668.8,n-7,
TG,TG(54:3)]_FA18:1,25971.0,902.8,603.5,11.45,A-T0-0-BDL-r001,902.8 -> 603.5,820.8,792.8,750.8,,
,TG(54:3)]_FA18:2,3111.0,820.8,577.5,11.08,A-T0-0-BDL-r001,820.8 -> 577.5,738.8,710.8,668.8,n-7,
TG,TG(54:3)]_FA18:2,10335.0,902.8,605.5,11.46,A-T0-0-BDL-r001,902.8 -> 605.5,820.8,792.8,750.8,,
TG,TG(54:4)]_FA18:2,28639.0,900.8,603.5,11.28,A-T0-0-BDL-r001,900.8 -> 603.5,818.8,790.8,748.8,,
,TG(54:4)]_FA18:2,29310.0,818.8,818.8,10.95,A-T0-0-BDL-r001,818.8 -> 818.8,736.8,708.8,666.8,n-7,
,TG(57:2)]_FA22:6,3777.0,836.8,551.5,11.32,A-T0-0-BDL-r001,836.8 -> 551.5,754.8,726.8,684.8,n-9,1.01
,TG(57:2)]_FA22:6,3747.0,864.8,577.5,11.51,A-T0-0-BDL-r001,864.8 -> 577.5,782.8,754.8,712.8,n-7,
,TG(57:3)]_FA22:6,3313.0,862.8,575.5,11.34,A-T0-0-BDL-r001,862.8 -> 575.5,780.8,752.8,710.8,n-7,
TG,[TG(48:2)]_FA14:0,7324.0,820.8,575.5,11.07,A-T0-0-BDL-r001,820.8 -> 575.5,738.8,710.8,668.8,,
TG,[TG(48:2)]_FA16:1,42612.0,820.8,549.5,11.08,A-T0-0-BDL-r001,820.8 -> 549.5,738.8,710.8,668.8,,
TG,[TG(48:2)]_FA18:2,5088.0,820.8,523.5,11.1,A-T0-0-BDL-r001,820.8 -> 523.5,738.8,710.8,668.8,,
TG,[TG(48:3)]_FA14:0,1141.0,818.8,573.5,10.94,A-T0-0-BDL-r001,818.8 -> 573.5,736.8,708.8,666.8,,
TG,[TG(48:3)]_FA16:1,17185.0,818.8,547.5,10.95,A-T0-0-BDL-r001,818.8 -> 547.5,736.8,708.8,666.8,,
TG,[TG(50:3)]_FA14:0,2578.0,846.8,601.5,11.08,A-T0-0-BDL-r001,846.8 -> 601.5,764.8,736.8,694.8,,
TG,[TG(50:3)]_FA16:1,16878.0,846.8,575.5,11.11,A-T0-0-BDL-r001,846.8 -> 575.5,764.8,736.8,694.8,,
TG,[TG(50:3)]_FA18:2,7991.0,846.8,549.5,11.13,A-T0-0-BDL-r001,846.8 -> 549.5,764.8,736.8,694.8,,
