,Lipid,Parent_Ion,Product_Ion,Total_Intensity,Average_Retention_Time
0,Unknown,584.4,437.3,91822.34660720825,0.7546635642135642
1,Unknown,584.4,437.3,71299.40500640869,2.2422919867947178
2,Unknown,584.4,437.3,71059.72494506836,3.7521255602240897
3,Unknown,584.4,437.3,71038.00510025024,5.2619597338935575
4,Unknown,584.4,437.3,68693.4847869873,6.749589156874872
5,Unknown,584.4,437.3,71326.76497650146,8.237220558223289
6,Unknown,584.4,437.3,70892.88496017456,9.747055202080833
7,Unknown,584.4,437.3,71820.26504898071,11.256890036014406
8,Unknown,584.4,437.3,74782.10530090332,12.76672424969988
9,Unknown,584.4,437.3,70631.48494338989,14.254355699855699
10,Unknown,584.4,437.3,71217.38494873047,15.74198675470188
11,Unknown,584.4,437.3,71862.58512878418,17.251821838735495
12,Unknown,584.4,437.3,71787.24503707886,18.7616568627451
13,Unknown,584.4,437.3,70415.2848854065,20.249288723974438
14,Unknown,584.4,437.3,71728.16505813599,21.736919277711085
15,Unknown,584.4,437.3,71216.76491165161,23.246753131252497
16,Unknown,584.4,437.3,45725.563205718994,24.491216450617284
17,Unknown,612.4,437.3,73950.20527267456,0.7543689239332096
18,Unknown,612.4,437.3,71139.58506774902,2.2419975490196076
19,Unknown,612.4,437.3,70638.48500442505,3.7518310824329735
20,Unknown,612.4,437.3,94545.16660690308,5.261665126050421
21,Unknown,612.4,437.3,108873.30771255493,6.74929472273758
22,Unknown,612.4,437.3,75503.18531036377,8.236925780312125
23,Unknown,612.4,437.3,70867.66502761841,9.746760574229691
24,Unknown,612.4,437.3,71205.66495895386,11.256595538215286
25,Unknown,612.4,437.3,71947.72507858276,12.76642962184874
26,Unknown,612.4,437.3,69749.0048828125,14.25406103896104
27,Unknown,612.4,437.3,71241.4250907898,15.741692316926772
28,Unknown,612.4,437.3,70473.58498382568,17.251527200880354
29,Unknown,612.4,437.3,71443.60501480103,18.761362314925968
30,Unknown,612.4,437.3,69225.6448059082,20.248994217687077
