IDs,Names,Lipid,Transition,Class
,,[TG(48:0)]_FA16:1,824.8 -> 553.8,TG
"LMGL03015707, LMGL03010064, LMGL03010065, LMGL03014261, LMGL03010047, LMGL03013368, LMGL03014666","TG(16:0/16:1(9Z)/18:3(6Z,9Z,12Z))[iso6], TG(16:1(9Z)/16:1(9Z)/18:2(9Z,12Z))[iso3], TG(16:0/16:1(9Z)/18:3(9Z,12Z,15Z))[iso6], TG(14:0/16:1(9Z)/20:3(8Z,11Z,14Z))[iso6], TG(16:1(9Z)/17:1(9Z)/17:2(9Z,12Z))[iso6], TG(12:0/16:1(9Z)/22:3(10Z,13Z,16Z))[iso6], TG(14:1(9Z)/16:1(9Z)/20:2(11Z,14Z))[iso6]",[TG(50:4)]_FA16:1,846.8 -> 575.8,TG
"LMGL03010043, LMGL03010044, LMGL03013342, LMGL03010034, LMGL03010032, LMGL03014235, LMGL03014640, LMGL03015367","TG(16:0/16:1(9Z)/18:1(9Z))[iso6], TG(16:0/16:0/18:2(9Z,12Z))[iso3], TG(12:0/16:0/22:2(13Z,16Z))[iso6], TG(16:0/17:0/17:2(9Z,12Z))[iso6], TG(16:0/17:1(9Z)/17:1(9Z))[iso3], TG(14:0/16:0/20:2(11Z,14Z))[iso6], TG(14:1(9Z)/16:0/20:1(11Z))[iso6], TG(15:1(9Z)/16:0/19:1(9Z))[iso6]",[TG(50:2)]_FA16:0,850.8 -> 577.8,TG
"LMGL03013366, LMGL03010043, LMGL03014259, LMGL03010033, LMGL03010042, LMGL03014664, LMGL03015041, LMGL03015391","TG(12:0/16:1(9Z)/22:1(11Z))[iso6], TG(16:0/16:1(9Z)/18:1(9Z))[iso6], TG(14:0/16:1(9Z)/20:1(11Z))[iso6], TG(16:1(9Z)/17:0/17:1(9Z))[iso6], TG(16:1(9Z)/16:1(9Z)/18:0)[iso3], TG(14:1(9Z)/16:1(9Z)/20:0)[iso6], TG(15:0/16:1(9Z)/19:1(9Z))[iso6], TG(15:1(9Z)/16:1(9Z)/19:0)[iso6]",[TG(50:2)]_FA16:1,850.8 -> 579.8,TG
,,[TG(50:0)]_FA16:1,852.8 -> 581.8,TG
"LMGL03014650, LMGL03015728, LMGL03015731, LMGL03014245, LMGL03010186, LMGL03010185, LMGL03010167","TG(14:1(9Z)/16:0/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:0/18:1(9Z)/18:4(6Z,9Z,12Z,15Z))[iso6], TG(16:0/18:2(9Z,12Z)/18:3(6Z,9Z,12Z))[iso6], TG(14:0/16:0/22:5(7Z,10Z,13Z,16Z,19Z))[iso6], TG(16:0/16:0/20:5(5Z,8Z,11Z,14Z,17Z))[iso3], TG(16:0/16:1(9Z)/20:4(5Z,8Z,11Z,14Z))[iso6], TG(16:0/18:2(9Z,12Z)/18:3(9Z,12Z,15Z))[iso6]",[TG(52:5)]_FA16:0,870.8 -> 597.8,TG
"LMGL03014649, LMGL03015724, LMGL03015727, LMGL03010159, LMGL03010141, LMGL03014244, LMGL03010160, LMGL03010145","TG(14:1(9Z)/16:0/22:3(10Z,13Z,16Z))[iso6], TG(16:0/18:0/18:4(6Z,9Z,12Z,15Z))[iso6], TG(16:0/18:1(9Z)/18:3(6Z,9Z,12Z))[iso6], TG(16:0/16:1(9Z)/20:3(8Z,11Z,14Z))[iso6], TG(16:0/18:2(9Z,12Z)/18:2(9Z,12Z))[iso3], TG(14:0/16:0/22:4(7Z,10Z,13Z,16Z))[iso6], TG(16:0/16:0/20:4(5Z,8Z,11Z,14Z))[iso3], TG(16:0/18:1(9Z)/18:3(9Z,12Z,15Z))[iso6]",[TG(52:4)]_FA16:0,872.8 -> 599.8,TG
"LMGL03010125, LMGL03015721, LMGL03015723, LMGL03014648, LMGL03010136, LMGL03010135, LMGL03014243, LMGL03010121","TG(16:0/18:0/18:3(9Z,12Z,15Z))[iso6], TG(16:0/17:2(9Z,12Z)/19:1(9Z))[iso6], TG(16:0/18:0/18:3(6Z,9Z,12Z))[iso6], TG(14:1(9Z)/16:0/22:2(13Z,16Z))[iso6], TG(16:0/16:0/20:3(8Z,11Z,14Z))[iso3], TG(16:0/16:1(9Z)/20:2(11Z,14Z))[iso6], TG(14:0/16:0/22:3(10Z,13Z,16Z))[iso6], TG(16:0/18:1(9Z)/18:2(9Z,12Z))[iso6]",[TG(52:3)]_FA16:0,874.8 -> 601.8,TG
,,[TG(52:0)]_FA18:1,880.8 -> 581.8,TG
"LMGL03015023, LMGL03010069, LMGL03010093, LMGL03014240, LMGL03010080","TG(15:0/16:0/21:0)[iso6], TG(16:0/18:0/18:0)[iso3], TG(16:0/17:0/19:0)[iso6], TG(14:0/16:0/22:0)[iso6], TG(16:0/16:0/20:0)[iso3]",[TG(52:0)]_FA16:0,880.8 -> 607.8,TG
