Sample Name,Cage,Genotype,Sex,Class,Lipid,Transition,Intensity,Blank Subtraction
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR,162.2 -> 85.1,43697.62292480469,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(10:0),316.2 -> 85.1,240925.09521484375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(10:0)_QUAL,316.2 -> 60.1,749754.892578125,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(10:1),314.2 -> 85.1,311695.96044921875,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(10:1)_QUAL,314.2 -> 60.1,624516.8642578125,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(10:2),312.2 -> 85.1,311521.3212890625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(10:2)_QUAL,312.2 -> 60.1,364927.3662109375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(10:3),310.2 -> 85.1,304746.640625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(10:3)_QUAL,310.2 -> 60.1,350002.94677734375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(11:0),330.3 -> 85.1,148350.41015625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(11:0)_QUAL,330.3 -> 60.1,564138.4379882812,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(12:0),344.3 -> 85.1,5245131.15625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(12:0)_QUAL,344.3 -> 60.1,891019.2470703125,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(14:0),372.3 -> 85.1,247929.19799804688,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(14:0)_QUAL,372.3 -> 60.1,465210.51318359375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(14:1),370.3 -> 85.1,241243.6572265625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(14:1)_QUAL,370.3 -> 60.1,458563.27734375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(14:2),368.3 -> 85.1,339255.2021484375,54592.48193359375
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(14:2)_QUAL,368.3 -> 60.1,455607.25439453125,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(16:0),400.3 -> 85.1,186955.33374023438,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(16:0)_QUAL,400.3 -> 60.1,572482.05859375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(16:1),398.3 -> 85.1,178248.45239257812,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(16:1)_QUAL,398.3 -> 60.1,572663.1181640625,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(16:2),396.3 -> 85.1,173395.271484375,0.0
DOD73-5xFAD-M2liver,DOD73,5xFAD,Male,CAR,CAR(16:2)_QUAL,396.3 -> 60.1,532555.6357421875,0.0
