Lipid,Parent_Ion,Product_Ion,Intensity,Transition,Class,Sample_ID,Sample Name,Position,Genotype,Brain Region,Sex,method_type,Blank Subtraction
"(5Z,8Z)-tetradecadienoylcarnitine",368.3,85.1,1785924.2541503906,368.3 -> 85.1,AC,AC_10xBlank_01202023,10xBlank_01202023,Not Needed,Blank1,Blank1,Blank1,AC,0.0
cis-5-Tetradecenoylcarnitine,370.3,85.1,1490543.8564453125,370.3 -> 85.1,AC,AC_10xBlank_01202023,10xBlank_01202023,Not Needed,Blank1,Blank1,Blank1,AC,0.0
TetradecanoylcarnitineO-tetradecanoylcarnitine,372.3,85.1,1480042.4318847656,372.3 -> 85.1,AC,AC_10xBlank_01202023,10xBlank_01202023,Not Needed,Blank1,Blank1,Blank1,AC,0.0
O-(11-carboxyundecanoyl)carnitine,374.2,85.1,1432417.7971191406,374.2 -> 85.1,AC,AC_10xBlank_01202023,10xBlank_01202023,Not Needed,Blank1,Blank1,Blank1,AC,0.0
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",384.3,85.1,2077579.7651367188,384.3 -> 85.1,AC,AC_10xBlank_01202023,10xBlank_01202023,Not Needed,Blank1,Blank1,Blank1,AC,0.0
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",388.3,85.1,1930786.4631347656,388.3 -> 85.1,AC,AC_10xBlank_01202023,10xBlank_01202023,Not Needed,Blank1,Blank1,Blank1,AC,0.0
"(7Z,10Z)-hexadecadienoylcarnitine",396.3,85.1,2578376.0740966797,396.3 -> 85.1,AC,AC_10xBlank_01202023,10xBlank_01202023,Not Needed,Blank1,Blank1,Blank1,AC,0.0
"O-palmitoleoylcarnitine, trans-Hexadec-2-enoyl carnitine",398.3,85.1,2192422.580078125,398.3 -> 85.1,AC,AC_10xBlank_01202023,10xBlank_01202023,Not Needed,Blank1,Blank1,Blank1,AC,0.0
"Palmitoylcarnitine, (5Z)-13-carboxytridec-5-enoylcarnitine",400.3,85.1,3003056.5654296875,400.3 -> 85.1,AC,AC_10xBlank_01202023,10xBlank_01202023,Not Needed,Blank1,Blank1,Blank1,AC,0.0
O-(13-carboxytridecanoyl)carnitine,402.3,85.1,3416885.3427734375,402.3 -> 85.1,AC,AC_10xBlank_01202023,10xBlank_01202023,Not Needed,Blank1,Blank1,Blank1,AC,0.0
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",412.3,85.1,2817110.0759277344,412.3 -> 85.1,AC,AC_10xBlank_01202023,10xBlank_01202023,Not Needed,Blank1,Blank1,Blank1,AC,0.0
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",414.3,85.1,2678909.9697265625,414.3 -> 85.1,AC,AC_10xBlank_01202023,10xBlank_01202023,Not Needed,Blank1,Blank1,Blank1,AC,0.0
