lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M2-5xFAD-cortex10x_01202023,DOD99-M1-5xFAD-cortex10x_01202023,M1FAD173-5xFAD-Cortex10x_01182023,M2FAD173-5xFAD-Cortex10x_01192023,DOD100-M1-WT-cortex10x_01202023,DOD99-M2-WT-cortex10x_01202023,M5FAD173-WT-Cortex10x_01192023,10xBlank_01202023
C24:6,-2.474228144894141,6.810955536393617,18.556839988212232,1.6491239930322062e-5,0.024687386175692126,4,3,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ WT | Brain Region_ cortex,FA,14724.921058654783,13442.360980987549,59095.50420379639,10546.140739440918,14481.600986480713,14948.381107330322,354402.948135376,15041.60111618042
Cer(d18:2/14:0),-1.816561013212772,10.651553393167696,10.31112043588655,0.001322309772013729,0.9897488643522762,4,3,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ WT | Brain Region_ cortex,Cer,184679.39221954343,320432.4026184082,169115.53117370603,1229022.122581482,3416852.9455070496,269664.724155426,694974.3241043091,40619.60283660889
"(11Z,14Z)-eicosadienoylcarnitine",-0.16771859158263125,11.453492716770493,0.08874958744127073,0.7657728554514136,0.9998862855898978,4,3,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ WT | Brain Region_ cortex,CAR,1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438,1464825.83203125,1445031.9301757812,1422254.4301757812,1833013.6752929688
(11Z)-eicoseneoylcarnitine,-0.1375477268184212,11.465651910787946,0.05964257735013234,0.8070617558641816,0.9998862855898978,4,3,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ WT | Brain Region_ cortex,CAR,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562,1450974.412109375,1446175.0439453125,1469500.5795898438,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",-0.1785724184141368,11.456132676514564,0.10063669615828985,0.7510669075351672,0.9998862855898978,4,3,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ WT | Brain Region_ cortex,CAR,1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656,1547859.026428223,1384342.3704833984,1401085.4095458984,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",-0.14223313285220934,12.032404323257502,0.0637833857631449,0.8006130903071974,0.9998862855898978,4,3,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ WT | Brain Region_ cortex,CAR,2184246.087890625,2205746.576171875,2470854.001464844,2018780.289794922,2341072.076904297,2281951.5776367188,2132253.7890625,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",-0.6327021140470086,16.068477995079494,1.27313491137983,0.2591793955000726,0.9998862855898978,4,3,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ WT | Brain Region_ cortex,CAR,29948597.337890625,26648913.84375,16632944.549316406,65346110.588378906,75825428.853515625,29749622.64453125,40969587.21484375,1785924.2541503906
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",-0.2020566036509579,11.271713587750703,0.12892413564259186,0.7195501501380875,0.9998862855898978,4,3,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ WT | Brain Region_ cortex,CAR,1260946.1431884766,1137990.1825561523,1271184.7647705078,1143505.6591796875,1355693.1580810547,1244091.2459716797,1216621.2817382812,1684194.2908935547
"(7Z,10Z)-hexadecadienoylcarnitine",-0.1877305856765755,11.816516490605908,0.11125017431186279,0.738725294707057,0.9998862855898978,4,3,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ WT | Brain Region_ cortex,CAR,1770713.409423828,1717515.307861328,1811327.671875,1667394.3842773438,1808904.2744140625,1820135.4990234375,1873401.7072753904,2578376.0740966797
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",0.2974143629397312,14.738543182942504,0.27451621026541884,0.6003182235597115,0.9998862855898978,4,3,Genotype_ 5xFAD | Brain Region_ cortex,Genotype_ WT | Brain Region_ cortex,CAR,16470506.173828123,19040901.25390625,19527801.967285156,19669121.095703125,10508922.293945312,17918375.471679688,14634731.657226562,2155070.9477539062
