lipid,logFC,logCPM,LR,PValue,FDR,Length1,Length2,Title_1,Title_2,type,DOD100-M1-WT-cerebellum10x_01202023_x,DOD100-M1-WT-cortex10x_01202023_x,DOD100-M1-WT-diencephalon10x_01202023,DOD100-M1-WT-hippo10x_01202023,DOD100-M2-5xFAD-cerebellum10x_01202023_x,DOD100-M2-5xFAD-cortex10x_01202023_x,DOD100-M2-5xFAD-diencephalon10x_01202023,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-cerebellum10x_01202023_x,DOD100-M3-5xFAD-diencephalon10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-cerebellum10x_01202023_x,DOD99-M1-5xFAD-cortex10x_01202023_x,DOD99-M1-5xFAD-diencephalon10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,DOD99-M2-WT-cerebellum10x_01202023_x,DOD99-M2-WT-cortex10x_01202023_x,DOD99-M2-WT-diencephalon10x_01202023,DOD99-M2-WT-hippo10x_01202023,M1FAD173-5xFAD-Cerebellum10x_01182023_x,M1FAD173-5xFAD-Cortex10x_01182023_x,M1FAD173-5xFAD-Diencephalon10x_01182023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Cerebellum10x_01192023_x,M2FAD173-5xFAD-Cortex10x_01192023_x,M2FAD173-5xFAD-Diencephalon10x_01192023,M2FAD173-5xFAD-Hippo10x_01192023,M5FAD173-WT-Cerebellum10x_01192023_x,M5FAD173-WT-Cortex10x_01192023_x,M5FAD173-WT-Diencephalon10x_01192023,M5FAD173-WT-Hippo10x_01192023,DOD100-M1-WT-cerebellum10x_01202023_y,DOD100-M1-WT-cortex10x_01202023_y,DOD100-M2-5xFAD-cerebellum10x_01202023_y,DOD100-M2-5xFAD-cortex10x_01202023_y,DOD100-M3-5xFAD-cerebellum10x_01202023_y,DOD99-M1-5xFAD-cerebellum10x_01202023_y,DOD99-M1-5xFAD-cortex10x_01202023_y,DOD99-M2-WT-cerebellum10x_01202023_y,DOD99-M2-WT-cortex10x_01202023_y,M1FAD173-5xFAD-Cerebellum10x_01182023_y,M1FAD173-5xFAD-Cortex10x_01182023_y,M2FAD173-5xFAD-Cerebellum10x_01192023_y,M2FAD173-5xFAD-Cortex10x_01192023_y,M5FAD173-WT-Cerebellum10x_01192023_y,M5FAD173-WT-Cortex10x_01192023_y,10xBlank_01202023
22:2 Campesteryl ester,1.0004815943175218,9.01702573235502,17.74391779638222,2.5272418242936945e-5,0.009731636785879346,31,15,Genotype_ WT 5xFAD | Sex_ Male,Brain Region_ cerebellum cortex,CE,107182.94714355467,289210.3822784424,366085.0646057129,109912.80857086182,100209.36726379396,560526.3181762695,3415261.498123169,310858.8617248535,197735.27307128903,1941418.5549240112,204018.31434631348,113135.72926330566,350653.6643676758,950963.794708252,165681.3123474121,130781.98825073242,381027.0474014282,299380.28102111816,103576.40770339966,48554.28336715698,191685.9516410828,341881.02141952515,55576.944202423096,58030.14366531372,109390.46683120728,226201.9358673096,53085.56405258179,53468.66411590576,70477.46474456787,109228.78860855104,55119.703243255615,107182.94714355467,289210.3822784424,100209.36726379396,560526.3181762695,197735.27307128903,113135.72926330566,350653.6643676758,130781.98825073242,381027.0474014282,48554.28336715698,191685.9516410828,58030.14366531372,109390.46683120728,53468.66411590576,70477.46474456787,80835.36569976807
22:3 Campesteryl ester,1.0323575669379728,9.207641633190674,18.828762490022427,1.4299439994326851e-5,0.009731636785879346,31,15,Genotype_ WT 5xFAD | Sex_ Male,Brain Region_ cerebellum cortex,CE,119099.86869812012,353298.22665405273,427643.9084777832,117693.50897216795,128654.78890991212,665137.4459533691,4006962.4003601074,345234.3631744385,235293.97583007807,2313333.353652954,229129.03816223145,123301.788772583,401060.3264312744,1145395.0406341553,175946.43223571777,140469.92993164062,449166.6716766357,345265.1865081787,117399.28813171388,32028.121990203857,213215.67528152463,463608.8536758423,34748.142459869385,29257.102043151852,110209.54704284668,215819.47241592407,32327.26247024536,32036.042041778564,60358.8840713501,99418.78695678712,27730.041870117188,119099.86869812012,353298.22665405273,128654.78890991212,665137.4459533691,235293.97583007807,123301.788772583,401060.3264312744,140469.92993164062,449166.6716766357,32028.121990203857,213215.67528152463,29257.102043151852,110209.54704284668,32036.042041778564,60358.8840713501,78485.72638702393
PG (32:5),1.0752091664861214,7.5032708013585525,20.3303637758371,6.515832791439326e-6,0.009731636785879346,31,15,Genotype_ WT 5xFAD | Sex_ Male,Brain Region_ cerebellum cortex,PG,59121.56433105469,56942.42364501953,69036.98474121094,1390551.1256103516,51579.42388916016,64834.60479736328,56995.0637512207,28723.361907958984,53168.24328613281,66687.0654296875,67011.54473876953,54014.363830566406,61361.8037109375,55179.38348388672,24903.141830444336,68848.2642211914,58152.703552246094,59599.624603271484,58263.66400146485,49416.28317260742,141260.64776611328,45016.04336547852,50010.76354980469,50647.60369873047,55899.803955078125,738903.2070922852,53159.36410522461,48331.80380249024,54420.32379150391,56953.10424804688,52151.98425292969,59121.56433105469,56942.42364501953,51579.42388916016,64834.60479736328,53168.24328613281,54014.363830566406,61361.8037109375,68848.2642211914,58152.703552246094,49416.28317260742,141260.64776611328,50647.60369873047,55899.803955078125,48331.80380249024,54420.32379150391,52170.14404296875
PS (32:5),0.9988915117747323,6.904746996592259,17.68970330019465,2.600303750401963e-5,0.009731636785879346,31,15,Genotype_ WT 5xFAD | Sex_ Male,Brain Region_ cerebellum cortex,PS,34485.36241912842,37565.022899627686,25751.381797790527,526516.2245483398,20535.861328125,30044.382289886475,34273.522399902344,42006.22310256958,28695.98195266724,65589.324462890625,20760.681663513184,21116.581661224365,21637.281494140625,26214.4017868042,32196.062271118164,38123.52275848389,23301.04162597656,50682.403869628906,33125.182247161865,47470.30313110352,142611.30975341797,45109.22280883789,48801.88397216797,48257.66375732422,50807.263427734375,718289.7510681152,47388.063537597656,45578.323150634766,54567.80407714844,56235.723724365234,46853.883239746094,34485.36241912842,37565.022899627686,20535.861328125,30044.382289886475,28695.98195266724,21116.581661224365,21637.281494140625,38123.52275848389,23301.04162597656,47470.30313110352,142611.30975341797,48257.66375732422,50807.263427734375,45578.323150634766,54567.80407714844,43834.64358520508
Lyso_PE(18:4),-0.902080161029317,11.223401239990823,16.802065549301915,4.148811937902581e-5,0.012421542942080326,31,15,Genotype_ WT 5xFAD | Sex_ Male,Brain Region_ cerebellum cortex,PE,83877.54577636719,89168.46691894531,79140.36560058594,82246.365234375,130497.98791503906,132420.98950195312,128090.62939453124,160638.87255859375,87590.98681640625,98033.467529296875,112687.5479736328,47646.68365478516,49292.86352539063,906425.1446533204,27969.562103271484,6150566.934814453,719531.388671875,356090.884765625,83568.72521972656,113600.64776611328,50390.56359863281,39787.3427734375,35946.782318115234,23387747.104492188,1178031.4189453125,602193.0234375,90881.506103515625,200389.6328125,200920.294921875,173677.85327148438,243814.63671875,83877.54577636719,89168.46691894531,130497.98791503906,132420.98950195312,87590.98681640625,47646.68365478516,49292.86352539063,6150566.934814453,719531.388671875,113600.64776611328,50390.56359863281,23387747.104492188,1178031.4189453125,200389.6328125,200920.294921875,48831.60382080078
PE (18:4),-0.7830672018097564,9.21882105062659,12.586002513940912,3.886465089846963e-4,0.09696730399168171,31,15,Genotype_ WT 5xFAD | Sex_ Male,Brain Region_ cerebellum cortex,PE,74175.2445678711,82343.326416015625,75838.524658203125,69796.78509521484,80714.68505859375,106586.30676269533,90255.46691894533,88363.60675048828,65658.66418457031,74922.22467041016,80230.005859375,53452.60394287109,56710.06466674805,232366.83721923828,30112.48207092285,1346482.1478881836,201368.0524902344,128224.16918945312,70810.50482177734,61294.06396484375,53976.02392578125,41379.38258361816,42175.1432800293,5058780.06439209,289116.10205078125,163642.49169921875,57911.06384277344,78917.62585449219,90063.30700683594,94541.1865234375,90006.40637207031,74175.2445678711,82343.326416015625,80714.68505859375,106586.30676269533,65658.66418457031,53452.60394287109,56710.06466674805,1346482.1478881836,201368.0524902344,61294.06396484375,53976.02392578125,5058780.06439209,289116.10205078125,78917.62585449219,90063.30700683594,71615.00396728516
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",0.7660043065104749,9.560782827602322,10.657229921612497,0.0010964147603254538,0.23447612802960063,31,15,Genotype_ WT 5xFAD | Sex_ Male,Brain Region_ cerebellum cortex,CE,276648.3995361328,631755.8412628174,483708.2539367676,169745.83312225342,401505.6079406738,759511.5723876953,4263195.970428467,429962.6456832886,279027.41773986816,2450399.517211914,281520.3006362915,202002.13383483887,460364.1280517578,1237139.4935913086,380934.2229003906,193528.11378479004,508749.6130981445,420318.2272872925,234477.81832885745,46140.94332122803,238796.4598121643,480094.9753990173,58387.70426940918,56842.763942718506,205046.51355743408,260850.21912384036,56851.84379959106,89969.3465385437,112743.7882270813,128342.92868804932,84083.74672317505,276648.3995361328,631755.8412628174,401505.6079406738,759511.5723876953,279027.41773986816,202002.13383483887,460364.1280517578,193528.11378479004,508749.6130981445,46140.94332122803,238796.4598121643,56842.763942718506,205046.51355743408,89969.3465385437,112743.7882270813,78654.8657836914
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",0.7472195725113506,9.563274700393018,10.160187662068438,0.0014350601283433168,0.25833173599474957,31,15,Genotype_ WT 5xFAD | Sex_ Male,Brain Region_ cerebellum cortex,CE,273860.9999847412,636603.4621429443,491573.2315979004,172745.71115112305,395209.9066314697,760646.4669799805,4193570.23059082,418908.9720458984,293992.34017944336,2436225.9285354614,288414.3606262207,204615.7733001709,476102.9566268921,1227538.8339004517,395202.1464691162,198562.29412078857,524705.1521759033,408879.0844268799,235747.2753677368,41977.76301956177,238534.7177581787,487762.71195983887,60594.46385574341,56235.90398788452,214955.03761291504,245699.79766082764,54126.38396835327,90103.56624221802,114199.28704071043,132412.4898223877,80594.5062789917,273860.9999847412,636603.4621429443,395209.9066314697,760646.4669799805,293992.34017944336,204615.7733001709,476102.9566268921,198562.29412078857,524705.1521759033,41977.76301956177,238534.7177581787,56235.90398788452,214955.03761291504,90103.56624221802,114199.28704071043,79871.64535522461
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",0.7416357794314038,9.597645362671317,10.014534547084622,0.001553096609186871,0.25833173599474957,31,15,Genotype_ WT 5xFAD | Sex_ Male,Brain Region_ cerebellum cortex,CE,298767.4224395752,631113.1820526123,508719.3950653076,182368.67237854004,418094.6909484863,785230.433883667,4335094.217636108,440693.1749420166,291328.83966064453,2424601.445907593,302909.70166015625,229211.5368499756,486303.7544708252,1214155.489013672,399352.206993103,203995.51489257807,519931.7783508301,431463.2315979004,239286.7336273193,50162.80352783203,242612.57849502563,473240.09295654297,67133.70456695557,61692.403953552246,212423.1340522766,260224.8973274231,60102.20470428467,94036.04633712769,111592.80855560304,140062.0503730774,81550.40517807007,298767.4224395752,631113.1820526123,418094.6909484863,785230.433883667,291328.83966064453,229211.5368499756,486303.7544708252,203995.51489257807,519931.7783508301,50162.80352783203,242612.57849502563,61692.403953552246,212423.1340522766,94036.04633712769,111592.80855560304,95162.20687866212
"(11Z,14Z)-eicosadienoylcarnitine",0.0753202551944888,11.314448732099377,0.10983515058251214,0.7403318925927898,0.9989980206677269,31,15,Genotype_ WT 5xFAD | Sex_ Male,Brain Region_ cerebellum cortex,CAR,1408351.625,1464825.83203125,1332756.2084960938,1450859.4833984375,1262933.6362304688,1429124.1762695312,1490627.2612304688,1322329.38671875,1288290.3208007812,1620460.4702148438,1437470.2348632812,1349906.3383789062,1350856.4809570312,1434255.701171875,1481437.8369140625,1448199.4814453125,1445031.9301757812,1313436.7885742188,1382104.2397460938,1447970.6625976562,1431788.9677734375,1426995.7827148438,1510009.1274414062,1569963.0502929688,1357653.3920898438,1442118.8286132812,1611557.333984375,1567602.6728515625,1422254.4301757812,1536662.2856445312,1351883.9409179688,1408351.625,1464825.83203125,1262933.6362304688,1429124.1762695312,1288290.3208007812,1349906.3383789062,1350856.4809570312,1448199.4814453125,1445031.9301757812,1447970.6625976562,1431788.9677734375,1569963.0502929688,1357653.3920898438,1567602.6728515625,1422254.4301757812,1833013.6752929688
(11Z)-eicoseneoylcarnitine,0.07641796998728986,11.332181511777229,0.11304968082595224,0.7366984768916481,0.9989980206677269,31,15,Genotype_ WT 5xFAD | Sex_ Male,Brain Region_ cerebellum cortex,CAR,1410061.365234375,1450974.412109375,1300758.2841796875,1456478.2348632812,1256930.4736328125,1461574.3852539062,1498962.5366210938,1324620.29296875,1313193.267578125,1640511.7080078125,1469218.4106445312,1370506.4516601562,1395572.740234375,1468215.3647460938,1479341.6264648438,1453789.9145507812,1446175.0439453125,1356376.1943359375,1413134.9760742188,1476902.5249023438,1457662.7182617188,1455302.6083984375,1496397.3359375,1624465.5419921875,1408961.5532226562,1517652.2963867188,1650848.89453125,1548320.9340820312,1469500.5795898438,1553075.8388671875,1427365.9682617188,1410061.365234375,1450974.412109375,1256930.4736328125,1461574.3852539062,1313193.267578125,1370506.4516601562,1395572.740234375,1453789.9145507812,1446175.0439453125,1476902.5249023438,1457662.7182617188,1624465.5419921875,1408961.5532226562,1548320.9340820312,1469500.5795898438,1770335.1005859375
"(13Z,16Z)-docosadienoylcarnitine",0.06104454287472596,11.33067442799008,0.07223091003561422,0.7881158476688483,0.9989980206677269,31,15,Genotype_ WT 5xFAD | Sex_ Male,Brain Region_ cerebellum cortex,CAR,1334500.4373779297,1547859.026428223,1284612.1057128906,1468483.6235961914,1200177.8431396484,1420361.1004638672,1468592.0839233398,1265010.6803588867,1229167.669921875,1801727.1483154297,1427897.3614501953,1293432.1517333984,1281745.7750854492,1494908.485961914,1472655.911315918,1392547.188293457,1384342.3704833984,1277668.0494384766,1328693.3626708984,1486547.2768554688,1508125.2795410156,1415503.9500732422,1561466.8793945312,1530059.8298339844,1349872.0334472656,1514023.7989501953,1541192.444946289,2235124.575866699,1401085.4095458984,1509455.984741211,1344775.7668457031,1334500.4373779297,1547859.026428223,1200177.8431396484,1420361.1004638672,1229167.669921875,1293432.1517333984,1281745.7750854492,1392547.188293457,1384342.3704833984,1486547.2768554688,1508125.2795410156,1530059.8298339844,1349872.0334472656,2235124.575866699,1401085.4095458984,1846519.2565917969
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",0.10492248830242065,11.986213870280675,0.21261103264168923,0.6447285556054492,0.9989980206677269,31,15,Genotype_ WT 5xFAD | Sex_ Male,Brain Region_ cerebellum cortex,CAR,2215148.1447753906,2341072.076904297,3004035.1204833984,2338786.489624023,1939767.9885253904,2184246.087890625,2392796.6845703125,2194784.690185547,2430496.0634765625,2414485.858154297,2492220.4825439453,2140645.078491211,2205746.576171875,2782494.2834472656,2412503.1643066406,2234323.5102539062,2281951.5776367188,2011026.9294433596,2207064.514526367,2665311.731689453,2470854.001464844,2515677.2600097656,2579735.21484375,2279392.241455078,2018780.2897949216,2177589.061767578,2093678.0153808596,2256080.6622314453,2132253.7890625,2188599.0122070312,2303434.271972656,2215148.1447753906,2341072.076904297,1939767.9885253904,2184246.087890625,2430496.0634765625,2140645.078491211,2205746.576171875,2234323.5102539062,2281951.5776367188,2665311.731689453,2470854.001464844,2279392.241455078,2018780.2897949216,2256080.6622314453,2132253.7890625,2077579.7651367188
"(5Z,8Z)-tetradecadienoylcarnitine",-0.1601153777677902,16.526381487318933,0.5056615098748694,0.47702301072004927,0.9989980206677269,31,15,Genotype_ WT 5xFAD | Sex_ Male,Brain Region_ cerebellum cortex,CAR,97017264.0888672,75825428.853515625,15439015.444335938,26782130.58300781,154140949.5595703,29948597.337890625,24583201.19921875,30582186.538085938,92351915.6875,20847168.3828125,28337082.12988281,63344919.2109375,26648913.84375,28155528.892578125,139608184.45239258,62660995.83984375,29749622.64453125,37982357.49316406,71101793.19970703,16220704.654785156,16632944.549316406,22671427.51611328,26376597.729492188,24353723.305664062,65346110.588378906,34723637.06933594,25367756.57104492,69671289.73339844,40969587.21484375,18655737.47460937,66282272.07910156,97017264.0888672,75825428.853515625,154140949.5595703,29948597.337890625,92351915.6875,63344919.2109375,26648913.84375,62660995.83984375,29749622.64453125,16220704.654785156,16632944.549316406,24353723.305664062,65346110.588378906,69671289.73339844,40969587.21484375,1785924.2541503906
