Lipid,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Brain_Region_cortex,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon,Genotype__WT___Brain_Region__diencephalon
12:0 Cholesteryl ester_2,194223.2352294922,198899.3538360596,189600.5742797852,194121.27363967896,50913.96357727051,49618.86361312866,55628.72424697876,170046.1913909912,177208.31147766113,51444.80327987671
14:0 Cholesteryl ester,174361.71353149414,107908.76762390137,103784.52690124512,103502.50770568848,43653.82319641113,49058.56335067749,44501.42287063599,99233.18690490724,90300.9059906006,40449.28260803223
14:1 Cholesteryl ester,167934.35008239746,101516.40711975098,103069.94741821288,103306.90727233888,42685.24269104004,45816.14336395264,43761.02275466919,93945.5266494751,94580.62687683104,39776.48303985596
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,292253.8006591797,289878.5213623047,287886.201171875,309868.7003173828,121756.2882385254,94190.34649658205,101925.20712280272,282307.5396728516,277162.119140625,107436.90838623048
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,288007.4022216797,292477.3010253906,290238.6412353516,308109.24353027344,120988.00839233398,93845.26657104492,105516.18823242188,282309.6809082031,278571.67907714844,108698.96670532228
15:0 Cholesteryl ester,253107.4787597656,259193.8380126953,259023.73706054688,264173.32067871094,110598.20782470705,99013.02743530272,101124.08694458008,257820.4782714844,246816.4970703125,116445.74822998048
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,278878.5386352539,296957.74169921875,290135.00103759766,308956.20349121094,120349.36853027344,108678.26788330078,115424.5080871582,295206.8620605469,267262.1589355469,126887.06896972656
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,286760.6004638672,299675.64099121094,298718.8214111328,295662.2412109375,121086.38803100586,111295.56848144533,118771.74865722656,280321.3400878906,274924.6597290039,121661.82904052734
15:1 Cholesteryl ester,279110.23876953125,268055.0593261719,267581.09765625,272599.61767578125,112505.0086364746,97831.46688842772,109607.08767700195,268707.9381103516,249741.7177734375,113070.3878173828
16:0 Campesteryl ester | 17:0 Cholesteryl ester,181109.19328308103,482661.26905822754,230368.095413208,438289.16777038574,157669.31104660034,44475.38328170776,77134.06510925293,336776.8264312744,328525.7266998291,76195.66496658325
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,187184.9127502441,457017.1744232178,232697.2156829834,443183.8342895508,162404.1529197693,42214.92322540283,79354.32606506348,347830.1068267822,326737.5634002685,75534.00523757935
16:2 Campesteryl ester,167781.59133911133,468778.7299804688,229844.91590881348,418315.46867370605,165206.61423492432,43435.38317108154,74919.82628250122,342955.9080352783,310051.0410308838,69768.96461868286
"16:2 Cholesteryl ester, zymosteryl palmitoleate",292551.71875,286850.72009277344,293157.0216064453,297439.0616455078,113731.94830322266,101456.2074584961,110140.7073059082,280581.6188964844,265993.7189941406,119384.78771972656
16:3 Campesteryl ester,170507.59172058103,456562.5186233521,217033.97341918945,427672.8699798584,160582.991481781,41053.32256317139,75315.50601577759,332875.0812988281,310477.7449951172,71218.46506500244
16:3 Cholesteryl ester,270792.63830566406,273550.51916503906,280845.88049316406,275931.4796142578,118023.78784179688,104182.76788330078,110097.02749633788,259728.7784423828,258171.55993652344,119627.44903564452
16:3 Stigmasteryl ester,238233.19439697263,542890.2322692871,303466.01583862305,491452.9175415039,177535.57064819336,70479.92538833618,112134.6275253296,417130.1490478516,365903.52224731445,105826.8872909546
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",269417.33947753906,609582.4785461426,339927.88663482666,589933.1188049316,196164.55129241943,63067.42455291748,103941.22734069824,472836.2958374024,411432.9081420898,95725.1279220581
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",275774.5595397949,612892.9210205078,352186.2632141113,578218.7215881348,199214.2363128662,66339.54444122314,105990.80756378174,467518.1094055176,432811.65029907227,94433.90701293944
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",272276.99826049805,604201.1010437012,344977.4267883301,578229.0800170898,195620.6760406494,66619.54499816895,104960.36757659912,449361.2501220703,421981.7488708496,102442.5464553833
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",282595.2204284668,601233.5832366943,331640.3845214844,584872.5077514648,200966.05520629883,63674.6642036438,106163.54775619508,468996.0119934082,424691.0045776367,98708.50708389282
17:1 Cholesteryl ester; 16:1 Campesteryl ester,172803.25178527832,471428.01194763184,218880.09548187256,436325.7263793945,165967.61249160767,46261.54291534424,77847.66497421265,345805.9059753418,328314.5411529541,73089.96499633789
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,165014.77180480957,460792.76985168457,206078.07276916504,415234.27352905273,160566.41161346436,45343.34331130981,75341.58574676514,334849.38470458984,315089.0400085449,72327.7248840332
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",238098.9970092773,278488.0610809326,250274.46084594727,265711.5782318115,88312.66635894775,66861.42481994629,72586.16502380371,251351.8338623047,233254.1951904297,69918.46492004395
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",234472.71701049805,273423.89978027344,259398.0389404297,270909.55950927734,92443.26620483398,70337.48574829102,68150.66487884521,256823.51718139648,238287.11483764648,71601.82501220703
18:1 Campesteryl ester,233450.5391235352,263904.27825927734,252689.3544921875,261731.28118896484,82409.8259010315,56984.78404998779,63951.22497558594,251414.53872680664,228142.67880249023,71419.0849647522
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",289138.4790649414,604406.4444274902,375458.106048584,585151.3779449463,202646.0722885132,67644.66412353516,102739.50680541992,503344.5899963379,456015.0985107422,103999.52606201172
18:3 Campesteryl ester,213127.35446166992,233462.63381958008,232237.91787719727,242607.49642944336,76780.36492156982,65536.76523590088,66174.2045288086,230115.6553955078,210156.63537597656,71416.26483917236
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",315847.1044616699,619175.6261291504,365628.6613922119,595870.3013763428,202318.07664489743,71515.98536682129,103495.5284690857,507221.6766357422,458659.0358581543,101501.9271697998
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",419422.98986816406,447091.572631836,447873.4123535156,415310.3869628906,205471.35342407227,140569.51007080078,146106.55047607422,410047.4875488281,395767.2680664063,149879.97039794922
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",427756.9488525391,443882.2932128906,452466.95568847656,430666.9284667969,199821.99346923828,138753.42993164062,150386.73071289062,410446.4294433594,389397.6693115234,154023.69094848633
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",1218044.2957763672,1195290.807861328,1194065.662109375,1240025.518798828,1239282.0832519531,1133090.1042480469,1244585.4881591797,1111581.3986816406,1121579.8967285156,1366424.7204589844
20:0 Campesteryl ester,944354.227294922,1051954.5400390625,802405.3129882812,799106.8182373047,404391.10778808594,333963.88360595703,242206.25750732425,792573.4987792969,704186.2043457031,251567.6792602539
20:1 Campesteryl ester,922340.9077148438,1035268.6345214844,770815.9124755859,768436.0723876953,390393.90771484375,324425.34533691406,229859.89709472656,774650.533203125,688702.3489990234,246157.9780273437
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",420065.7504882813,445063.4099121094,438793.0089111328,422728.80859375,196959.5145874024,143887.10974121094,149125.32971191406,414108.267944336,387061.1658935547,159229.2709350586
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",420005.0883789063,442481.4721679688,434864.9537353516,413933.3474121094,198226.1947631836,142786.26989746094,152263.0704345703,419701.06994628906,395618.7508544922,162763.43139648438
20:3 Campesteryl ester,831691.5396728516,690644.8483886719,670642.0698242188,630418.0675048828,303552.1791381836,338287.26470947266,291385.0417480469,603714.2861328125,607590.48828125,299902.3406982422
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",340624.28259277344,373994.6680908203,377226.9892578125,362469.4854736328,181923.79260253903,143761.37060546875,146808.49047851562,346226.2841796875,322671.5235595703,153372.83123779297
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",348037.0646057129,426969.5148162842,402345.11001586914,402231.2696151733,157411.192817688,135987.24981689453,144343.5308227539,355207.22428894043,350653.64825439453,149925.87145996094
20:5 Cholesteryl ester,719790.7917480469,774021.0893554688,796451.9927368164,810821.262512207,261745.4785232544,228661.520111084,246523.35818481445,768802.1929626465,717188.4313659668,274553.0383682251
22:0 Campesteryl ester,526033.4529647827,466218.7146835327,350722.9248352051,384554.50311279297,96338.56734848022,93248.5464744568,71315.94483184814,472356.95237731934,330720.66106414795,102224.66787719728
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",636603.4621429443,760646.4669799805,476102.9566268921,524705.1521759033,238534.7177581787,214955.03761291504,114199.28704071043,491573.2315979004,408879.0844268799,132412.4898223877
22:0 Sitosteryl ester,561003.0242385864,485815.2135925293,355294.92652893066,421927.3472900391,88051.98610305786,102267.82748413086,79683.76554870605,486894.434677124,369547.3709869385,114893.82941436768
22:1 Campesteryl ester,479712.1131286621,468357.8101348877,350133.2861633301,395492.0505371094,110473.78787994383,98551.34607315063,70321.82493591309,438211.0646972656,309484.4637756348,99733.32707595824
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",631755.8412628174,759511.5723876953,460364.1280517578,508749.6130981445,238796.4598121643,205046.51355743408,112743.7882270813,483708.2539367676,420318.2272872925,128342.92868804932
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",568701.699710846,498246.4359283447,359096.9853553772,423679.4720993042,98792.72665023804,99168.76778030396,84803.34576416016,491484.9942550659,370056.0489387512,108360.74819946288
22:2 Campesteryl ester,289210.3822784424,560526.3181762695,350653.6643676758,381027.0474014282,191685.9516410828,109390.46683120728,70477.46474456787,366085.0646057129,299380.28102111816,109228.78860855104
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",558193.1280670166,469579.57151794434,358588.62020111084,415441.63109588623,94247.98609542848,99335.6669845581,78620.56488800049,490631.93672180176,363682.14473342896,113005.9493637085
22:3 Campesteryl ester,353298.22665405273,665137.4459533691,401060.3264312744,449166.6716766357,213215.67528152463,110209.54704284668,60358.8840713501,427643.9084777832,345265.1865081787,99418.78695678712
22:3 Stigmasteryl ester,511923.66984558105,469026.6374282837,339874.4802551269,404606.4286499024,81643.70561981201,92794.06651306152,73503.32471084595,474261.485168457,322717.52098083496,99826.9475517273
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",1016566.2236328124,1093322.7568359375,861990.7429199219,848434.1008300781,423409.3279418945,346047.02673339844,253103.3198852539,825638.3364257812,752051.2749023438,282835.4387817383
22:5 Cholesteryl ester,964189.7916259766,1072980.8911132812,829280.7783203125,834771.65625,412156.6676635742,328844.22247314453,240096.01763916016,781182.6794433594,727029.6968994141,266388.83935546875
22:6 Cholesteryl ester,964544.3095703124,1064576.5604248047,808378.1989746094,816056.55078125,398871.7492675781,318702.20233154297,238869.7992553711,792286.6184082031,704965.5673828125,258944.73635864252
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",578703.7203903198,503115.4162559509,356643.3669662476,439196.2760467529,87385.58686447144,101842.16680145264,80810.02714920044,502742.6997833252,380739.0824661255,113668.9673461914
3-hydroxyarachidonoylcarnitine,2006010.538330078,1804854.5581054688,1691555.87109375,1782707.8674316406,1853001.6511230469,1728707.09375,1758179.811767578,1799780.4743652344,1569145.6931152344,1896938.0458984373
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",1648205.6264648438,1483060.986328125,1352919.6352539062,1463896.3289794922,1493629.2587890625,1350391.4493408203,1432335.53125,1492376.4155273438,1272668.7355957031,1561962.6239013672
"3-hydroxylinoleoylcarnitine,",10761649.6015625,16541263.293945312,19619409.79248047,18211508.875,19984253.64794922,20210526.215820312,15035135.946289062,24845405.71484375,20141493.19873047,7696857.471191406
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",5162313.787597656,7377617.71875,8635526.384277344,8139380.811523437,8777433.122558594,8896624.508789062,7055534.583984375,10120286.5234375,8644065.336914062,4404611.219238281
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",1759514.2299804688,1729499.3325195312,1661999.3544921875,1749869.0766601562,1749794.1958007812,1715870.7236328125,1744912.2163085938,1702237.0874023438,1567913.7353515625,1825566.8857421875
C12:0,65259.664710998535,102755.98667907716,93574.48696136476,109801.30871582033,244185.5394592285,502122.9731445313,710519.4306640625,69178.10479736328,89496.72622680664,807750.4308166504
C12:1,47108.70352172852,69150.74453735352,65784.02473449707,62049.54445648193,113583.0078125,270074.0389404297,287798.99993896484,54428.58346557617,68969.32496643066,320718.3243408203
C14:0,898529.0009765625,1091242.5759277344,1048398.7133789062,1279555.7036132812,2319769.7622070312,4795566.249511719,6963518.0693359375,797848.4155273438,1038947.3747558594,6086357.071289063
C14:1,594265.6606445312,661317.3471069336,726307.5505981445,717026.0707397461,855747.0192871094,1478801.8356933594,1435120.964111328,615082.2641601562,682291.145690918,1603733.1870117188
C15:0,115030.28819274902,113912.88793945312,117210.58850097656,121836.94915771484,251196.03927612305,931129.7698974608,1090235.3614501953,110539.58795166016,123724.40884399414,1152721.5948486328
C15:1,296673.09677124023,185168.93379211423,236472.4353027344,235542.77764892572,438494.6328735352,1635409.1970214844,1655150.7130126953,210501.9548339844,202034.65341186523,1514256.1926269531
C16:0,520237.87005615234,619029.5606384277,687835.7874755859,682099.9892883301,1406338.4676513672,21696978.556396484,23354211.7565918,529921.4750976562,620287.5859985352,24158374.688964844
C16:1,83028.24620056152,92179.58646392822,105333.04737091064,98844.3080368042,243560.97749328613,1463452.8924560547,1805586.1708984373,86202.68649291992,91125.6865158081,2158698.156677246
C17:0,106294.46714782716,119093.28855895996,114860.32844543456,139662.78958129883,523007.9359741211,2593282.5930786133,3071493.1654663086,100422.14749145508,122047.9882965088,2972810.925720215
C17:1,64310.14447784424,72961.54518127441,76476.34498596191,78449.80569458008,163386.79238891602,602982.5654296875,573275.8400878906,61690.26426696777,74057.78514099121,625535.0833129883
C18:0,331727.46364593506,398423.98794555664,453710.31283569336,427606.13441467285,1195170.1613769531,26822640.43395996,23530379.48803711,352334.68466186523,399402.2286453247,22949736.43359375
C18:1,76538.52537536621,88351.62602233887,93067.82656860352,90479.36639404295,184608.3336181641,910963.5828857422,855011.8403320312,82890.0258178711,86888.56616210938,954833.6274414062
C18:2,67781.42481994629,80750.52571105957,80072.3256072998,83346.18618774414,197827.17599487305,1277089.952209473,652463.1795043945,70807.24513244629,76265.94551086426,719817.4752197266
C18:3,60280.80438232422,66972.42492675781,68185.1443939209,69524.76458740234,135642.82958984375,536904.0774536133,556984.080871582,64590.524490356445,63170.42427062988,639759.1867675781
C18:4,42168.5029296875,43943.263092041016,46511.78314208984,53779.40366363525,80847.46586608887,251535.9575805664,254400.53790283203,46533.32337188721,43442.8631439209,297272.72036743164
C19:0,110576.26768493652,102223.66697692873,123433.24899291992,109783.32733154295,317191.9226989746,3241307.137573242,2606082.5446777344,98136.66693115234,111588.76774597168,2496712.6459960938
C20:0,7604.120532989502,7622.380481719971,7634.660541534424,7639.580585479736,577442.6827392578,5042129.390625,3456997.7758789062,7596.040508270264,7619.42049407959,3588110.912597656
C20:1,8003.260551452637,8123.340503692627,7784.100551605225,7914.660617828369,143522.9499053955,726845.827331543,751014.5116577148,8022.220550537109,7994.180530548096,840781.7383422852
C20:3,136979.38968658447,100316.60711288452,65319.744525909424,108870.46718978882,381163.126953125,2196692.3862304688,1641727.3037109375,91157.68614196776,103897.3074798584,1108946.6127929688
C20:4,43572.74293518066,49491.54354095459,50602.823654174805,54842.16376495361,107660.04711914062,532156.9182739258,596100.1388549805,46574.74308776856,53875.42372894287,525532.2166137695
C20:5,87672.50679016113,104081.4468536377,119114.4077758789,105897.68690490724,188144.5343933105,1995148.889770508,1976678.9348754885,95898.60676574708,99464.44665527344,2234795.3063964844
C22:0,23399.06170654297,26651.96194076538,29380.08205795288,28800.42206192017,122871.94790649414,2416250.2287597656,1611712.4611816406,26260.50191116333,25082.26183319092,1738271.1184082031
C22:1,15650.301082611084,15641.161060333252,16140.621116638184,15731.241065979004,62404.16464996338,521649.2957458496,473792.9331970215,15058.681056976318,15180.181098937988,562976.8242797852
C22:4,13860.760997772217,14814.021087646484,14614.961017608644,14972.061054229736,59904.44418334961,317976.7225036621,341043.86407470703,14099.04095840454,14168.140979766846,407576.4501953125
C22:5,21134.02146530152,22982.461685180664,25691.161811828613,23460.461711883545,116665.22760009766,1596640.9282836914,1641801.1001586914,22931.98175811768,24359.44175720215,1739447.8699951172
C22:6,17106.52126312256,19093.52132797241,23184.56167602539,19049.58134841919,112179.4280090332,852127.6811523438,778891.28515625,17181.101203918457,17762.741245269775,826280.32421875
C24:0,11934.700847625732,12422.880878448486,11962.540851593018,12840.300930023192,35576.462577819824,7630.560523986816,7647.160579681396,12339.840816497805,11470.440799713137,7645.300586700439
C24:1,11565.220832824709,12050.7808303833,10972.920818328856,11653.540878295898,44909.34334564209,7631.160537719727,7644.080593109131,11309.860774993896,12344.300842285156,7645.220573425293
C24:5,15738.401149749756,15964.541080474854,15109.661087036133,15673.68117904663,57000.02405548096,279655.6807937622,624001.2620849609,15465.401084899902,16131.00112915039,714886.6081542969
C24:6,14481.600986480713,14724.921058654783,13442.360980987549,14948.381107330322,59095.50420379639,10546.140739440918,354402.948135376,14413.2610206604,13877.68102645874,415605.2879180908
C26:0,11094.560760498049,11362.400802612305,11605.460834503174,11749.080814361572,141754.75018310547,285523.23933410645,286680.2801055908,10922.100776672363,10977.520793914797,314647.0219268799
C26:1,11862.660820007324,12157.14087677002,13665.620986938477,13194.920936584473,316193.8034362793,231233.61688232425,254328.7173461914,12510.580871582031,12858.260913848875,275542.51921081543
C28:0,10795.200824737549,12676.12088394165,11160.080825805664,12089.440864562988,126774.08838272096,620624.3272666931,921608.5438575743,11346.440788269045,14290.341018676758,942742.3486595154
C30:0,8692.980613708496,10177.460697174072,9409.78065109253,10072.56076812744,41076.242710113525,529046.6750564575,626821.5882339478,10840.6407661438,11179.040767669678,514491.2581596375
C32:0,8103.960582733154,8342.200553894043,8305.340579986572,8386.080642700195,18470.46129226685,221910.69500732425,279200.08086013794,8321.540542602539,8389.820556640625,305144.40198135376
C34:0,10494.02073287964,10987.320747375488,10485.220756530762,11146.400840759276,37137.482566833496,288275.72148895264,343453.66204071045,11103.62077331543,10224.440677642822,371290.6688842773
Cer(d14:1(4E)/20:0(2OH)),83618.00576019287,65684.10403442383,56412.82353210449,56527.96408843994,50969.50338745117,54219.64370346069,46970.323123931885,44911.30355453491,52637.56365966797,50211.7035446167
Cer(d14:1(4E)/20:1(11Z)(2OH)),100976.027053833,75295.0057220459,83777.5252609253,82429.40523529053,53569.9035949707,57841.424072265625,51607.24343109131,66385.66468048096,67455.70527648926,58207.66443634033
Cer(d14:1(4E)/22:0(2OH)),1045563.1411705016,911247.462272644,727587.9548797607,763571.8783416748,769543.5727767944,733670.8095359802,861684.1185417175,1112994.5978775024,801876.4956321716,959443.559223175
Cer(d14:1(4E)/22:1(13Z)(2OH)),1003306.6694641112,888279.2268104553,705025.3226394653,741190.4307861328,757077.0777130127,704754.9338684082,843862.0259208679,1077618.9515800476,790294.2203903198,916265.2725219728
Cer(d14:1(4E)/24:0(2OH)),138482.29209136963,123345.10816192628,111052.08710479736,114983.2476234436,113664.52755737305,110666.2273902893,123675.88765716551,126405.50827407835,108610.56880187988,134923.91022872925
Cer(d14:1(4E)/26:0(2OH)),378687.4689025879,553499.0198974609,593033.5422821045,567803.4783248901,560405.2588539124,581617.4612426758,491750.2019920349,594248.168182373,595145.3946228027,324045.42502593994
"Cer(d14:2(4E,6E)/16:0)",36569.24269104004,43207.30297088623,39822.06280136109,40826.863262176514,43469.96287918091,37170.0026550293,45688.54325866699,36659.84269714356,41108.84299468994,48744.80326461792
"Cer(d14:2(4E,6E)/18:0(2OH))",41047.64293670654,50858.54306793213,50843.64400482178,47052.38296890259,53326.20362854004,44659.78339385986,48682.6035194397,42400.46326446533,47095.68347167969,57186.80380630493
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",38364.822425842285,50410.30330657959,43815.66324615479,48749.98352813721,48934.04312133789,45444.203437805176,50730.00401306152,42056.00294494629,40724.52266693115,54889.60378265381
"Cer(d14:2(4E,6E)/18:1(9Z))",36269.4024810791,47856.023151397705,45633.46314239502,43792.20291900635,50257.743576049805,35887.10263442993,46969.46282958984,37185.162647247314,43020.64310836792,52689.10400390625
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",68681.84567260742,74884.54563903809,59851.26445770264,62161.22441101074,61635.56430435181,59431.08422088623,60019.683948516846,51594.80355834961,57414.78372955322,65516.9846496582
"Cer(d14:2(4E,6E)/20:1(11Z))",39970.34275054932,46237.92321777344,42028.843044281006,46920.56356430054,46365.96300125122,36962.0428314209,42009.102840423584,35934.16244888306,41194.082916259766,45720.88299179077
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",801460.8133850098,711966.7505493164,610751.699596405,602502.0379333496,620138.5299377441,580191.3209991455,671283.4963188171,825867.1023635864,594778.1061706543,781338.4214324951
"Cer(d14:2(4E,6E)/24:0(2OH))",126944.5873184204,130536.80955505373,108461.3470954895,128125.5679473877,130636.9496498108,112089.08768463136,136392.7901649475,117835.48852539062,113940.36684799194,141184.82913208008
"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",660388.5580444336,614847.6120605469,514617.9124145508,509987.1778259277,503404.5989379883,494670.7143554688,532292.3584594727,703883.7639770508,517497.0614318848,619767.520324707
"Cer(d16:2(4E,6E)/24:0(2OH))",152708.03100585938,142184.78930664062,141723.1703491211,144627.31127929688,142645.58950805664,133046.96920776367,142850.1102294922,139150.44946289062,137532.40991210938,149615.56964111328
