Lipid,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo
1-O-palmitoyl-Cer(d18:1/16:0),41975.34289932251,43672.76354598999,43771.94339752197,41863.74258804321,41158.282787323,40904.52328491211
1-O-stearoyl-Cer(d18:1/16:0),44340.32306671143,49289.16366195679,44351.12351226807,34317.60231781006,35969.52249908447,40138.9030418396
1-O-tricosanoyl-Cer(d18:1/16:0),45042.482692718506,47179.88382720947,49861.92351913452,36280.562450408936,43573.80286026001,47277.84367752075
1-O-tricosanoyl-Cer(d18:1/18:0),13229.820877075195,10774.420791625977,11459.260730743408,10864.320823669434,11811.08076095581,10880.9607963562
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",3537992.9995117188,4869216.183105469,3993657.2543945312,4530618.3974609375,4468202.2490234375,4224210.512207031
12:0 Cholesteryl ester,184184.01274108887,194290.03338623047,57300.26417160034,186232.6936645508,183007.0717926025,49461.10324478149
12:0 Cholesteryl ester_2,194223.2352294922,194121.27363967896,55628.72424697876,189840.2132263184,177894.63215637207,54207.28388977051
14:0 Cholesteryl ester,174361.71353149414,103502.50770568848,44501.42287063599,104420.42792510986,109004.62704467772,49358.223373413086
14:1 Cholesteryl ester,167934.35008239746,103306.90727233888,43761.02275466919,103682.6265411377,112287.36878967284,47979.98323059082
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,292253.8006591797,309868.7003173828,101925.20712280272,274064.7186279297,268143.7779541016,100182.9266052246
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,288007.4022216797,308109.24353027344,105516.18823242188,278048.1408691406,271687.5393066406,96428.72689819336
15:0 Cholesteryl ester,253107.4787597656,264173.32067871094,101124.08694458008,258305.59765625,248950.81713867188,102162.18740844728
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,278878.5386352539,308956.20349121094,115424.5080871582,286384.1994628906,276976.9796142578,111654.76879882812
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,286760.6004638672,295662.2412109375,118771.74865722656,293948.66052246094,278041.7590332031,112872.2681274414
15:1 Cholesteryl ester,279110.23876953125,272599.61767578125,109607.08767700195,261043.47790527344,247970.59814453125,107635.2876586914
16:0 Campesteryl ester | 17:0 Cholesteryl ester,181109.19328308103,438289.16777038574,77134.06510925293,249489.0998535156,160506.25076293945,47949.46321105957
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,187184.9127502441,443183.8342895508,79354.32606506348,240007.47801208496,151672.46923828125,50140.58383560181
16:2 Campesteryl ester,167781.59133911133,418315.46867370605,74919.82628250122,239180.9777069092,147526.39030456543,45947.08301925659
"16:2 Cholesteryl ester, zymosteryl palmitoleate",292551.71875,297439.0616455078,110140.7073059082,276360.1994628906,269447.4189453125,107576.0082397461
16:3 Campesteryl ester,170507.59172058103,427672.8699798584,75315.50601577759,234669.65798187256,144066.910446167,46587.88315200806
16:3 Cholesteryl ester,270792.63830566406,275931.4796142578,110097.02749633788,274137.7209472656,262840.2385253906,104622.92736816406
16:3 Stigmasteryl ester,238233.19439697263,491452.9175415039,112134.6275253296,301400.6235656738,207753.87649536133,79884.74600219727
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",269417.33947753906,589933.1188049316,103941.22734069824,360051.7068176269,252912.35702514648,69250.00426864624
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",275774.5595397949,578218.7215881348,105990.80756378174,372578.784576416,249793.495513916,65956.20474243164
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",272276.99826049805,578229.0800170898,104960.36757659912,372894.063873291,253252.07821655276,72498.68489837646
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",282595.2204284668,584872.5077514648,106163.54775619508,350154.3428039551,255931.9373779297,67602.62491607666
17:1 Cholesteryl ester; 16:1 Campesteryl ester,172803.25178527832,436325.7263793945,77847.66497421265,243419.6374053955,148317.23024749756,45423.58345794678
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,165014.77180480957,415234.27352905273,75341.58574676514,236172.8360900879,147790.75193023682,48443.423652648926
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",238098.99700927731,265711.5782318115,72586.16502380371,222433.1926574707,217670.1551208496,58456.8840713501
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",234472.71701049805,270909.55950927734,68150.66487884521,230665.59564208984,212685.6136932373,61869.20440673828
18:1 Campesteryl ester,233450.5391235352,261731.28118896484,63951.22497558594,240928.99647521973,227796.5161743164,60167.68382263184
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",289138.4790649414,585151.3779449463,102739.50680541992,381474.1481933594,274696.0990600586,71782.84466552734
18:3 Campesteryl ester,213127.35446166992,242607.49642944336,66174.2045288086,206521.37365722656,195902.6728515625,58889.22416687012
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",315847.1044616699,595870.3013763428,103495.5284690857,400381.6452026367,283924.2213745117,76460.92622375488
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",419422.98986816406,415310.3869628906,146106.55047607422,391348.7673339844,354341.3049316406,139586.21026611328
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",427756.9488525391,430666.9284667969,150386.73071289062,382867.525756836,352302.1843261719,137866.00958251953
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",1218044.2957763672,1240025.518798828,1244585.4881591797,1289018.3786621094,1210873.5478515625,1173183.5369873047
20:0 Campesteryl ester,944354.227294922,799106.8182373047,242206.25750732425,469695.3544921875,501893.65234375,197502.67498779297
20:1 Campesteryl ester,922340.9077148438,768436.0723876953,229859.89709472656,461297.6511230469,503761.7349853516,199627.7740478516
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",420065.7504882813,422728.80859375,149125.32971191406,396489.7082519531,359091.7648925781,142767.74981689453
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",420005.0883789063,413933.3474121094,152263.0704345703,380589.8077392578,355941.384765625,146173.73016357422
20:3 Campesteryl ester,831691.5396728516,630418.0675048828,291385.0417480469,581533.5655517578,624555.2194824219,273740.8601074219
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",340624.28259277344,362469.4854736328,146808.49047851562,316081.24267578125,295324.5201416016,140183.13012695312
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",348037.0646057129,402231.2696151733,144343.5308227539,348575.3070983887,324714.06285095215,131112.8683166504
20:5 Cholesteryl ester,719790.7917480469,810821.262512207,246523.35818481445,771799.6127319336,714395.755935669,235360.5344581604
22:0 Campesteryl ester,526033.4529647827,384554.50311279297,71315.94483184814,335009.5023803711,319311.84059143066,69838.88446426392
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",636603.4621429443,524705.1521759033,114199.28704071043,172745.71115112305,235747.2753677368,80594.5062789917
22:0 Sitosteryl ester,561003.0242385864,421927.3472900391,79683.76554870605,375415.221206665,342953.5009460449,77020.76491165161
22:1 Campesteryl ester,479712.1131286621,395492.0505371094,70321.82493591309,300019.1825180054,286221.46573257446,66762.08471679688
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",631755.8412628174,508749.6130981445,112743.7882270813,169745.83312225342,234477.81832885745,84083.74672317505
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",568701.699710846,423679.4720993042,84803.34576416016,371401.4266014099,339966.16425323486,77005.56617355347
22:2 Campesteryl ester,289210.3822784424,381027.0474014282,70477.46474456787,109912.80857086182,103576.40770339966,55119.703243255615
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",558193.1280670166,415441.63109588623,78620.56488800049,350456.68489456177,326611.1287879944,73470.72465133667
22:3 Campesteryl ester,353298.22665405273,449166.6716766357,60358.8840713501,117693.50897216795,117399.28813171388,27730.041870117188
22:3 Stigmasteryl ester,511923.66984558105,404606.4286499024,73503.32471084595,336055.4048423767,324529.9819259644,70560.264919281
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",1016566.2236328124,848434.1008300781,253103.3198852539,505492.7348632813,542394.1608886719,215199.37567138672
22:5 Cholesteryl ester,964189.7916259766,834771.65625,240096.01763916016,490647.8161621094,528387.7165527344,207113.65533447263
22:6 Cholesteryl ester,964544.3095703124,816056.55078125,238869.7992553711,477660.0895996094,511284.4758300781,203145.3345336914
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",578703.7203903198,439196.2760467529,80810.02714920044,380375.3474197388,343044.65074920654,77957.44495010376
3-hydroxyarachidonoylcarnitine,2006010.538330078,1782707.8674316406,1758179.811767578,1790563.1328125,1705696.5053710938,1698589.076171875
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",1648205.6264648438,1463896.3289794922,1432335.53125,1469556.4709472656,1387417.1748046875,1385420.610961914
"3-hydroxylinoleoylcarnitine,",10761649.6015625,18211508.875,15035135.946289062,16175701.743652344,16419706.2265625,17175345.586914062
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",5162313.787597656,8139380.811523437,7055534.583984375,7209705.599609375,7470181.864257812,7760483.259277344
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",1759514.2299804688,1749869.0766601562,1744912.2163085938,1753678.2744140625,1650440.2626953125,1726526.607421875
C12:0,65259.664710998535,109801.30871582033,710519.4306640625,85580.02577972412,74923.58480072021,653824.168548584
C12:1,47108.70352172852,62049.54445648193,287798.99993896484,49931.84354400635,54982.60381317139,259565.99877929688
C14:0,898529.0009765625,1279555.7036132812,6963518.0693359375,1015557.393798828,1011738.4111328124,6046213.6572265625
C14:1,594265.6606445312,717026.0707397461,1435120.964111328,599084.623046875,714810.3697509766,1283313.6311035156
C15:0,115030.28819274902,121836.94915771484,1090235.3614501953,103824.6078491211,122971.3888092041,978235.9412841796
C15:1,296673.09677124023,235542.77764892575,1655150.7130126953,213923.8150939941,292221.74154663086,1946355.065673828
C16:0,520237.87005615234,682099.9892883301,23354211.7565918,575914.718963623,671411.6846313477,23273896.87438965
C16:1,83028.24620056152,98844.3080368042,1805586.1708984373,90039.48612976074,99205.5075149536,1551176.450012207
C17:0,106294.46714782716,139662.78958129883,3071493.1654663086,110541.86812591551,120016.02813720705,2790368.6721191406
C17:1,64310.14447784424,78449.80569458008,573275.8400878906,60772.00437927246,65939.6644897461,524639.7941894531
C18:0,331727.46364593506,427606.13441467285,23530379.48803711,362502.4236526489,440748.81315612793,30694361.858276367
C18:1,76538.52537536621,90479.36639404295,855011.8403320312,80559.24592590332,88099.3063659668,933400.5457763672
C18:2,67781.42481994629,83346.18618774414,652463.1795043945,73442.66500854492,75589.74545288086,698083.7495727539
C18:3,60280.80438232422,69524.76458740234,556984.080871582,53728.96374511719,70039.80529785156,542877.7591552734
C18:4,42168.5029296875,53779.40366363525,254400.53790283203,40413.74284362793,45068.98324584961,221650.59716796875
C19:0,110576.26768493652,109783.32733154295,2606082.5446777344,97796.74641418456,124545.28927612305,2724316.3669433594
C20:0,7604.120532989502,7639.580585479736,3456997.7758789062,7786.240581512451,7616.220481872559,4097641.898925781
C20:1,8003.260551452637,7914.660617828369,751014.5116577148,8162.660572052002,8022.740535736084,722962.9092407227
C20:3,136979.38968658447,108870.46718978882,1641727.3037109375,122215.80850601196,142620.22994995117,2218698.015625
C20:4,43572.74293518066,54842.16376495361,596100.1388549805,44692.9231262207,49378.24327850342,572772.0607910156
C20:5,87672.50679016113,105897.68690490724,1976678.9348754885,104304.14715576172,110983.42793273926,1982782.520263672
C22:0,23399.06170654297,28800.42206192017,1611712.4611816406,24892.821910858154,28235.482181549072,1712995.5904541016
C22:1,15650.301082611084,15731.241065979004,473792.9331970215,15487.821071624756,15168.301097869871,444693.6153564453
C22:4,13860.760997772217,14972.061054229736,341043.86407470703,12582.440914154053,14356.981021881104,306986.1030273437
C22:5,21134.021465301517,23460.461711883545,1641801.1001586914,21748.68156051636,25058.141830444336,1816660.3414916992
C22:6,17106.52126312256,19049.58134841919,778891.28515625,15993.341148376465,19020.54127502441,756597.8385009766
C24:0,11934.700847625732,12840.300930023192,7647.160579681396,12388.660903930664,11858.200817108154,7638.380542755127
C24:1,11565.220832824709,11653.540878295898,7644.080593109131,11738.680828094482,11354.360801696776,7633.980541229248
C24:5,15738.401149749756,15673.68117904663,624001.2620849609,15376.321109771729,14395.621006011965,530051.2543334961
C24:6,14481.600986480713,14948.381107330322,354402.948135376,13269.780883789062,13179.320930480955,258853.2403793335
C26:0,11094.560760498049,11749.080814361572,286680.2801055908,10576.300743103027,11245.940822601318,261543.07759857175
C26:1,11862.660820007324,13194.920936584473,254328.7173461914,12926.800945281982,13353.080894470217,233291.056640625
C28:0,10795.200824737549,12089.440864562988,921608.5438575743,11402.26082611084,11650.580795288086,684809.6028213501
C30:0,8692.980613708496,10072.56076812744,626821.5882339478,9297.000675201416,9123.000602722168,480525.6749305725
C32:0,8103.960582733154,8386.080642700195,279200.08086013794,8088.4605712890625,8280.70057296753,274007.4186592102
C34:0,10494.02073287964,11146.400840759276,343453.66204071045,10922.560760498049,11188.040767669678,310052.53927993774
Cer(d14:1(4E)/20:0(2OH)),83618.00576019287,56527.96408843994,46970.323123931885,49878.70409011841,56111.02438354492,45659.42296600342
Cer(d14:1(4E)/20:1(11Z)(2OH)),100976.027053833,82429.40523529053,51607.24343109131,52688.6039352417,70659.82479858398,49852.18405914307
Cer(d14:1(4E)/22:0(2OH)),1045563.1411705016,763571.8783416748,861684.1185417175,832938.3742713928,834609.2866287231,877342.0538597107
Cer(d14:1(4E)/22:1(13Z)(2OH)),1003306.6694641112,741190.4307861328,843862.0259208679,819234.1487236023,805563.0180473328,830461.3099212646
Cer(d14:1(4E)/24:0(2OH)),138482.29209136963,114983.2476234436,123675.88765716551,122786.96894454956,117472.3676261902,113448.3260307312
Cer(d14:1(4E)/26:0(2OH)),378687.4689025879,567803.4783248901,491750.2019920349,510906.1202926636,527990.4151763916,492965.01626586914
"Cer(d14:2(4E,6E)/16:0)",36569.24269104004,40826.863262176514,45688.54325866699,42436.223178863525,38605.86249923706,39105.20266342163
"Cer(d14:2(4E,6E)/18:0(2OH))",41047.64293670654,47052.38296890259,48682.6035194397,47569.923416137695,45236.16244888306,43166.66304779053
"Cer(d14:2(4E,6E)/18:1(9Z)(2OH))",38364.822425842285,48749.98352813721,50730.00401306152,49429.76351547241,44780.18308258057,45603.483127594
"Cer(d14:2(4E,6E)/18:1(9Z))",36269.4024810791,43792.20291900635,46969.46282958984,43888.96270751953,40150.343017578125,41182.24285125733
"Cer(d14:2(4E,6E)/20:1(11Z)(2OH))",68681.84567260742,62161.22441101074,60019.683948516846,58682.24353790283,64424.86461257935,55648.38431549072
"Cer(d14:2(4E,6E)/20:1(11Z))",39970.34275054932,46920.56356430054,42009.102840423584,43630.88298416138,43056.243072509766,40104.60297393799
"Cer(d14:2(4E,6E)/22:1(13Z)(2OH))",801460.8133850098,602502.0379333496,671283.4963188171,663236.8067817688,657568.1054000854,680657.4501495361
"Cer(d14:2(4E,6E)/24:0(2OH))",126944.5873184204,128125.5679473877,136392.7901649475,122970.74995422363,124202.62926101685,123143.59008789062
"Cer(d16:2(4E,6E)/22:1(13Z)(2OH))",660388.5580444336,509987.1778259277,532292.3584594727,624714.544128418,543594.5751953125,642901.4583740234
"Cer(d16:2(4E,6E)/24:0(2OH))",152708.03100585938,144627.31127929688,142850.1102294922,145917.6908569336,146215.5704345703,144512.1300048828
Cer(d18:0/14:0),76590.40516662598,72753.74540710449,65718.24452972412,65517.92485046387,72924.90547180176,67614.86534118652
Cer(d18:0/16:0(2OH)),154726.37161254883,149797.71005249023,161353.7706604004,130839.52978515624,136609.7900390625,150314.83074951172
Cer(d18:0/16:0),118692.06811523438,109609.50817871094,112117.84796142578,101159.6470336914,107784.70724487305,103744.06771850586
Cer(d18:0/18:0(2OH)),130583.3279876709,122910.10862731934,131247.60917663574,105480.52641296388,120564.78799438477,132811.99057006836
Cer(d18:0/18:0),149210.90942382812,140803.89176940918,147970.37173461914,123855.38864135742,140524.78997802734,147919.83055114746
Cer(d18:0/20:0(2OH)),200653.45449829104,188047.39164733887,189347.37405395508,161809.09149169922,184384.3119506836,204300.77325439453
Cer(d18:0/20:0),134113.38821411133,120012.84866333008,125828.38876342772,104600.3268737793,113782.56759643556,121897.5087890625
Cer(d18:0/22:0(2OH)),2519364.7571411133,2208841.9205932617,2138940.8828125,2307491.6615600586,2190130.057800293,2324789.8432617188
Cer(d18:0/22:0),182697.05377197263,165527.31121826172,178499.39318847656,145387.1103515625,175119.2123413086,197795.8358154297
Cer(d18:0/24:0),2625003.172973633,2309902.7052612305,2261162.507446289,2437844.811950684,2397774.8552856445,2454162.845397949
Cer(d18:0/26:0),722315.9315795898,1052177.0668945312,937566.7385253906,878236.0248413086,980385.3680419922,925163.5900268556
Cer(d18:0/h24:0),290313.6188659668,268821.9165649414,274027.75885009766,249326.7985229492,271977.61849975586,265192.8599243164
Cer(d18:0/h26:0),714557.6403198242,1050206.1356811523,922139.064086914,893579.0191040039,960953.4301757812,924373.4024658204
Cer(d18:1/12:0),60649.14424133301,59109.48402404785,46814.34299468994,50615.02377319336,60547.88450622559,46443.42339324951
Cer(d18:1/16:0),110343.84799194336,87653.74635314941,97444.96645355225,73603.02542877197,83371.86600494385,87593.26596069336
Cer(d18:1/18:0),107768.54822921751,115474.96814727785,103438.687210083,72997.88515090942,96879.0273361206,80138.64586639404
Cer(d18:1/18:1(9Z)),193545.1158370972,192164.97288513184,208010.8747253418,121397.20805358888,166569.0297241211,154464.55025863647
Cer(d18:1/20:0),57316.40448760986,54412.4843826294,48239.84332275391,46031.003189086914,50555.063385009766,49159.8235282898
Cer(d18:1/22:0),1037137.8373565674,160806.1912765503,307433.958732605,127386.4494857788,426785.32693481445,532489.6216278076
Cer(d18:1/24:0),597393.7955322266,466028.2744064331,525554.4322433472,504026.27755737305,458609.01628112793,507183.0837211609
Cer(d18:1/24:1(15Z)),602736.5419998169,472518.2904319763,495295.6709213257,476584.7764816284,442146.273601532,494165.7040634155
Cer(d18:1/26:0),385644.3674545288,511342.61725616455,462894.2963142395,473404.6973800659,488584.6736297608,472262.291633606
Cer(d18:1/26:1(17Z)),400441.0852546692,510416.1512298584,479926.4353713989,458944.1316452026,490545.5450744629,464220.377204895
Cer(d18:1/2:0),54291.603660583496,56176.74384307861,50214.62384033203,54912.243408203125,54653.343826293945,50684.86318969727
Cer(d18:2/14:0),3416852.9455070496,269664.724155426,694974.3241043091,224569.1407394409,734661.9940185547,1252961.2428741455
Cer(d18:2/16:0),123757.82781982422,68455.36488723755,80657.44599914551,58074.303119659424,67649.88531112671,72672.30489349365
Cer(d18:2/18:1),266919.77966308594,241604.7359619141,252434.47973632807,205469.9732666016,240688.2953491211,265013.5396728516
Cer(d18:2/20:0),266852.4979248047,242336.5787353516,247730.11840820312,241747.6973876953,241005.63720703125,253180.91723632807
Cer(d18:2/20:1),280299.33935546875,236165.61596679688,271318.1794433594,245440.4774169922,254821.9381103516,274121.9185791016
Cer(d18:2/22:0),21876463.47729492,2192631.454345703,5911809.000732422,1942072.0131835935,8367852.797119141,10945631.022216797
Cer(d20:0/26:0(2OH)),275616.54064941406,367740.8090209961,339854.6871032715,341031.32510375977,343698.8028869629,329765.48638916016
Cer(d20:0/26:0),290547.4771728516,357204.6473693848,345908.2863006592,338082.04846191406,348063.08459472656,341289.64169311523
Cer(t18:0/16:0(2OH)),534204.100982666,603254.3074645996,580371.6365661621,760759.1763153076,590701.1457519531,673812.5238342285
Cer(t18:0/18:0(2OH)),128271.2089996338,136849.28987121582,131088.89018249512,119756.94918060304,133543.85005187988,113967.16889953612
Cer(t18:0/20:0(2OH)),770556.0726623535,468678.571975708,623066.1385498047,336172.1642150879,530264.8611755371,678220.4642333984
Cer(t18:0/22:0(2OH)),940140.0170059204,743301.6553649902,796962.058631897,828803.8756408691,765028.7940673828,833192.4963912964
Cer(t18:0/24:0(2OH)),405635.0665588379,322809.5827178955,415376.3258514404,334014.90322875977,328491.3587799072,426339.08993530273
Cer(t18:0/26:0(2OH)),577438.0233917236,822959.9746398926,734778.9151687622,756609.9052581787,778105.2474822998,708241.9950561523
Cer(t20:0/26:0(2OH)),3401.260238647461,3327.640254974365,529730.6989440918,3385.2402305603027,3338.240261077881,525944.8955383301
CerP(d18:0/16:0),179596.93313598633,168011.5310974121,176126.79162597656,145889.07064819336,173967.89309692383,186530.4722290039
CerP(d18:1/12:0),250289.65614318848,246327.43495178223,255952.5352706909,148416.2109451294,209623.53649902344,190351.39149475095
CerP(d18:1/14:0),64288.3443069458,57160.08363723755,57864.88422393799,52508.603843688965,58187.183921813965,51611.50421142578
CerP(d18:1/16:0),1047218.1471862792,161611.6707763672,317005.54399108887,130079.44917297363,441614.6718521118,543010.1772384644
CerP(d18:1/18:0),585449.997138977,445903.5458679199,478887.2141189575,469433.774559021,431976.370513916,493405.034324646
CerP(d18:1/20:0),412531.6954803467,516332.2277946472,464796.0968894959,472636.85572052,497808.4644393921,474129.838760376
CerP(d18:1/22:0),71332.52573013306,76476.0055770874,68321.12446212769,73487.74433135986,78789.66569519043,70169.16439056396
CerP(d18:1/24:0),59776.82378005981,69345.72481155396,64170.64370727539,58639.34447860718,65843.74468612671,61777.78484344482
CerP(d18:1/24:1(15Z)),58633.78398513794,70399.26530075073,65185.04468154907,61522.58404541016,62831.324630737305,63477.70432662964
CerP(d18:1/26:0),56837.58446121216,50731.8637008667,44272.76279449463,42843.68291854858,50583.88276672363,47780.28330612183
CerP(d18:1/26:1(17Z)),57241.684047698975,52078.04344558716,44502.86340332031,43884.68307495117,51035.64378738403,48709.86431121826
CerP(d18:1/2:0),78310.10557556152,78514.5859375,73171.8849105835,73595.08448791504,72762.68531799316,67430.3247756958
CerP(d18:1/8:0),193493.39218139648,52068.70327377319,66779.88539123535,51960.343505859375,69659.42568969727,92670.88595581056
"Cholesteryl 11-hydroperoxy-eicosatetraenoate, 22:2 Cholesteryl ester, 20:1 Stigmasteryl ester, 20:2 Sitosteryl ester",631113.1820526123,519931.7783508301,111592.80855560304,182368.67237854004,239286.7336273193,81550.40517807007
Cholesteryl nitrolinoleate,916999.603881836,793275.0352783203,235085.15655517575,484774.7937011719,499352.9739990234,200191.75354003903
"Docosa-4,7,10,13,16-pentaenoyl carnitine, Clupanodonyl carnitine",1322355.9704589844,1216073.9246826172,1198193.4553222656,1217195.0576171875,1156696.5146484375,1142590.8630371094
Hexacosanoyl carnitine,1618919.9663162231,1518398.7227973938,1581639.0426635742,1595356.639831543,1497337.0555114746,1534596.2458267212
"Linoelaidyl carnitine, O-linoleoylcarnitine, 9,12-Hexadecadienylcarnitine",5371311.2333984375,8483516.650390625,7063102.595703125,7497100.624023437,7606179.126953125,7872479.287109375
Lyso_C17 sphingosine-1-phosphocholine,62717.02403259277,62700.98388671875,64643.46548461914,62577.64376831055,62873.44418334961,61145.704650878906
Lyso_PC(10:0),40586.26254272461,41939.36279296875,39700.14270019531,36900.622619628906,38798.06301879883,40816.343170166016
Lyso_PC(11:0),54829.30322265625,54804.46389770508,61528.24508666992,50120.82278442383,57321.063873291016,54466.043884277344
Lyso_PC(12:0),76078.90518188477,84778.92742919922,79462.86553955078,78655.5856628418,80178.16613769531,80681.2056274414
Lyso_PC(13:0),44602.64349365234,42521.94253540039,47130.6435546875,45245.12368774414,47799.66296386719,42337.20234680176
Lyso_PC(14:0),193965.5513916016,198015.6134033203,198697.41284179688,184778.86895751956,192864.4178466797,189059.4112548828
Lyso_PC(14:1),153161.81298828125,161758.591796875,170637.77001953125,147801.4921875,150868.05053710938,150934.03002929688
Lyso_PC(15:0),289042.0607070923,282083.1940307617,283608.35565185547,267262.28259277344,283144.4197692871,251099.13604736328
Lyso_PC(15:1),237573.4570465088,242139.5730895996,249241.88037109372,233886.9584350586,236541.90101623532,234073.7606201172
Lyso_PC(16:0),231953.0191040039,254127.5302734375,230902.83569335935,221436.17752075195,229243.11297607425,222496.07989501956
Lyso_PC(16:1),218835.897857666,230079.5399169922,215836.0550537109,199891.7955932617,222504.7127380371,194684.01489257807
