Lipid,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype_WT__Brain_Region_cortex,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo,Genotype__WT___Brain_Region__hippo
(11Z)-eicoseneoylcarnitine,1450974.412109375,1446175.0439453125,1469500.5795898438,1456478.2348632812,1413134.9760742188,1427365.9682617188
"(11Z,14Z)-eicosadienoylcarnitine",1464825.83203125,1445031.9301757812,1422254.4301757812,1450859.4833984375,1382104.2397460938,1351883.9409179688
"(13Z,16Z)-docosadienoylcarnitine",1547859.026428223,1384342.3704833984,1401085.4095458984,1468483.6235961914,1328693.3626708984,1344775.7668457031
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",2341072.076904297,2281951.5776367188,2132253.7890625,2338786.4896240234,2207064.514526367,2303434.271972656
"(5Z,8Z)-tetradecadienoylcarnitine",75825428.85351562,29749622.64453125,40969587.21484375,26782130.58300781,71101793.19970703,66282272.07910156
"(7Z,10Z)-hexadecadienoylcarnitine",1808904.2744140625,1820135.4990234373,1873401.7072753904,1825433.856201172,1740083.2781982422,1721781.189453125
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",1355693.1580810547,1244091.2459716797,1216621.2817382812,1245549.2482910156,1155280.1492919922,1153606.4608154297
(9Z)-3-hydroxyoctadecenoylcarnitine,11026079.612304688,19093728.143554688,15453683.57763672,16846448.53515625,17096836.13671875,17868681.639160156
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",4689957.828857422,7210002.552490234,6411734.287353516,6432831.161865234,6656555.244384766,6981670.763916016
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",10508922.293945312,17918375.471679688,14634731.657226562,16027996.416015623,16234431.17919922,16859631.28076172
1-O-behenoyl-Cer(d18:1/16:0),33323.14264297485,36546.822441101074,39283.802684783936,31600.96230316162,38293.78224563599,37147.423122406006
1-O-carboceroyl-Cer(d18:1/16:0),119585.8681526184,86770.38639831543,115558.20627593994,61262.46444320679,92696.36716842651,134329.46858596802
1-O-carboceroyl-Cer(d18:1/18:0),24480.881874084476,23461.22156906128,21810.941791534424,21668.40147781372,23203.34190750122,21004.281448364258
1-O-cerotoyl-Cer(d18:1/16:0),100954.5672607422,83571.66579055786,98255.28512954712,82006.22617340088,104129.10850906372,99503.34856796265
1-O-cerotoyl-Cer(d18:1/18:0),304801.284576416,276514.4203910828,285917.71657562256,280969.05976486206,300359.0815124512,259670.5165176392
1-O-eicosanoyl-Cer(d18:1/16:0),38517.28271102905,40629.2631149292,37163.8623008728,29833.582180023197,35027.162464141846,34894.54271697998
1-O-lignoceroyl-Cer(d18:1/16:0),104923.82834243774,79647.96742630005,97751.66666412354,54778.02419662476,81422.12617874146,112472.52647018433
1-O-myristoyl-Cer(d18:1/16:0),55029.08363342285,50479.26407623291,45911.8233833313,46942.16307449341,50195.963748931885,49277.52336502075
