Lipid,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype_WT__Brain_Region_cerebellum,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex,Genotype__WT___Brain_Region__cortex
(11Z)-eicoseneoylcarnitine,1410061.365234375,1453789.9145507812,1548320.9340820312,1450974.412109375,1446175.0439453125,1469500.5795898438
"(11Z,14Z)-eicosadienoylcarnitine",1408351.625,1448199.4814453125,1567602.6728515625,1464825.83203125,1445031.9301757812,1422254.4301757812
"(13Z,16Z)-docosadienoylcarnitine",1334500.4373779297,1392547.188293457,2235124.575866699,1547859.026428223,1384342.3704833984,1401085.4095458984
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",2215148.1447753906,2234323.5102539062,2256080.6622314453,2341072.076904297,2281951.5776367188,2132253.7890625
"(5Z,8Z)-tetradecadienoylcarnitine",97017264.0888672,62660995.83984375,69671289.73339844,75825428.85351562,29749622.64453125,40969587.21484375
"(7Z,10Z)-hexadecadienoylcarnitine",1807297.3984375,1819888.0288085935,2113105.662841797,1808904.2744140625,1820135.4990234373,1873401.7072753904
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",1186263.4771728516,1201712.4168701172,1592147.222290039,1355693.1580810547,1244091.2459716797,1216621.2817382812
(9Z)-3-hydroxyoctadecenoylcarnitine,14309309.020996094,14130034.278320312,13802748.841796877,11026079.612304688,19093728.143554688,15453683.57763672
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",5710127.011474609,5824302.932617188,5732824.095458984,4689957.828857422,7210002.552490234,6411734.287353516
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",13681185.669433594,13360938.161621094,13065989.963378906,10508922.293945312,17918375.471679688,14634731.657226562
1-O-behenoyl-Cer(d18:1/16:0),36516.56300354004,35957.26264572144,34225.282024383545,33323.14264297485,36546.822441101074,39283.802684783936
1-O-carboceroyl-Cer(d18:1/16:0),92730.02653503418,82360.3857345581,87016.90506744385,119585.8681526184,86770.38639831543,115558.20627593994
1-O-carboceroyl-Cer(d18:1/18:0),23910.721534729004,21830.84148788452,21737.88181304932,24480.881874084476,23461.22156906128,21810.941791534424
1-O-cerotoyl-Cer(d18:1/16:0),97478.24760437012,85335.76477050781,105676.1282157898,100954.5672607422,83571.66579055786,98255.28512954712
1-O-cerotoyl-Cer(d18:1/18:0),305559.53926086426,284533.3180465698,315078.30672073364,304801.284576416,276514.4203910828,285917.71657562256
1-O-eicosanoyl-Cer(d18:1/16:0),50221.2636795044,97699.06726837158,35528.922370910645,38517.28271102905,40629.2631149292,37163.8623008728
1-O-lignoceroyl-Cer(d18:1/16:0),77242.60544967651,81890.94709014893,73431.82516098022,104923.82834243774,79647.96742630005,97751.66666412354
1-O-myristoyl-Cer(d18:1/16:0),55769.94352340698,59503.92415237427,51984.18327713013,55029.08363342285,50479.26407623291,45911.8233833313
1-O-palmitoyl-Cer(d18:1/16:0),42922.682651519775,68184.54487991333,40714.48252868652,41975.34289932251,43672.76354598999,43771.94339752197
1-O-stearoyl-Cer(d18:1/16:0),61475.42427444458,137949.04893875122,43658.14338684082,44340.32306671143,49289.16366195679,44351.12351226807
1-O-tricosanoyl-Cer(d18:1/16:0),43802.02247619629,44314.10312652588,45363.443408966064,45042.482692718506,47179.88382720947,49861.92351913452
1-O-tricosanoyl-Cer(d18:1/18:0),11110.9609375,11287.780799865724,10400.820728302002,13229.820877075195,10774.420791625977,11459.260730743408
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",4113421.935546875,4024964.0034179688,4172629.2885742183,3537992.9995117188,4869216.183105469,3993657.2543945312
12:0 Cholesteryl ester,194297.81564331052,206243.57360839844,53790.523944854736,184184.01274108887,194290.03338623047,57300.26417160034
12:0 Cholesteryl ester_2,190207.0535888672,198169.4523773193,51690.70365142822,194223.2352294922,194121.27363967896,55628.72424697876
14:0 Cholesteryl ester,151012.9727783203,95271.94723510742,54412.36402511597,174361.71353149414,103502.50770568848,44501.42287063599
14:1 Cholesteryl ester,146649.31089782715,99486.52751159668,53858.74382400513,167934.35008239746,103306.90727233888,43761.02275466919
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,273822.9802246094,280063.2983398437,99011.74743652344,292253.8006591797,309868.7003173828,101925.20712280272
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,266944.2990722656,270783.4014892578,96553.88653564452,288007.4022216797,308109.24353027344,105516.18823242188
15:0 Cholesteryl ester,241246.33728027344,253455.57739257807,105602.46716308594,253107.4787597656,264173.32067871094,101124.08694458008
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,278759.4783935547,273873.7996826172,111482.82788085938,278878.5386352539,308956.20349121094,115424.5080871582
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,272410.89880371094,280813.90087890625,110884.42791748048,286760.6004638672,295662.2412109375,118771.74865722656
15:1 Cholesteryl ester,260969.47998046875,254370.2586669922,106415.78732299805,279110.23876953125,272599.61767578125,109607.08767700195
16:0 Campesteryl ester | 17:0 Cholesteryl ester,163176.71159362793,187992.35208892825,46379.60326766968,181109.19328308103,438289.16777038574,77134.06510925293
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,160255.63095092773,202342.0154266357,50241.78372955322,187184.9127502441,443183.8342895508,79354.32606506348
16:2 Campesteryl ester,157160.73239135742,191045.8516845703,48198.26329803467,167781.59133911133,418315.46867370605,74919.82628250122
"16:2 Cholesteryl ester, zymosteryl palmitoleate",269839.3192138672,260879.01892089844,113157.4481201172,292551.71875,297439.0616455078,110140.7073059082
16:3 Campesteryl ester,154318.75048446655,185146.27444458008,47734.20327758789,170507.59172058103,427672.8699798584,75315.50601577759
16:3 Cholesteryl ester,254891.2978515625,267854.7390136719,103272.96737670898,270792.63830566406,275931.4796142578,110097.02749633788
16:3 Stigmasteryl ester,209177.1556091309,238084.13414001465,74735.34531402588,238233.19439697263,491452.9175415039,112134.6275253296
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",263683.299118042,306007.86514282227,72935.00525665283,269417.33947753906,589933.1188049316,103941.22734069824
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",264936.3984527588,297442.67919921875,70505.20509338379,275774.5595397949,578218.7215881348,105990.80756378174
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",262366.89752197266,291198.4189758301,70637.34497070312,272276.99826049805,578229.0800170898,104960.36757659912
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",270283.1389465332,304620.8027038574,71781.18487167358,282595.2204284668,584872.5077514648,106163.54775619508
17:1 Cholesteryl ester; 16:1 Campesteryl ester,159780.23112487793,195049.0751647949,50700.763595581055,172803.25178527832,436325.7263793945,77847.66497421265
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,141740.25134277344,189485.9930114746,45853.58361053467,165014.77180480957,415234.27352905273,75341.58574676514
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",219805.5156860352,230061.63494873047,61646.12407684326,238098.99700927731,265711.5782318115,72586.16502380371
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",218252.77764892575,222260.49298095703,57490.724044799805,234472.71701049805,270909.55950927734,68150.66487884521
18:1 Campesteryl ester,224761.6177978516,221406.51528930664,57654.62384033203,233450.5391235352,261731.28118896484,63951.22497558594
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",280304.0225830078,318279.0209350586,71046.00440979004,289138.4790649414,585151.3779449463,102739.50680541992
18:3 Campesteryl ester,204601.67504882807,201746.27587890625,59464.94415283203,213127.35446166992,242607.49642944336,66174.2045288086
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",303762.46228027344,323355.76055908203,75469.04551696777,315847.1044616699,595870.3013763428,103495.5284690857
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",394841.6081542969,361790.4643554688,141033.05004882812,419422.98986816406,415310.3869628906,146106.55047607422
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",389983.6870117188,350235.70349121094,141314.990234375,427756.9488525391,430666.9284667969,150386.73071289062
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",1239495.3037109375,1246068.608642578,1313484.6853027344,1218044.2957763672,1240025.518798828,1244585.4881591797
20:0 Campesteryl ester,585695.0806884766,473914.7347412109,214888.3358154297,944354.227294922,799106.8182373047,242206.25750732425
20:1 Campesteryl ester,591302.220703125,470726.4147949219,206285.61291503903,922340.9077148438,768436.0723876953,229859.89709472656
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",399111.8679199219,371012.6671142578,143911.17016601562,420065.7504882813,422728.80859375,149125.32971191406
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",397876.2894287109,374258.9852294922,143833.49053955078,420005.0883789063,413933.3474121094,152263.0704345703
20:3 Campesteryl ester,718330.4713134766,585737.4237060547,297018.6400756836,831691.5396728516,630418.0675048828,291385.0417480469
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",331318.5635986328,305953.5029296875,136850.70935058594,340624.28259277344,362469.4854736328,146808.49047851562
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",353973.44651794434,347179.2874908447,132554.4094543457,348037.0646057129,402231.2696151733,144343.5308227539
20:5 Cholesteryl ester,744792.4973754883,726792.6704101562,239452.2180480957,719790.7917480469,810821.262512207,246523.35818481445
22:0 Campesteryl ester,328048.70728302,321248.46086883545,65602.16407394409,526033.4529647827,384554.50311279297,71315.94483184814
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",273860.9999847412,198562.29412078857,90103.56624221802,636603.4621429443,524705.1521759033,114199.28704071043
22:0 Sitosteryl ester,361571.613319397,384457.0058746338,74688.44552993774,561003.0242385864,421927.3472900391,79683.76554870605
22:1 Campesteryl ester,276676.6441421509,289324.78229522705,61668.54472351074,479712.1131286621,395492.0505371094,70321.82493591309
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",276648.3995361328,193528.11378479004,89969.3465385437,631755.8412628174,508749.6130981445,112743.7882270813
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",368723.5038909912,365224.468170166,74251.82576751709,568701.699710846,423679.4720993042,84803.34576416016
22:2 Campesteryl ester,107182.94714355467,130781.98825073242,53468.66411590576,289210.3822784424,381027.0474014282,70477.46474456787
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",350452.42657470703,345563.46530914307,71689.82487487793,558193.1280670166,415441.63109588623,78620.56488800049
22:3 Campesteryl ester,119099.86869812012,140469.92993164062,32036.042041778564,353298.22665405273,449166.6716766357,60358.8840713501
22:3 Stigmasteryl ester,327154.7291030884,340397.6675796509,71032.12460327148,511923.66984558105,404606.4286499024,73503.32471084595
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",635157.966796875,495490.35778808594,231045.13665771484,1016566.2236328124,848434.1008300781,253103.3198852539
22:5 Cholesteryl ester,602304.2216796875,474177.8748779297,214552.43481445312,964189.7916259766,834771.65625,240096.01763916016
22:6 Cholesteryl ester,590267.5639648438,471349.9522705078,207493.234375,964544.3095703124,816056.55078125,238869.7992553711
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",370315.3039894104,374672.5684509277,71333.26514053345,578703.7203903198,439196.2760467529,80810.02714920044
3-hydroxyarachidonoylcarnitine,1743413.8393554688,1767162.2346191406,2071022.1474609373,2006010.538330078,1782707.8674316406,1758179.811767578
"3-hydroxyeicosanoylcarnitine, Cervonyl carnitine",1407759.0158691406,1430833.4693603516,1726085.123046875,1648205.6264648438,1463896.3289794922,1432335.53125
"3-hydroxylinoleoylcarnitine,",13833465.81298828,13605475.501464844,13313878.918457031,10761649.6015625,18211508.875,15035135.946289062
"3-hydroxypalmitoleoylcarnitine, Heptadecanoyl carnitine",6347135.7314453125,6494530.602050781,6203783.0927734375,5162313.787597656,8139380.811523437,7055534.583984375
"Arachidyl carnitine, O-[(9Z)-17-carboxyheptadec-9-enoyl]carnitine",1684092.1088867188,1725702.0595703125,1831606.1508789065,1759514.2299804688,1749869.0766601562,1744912.2163085938
C12:0,51106.78370666504,91973.32678222656,579113.6983642578,65259.664710998535,109801.30871582033,710519.4306640625
C12:1,36461.78248596192,56407.56418609619,267596.4381713867,47108.70352172852,62049.54445648193,287798.99993896484
C14:0,742224.6928710938,1357406.8583984375,4816041.5947265625,898529.0009765625,1279555.7036132812,6963518.0693359375
C14:1,459139.11328125,698750.2480773926,1384640.4365234375,594265.6606445312,717026.0707397461,1435120.964111328
C15:0,83619.20587158203,114550.88809204102,980730.3876953124,115030.28819274902,121836.94915771484,1090235.3614501953
C15:1,243891.4972076416,172873.8332824707,2037424.6431884768,296673.09677124023,235542.77764892575,1655150.7130126953
C16:0,492442.299697876,722177.9931945801,24710067.015625,520237.87005615234,682099.9892883301,23354211.7565918
C16:1,69926.42470932007,101032.60723114014,1601274.842224121,83028.24620056152,98844.3080368042,1805586.1708984373
C17:0,82212.16567230225,125040.14878082275,2558531.094116211,106294.46714782716,139662.78958129883,3071493.1654663086
C17:1,41137.10298156738,79882.28601074219,500772.4754638672,64310.14447784424,78449.80569458008,573275.8400878906
C18:0,315278.34188079834,433378.3914489746,25256819.70678711,331727.46364593506,427606.13441467285,23530379.48803711
C18:1,55659.40390014648,90638.84634399414,810537.4561767578,76538.52537536621,90479.36639404295,855011.8403320312
C18:2,51517.12364196777,82772.3656463623,598530.7807617188,67781.42481994629,83346.18618774414,652463.1795043945
C18:3,40196.66284179688,68739.76467895508,482672.510131836,60280.80438232422,69524.76458740234,556984.080871582
C18:4,29795.62212371826,42841.50294494629,253638.45809936523,42168.5029296875,53779.40366363525,254400.53790283203
C19:0,79735.1650314331,100824.54722595216,2517998.448852539,110576.26768493652,109783.32733154295,2606082.5446777344
C20:0,7625.920551300049,7608.080535888672,3569106.7729492188,7604.120532989502,7639.580585479736,3456997.7758789062
C20:1,7973.540523529053,7957.200546264648,668306.7871704102,8003.260551452637,7914.660617828369,751014.5116577148
C20:3,135101.6886024475,104132.10711669922,2262179.7631835938,136979.38968658447,108870.46718978882,1641727.3037109375
