Lipid,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype_5xFAD__Brain_Region_cerebellum,Genotype__5xFAD___Brain_Region__cortex,Genotype__5xFAD___Brain_Region__cortex,Genotype__5xFAD___Brain_Region__cortex,Genotype__5xFAD___Brain_Region__cortex
(11Z)-eicoseneoylcarnitine,1256930.4736328125,1313193.267578125,1370506.4516601562,1476902.5249023438,1624465.5419921875,1461574.3852539062,1395572.740234375,1457662.7182617188,1408961.5532226562
"(11Z,14Z)-eicosadienoylcarnitine",1262933.6362304688,1288290.3208007812,1349906.3383789062,1447970.6625976562,1569963.0502929688,1429124.1762695312,1350856.4809570312,1431788.9677734375,1357653.3920898438
"(13Z,16Z)-docosadienoylcarnitine",1200177.8431396484,1229167.669921875,1293432.1517333984,1486547.2768554688,1530059.8298339844,1420361.1004638672,1281745.7750854492,1508125.2795410156,1349872.0334472656
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",1939767.9885253904,2430496.0634765625,2140645.078491211,2665311.731689453,2279392.241455078,2184246.087890625,2205746.576171875,2470854.001464844,2018780.2897949216
"(5Z,8Z)-tetradecadienoylcarnitine",154140949.5595703,92351915.6875,63344919.2109375,16220704.654785156,24353723.305664062,29948597.337890625,26648913.84375,16632944.549316406,65346110.588378906
"(7Z,10Z)-hexadecadienoylcarnitine",1559599.7697753906,1588900.268798828,1693150.3903808594,1906106.0573730469,1901348.182861328,1770713.409423828,1717515.307861328,1811327.671875,1667394.3842773438
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",1049124.5791015625,1070540.3215332031,1140392.4146728516,1251955.5372314453,1374031.0412597656,1260946.1431884766,1137990.1825561523,1271184.7647705078,1143505.6591796875
(9Z)-3-hydroxyoctadecenoylcarnitine,10822962.869628906,19673378.95703125,18254947.068847656,15744826.903320312,13176578.10888672,17311510.770996094,20298427.10791016,20722991.56201172,21033323.51171875
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",4548090.254638672,7191994.978515625,7154281.061279297,6230783.154052734,5983506.459472656,6556788.756103516,7579394.700439453,7847061.452392578,7985043.280273437
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",10354077.518066406,18743120.12353516,17230450.004882812,14976742.081542969,12457421.822753906,16470506.173828123,19040901.25390625,19527801.96728516,19669121.095703125
1-O-behenoyl-Cer(d18:1/16:0),29398.342208862305,33126.942710876465,46202.78359985352,39305.7628326416,36187.02255249024,36692.462463378906,37616.98265457153,47163.46329879761,38684.44284820557
1-O-carboceroyl-Cer(d18:1/16:0),68731.26498031616,46299.72317123413,75554.60557937622,168528.36987304688,99853.7479057312,94097.04789352416,71634.02543640137,152652.411567688,90605.04538345335
1-O-carboceroyl-Cer(d18:1/18:0),23379.941871643063,18910.121425628666,23674.221508026123,19387.24150085449,22414.021717071533,24564.40146255493,21907.801445007324,21279.241298675537,21167.64161300659
1-O-cerotoyl-Cer(d18:1/16:0),80859.80527496338,67606.82591247559,69276.28416442871,121797.58711624146,102118.72706985474,77182.18599319458,67614.68476867676,112079.00816345216,75406.60494613647
1-O-cerotoyl-Cer(d18:1/18:0),286598.67964172363,210867.73253631592,259933.4981918335,272286.04024124146,300706.4411582947,261576.97959136963,228328.8583450317,223601.6531028748,227696.1364517212
1-O-eicosanoyl-Cer(d18:1/16:0),32220.22254562378,144073.01107406616,48475.983406066895,49439.16363525391,50599.06323242188,36027.762283325195,42948.363021850586,42736.36308288574,30331.58203125
1-O-lignoceroyl-Cer(d18:1/16:0),52082.28335571289,42169.38264846802,64451.98418426514,151543.98889923096,89210.56663894653,84782.36605834961,66330.18539047241,144407.71041107178,81413.10648345947
1-O-myristoyl-Cer(d18:1/16:0),54386.303718566895,80557.88554382324,58228.62457275391,50704.183753967285,50433.8034324646,54183.54351043701,53711.363929748535,49155.66358947754,50361.16374969482
1-O-palmitoyl-Cer(d18:1/16:0),35647.702491760254,75182.80504226685,49120.04314041138,46163.84300994873,45528.64307785034,42159.56315231323,46103.00323486328,43331.863063812256,40639.18308258057
1-O-stearoyl-Cer(d18:1/16:0),40163.10260391235,200401.791885376,58489.64445877075,65201.24501800537,57285.90365982056,41978.90271377564,47592.20374298096,53856.84366226196,37718.002490997314
1-O-tricosanoyl-Cer(d18:1/16:0),31280.9020614624,36101.58243179321,44575.183376312256,82565.64527130127,42070.66318130493,47917.14291381836,44551.78361511231,79700.04627227783,46306.86296844482
1-O-tricosanoyl-Cer(d18:1/18:0),10099.880729675291,10180.240703582764,11458.880809783936,12517.040855407717,10831.58073425293,11874.98077774048,11112.440662384031,11614.500896453856,10037.64073562622
"12-Hydroxy-12-octadecanoylcarnitine, 3-hydroxyoctadecanoylcarnitine",3269997.2236328125,4893907.564453125,4660732.620117188,4206026.020996094,3740109.557617188,4612804.606933594,5059683.297363281,5089087.544433594,4672021.863769531
12:0 Cholesteryl ester,162075.57186889648,185949.39279174805,190370.63200378415,52144.48365020752,51295.14357757568,206443.9545135498,187842.8329925537,54702.86418151856,53449.14390563965
12:0 Cholesteryl ester_2,167308.3116760254,191733.1952819824,180831.0321426392,49434.48342514038,48283.80372619629,198899.3538360596,189600.5742797852,50913.96357727051,49618.86361312866
14:0 Cholesteryl ester,202606.45343017575,94036.7070159912,116114.08819580078,39418.46291732788,37524.18278503418,107908.76762390137,103784.52690124512,43653.82319641113,49058.56335067749
14:1 Cholesteryl ester,199691.31356811523,93316.4656982422,120425.56855773926,37575.38257598877,34715.18257904053,101516.40711975098,103069.94741821288,42685.24269104004,45816.14336395264
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester,247360.9578857422,266253.2185058594,280976.87927246094,103361.62686157228,103570.74768066406,289878.5213623047,287886.201171875,121756.2882385254,94190.34649658205
15:0 Campesteryl ester_simulated | 16:0 Cholesteryl ester_2,252850.63806152344,269787.4794921875,275199.18005371094,109722.42831420898,102070.20748901369,292477.3010253906,290238.6412353516,120988.00839233398,93845.26657104492
15:0 Cholesteryl ester,229352.2568359375,249117.5584716797,268693.6774902344,105126.76776123048,107702.80712890624,259193.8380126953,259023.73706054688,110598.20782470705,99013.02743530272
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester,260590.21728515625,268047.0192871094,298079.80126953125,111455.6879272461,115781.30844116212,296957.74169921875,290135.00103759766,120349.36853027344,108678.26788330078
15:1 Campesteryl ester_simulated | 16:1 Cholesteryl ester_2,261740.3193359375,276397.84020996094,290697.8009033203,112282.48760986328,111079.46835327148,299675.64099121094,298718.8214111328,121086.38803100586,111295.56848144533
15:1 Cholesteryl ester,259498.01831054688,255651.8582763672,270325.19915771484,111679.74743652344,103642.36712646484,268055.0593261719,267581.09765625,112505.0086364746,97831.46688842772
16:0 Campesteryl ester | 17:0 Cholesteryl ester,104547.70739746094,125639.16746520996,145071.9510192871,181893.13065719604,67114.82503509521,482661.26905822754,230368.095413208,157669.31104660034,44475.38328170776
16:0 Campesteryl ester | 17:0 Cholesteryl ester_2,108868.50756835938,129753.7692565918,137290.98944091797,186053.9358062744,68740.46430206299,457017.1744232178,232697.2156829834,162404.1529197693,42214.92322540283
16:2 Campesteryl ester,98350.60737609863,120443.98805236816,131431.08966064453,185782.1937828064,66551.36469268799,468778.7299804688,229844.91590881348,165206.61423492432,43435.38317108154
"16:2 Cholesteryl ester, zymosteryl palmitoleate",258572.75805664065,269297.05908203125,292214.919921875,110203.26791381836,106837.36743164062,286850.72009277344,293157.0216064453,113731.94830322266,101456.2074584961
16:3 Campesteryl ester,100437.2666015625,118072.24786376952,136457.43032836914,189290.5514297485,64989.22410583496,456562.5186233521,217033.97341918945,160582.991481781,41053.32256317139
16:3 Cholesteryl ester,242702.83837890625,258914.67810058597,280185.4190673828,113500.16781616212,111255.42819213869,273550.51916503906,280845.88049316406,118023.78784179688,104182.76788330078
16:3 Stigmasteryl ester,140503.76998901367,230125.45840454104,206513.696723938,220924.29370880127,100984.72776794434,542890.2322692871,303466.01583862305,177535.57064819336,70479.92538833618
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester",173129.27224731445,277060.34257507324,237041.23654174805,223447.3737182617,89343.60666656494,609582.4785461426,339927.88663482666,196164.55129241943,63067.42455291748
"17:0 Campesteryl ester_simulated | 18:0 Cholesteryl ester, 16:0 Sitosteryl ester_2",176152.7712097168,267835.77947998047,236358.4162597656,224382.29598999023,88803.84687805176,612892.9210205078,352186.2632141113,199214.2363128662,66339.54444122314
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester",175306.81085205078,278235.6174316406,244266.5776062012,213606.07862091064,89111.60607910156,604201.1010437012,344977.4267883301,195620.6760406494,66619.54499816895
"17:1 Campesteryl ester_simulated | 18:1 Cholesteryl ester, 16:0 Stigmasteryl ester, 16:1 Sitosteryl ester_2",169233.3512878418,278870.03869628906,241900.73580932617,216516.61446380612,87569.78634643555,601233.5832366943,331640.3845214844,200966.05520629883,63674.6642036438
17:1 Cholesteryl ester; 16:1 Campesteryl ester,100099.72714233398,127040.96856689452,131818.60929107666,184913.35300827023,69245.70543670654,471428.01194763184,218880.09548187256,165967.61249160767,46261.54291534424
17:1 Cholesteryl ester; 16:1 Campesteryl ester_2,104714.5871887207,123977.3080444336,138369.3503265381,170765.33235931396,67861.66511154175,460792.76985168457,206078.07276916504,160566.41161346436,45343.34331130981
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated",175049.87139892578,348423.6258239746,213535.4341430664,67835.50381469727,64241.92467880249,278488.0610809326,250274.46084594727,88312.66635894775,66861.42481994629
"18:0 Campesteryl ester | 19:0 cholesteryl ester_simulated, 17:0 sitosteryl ester_simulated_2",179889.05236816406,339962.84579467773,213364.9132080078,68219.18450927734,64514.02480316162,273423.89978027344,259398.0389404297,92443.26620483398,70337.48574829102
18:1 Campesteryl ester,175239.93341064453,268409.1796569824,215967.89556884769,61878.92424011231,62048.54407501221,263904.27825927734,252689.3544921875,82409.8259010315,56984.78404998779
"18:2 Cholesteryl ester, zymosteryl oleate, 16:1 Stigmasteryl ester, 16:2 Sitosteryl ester",185224.3324279785,288059.8182067871,258973.9764404297,218629.17308807373,95617.1079788208,604406.4444274902,375458.106048584,202646.0722885132,67644.66412353516
18:3 Campesteryl ester,163275.2911682129,237849.9397888184,197581.23251342773,67581.88467407227,63734.52460479736,233462.63381958008,232237.91787719727,76780.36492156982,65536.76523590088
"18:3 Cholesteryl ester, 16:2 Stigmasteryl ester, 16:3 Sitosteryl ester",200000.09326171875,302431.44108581543,274596.4970703125,227412.97649383545,99282.3278427124,619175.6261291504,365628.6613922119,202318.07664489743,71515.98536682129
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester",341507.6442871094,514951.9577636719,400920.3483886719,148631.35021972656,134828.8695678711,447091.572631836,447873.4123535156,205471.35342407227,140569.51007080078
"19:0 Campesteryl ester_simulated | 20:0 Cholesteryl ester, 18:0 Sitosteryl ester_2",352155.083984375,523589.3599853516,399723.98828125,146718.33074951172,137638.7099609375,443882.2932128906,452466.95568847656,199821.99346923828,138753.42993164062
"2-Hydroxymyristoylcarnitine, 3-hydroxytetradecanoylcarnitine",1040048.8419189452,1131210.0415039062,1147077.4656982422,1272941.5639648438,1376064.4704589844,1195290.807861328,1194065.662109375,1239282.0832519531,1133090.1042480469
20:0 Campesteryl ester,679605.6884765625,570926.6004638672,540973.541015625,174167.41290283203,173933.0126953125,1051954.5400390625,802405.3129882812,404391.10778808594,333963.88360595703
20:1 Campesteryl ester,676347.5854492188,688799.9445800781,533536.2581787109,168958.17156982422,165176.45068359375,1035268.6345214844,770815.9124755859,390393.90771484375,324425.34533691406
"20:1 Cholesteryl ester, 18:0 Stigmasteryl ester, 18:1 Sitosteryl ester",347684.2236328125,502197.9731445313,419090.47009277344,148990.13116455078,136796.1903076172,445063.4099121094,438793.0089111328,196959.51458740237,143887.10974121094
"20:2 Cholesteryl ester, 18:1 Stigmasteryl ester, 18:2 Sitosteryl ester",339358.6844482422,501408.71350097656,406331.3693847656,155499.97149658203,139269.41015625,442481.4721679688,434864.9537353516,198226.1947631836,142786.26989746094
20:3 Campesteryl ester,733625.4548339844,708332.6119384766,659154.8083496094,231894.11669921875,267571.7769165039,690644.8483886719,670642.0698242188,303552.1791381836,338287.26470947266
"20:3 Cholesteryl ester, 18:2 Stigmasteryl ester, 18:3 Sitosteryl ester",283521.4597167969,442812.4324951172,341104.5848388672,144004.32977294922,136512.4094543457,373994.6680908203,377226.9892578125,181923.79260253903,143761.37060546875
"20:4 Cholesteryl ester, 18:3 Stigmasteryl ester",257892.53875732425,472898.1745147705,339870.63845825195,132994.22860717773,130860.34854125977,426969.5148162842,402345.11001586914,157411.192817688,135987.24981689453
20:5 Cholesteryl ester,553765.8633422852,813621.7353820801,678465.0278625488,236174.3785057068,275581.3198928833,774021.0893554688,796451.9927368164,261745.4785232544,228661.520111084
22:0 Campesteryl ester,290060.2583770752,331322.3430328369,370521.7639007568,77295.60439682007,69889.4048576355,466218.7146835327,350722.9248352051,96338.56734848022,93248.5464744568
"22:0 Cholesteryl ester, 20:0 Sitosteryl ester",395209.9066314697,293992.34017944336,204615.7733001709,41977.76301956177,56235.90398788452,760646.4669799805,476102.9566268921,238534.7177581787,214955.03761291504
22:0 Sitosteryl ester,331275.7441635132,425492.64304351807,416829.3513565064,85851.6470413208,90384.90623092651,485815.2135925293,355294.92652893066,88051.98610305786,102267.82748413086
22:1 Campesteryl ester,267219.9195404053,310564.399307251,335634.9217758179,72405.42503356934,72200.30522537231,468357.8101348877,350133.2861633301,110473.78787994383,98551.34607315063
"22:1 Cholesteryl ester, 20:0 Stigmasteryl ester, 20:1 Sitosteryl ester",401505.6079406738,279027.41773986816,202002.13383483887,46140.94332122803,56842.763942718506,759511.5723876953,460364.1280517578,238796.4598121643,205046.51355743408
"22:1 Stigmasteryl ester, 22:2 Sitosteryl ester",322672.14546203613,349491.7835159302,386046.8065223694,80745.9264755249,84339.68700027466,498246.4359283447,359096.9853553772,98792.72665023804,99168.76778030396
22:2 Campesteryl ester,100209.36726379396,197735.27307128903,113135.72926330566,48554.28336715698,58030.14366531372,560526.3181762695,350653.6643676758,191685.9516410828,109390.46683120728
"22:2 Stigmasteryl ester, 22:3 Sitosteryl ester",306571.82232666016,354139.8619194031,398292.5674934387,78448.08561706543,82347.54563903809,469579.57151794434,358588.62020111084,94247.98609542848,99335.6669845581
22:3 Campesteryl ester,128654.78890991212,235293.97583007807,123301.788772583,32028.121990203857,29257.102043151852,665137.4459533691,401060.3264312744,213215.67528152463,110209.54704284668
22:3 Stigmasteryl ester,301818.8037338257,337057.02380371094,380411.2284011841,75978.84562683105,74485.04415512085,469026.6374282837,339874.4802551269,81643.70561981201,92794.06651306152
"22:4 Cholesteryl ester, 20:3 Stigmasteryl ester",717614.01171875,602161.724609375,566763.3215332031,203169.11529541016,193636.29321289065,1093322.7568359375,861990.7429199219,423409.3279418945,346047.02673339844
22:5 Cholesteryl ester,681358.9282226562,574075.4008789062,548872.98046875,182482.6729736328,182210.3336181641,1072980.8911132812,829280.7783203125,412156.6676635742,328844.22247314453
22:6 Cholesteryl ester,689877.5708007812,583864.720703125,548383.4206542969,173364.03149414062,170276.5321044922,1064576.5604248047,808378.1989746094,398871.7492675781,318702.20233154297
"24:1 Cholesteryl ester, 22:0 Stigmasteryl ester, 22:1 Sitosteryl ester",331529.74309921265,390391.3275756836,402741.9845695496,83488.34439468384,86167.32622909546,503115.4162559509,356643.3669662476,87385.58686447144,101842.16680145264
