Lipid,Class,E-1LiverF,E-2LiverF,E-3LiverF,E-4LiverM,E-5LiverM,E-6LiverM,C-1LiverF,C-2LiverF,C-3LiverF,C-4LiverM,C-5LiverM,C-6LiverM,BlankBrain_NA,Title1,Title2,Title,length1,length2,Blank_name
1-O-behenoyl-Cer(d18:1/16:0),Cer,1160.740077972412,1157.0600814819336,1204.3400802612305,1177.3000831604004,1235.0800743103027,1124.4800758361816,1128.7400856018066,1217.3400764465332,1132.2800750732422,1197.6800804138184,1167.9000930786133,1231.2400932312012,1125.580078125,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
1-O-carboceroyl-Cer(d18:1/18:0),Cer,1130.3800621032715,1127.9400825500488,1126.6000785827637,1126.920078277588,1124.9600715637207,1124.9800758361816,1129.0800895690918,1131.5000762939453,1153.8200759887695,1129.1200790405273,1129.5800704956055,1168.0800743103027,1126.0800819396973,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/16:0),Cer,1131.000072479248,1127.6000747680664,1127.2600746154785,1126.740077972412,1141.9800872802734,1124.0800857543945,1129.1400756835938,1131.3200759887695,1131.0000648498535,1128.9600715637207,1150.8200759887695,1128.420078277588,1126.1400833129883,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
1-O-cerotoyl-Cer(d18:1/18:0),Cer,1130.9200744628906,1127.5400733947754,1126.8800811767578,1127.3800735473633,1125.0400772094727,1124.6800842285156,1129.3000755310059,1130.4600639343262,1130.5800819396973,1128.2600784301758,1176.2200775146484,1128.560073852539,1128.12007522583,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
1-O-eicosanoyl-Cer(d18:1/16:0),Cer,1089.5800666809082,1085.3600769042969,1085.060073852539,1084.8200721740723,1082.940071105957,1083.6400756835938,1160.62007522583,1089.580078125,1089.3200721740723,1125.6000862121582,1128.9000663757324,1086.0400657653809,1083.3200721740723,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
1-O-lignoceroyl-Cer(d18:1/16:0),Cer,1130.4800720214844,1127.6800727844238,1160.2600936889648,1209.7600860595703,1124.660083770752,1124.7600746154785,1128.9800643920898,1130.8000717163086,1131.2000770568848,1128.640079498291,1150.0200729370117,1128.6800727844238,1125.9000854492188,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
1-O-pentacosanoyl-Cer(d18:1/16:0),Cer,1130.7800750732422,1127.7000885009766,1127.1400871276855,1181.9000778198242,1124.7800636291504,1146.7600860595703,1172.7000770568848,1140.6200714111328,1131.480079650879,1128.4400787353516,1130.1000709533691,1128.7200775146484,1184.060073852539,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/16:0),Cer,1140.720069885254,1127.5000839233398,1153.7000694274902,1127.520076751709,1158.500087738037,1144.54008102417,1129.5000762939453,1214.440071105957,1194.080078125,1145.480079650879,1246.04008102417,1132.1600875854492,1199.3000755310059,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
1-O-tricosanoyl-Cer(d18:1/18:0),Cer,1131.4600830078125,1177.0400695800781,1127.2600746154785,1126.7600746154785,1124.420078277588,1124.820083618164,1129.3200759887695,1131.5800819396973,1131.5800743103027,1128.1200675964355,1129.5800819396973,1127.9200820922852,1125.6400871276855,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
CAR,CAR,2893.5401916503906,2889.500217437744,2460.800178527832,2762.18017578125,2854.3201942443848,2673.100185394287,3090.4802207946777,2749.8801918029785,2712.0802040100098,2594.6201782226562,2478.8601684570312,2741.540184020996,2588.7201652526855,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
CAR(10:0),CAR,3066.200210571289,3571.3802337646484,3567.5802879333496,2903.9001998901367,2959.8401947021484,2815.6002082824707,3628.7002449035645,3262.6402320861816,3411.6002349853516,3162.800205230713,3184.5002403259277,3677.980281829834,3689.7602729797363,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
CAR(10:0)_QUAL,CAR,20351.46155166626,19099.841339111328,18975.461433410645,17121.460975646973,19003.141410827637,18346.261333465576,16828.701122283936,19284.381393432617,17431.20122909546,17801.801250457764,17796.901363372803,18691.90132522583,19356.50132751465,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
CAR(10:1),CAR,5801.04040145874,5474.780448913574,6215.460418701172,5653.460369110107,5827.640434265137,5926.840408325195,5687.080406188965,5409.580371856689,5688.680381774902,5875.580425262451,6221.28044128418,5741.580406188965,6174.940448760986,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
CAR(10:1)_QUAL,CAR,4674.800331115723,4547.900367736816,5269.940353393555,4367.76033782959,4263.740287780762,4409.98030090332,5716.3404541015625,4572.540306091309,4470.360324859619,4805.680320739746,5078.840362548828,4440.440330505371,4806.960353851318,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
CAR(10:2),CAR,4521.7203369140625,5404.980388641357,4981.060298919678,4535.180335998535,4687.760341644287,4908.020378112793,4706.060340881348,4359.280307769775,4524.640357971191,5280.780445098877,4846.100360870361,5503.5803871154785,6771.000469207764,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
CAR(10:2)_QUAL,CAR,27648.52182006836,25043.28175354004,28256.761962890625,27366.181732177734,26358.96174621582,28333.02214050293,26010.421783447266,25195.0818901062,25156.961750030518,27924.981784820557,26674.641819000244,27197.181854248047,32151.52230834961,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
CAR(10:3),CAR,8240.54063796997,7900.840534210205,7323.840522766113,7929.440567016602,6978.520462036133,7319.920505523682,7974.460578918457,8090.580593109131,8055.860538482666,7087.840503692627,7570.800491333008,7249.260513305664,9761.660720825195,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
CAR(10:3)_QUAL,CAR,4127.500259399414,5581.020362854004,5510.900402069092,5000.700355529785,4822.760307312012,5189.680374145508,4926.780368804932,4740.8003578186035,5426.0203857421875,5153.4003982543945,5718.820400238037,4808.420360565186,9963.06069946289,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
CAR(11:0),CAR,5316.260353088379,4631.420310974121,5174.080345153809,4827.860389709473,4224.620288848877,4291.140327453613,3846.90030670166,3642.2402381896973,3966.4202842712402,4049.060314178467,4074.540256500244,4194.940296173096,4856.380348205566,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
CAR(11:0)_QUAL,CAR,6348.580451965332,5301.800323486328,5803.580417633057,6463.660411834717,5808.740417480469,5727.080368041992,5604.460426330566,5575.940418243408,5450.0203857421875,6477.540496826172,5515.98034286499,5629.780406951904,5877.420421600342,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
CAR(12:0),CAR,2180.0801582336426,2982.940185546875,3219.6202430725098,2335.500160217285,2164.5201568603516,2789.1801948547363,2692.000202178955,2748.1401748657227,2409.8801651000977,2396.080165863037,2604.9002075195312,2474.340202331543,3984.22029876709,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
CAR(12:0)_QUAL,CAR,6069.660446166992,5990.200416564941,6437.480495452881,6213.0604820251465,6356.860408782959,5505.860374450684,5508.920387268066,5634.940361022949,5822.740440368652,6138.360454559326,6473.1604652404785,7048.560565948486,6072.34049987793,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
CAR(14:0),CAR,3349.8202323913574,2889.600212097168,3035.6402168273926,3249.9002227783203,3117.0201988220215,2768.600212097168,3441.320243835449,3205.8602447509766,3192.980239868164,3106.8002128601074,2684.8601875305176,3630.040241241455,3739.8202896118164,Type: Liver | experiment: E,Type: Liver | experiment: C,Type: Liver__experiment: E vs Type: Liver__experiment: C,6,6,BlankBrain_NA
