Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Sample_ID,Transition,Match_Group,Lipid,Purity,db,FAC,TG,Group,Cluster_Label
790.7,573.6,14.051950000000001,217.66001892089844,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.06825,203.00001525878906,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.084566666666667,253.20001220703125,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.100866666666667,239.12001037597656,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.117183333333333,219.46002197265625,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.133483333333334,214.40000915527344,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.1498,227.58001708984375,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.1661,259.4200134277344,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.182416666666667,231.68002319335938,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.198716666666668,300.72003173828125,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.215033333333334,437.3600158691406,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.231333333333334,586.6800537109375,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.24765,611.2000732421875,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.263950000000001,483.46002197265625,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.280266666666668,472.1400451660156,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.296566666666667,492.0000305175781,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.312883333333334,615.4200439453125,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.329183333333335,597.1400146484375,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.345483333333334,535.6200561523438,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.3618,578.6000366210938,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.3781,599.52001953125,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.394416666666668,599.320068359375,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.410716666666668,398.8800354003906,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.427033333333334,284.6200256347656,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.443333333333333,238.50001525878906,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.45965,270.280029296875,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.475950000000001,296.32000732421875,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.492266666666668,235.00001525878906,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.508566666666667,168.04000854492188,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.524883333333333,96.58000946044922,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.541183333333334,114.94001007080078,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.557500000000001,99.2800064086914,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.5738,148.16000366210938,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.590116666666667,199.52001953125,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.051950000000001,217.66001892089844,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.06825,203.00001525878906,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.084566666666667,253.20001220703125,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.100866666666667,239.12001037597656,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.117183333333333,219.46002197265625,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.133483333333334,214.40000915527344,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.1498,227.58001708984375,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
790.7,573.6,14.1661,259.4200134277344,CrudeCanola_O3on_150gN3_02082023,790.7 -> 573.6,33,[TG(52:4)]_FA18:1,Crude,n-7,FA18:1,TG(52:4),0,0
