Lipid,Class,DOD100-M2-5xFAD-hippo10x_01202023,DOD100-M3-5xFAD-hippo10x_01202023,DOD99-M1-5xFAD-hippo10x_01202023,M1FAD173-5xFAD-Hippo10x_01182023,M2FAD173-5xFAD-Hippo10x_01192023,DOD100-M1-WT-hippo10x_01202023,DOD99-M2-WT-hippo10x_01202023,M5FAD173-WT-Hippo10x_01192023,10xBlank_01202023,Title1,Title2,Title,length1,length2,Blank_name
(11Z)-eicoseneoylcarnitine,AC,1324620.29296875,1469218.4106445312,1479341.6264648438,1496397.3359375,1650848.89453125,1456478.2348632812,1413134.9760742188,1427365.9682617188,1770335.1005859375,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"(11Z,14Z)-eicosadienoylcarnitine",AC,1322329.38671875,1437470.2348632812,1481437.8369140625,1510009.1274414062,1611557.333984375,1450859.4833984375,1382104.2397460938,1351883.9409179688,1833013.6752929688,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"(13Z,16Z)-docosadienoylcarnitine",AC,1265010.6803588867,1427897.3614501953,1472655.911315918,1561466.8793945312,1541192.444946289,1468483.6235961914,1328693.3626708984,1344775.7668457031,1846519.2565917969,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"(5Z,8Z)-3-hydroxytetradecadienoylcarnitine",AC,2194784.690185547,2492220.4825439453,2412503.1643066406,2579735.21484375,2093678.0153808596,2338786.4896240234,2207064.514526367,2303434.271972656,2077579.7651367188,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"(5Z,8Z)-tetradecadienoylcarnitine",AC,30582186.538085938,28337082.12988281,139608184.45239258,26376597.729492188,25367756.57104492,26782130.58300781,71101793.19970703,66282272.07910156,1785924.2541503906,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"(7Z,10Z)-hexadecadienoylcarnitine",AC,1606353.2426757812,1873921.4216308596,1902876.1496582031,2005393.249267578,1818268.425048828,1825433.856201172,1740083.2781982422,1721781.189453125,2578376.07409668,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"(7Z,10Z,13Z,16Z)-docosatetraenoylcarnitine",AC,1110796.737915039,1253343.1610107422,1276397.7185058594,1314163.553955078,1433375.403076172,1245549.2482910156,1155280.1492919922,1153606.4608154297,1684194.2908935547,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
(9Z)-3-hydroxyoctadecenoylcarnitine,AC,23314671.77001953,12741658.96826172,19088064.09716797,16634745.890625,15611679.19482422,16846448.53515625,17096836.13671875,17868681.639160156,2395006.220703125,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"(9Z,12Z)-3-hydroxyhexadecadienoylcarnitine",AC,8245887.214111328,5412256.6162109375,7534727.410644531,6695696.98828125,6682941.868164063,6432831.161865234,6656555.244384766,6981670.763916016,2817110.0759277344,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
"(9Z,12Z,15Z)-3-hydroxyoctadecatrienoylcarnitine",AC,22132601.1640625,12139073.696289062,18102972.64501953,15758916.81298828,14440797.770507812,16027996.416015623,16234431.17919922,16859631.28076172,2155070.9477539062,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
1-O-behenoyl-Cer(d18:1/16:0),CER,42416.12278747559,30153.32243347168,25673.94190979004,38013.282623291016,29481.562602996823,31600.96230316162,38293.78224563599,37147.423122406006,22294.401321411133,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/16:0),CER,63292.42442703247,81261.78657150269,59303.04391098023,157176.4503211975,59104.12437057495,61262.46444320679,92696.36716842651,134329.46858596802,49086.90395736694,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
1-O-carboceroyl-Cer(d18:1/18:0),CER,23518.86159515381,24620.981536865234,18542.74126815796,20872.98154449463,19351.66135406494,21668.40147781372,23203.34190750122,21004.281448364258,32565.38228225708,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/16:0),CER,71531.56502151489,94600.40604019164,48290.72343444824,129686.40884780884,90206.18699645996,82006.22617340088,104129.10850906372,99503.34856796265,104272.36771011353,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
1-O-cerotoyl-Cer(d18:1/18:0),CER,242689.6378440857,319763.26332473755,188144.5944366455,290259.72340393066,254315.69579315183,280969.05976486206,300359.0815124512,259670.5165176392,544596.580368042,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
1-O-eicosanoyl-Cer(d18:1/16:0),CER,38312.82266235352,32873.5220451355,24691.961532592773,32300.02227020264,30083.80215072632,29833.582180023197,35027.162464141846,34894.54271697998,28402.641986846924,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
1-O-lignoceroyl-Cer(d18:1/16:0),CER,61918.36474227905,70929.20533752441,51119.96410369873,132110.53005218506,46688.28359603882,54778.02419662476,81422.12617874146,112472.52647018433,19274.341342926025,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
1-O-myristoyl-Cer(d18:1/16:0),CER,52282.40361404419,51031.74311065674,29999.60227203369,47704.26295471192,41838.42319107056,46942.16307449341,50195.963748931885,49277.52336502075,43334.30277252197,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
1-O-palmitoyl-Cer(d18:1/16:0),CER,37671.40256881714,41503.562911987305,30627.382152557373,38626.942794799805,38395.3628578186,41863.74258804321,41158.282787323,40904.52328491211,50665.82361602783,Genotype: 5xFAD | Brain Region: hippo,Genotype: WT | Brain Region: hippo,Genotype: 5xFAD__Brain Region: hippo vs Genotype: WT__Brain Region: hippo,5,3,10xBlank_01202023
