Lipid,Group_B,Group_B,Group_B,Group_B,Group__C,Group__C,Group__C,Group__C
1-O-behenoyl-Cer(d18:1/16:0),1179.4800834655762,1124.920078277588,1156.380084991455,1131.3200645446775,1163.6600799560547,1216.580078125,1413.6601066589355,1123.2400856018066
1-O-carboceroyl-Cer(d18:1/18:0),1203.1800918579102,1149.4000816345217,1147.360065460205,1234.9400749206543,1141.2800903320312,1132.9800834655762,1120.8600845336914,1152.3000831604004
1-O-cerotoyl-Cer(d18:1/16:0),1129.5000686645508,1111.2000846862793,1108.7000694274902,1196.9200820922852,1106.1600799560547,1171.1000785827637,1361.9801063537598,1176.7200775146484
1-O-cerotoyl-Cer(d18:1/18:0),1113.8800811767578,1110.3800964355469,1178.8400840759275,1147.380084991455,1140.8600730895996,1104.6800727844238,1143.6400718688965,1105.2200775146484
1-O-eicosanoyl-Cer(d18:1/16:0),1072.8000869750977,1076.6400756835938,1067.2800827026367,1210.0000953674316,1064.4600715637207,1097.400089263916,1145.2000770568848,1074.0000801086426
1-O-lignoceroyl-Cer(d18:1/16:0),1178.8000793457031,1111.4800834655762,1108.500087738037,1149.1600875854492,1107.340072631836,1270.2400817871094,1293.700096130371,1248.1200942993164
1-O-pentacosanoyl-Cer(d18:1/16:0),1476.7800979614258,1436.4201164245603,1282.240089416504,1643.2601127624512,1301.820083618164,1539.2201232910156,4264.000305175781,1334.3600959777832
1-O-tricosanoyl-Cer(d18:1/16:0),1863.4001426696775,1999.8401412963867,1931.9201049804688,1995.8601608276367,1743.3801193237305,2091.860122680664,6054.760437011719,2011.9601707458496
1-O-tricosanoyl-Cer(d18:1/18:0),1113.3200759887695,1123.4800872802734,1108.300075531006,1116.4000701904297,1106.2800827026367,1104.9200744628906,1148.3800735473633,1105.3600730895996
CAR,1892.3001403808596,3503.540237426758,1950.960147857666,1965.0801315307615,2400.7401847839355,2317.0401496887207,2699.1601753234863,1963.960132598877
CAR(10:0),2107.4001502990723,4046.240280151367,1887.420124053955,1936.740135192871,2574.920192718506,2155.460147857666,2616.26016998291,1954.3201446533203
CAR(10:0)_QUAL,2382.660167694092,5342.220375061035,2593.6401863098145,1995.5001525878904,3252.3602333068848,2701.720169067383,3535.2002754211426,2258.740165710449
CAR(10:1),1795.6401252746582,4520.740329742432,2224.5801544189453,2039.460132598877,2610.260185241699,3164.260223388672,2822.2201919555664,2092.4601554870605
CAR(10:1)_QUAL,2163.660140991211,4756.640293121338,2552.8401985168457,2242.8401641845703,3015.320198059082,2605.080177307129,3776.580226898194,2012.940139770508
CAR(10:2),2063.080135345459,4298.760318756104,2374.6001625061035,2166.240173339844,3157.7802200317383,2744.8202018737798,3366.7802391052246,2237.3601570129395
CAR(10:2)_QUAL,20137.841400146484,52838.763427734375,18320.56121826172,16052.581130981443,31457.742042541504,21248.661712646484,29809.32218933105,16650.8212890625
CAR(10:3),1644.7601127624512,2980.940200805664,1681.1001167297363,1571.880100250244,1964.540138244629,1957.760124206543,2112.7401580810547,1693.3801155090332
CAR(10:3)_QUAL,1827.400119781494,2859.7002143859863,2303.260166168213,1689.360126495361,2391.260162353516,2353.0401725769043,3012.240203857422,2094.820156097412
CAR(11:0),1721.660125732422,3345.9402389526367,1904.8201293945312,1737.6201248168943,2332.6201553344727,2050.480155944824,2343.040153503418,1740.9201202392578
CAR(11:0)_QUAL,2587.1601905822754,6614.340450286865,2884.4202041625977,2173.440158843994,3891.220283508301,3036.16019821167,4235.900321960449,2681.2002029418945
CAR(12:0),1704.8201179504397,2588.4801750183105,1631.2201194763184,1523.6401023864746,1836.6601219177248,1700.9201126098633,1900.3601303100584,1541.8200988769531
CAR(12:0)_QUAL,2419.520164489746,5281.520412445068,2465.06018447876,2070.540138244629,3272.260234832764,2605.3001823425293,4117.820274353027,2435.880176544189
CAR(14:0),1919.440139770508,3696.840263366699,2087.020156860352,1759.400119781494,2434.040180206299,2159.3601570129395,2097.740146636963,1807.1601219177248
CAR(14:0)_QUAL,3519.80025100708,10114.3207321167,3808.960273742676,3477.440269470215,5561.8204345703125,4271.4603271484375,6432.200496673584,3749.1402702331534
CAR(14:1),1747.7201080322266,2828.0401763916016,1643.3601188659668,1627.3001136779783,2015.840156555176,1992.2001419067385,1978.9401473999023,1685.2001113891602
CAR(14:1)_QUAL,4307.480308532715,9769.940673828123,4264.500339508057,3658.660285949707,6406.100456237793,4676.20036315918,5218.580364227295,3799.620250701904
CAR(14:2),2898.700225830078,5488.620346069336,2897.380199432373,2633.520160675049,3581.88028717041,3007.180202484131,3591.160259246826,2517.680164337158
CAR(14:2)_QUAL,43519.54254150391,119692.04852294922,40716.36285400391,34812.52243041992,73661.20541381836,46761.14373779297,66833.90441894531,37791.56248474121
CAR(16:0),2239.9201583862305,4046.4402656555176,2095.140163421631,2135.620143890381,2187.840156555176,2563.080177307129,2809.7201919555664,1976.6001586914065
CAR(16:0)_QUAL,3327.2602195739746,8535.260581970215,3171.800224304199,3026.980213165283,5043.38032913208,3653.500286102295,5588.260398864746,3056.280200958252
CAR(16:1),1479.4401092529297,2624.6001739501958,1657.8801193237305,1710.3201217651367,1846.4201278686523,1825.10013961792,2018.3201293945312,1643.3201065063477
CAR(16:1)_QUAL,4605.660316467285,10939.300674438477,4718.060314178467,3758.300247192383,6791.900466918945,4922.880321502686,7663.000518798828,4169.200275421143
CAR(16:2),1819.7201347351076,2897.2002334594727,1950.1001358032229,1699.5401191711426,2302.420162200928,2417.2801780700684,2401.940174102783,2209.6401405334477
CAR(16:2)_QUAL,2152.320137023926,4311.780292510986,2191.560161590576,2327.3801612854004,2970.2802200317383,2508.020179748535,3171.380229949951,2275.5001640319824
CAR(17:0),2211.800136566162,5041.740333557129,2091.5401496887207,1900.6801376342771,2961.120189666748,2523.520175933838,3462.9202728271484,1967.2201461791992
CAR(17:0)_QUAL,5006.720355987549,12172.280899047852,4380.1403465271,4023.920299530029,7105.18049621582,6058.960468292236,7765.620529174805,4614.340293884277
CAR(18:0),1974.0601539611816,3877.7003059387207,2083.8801345825195,1901.6601295471191,2424.9401893615723,2478.060157775879,2630.34020614624,1845.3801193237305
CAR(18:0)_QUAL,3182.520248413086,7539.720504760742,3056.0202140808105,2938.7602005004883,5000.06033706665,4095.20027923584,5264.400352478027,3658.500259399414
CAR(18:1),2167.3801612854004,4332.66024017334,2177.440139770508,1824.4601364135744,2235.800178527832,3289.9602394104004,2645.600170135498,1952.300136566162
CAR(18:1)_QUAL,3373.5802421569824,6997.940490722656,3168.200206756592,3110.1602058410645,4656.000335693359,3354.0202026367188,4377.5602951049805,3093.9402084350586
CAR(18:2),2494.560165405273,5110.140357971191,2505.500171661377,2333.240173339844,2938.0801963806152,2973.7402420043945,3294.7802200317383,2883.620185852051
CAR(18:2)_QUAL,2558.580177307129,5432.980377197266,3106.0602226257324,2395.6601524353027,3553.1202812194824,3007.020206451416,3509.260265350342,2709.1002082824707
CAR(18:3),1744.0401191711426,4563.240310668945,2095.74015045166,1917.620140075684,2412.3001823425293,2469.2201919555664,3174.560237884521,2042.480136871338
CAR(18:3)_QUAL,2975.000217437744,7319.640487670898,3533.420234680176,2940.460216522217,4866.660331726074,4002.460273742676,4718.940319061279,3454.380302429199
CAR(18:4),2302.140151977539,6399.180480957031,2556.240177154541,2262.560161590576,3442.040237426758,2864.600200653076,4117.420330047607,2228.340137481689
CAR(18:4)_QUAL,3476.840229034424,8058.820587158203,3629.220279693604,2949.2202339172363,4736.480377197266,3643.3202590942383,5295.820358276367,3345.840274810791
CAR(20:0),1670.3201293945312,2852.540180206299,1814.9201278686523,1699.460117340088,1993.04012298584,2085.420154571533,2003.360137939453,1813.7601318359373
CAR(20:0)_QUAL,5211.460346221924,11305.560707092283,5119.860382080078,4145.640289306641,6964.700523376465,5644.440410614014,7342.220581054687,4800.000358581543
CAR(20:1),2178.240173339844,4407.560325622559,2078.3401412963867,2103.1801376342773,2831.3202018737798,3019.620204925537,2995.9602088928223,2519.9801902771
CAR(20:1)_QUAL,2496.000175476074,4498.040328979492,2275.480167388916,2593.1801986694336,2829.9001960754395,2687.8801918029785,3402.100212097168,2451.660167694092
CAR(20:2),3962.4002532958975,8985.540756225586,3650.520278930664,3229.1002311706543,5175.220386505127,4239.500324249268,6347.620429992676,3159.7002487182617
CAR(20:2)_QUAL,2643.060195922852,5492.400394439697,2949.240196228028,2332.380176544189,3582.4402503967285,3378.500244140625,3512.400257110596,2606.6201553344727
CAR(20:4),1675.9601211547852,3591.8002319335938,1696.6401138305664,1785.9201354980469,2110.440174102783,1938.2201461791992,2319.2801513671875,1628.4801025390625
CAR(20:4)_QUAL,2702.0401725769043,5869.600395202637,2854.920207977295,2396.0401611328125,3257.2802391052246,2831.240222930908,3795.920303344727,2687.8201904296875
CAR(22:0),2941.080192565918,6443.440490722656,2769.3201866149902,2500.5601806640625,3278.100246429444,4473.920364379883,3739.420265197754,3085.1202354431152
CAR(22:0)_QUAL,3342.000244140625,6976.720527648926,3630.0402488708496,3290.420215606689,4733.460334777832,3795.060276031494,5015.04035949707,3095.6802368164062
CAR(22:2),3181.540225982666,6901.740501403809,2902.4802055358887,2745.360221862793,3865.740238189697,3297.1802253723145,4408.940299987793,3207.0402297973637
CAR(22:2)_QUAL,6452.280422210693,14456.920997619629,6543.000465393066,5760.380393981934,9504.9206199646,6573.86051940918,9338.360694885254,5325.540420532227
