Lipid,Group_D,Group_D,Group_D,Group_D,Group__A,Group__A,Group__A,Group__A
1-O-behenoyl-Cer(d18:1/16:0),1144.8200798034668,1266.4200859069824,1217.5800819396973,1178.0200881958008,1115.7600860595703,1111.0400772094729,1239.980079650879,1116.300075531006
1-O-carboceroyl-Cer(d18:1/18:0),1112.7000770568848,1212.04008102417,1128.840072631836,1161.2600898742676,1115.2600784301758,1111.0200843811035,1152.6400756835938,1131.0800743103027
1-O-cerotoyl-Cer(d18:1/16:0),1112.060073852539,1135.6400718688965,1114.6400756835938,1201.6000938415527,1115.4600830078125,1210.4800872802734,1150.5800819396973,1145.460075378418
1-O-cerotoyl-Cer(d18:1/18:0),1150.2800674438477,1171.0800819396973,1130.1000785827637,1179.360088348389,1115.4800834655762,1140.1800842285156,1195.2000885009766,1134.9400825500488
1-O-eicosanoyl-Cer(d18:1/16:0),1101.4200744628906,1100.3200721740725,1133.2400817871094,1069.320083618164,1074.7000732421875,1070.820068359375,1120.500072479248,1189.6200904846191
1-O-lignoceroyl-Cer(d18:1/16:0),1141.940071105957,1134.9600791931152,1201.7600784301758,1165.7000846862793,1115.7000770568848,1139.2200775146484,1207.3600769042969,1309.2200965881348
1-O-pentacosanoyl-Cer(d18:1/16:0),1199.360088348389,1822.780139923096,2010.2401313781736,2156.8801345825195,1131.1000747680664,1566.880111694336,1576.4001159667969,2372.380187988281
1-O-tricosanoyl-Cer(d18:1/16:0),1525.8801307678225,3167.3401794433594,2807.220203399658,2755.9601707458496,1379.4600944519043,1829.2201309204104,3016.940193176269,2987.740196228028
1-O-tricosanoyl-Cer(d18:1/18:0),1113.2600746154783,1114.5000686645508,1114.6000785827637,1109.740089416504,1115.500072479248,1110.8000869750977,1116.7800750732422,1115.8800811767578
CAR,2822.6001892089844,2178.24015045166,3656.060230255127,3088.500217437744,2004.8201484680176,2958.800205230713,2742.140182495117,3412.6202392578125
CAR(10:0),2424.4601821899414,2052.880146026612,3898.3002700805664,3012.440216064453,1994.2201499938965,3377.3402519226074,3290.200222015381,3180.3402366638184
