Lipid,Group_B,Group_B,Group_B,Group_B,Group__A,Group__A,Group__A,Group__A
1-O-behenoyl-Cer(d18:1/16:0),1179.4800834655762,1124.920078277588,1156.380084991455,1131.3200645446775,1115.7600860595703,1111.0400772094729,1239.980079650879,1116.300075531006
1-O-carboceroyl-Cer(d18:1/18:0),1203.1800918579102,1149.4000816345217,1147.360065460205,1234.9400749206543,1115.2600784301758,1111.0200843811035,1152.6400756835938,1131.0800743103027
1-O-cerotoyl-Cer(d18:1/16:0),1129.5000686645508,1111.2000846862793,1108.7000694274902,1196.9200820922852,1115.4600830078125,1210.4800872802734,1150.5800819396973,1145.460075378418
1-O-cerotoyl-Cer(d18:1/18:0),1113.8800811767578,1110.3800964355469,1178.8400840759275,1147.380084991455,1115.4800834655762,1140.1800842285156,1195.2000885009766,1134.9400825500488
1-O-eicosanoyl-Cer(d18:1/16:0),1072.8000869750977,1076.6400756835938,1067.2800827026367,1210.0000953674316,1074.7000732421875,1070.820068359375,1120.500072479248,1189.6200904846191
1-O-lignoceroyl-Cer(d18:1/16:0),1178.8000793457031,1111.4800834655762,1108.500087738037,1149.1600875854492,1115.7000770568848,1139.2200775146484,1207.3600769042969,1309.2200965881348
1-O-pentacosanoyl-Cer(d18:1/16:0),1476.7800979614258,1436.4201164245603,1282.240089416504,1643.2601127624512,1131.1000747680664,1566.880111694336,1576.4001159667969,2372.380187988281
1-O-tricosanoyl-Cer(d18:1/16:0),1863.4001426696775,1999.8401412963867,1931.9201049804688,1995.8601608276367,1379.4600944519043,1829.2201309204104,3016.940193176269,2987.740196228028
1-O-tricosanoyl-Cer(d18:1/18:0),1113.3200759887695,1123.4800872802734,1108.300075531006,1116.4000701904297,1115.500072479248,1110.8000869750977,1116.7800750732422,1115.8800811767578
CAR,1892.3001403808596,3503.540237426758,1950.960147857666,1965.0801315307615,2004.8201484680176,2958.800205230713,2742.140182495117,3412.6202392578125
CAR(10:0),2107.4001502990723,4046.240280151367,1887.420124053955,1936.740135192871,1994.2201499938965,3377.3402519226074,3290.200222015381,3180.3402366638184
CAR(10:0)_QUAL,2382.660167694092,5342.220375061035,2593.6401863098145,1995.5001525878904,2130.540153503418,4588.060325622559,4821.200332641602,5206.300415039063
CAR(10:1),1795.6401252746582,4520.740329742432,2224.5801544189453,2039.460132598877,2141.70015335083,2971.320243835449,3747.080238342285,3518.9002113342285
CAR(10:1)_QUAL,2163.660140991211,4756.640293121338,2552.8401985168457,2242.8401641845703,2558.9201889038086,4871.080333709717,4702.100345611572,4794.360282897949
