Lipid,Group_D,Group_D,Group_D,Group_D,Group__C,Group__C,Group__C,Group__C
1-O-behenoyl-Cer(d18:1/16:0),1144.8200798034668,1266.4200859069824,1217.5800819396973,1178.0200881958008,1163.6600799560547,1216.580078125,1413.6601066589355,1123.2400856018066
1-O-carboceroyl-Cer(d18:1/18:0),1112.7000770568848,1212.04008102417,1128.840072631836,1161.2600898742676,1141.2800903320312,1132.9800834655762,1120.8600845336914,1152.3000831604004
1-O-cerotoyl-Cer(d18:1/16:0),1112.060073852539,1135.6400718688965,1114.6400756835938,1201.6000938415527,1106.1600799560547,1171.1000785827637,1361.9801063537598,1176.7200775146484
1-O-cerotoyl-Cer(d18:1/18:0),1150.2800674438477,1171.0800819396973,1130.1000785827637,1179.360088348389,1140.8600730895996,1104.6800727844238,1143.6400718688965,1105.2200775146484
1-O-eicosanoyl-Cer(d18:1/16:0),1101.4200744628906,1100.3200721740725,1133.2400817871094,1069.320083618164,1064.4600715637207,1097.400089263916,1145.2000770568848,1074.0000801086426
1-O-lignoceroyl-Cer(d18:1/16:0),1141.940071105957,1134.9600791931152,1201.7600784301758,1165.7000846862793,1107.340072631836,1270.2400817871094,1293.700096130371,1248.1200942993164
1-O-pentacosanoyl-Cer(d18:1/16:0),1199.360088348389,1822.780139923096,2010.2401313781736,2156.8801345825195,1301.820083618164,1539.2201232910156,4264.000305175781,1334.3600959777832
1-O-tricosanoyl-Cer(d18:1/16:0),1525.8801307678225,3167.3401794433594,2807.220203399658,2755.9601707458496,1743.3801193237305,2091.860122680664,6054.760437011719,2011.9601707458496
1-O-tricosanoyl-Cer(d18:1/18:0),1113.2600746154783,1114.5000686645508,1114.6000785827637,1109.740089416504,1106.2800827026367,1104.9200744628906,1148.3800735473633,1105.3600730895996
CAR,2822.6001892089844,2178.24015045166,3656.060230255127,3088.500217437744,2400.7401847839355,2317.0401496887207,2699.1601753234863,1963.960132598877
CAR(10:0),2424.4601821899414,2052.880146026612,3898.3002700805664,3012.440216064453,2574.920192718506,2155.460147857666,2616.26016998291,1954.3201446533203
CAR(10:0)_QUAL,3308.2402381896973,2574.680164337158,4765.580360412598,3706.280246734619,3252.3602333068848,2701.720169067383,3535.2002754211426,2258.740165710449
CAR(10:1),3281.2202186584477,2258.8601608276367,3818.060295104981,3514.520233154297,2610.260185241699,3164.260223388672,2822.2201919555664,2092.4601554870605
CAR(10:1)_QUAL,3253.720241546631,2809.1201934814453,5163.160358428955,3681.680267333984,3015.320198059082,2605.080177307129,3776.580226898194,2012.940139770508
CAR(10:2),2853.400203704834,2036.140151977539,4015.080284118652,2852.0602111816406,3157.7802200317383,2744.8202018737798,3366.7802391052246,2237.3601570129395
CAR(10:2)_QUAL,22179.781616210938,20332.621459960938,44016.34289550781,28926.30178833008,31457.742042541504,21248.661712646484,29809.32218933105,16650.8212890625
CAR(10:3),1989.1401290893557,1957.4401359558103,2752.040199279785,1988.8801307678225,1964.540138244629,1957.760124206543,2112.7401580810547,1693.3801155090332
CAR(10:3)_QUAL,2557.880172729492,1961.5601425170896,3620.000286102295,3057.240226745605,2391.260162353516,2353.0401725769043,3012.240203857422,2094.820156097412
CAR(11:0),2124.580139160156,1939.0801239013672,2765.180160522461,2832.3802032470703,2332.6201553344727,2050.480155944824,2343.040153503418,1740.9201202392578
CAR(11:0)_QUAL,3342.040237426758,3205.1001930236816,5227.060363769531,3571.9002723693848,3891.220283508301,3036.16019821167,4235.900321960449,2681.2002029418945
CAR(12:0),1710.3201026916504,1671.8601303100586,1974.160144805908,1869.120128631592,1836.6601219177248,1700.9201126098633,1900.3601303100584,1541.8200988769531
CAR(12:0)_QUAL,3343.880226135254,2690.300170898437,4647.280326843262,3616.0802421569824,3272.260234832764,2605.3001823425293,4117.820274353027,2435.880176544189
CAR(14:0),2128.9601669311523,2138.320171356201,2935.600204467773,2706.2602005004883,2434.040180206299,2159.3601570129395,2097.740146636963,1807.1601219177248
CAR(14:0)_QUAL,5522.320407867432,4207.580333709717,8759.020622253418,6038.120456695557,5561.8204345703125,4271.4603271484375,6432.200496673584,3749.1402702331534
CAR(14:1),2185.860145568848,2163.600154876709,2269.400154113769,2514.2601737976074,2015.840156555176,1992.2001419067385,1978.9401473999023,1685.2001113891602
