type,Down,Up
AC,0,0
CE,0,0
CE | CE,0,0
CER,0,0
FFA,1,0
PC,0,0
PE,0,0
PE | PE,0,0
PG,1,0
PG | PG,0,0
PG | PG | PG,0,0
PI,0,0
PI | PI,0,0
PS,1,0
PS | PS,0,0
SM,0,0
TAG,0,0
