Match 1,Match 2,Lipid 1,Lipid 2,Number,Gene,Reaction
PS(36:1),LPS(17:1) ,PS,LPS,5320,PLA2G2A,31
PG(42:3),LPG(22:0) ,PG,LPG,54675,CRLS1,33
PG(30:4),LPG(18:4),PG,LPG,255189,PLA2G4F,33
PG(40:6),LPG(18:1) ,PG,LPG,283748,PLA2G4D,33
PC(38:5),LPC(16:1)_2,PC,LPC,26279,PLA2G2D,23
PC(40:7),LPC(20:4),PC,LPC,5319,PLA2G1B,23
PE(30:0),PC(30:0),PE,PC,10400,PEMT,8
PI(30:2),LPI(12:0) ,PI,LPI,283748,PLA2G4D,29
PC(44:5),LPC(22:6),PC,LPC,100137049,PLA2G4B,23
PC(38:2),LPC(16:1),PC,LPC,5319,PLA2G1B,23
LPC(4:0),PC(30:0),LPC,PC,79888,LPCAT1,22
PC(32:0),LPC(15:1),PC,LPC,30814,PLA2G2E,23
PC(42:1),PS(28:0),PC,PS,9791,PTDSS1,9
PS(40:7),PE(16:1),PS,PE,23761,PISD,6
LPC(18:0),PC(30:0),LPC,PC,254531,LPCAT4,22
PC(40:8),LPC(22:4),PC,LPC,8605,PLA2G4C,23
PC(38:2),LPC(20:0),PC,LPC,8605,PLA2G4C,23
PC(36:1),LPC(10:0),PC,LPC,255189,PLA2G4F,23
LPE(12:0) ,PE(28:0),LPE,PE,10162,LPCAT3,26
PC(40:2),LPC(22:4),PC,LPC,255189,PLA2G4F,23
PI(34:3),LPI(22:2) ,PI,LPI,283748,PLA2G4D,29
PC(38:2),LPC(20:4),PC,LPC,255189,PLA2G4F,23
LPG(20:5) ,PG(42:11),LPG,PG,9926,LPGAT1,32
PG(28:1),LPG(12:0),PG,LPG,283748,PLA2G4D,33
LPC(18:0),PC(36:1),LPC,PC,79888,LPCAT1,22
LPS(20:3) ,PS(40:8),LPS,PS,154141,MBOAT1,30
PC(38:6),LPC(22:5),PC,LPC,8605,PLA2G4C,23
PE(20:2),PS(42:8),PE,PS,81490,PTDSS2,7
PC(44:6),LPC(22:6),PC,LPC,255189,PLA2G4F,23
LPE(18:1),PE(40:1),LPE,PE,10162,LPCAT3,26
PC(36:2),LPC(22:2),PC,LPC,30814,PLA2G2E,23
PG(40:7),LPG(18:3) ,PG,LPG,54675,CRLS1,33
PC(46:2),LPC(22:1),PC,LPC,5320,PLA2G2A,23
LPS(18:1) ,PS(32:1),LPS,PS,10162,LPCAT3,30
LPC(20:5),PC(44:6),LPC,PC,254531,LPCAT4,22
PS(38:0),LPS(18:3) ,PS,LPS,64600,PLA2G2F,31
LPS(20:1) ,PS(40:1),LPS,PS,154141,MBOAT1,30
LPS(14:1) ,PS(36:7),LPS,PS,10162,LPCAT3,30
PG(42:0),LPG(16:1) ,PG,LPG,54675,CRLS1,33
LPC(20:0),PC(38:4),LPC,PC,10162,LPCAT3,22
PG(32:3),LPG(14:0),PG,LPG,283748,PLA2G4D,33
LPS(18:3) ,PS(36:3),LPS,PS,254531,LPCAT4,30
PC(44:6),LPC(22:6),PC,LPC,26279,PLA2G2D,23
PG(32:0),LPG(14:1) ,PG,LPG,283748,PLA2G4D,33
PC(36:0) ,LPC(16:0),PC,LPC,123745,PLA2G4E,23
PG(36:3),LPG(18:2) ,PG,LPG,283748,PLA2G4D,33
SM(44:0),Cer1P(20:1),SM,Cer,6609,SMPD1,18
PC(40:8),LPC(22:6),PC,LPC,123745,PLA2G4E,23
LPC(18:3),PC(42:9),LPC,PC,254531,LPCAT4,22
PE(22:0),PC(34:1),PE,PC,10400,PEMT,8
LPS(20:0) ,PS(40:5),LPS,PS,154141,MBOAT1,30
PC(44:6),LPC(20:1),PC,LPC,30814,PLA2G2E,23
PS(36:8),PE(18:4),PS,PE,23761,PISD,6
PG(42:6),LPG(20:2) ,PG,LPG,54675,CRLS1,33
PS(40:1),LPS(14:1) ,PS,LPS,30814,PLA2G2E,31
PI(40:8),LPI(20:5) ,PI,LPI,123745,PLA2G4E,29
PC(50:0),LPC(18:0),PC,LPC,255189,PLA2G4F,23
Cer(34:1),SM(34:1),Cer,SM,166929,SGMS2,17
LPC(22:2),PC(40:0),LPC,PC,10162,LPCAT3,22
LPC(16:1)_2,PC(34:4),LPC,PC,254531,LPCAT4,22
LPE(14:0),PE(32:4),LPE,PE,254531,LPCAT4,26
PE(18:4),PS(38:9),PE,PS,81490,PTDSS2,7
PC(32:2),LPC(15:1),PC,LPC,26279,PLA2G2D,23
LPE(20:2),PE(38:0),LPE,PE,154141,MBOAT1,26
PC(38:2),LPC(22:2),PC,LPC,5321,PLA2G4A,23
SM(32:0),Cer1P(20:1),SM,Cer,6609,SMPD1,18
LPS(18:4)_2,PS(38:5),LPS,PS,254531,LPCAT4,30
PC(40:6),LPC(18:0),PC,LPC,30814,PLA2G2E,23
PC(40:0),LPC(20:0),PC,LPC,8605,PLA2G4C,23
LPC(20:0),PC(42:0),LPC,PC,254531,LPCAT4,22
PS(30:3),LPS(18:2) ,PS,LPS,5320,PLA2G2A,31
LPS(16:0) ,PS(38:1),LPS,PS,254531,LPCAT4,30
PC(40:8),LPC(20:3),PC,LPC,26279,PLA2G2D,23
LPE(14:1),PE(26:0),LPE,PE,254531,LPCAT4,26
LPE(16:1),PE(36:6),LPE,PE,254531,LPCAT4,26
PC(42:6),LPC(20:0),PC,LPC,100137049,PLA2G4B,23
LPI(18:2) ,PI(44:2),LPI,PI,79143,MBOAT7,28
LPC(18:4),PC(38:9),LPC,PC,79888,LPCAT1,22
LPI(14:0) ,PI(40:0),LPI,PI,79143,MBOAT7,28
PG(42:3),LPG(22:6) ,PG,LPG,54675,CRLS1,33
Cer1P(20:1),SM(36:0),Cer,SM,10087,CERT1,17
PC(30:1),LPC(12:0),PC,LPC,26279,PLA2G2D,23
PC(42:2),LPC(22:1),PC,LPC,283748,PLA2G4D,23
PC(42:2),LPC(22:2),PC,LPC,5320,PLA2G2A,23
PS(34:2),PE(22:1),PS,PE,23761,PISD,6
Cer(38:3),SM(38:3),Cer,SM,259230,SGMS1,17
LPC(18:1),PC(30:0),LPC,PC,10162,LPCAT3,22
PC(44:1),LPC(20:0),PC,LPC,255189,PLA2G4F,23
PC(42:0),LPC(16:0),PC,LPC,30814,PLA2G2E,23
PS(34:1),LPS(22:1) ,PS,LPS,5320,PLA2G2A,31
LPC(22:5),PC(44:10),LPC,PC,10162,LPCAT3,22
PG(36:1),LPG(22:2),PG,LPG,54675,CRLS1,33
PS(32:1),LPS(15:0) ,PS,LPS,5320,PLA2G2A,31
LPE(20:4),PE(38:8),LPE,PE,254531,LPCAT4,26
LPE(13:0),PE(32:0),LPE,PE,254531,LPCAT4,26
PE(38:5),LPE(22:4),PE,LPE,8605,PLA2G4C,27
PC(32:0),LPC(15:0),PC,LPC,30814,PLA2G2E,23
LPC(15:1),PC(32:1),LPC,PC,10162,LPCAT3,22
PC(50:0),LPC(22:0),PC,LPC,255189,PLA2G4F,23
PS(40:0) ,LPS(20:1) ,PS,LPS,5320,PLA2G2A,31
PC(40:0),LPC(24:1),PC,LPC,5321,PLA2G4A,23
LPI(14:0) ,PI(32:3),LPI,PI,79143,MBOAT7,28
LPS(20:0) ,PS(40:4),LPS,PS,10162,LPCAT3,30
LPC(22:5),PC(36:6),LPC,PC,54947,LPCAT2,22
PG(38:7),LPG(20:5) ,PG,LPG,283748,PLA2G4D,33
LPC(18:2),PC(46:2),LPC,PC,79888,LPCAT1,22
PC(40:3),LPC(18:4),PC,LPC,64600,PLA2G2F,23
LPS(20:3) ,PS(40:0) ,LPS,PS,10162,LPCAT3,30
LPE(18:2),PE(38:7),LPE,PE,254531,LPCAT4,26
PS(36:2),LPS(16:1) ,PS,LPS,64600,PLA2G2F,31
