,Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Cluster_Label,Group,Area,Area_RT,Area_Ratio,FAC,TG
13,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cereb_O3on_01,n-9,736.7,547.5,13.36,5801.0,736.7 -> 547.5,0,1,53201.0,0.7549166666666665,18.74,FA18:1,TG(50:3)
14,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-7,764.7,547.5,13.18,413.0,764.7 -> 547.5,0,4,826.0,0.0,23.9,FA18:1,TG(50:3)
15,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_cortex_O3on_01,n-9,736.7,547.5,13.36,3674.0,736.7 -> 547.5,0,1,19742.0,0.17763333333333442,23.9,FA18:1,TG(50:3)
16,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_dienc_O3on_01,n-9,736.7,547.5,13.23,424.0,736.7 -> 547.5,0,1,848.0,0.0,,FA18:1,TG(50:3)
17,[TG(50:3)]_FA18:1,11282023_FAD185_M4_WT_hippo_O3on_01,n-9,736.7,547.5,13.45,578.0,736.7 -> 547.5,0,1,3001.0,0.2664666666666662,,FA18:1,TG(50:3)
18,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_cereb_O3on_01,n-9,736.7,547.5,13.36,1821.0,736.7 -> 547.5,0,1,14902.0,0.26645000000000074,,FA18:1,TG(50:3)
19,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-10,722.7,547.5,13.36,402.0,722.7 -> 547.5,0,0,1604.0,0.13321666666666587,,FA18:1,TG(50:3)
20,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_cortex_O3on_01,n-9,736.7,547.5,13.32,6918.0,736.7 -> 547.5,0,1,50529.0,0.35524999999999984,,FA18:1,TG(50:3)
21,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-10,722.7,547.5,13.63,788.0,722.7 -> 547.5,0,0,2561.0,0.04439999999999955,,FA18:1,TG(50:3)
22,[TG(50:3)]_FA18:1,11282023_FAD189_M3_WT_dienc_O3on_01,n-9,736.7,547.5,13.36,1042.0,736.7 -> 547.5,0,1,10465.0,0.5772833333333338,,FA18:1,TG(50:3)
127,"[TG(55:8),TG(54:1)]_FA18:1",11282023_DOD94_F3_WT_cortex_O3on_01,n-9,796.7,607.5,16.9,479.0,796.7 -> 607.5,0,12,1758.0,0.04441666666666677,,FA18:1,"TG(54:1), TG(55:8)"
128,"[TG(55:8),TG(54:1)]_FA18:1",11282023_DOD94_F3_WT_dienc_O3on_01,n-9,796.7,607.5,16.94,550.0,796.7 -> 607.5,0,12,1916.0,0.044400000000003104,,FA18:1,"TG(54:1), TG(55:8)"
129,"[TG(55:8),TG(54:1)]_FA18:1",11282023_FAD184_F3_WT_cereb_O3on_01,n-9,796.7,607.5,16.9,599.0,796.7 -> 607.5,0,12,2322.0,0.04441666666666677,,FA18:1,"TG(54:1), TG(55:8)"
130,"[TG(55:8),TG(54:1)]_FA18:1",11282023_FAD184_F3_WT_cortex_O3on_01,n-9,796.7,607.5,16.9,939.0,796.7 -> 607.5,0,12,4070.0,0.08881666666666632,,FA18:1,"TG(54:1), TG(55:8)"
131,"[TG(55:8),TG(54:1)]_FA18:1",11282023_FAD184_F3_WT_dienc_O3on_01,n-9,796.7,607.5,17.08,484.0,796.7 -> 607.5,0,12,968.0,0.0,,FA18:1,"TG(54:1), TG(55:8)"
132,"[TG(55:8),TG(54:1)]_FA18:1",11282023_FAD184_F3_WT_hippo_O3on_01,n-9,796.7,607.5,16.85,415.0,796.7 -> 607.5,0,12,830.0,0.0,,FA18:1,"TG(54:1), TG(55:8)"
133,"[TG(55:8),TG(54:1)]_FA18:1",11282023_FAD184_F4_WT_cereb_O3on_01,n-12,754.6,607.5,17.18,575.0,754.6 -> 607.5,0,2,2075.0,0.04441666666666677,,FA18:1,"TG(54:1), TG(55:8)"
134,"[TG(55:8),TG(54:1)]_FA18:1",11282023_FAD185_M4_WT_cereb_O3on_01,n-9,796.7,607.5,16.85,4912.0,796.7 -> 607.5,0,12,22364.0,0.31085000000000207,,FA18:1,"TG(54:1), TG(55:8)"
135,"[TG(55:8),TG(54:1)]_FA18:1",11282023_FAD189_M3_WT_cereb_O3on_01,n-9,796.7,607.5,16.99,682.0,796.7 -> 607.5,0,12,4505.0,0.17761666666666898,,FA18:1,"TG(54:1), TG(55:8)"
136,"[TG(55:8),TG(54:1)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-12,754.6,607.5,17.22,429.0,754.6 -> 607.5,0,2,858.0,0.0,,FA18:1,"TG(54:1), TG(55:8)"
137,"[TG(55:8),TG(54:1)]_FA18:1",11282023_FAD189_M3_WT_cortex_O3on_01,n-9,796.7,607.5,16.85,1769.0,796.7 -> 607.5,0,12,9007.0,0.13321666666666943,,FA18:1,"TG(54:1), TG(55:8)"
138,"[TG(55:8),TG(54:1)]_FA18:1",11282023_FAD189_M3_WT_dienc_O3on_01,n-9,796.7,607.5,16.85,474.0,796.7 -> 607.5,0,12,3700.0,0.13321666666666943,,FA18:1,"TG(54:1), TG(55:8)"
139,"[TG(55:9),TG(54:2)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-7,822.7,605.5,16.89,601.0,822.7 -> 605.5,0,20,2117.0,0.04441666666666677,10.33,FA18:1,"TG(54:2), TG(55:9)"
140,"[TG(55:9),TG(54:2)]_FA18:1",11282023_DOD94_F3_WT_cereb_O3on_01,n-9,794.7,605.5,16.9,4860.0,794.7 -> 605.5,0,11,21866.0,0.39966666666666484,10.33,FA18:1,"TG(54:2), TG(55:9)"
141,"[TG(55:9),TG(54:2)]_FA18:1",11282023_DOD94_F3_WT_cortex_O3on_01,n-10,780.7,605.5,16.95,406.0,780.7 -> 605.5,0,5,812.0,0.0,,FA18:1,"TG(54:2), TG(55:9)"
142,"[TG(55:9),TG(54:2)]_FA18:1",11282023_DOD94_F3_WT_cortex_O3on_01,n-9,794.7,605.5,16.9,3377.0,794.7 -> 605.5,0,11,19925.0,0.39966666666666484,,FA18:1,"TG(54:2), TG(55:9)"
