,Lipid,Sample_ID,db,Parent_Ion,Product_Ion,Retention_Time,OzESI_Intensity,Transition,Cluster_Label,Group,Area,Area_RT,Area_Ratio,FAC,TG
22,[TG(52:5)]_FA16:1,11292023_DOD93_F4_5xFAD_dienc_O3on_01,n-7,788.7,599.5,12.24,586.0,788.7 -> 599.5,0,5,2344.0,0.0,,FA16:1,TG(52:5)
23,[TG(52:5)]_FA16:1,11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.24,1418.0,788.7 -> 599.5,0,5,29574.0,0.17763333333333264,,FA16:1,TG(52:5)
24,[TG(52:5)]_FA16:1,11292023_DOD94_F4_5xFAD_cortex_O3on_01,n-7,788.7,599.5,12.24,931.0,788.7 -> 599.5,0,5,13386.0,0.08906666666666752,,FA16:1,TG(52:5)
25,[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.24,1340.0,788.7 -> 599.5,0,5,27282.0,0.17763333333333264,,FA16:1,TG(52:5)
26,[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_cortex_O3on_01,n-7,788.7,599.5,12.28,2509.0,788.7 -> 599.5,0,5,48724.0,0.17763333333333264,,FA16:1,TG(52:5)
27,[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_dienc_O3on_01,n-7,788.7,599.5,12.24,906.0,788.7 -> 599.5,0,5,8106.0,0.08908333333333296,,FA16:1,TG(52:5)
28,[TG(52:5)]_FA16:1,11292023_FAD185_M1_5xFAD_hippo_O3on_01,n-7,788.7,599.5,12.33,603.0,788.7 -> 599.5,0,5,2412.0,0.0,,FA16:1,TG(52:5)
34,[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-7,788.7,599.5,12.28,27260.0,788.7 -> 599.5,0,5,647767.0,0.39991666666666603,0.03,FA16:1,TG(52:5)
35,[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cereb_O3on_01,n-9,760.7,599.5,12.42,1812.0,760.7 -> 599.5,0,1,18802.0,0.0888166666666681,0.03,FA16:1,TG(52:5)
36,[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-7,788.7,599.5,12.28,30704.0,788.7 -> 599.5,0,5,778815.0,0.39993333333333325,0.04,FA16:1,TG(52:5)
37,[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_cortex_O3on_01,n-9,760.7,599.5,12.33,2195.0,760.7 -> 599.5,0,1,27285.0,0.17763333333333264,0.04,FA16:1,TG(52:5)
38,[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_dienc_O3on_01,n-7,788.7,599.5,12.33,5355.0,788.7 -> 599.5,0,5,116743.0,0.2664333333333335,0.02,FA16:1,TG(52:5)
39,[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_dienc_O3on_01,n-9,760.7,599.5,12.38,640.0,760.7 -> 599.5,0,1,2559.0,0.0,0.02,FA16:1,TG(52:5)
40,[TG(52:5)]_FA16:1,11292023_FAD189_M1_5xFAD_hippo_O3on_01,n-7,788.7,599.5,12.33,934.0,788.7 -> 599.5,0,5,17643.0,0.17763333333333442,,FA16:1,TG(52:5)
1,[TG(50:3)]_FA18:1,11292023_DOD93_F4_5xFAD_cortex_O3on_01,n-9,736.7,547.5,13.8,967.0,736.7 -> 547.5,0,0,11782.0,0.5772833333333338,,FA18:1,TG(50:3)
3,[TG(50:3)]_FA18:1,11292023_DOD93_F4_5xFAD_hippo_O3on_01,n-9,736.7,547.5,13.8,679.0,736.7 -> 547.5,0,0,14066.0,0.35524999999999984,,FA18:1,TG(50:3)
4,[TG(50:3)]_FA18:1,11292023_DOD94_F4_5xFAD_cereb_O3on_01,n-9,736.7,547.5,13.49,2048.0,736.7 -> 547.5,0,0,47210.0,0.6216999999999988,,FA18:1,TG(50:3)
5,[TG(50:3)]_FA18:1,11292023_DOD94_F4_5xFAD_cortex_O3on_01,n-9,736.7,547.5,13.58,1122.0,736.7 -> 547.5,0,0,17833.0,0.22203333333333397,,FA18:1,TG(50:3)
6,[TG(50:3)]_FA18:1,11292023_DOD94_F4_5xFAD_dienc_O3on_01,n-9,736.7,547.5,13.76,505.0,736.7 -> 547.5,0,0,2021.0,0.0,,FA18:1,TG(50:3)
