,Q1,Q3,Intensity,Transition,Lipid,Class
4,820.8,519.796,7919.600341796875,820.8 -> 519.796,,
36,868.7,597.696,16741.861618041992,868.7 -> 597.696,,
39,870.8,597.796,10686.540649414062,870.8 -> 597.796,,
40,870.8,599.796,24762.90185546875,870.8 -> 599.796,,
43,872.8,599.796,19982.721099853516,872.8 -> 599.796,,
44,872.8,601.796,18354.90167236328,872.8 -> 601.796,,
47,874.8,601.796,21247.601776123047,874.8 -> 601.796,,
70,896.8,597.796,8197.260925292969,896.8 -> 597.796,,
73,898.8,597.796,11422.960754394531,898.8 -> 597.796,,
74,898.8,599.796,15486.081237792969,898.8 -> 599.796,,
77,900.8,599.796,14592.280883789062,900.8 -> 599.796,,
78,900.8,601.796,10165.220581054688,900.8 -> 601.796,,
81,902.8,601.796,8857.46044921875,902.8 -> 601.796,,
90,906.8,607.796,7766.8800048828125,906.8 -> 607.796,,
102,922.8,651.796,38088.23629760742,922.8 -> 651.796,,
104,924.8,651.796,38211.67272949219,924.8 -> 651.796,,
156,964.9,693.896,18371.740631103516,964.9 -> 693.896,,
