Lipid,Retention_Time,Parent_Ion,Product_Ion
"[TG(53:9),TG(52:2)]_FA18:1",16.29,876.8,577.6
"[TG(53:10),TG(52:3)]_FA18:1",14.35,874.8,575.6
[TG(52:4)]_FA18:1,12.71,872.8,573.6
[TG(52:5)]_FA18:1,22.22,870.8,571.6
[TG(52:6)]_FA18:1,21.04,868.7,569.6
"[TG(54:7),TG(53:0)]_FA18:1",22.47,894.8,595.6
"[TG(55:9),TG(54:2)]_FA18:1",16.23,904.8,605.6
"[TG(55:10),TG(54:3)]_FA18:1",16.24,902.8,603.6
"[TG(55:11),TG(54:4)]_FA18:1",14.34,900.8,601.6
[TG(54:5)]_FA18:1,12.71,898.8,599.6
[TG(54:6)]_FA18:1,12.72,896.8,597.6
,21.25,760.6,571.6
