,Biology,Cage,Correct_RT,Genotype,Group_Sample,Lipid,Match_Group,Mouse,New_ID,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition
0,cereb,DOD94,13.29,WT,3.0,[TG(50:3)]_FA18:1,2200.0,F3,[TG(50:3)]_FA18:1-DOD94-F3-WT-cereb,1096.0400390625,846.8,547.5,13.29,11282023_DOD94_F3_WT_cereb_O3on_01,846.8 -> 547.5
1,cortex,DOD94,13.33,WT,33.0,[TG(50:3)]_FA18:1,2201.0,F3,[TG(50:3)]_FA18:1-DOD94-F3-WT-cortex,1995.400146484375,846.8,547.5,13.33,11282023_DOD94_F3_WT_cortex_O3on_01,846.8 -> 547.5
2,hippo,DOD94,13.38,WT,93.0,[TG(50:3)]_FA18:1,2203.0,F3,[TG(50:3)]_FA18:1-DOD94-F3-WT-hippo,641.280029296875,846.8,547.5,13.38,11282023_DOD94_F3_WT_hippo_O3on_01,846.8 -> 547.5
3,cereb,FAD184,13.2,WT,123.0,[TG(50:3)]_FA18:1,2204.0,F3,[TG(50:3)]_FA18:1-FAD184-F3-WT-cereb,757.4000244140625,846.8,547.5,13.2,11282023_FAD184_F3_WT_cereb_O3on_01,846.8 -> 547.5
4,cortex,FAD184,13.33,WT,153.0,[TG(50:3)]_FA18:1,2205.0,F3,[TG(50:3)]_FA18:1-FAD184-F3-WT-cortex,7581.46044921875,846.8,547.5,13.33,11282023_FAD184_F3_WT_cortex_O3on_01,846.8 -> 547.5
5,dienc,FAD184,13.24,WT,183.0,[TG(50:3)]_FA18:1,2206.0,F3,[TG(50:3)]_FA18:1-FAD184-F3-WT-dienc,809.5200805664062,846.8,547.5,13.24,11282023_FAD184_F3_WT_dienc_O3on_01,846.8 -> 547.5
6,cereb,FAD185,13.33,WT,363.0,[TG(50:3)]_FA18:1,2212.0,M4,[TG(50:3)]_FA18:1-FAD185-M4-WT-cereb,14928.4013671875,846.8,547.5,13.33,11282023_FAD185_M4_WT_cereb_O3on_01,846.8 -> 547.5
7,cortex,FAD185,13.33,WT,393.0,[TG(50:3)]_FA18:1,2213.0,M4,[TG(50:3)]_FA18:1-FAD185-M4-WT-cortex,11187.7607421875,846.8,547.5,13.33,11282023_FAD185_M4_WT_cortex_O3on_01,846.8 -> 547.5
8,hippo,FAD185,13.64,WT,453.0,[TG(50:3)]_FA18:1,2215.0,M4,[TG(50:3)]_FA18:1-FAD185-M4-WT-hippo,835.5000610351562,846.8,547.5,13.64,11282023_FAD185_M4_WT_hippo_O3on_01,846.8 -> 547.5
9,cortex,DOD94,12.0,WT,35.0,[TG(52:5)]_FA16:1,2381.0,F3,[TG(52:5)]_FA16:1-DOD94-F3-WT-cortex,592.9200439453125,870.8,599.5,12.0,11282023_DOD94_F3_WT_cortex_O3on_01,870.8 -> 599.5
10,cereb,FAD184,12.0,WT,125.0,[TG(52:5)]_FA16:1,2384.0,F3,[TG(52:5)]_FA16:1-FAD184-F3-WT-cereb,347.2400207519531,870.8,599.5,12.0,11282023_FAD184_F3_WT_cereb_O3on_01,870.8 -> 599.5
11,cortex,FAD184,12.0,WT,155.0,[TG(52:5)]_FA16:1,2385.0,F3,[TG(52:5)]_FA16:1-FAD184-F3-WT-cortex,3801.560302734375,870.8,599.5,12.0,11282023_FAD184_F3_WT_cortex_O3on_01,870.8 -> 599.5
12,cereb,FAD185,12.0,WT,365.0,[TG(52:5)]_FA16:1,2392.0,M4,[TG(52:5)]_FA16:1-FAD185-M4-WT-cereb,19155.201171875,870.8,599.5,12.0,11282023_FAD185_M4_WT_cereb_O3on_01,870.8 -> 599.5
13,cortex,FAD185,12.0,WT,395.0,[TG(52:5)]_FA16:1,2393.0,M4,[TG(52:5)]_FA16:1-FAD185-M4-WT-cortex,12366.560546875,870.8,599.5,12.0,11282023_FAD185_M4_WT_cortex_O3on_01,870.8 -> 599.5
14,cortex,FAD184,10.84,WT,156.0,[TG(52:6)]_FA18:2,2325.0,F3,[TG(52:6)]_FA18:2-FAD184-F3-WT-cortex,378.8200378417969,868.8,571.5,10.84,11282023_FAD184_F3_WT_cortex_O3on_01,868.8 -> 571.5
