,Biology,Cage,Correct_RT,Genotype,Group_Sample,Lipid,Match_Group,Mouse,New_ID,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition
0,cereb,DOD94,13.55,5xFAD,123.0,[TG(50:3)]_FA18:1,2644.0,F4,[TG(50:3)]_FA18:1-DOD94-F4-5xFAD-cereb,8025.560546875,846.8,547.5,13.55,11292023_DOD94_F4_5xFAD_cereb_O3on_01,846.8 -> 547.5
1,cortex,DOD94,13.6,5xFAD,153.0,[TG(50:3)]_FA18:1,2645.0,F4,[TG(50:3)]_FA18:1-DOD94-F4-5xFAD-cortex,2297.080078125,846.8,547.5,13.6,11292023_DOD94_F4_5xFAD_cortex_O3on_01,846.8 -> 547.5
2,cereb,FAD185,13.38,5xFAD,363.0,[TG(50:3)]_FA18:1,2652.0,M3,[TG(50:3)]_FA18:1-FAD185-M3-5xFAD-cereb,17026.9609375,846.8,547.5,13.38,11292023_FAD185_M3_5xFAD_cereb_O3on_01,846.8 -> 547.5
3,dienc,FAD185,13.38,5xFAD,423.0,[TG(50:3)]_FA18:1,2654.0,M3,[TG(50:3)]_FA18:1-FAD185-M3-5xFAD-dienc,7436.70068359375,846.8,547.5,13.38,11292023_FAD185_M3_5xFAD_dienc_O3on_01,846.8 -> 547.5
4,hippo,FAD185,13.38,5xFAD,453.0,[TG(50:3)]_FA18:1,2655.0,M3,[TG(50:3)]_FA18:1-FAD185-M3-5xFAD-hippo,2502.10009765625,846.8,547.5,13.38,11292023_FAD185_M3_5xFAD_hippo_O3on_01,846.8 -> 547.5
5,cereb,FAD189,13.64,5xFAD,483.0,[TG(50:3)]_FA18:1,2656.0,M1,[TG(50:3)]_FA18:1-FAD189-M1-5xFAD-cereb,12837.3408203125,846.8,547.5,13.64,11292023_FAD189_M1_5xFAD_cereb_O3on_01,846.8 -> 547.5
6,cortex,FAD189,13.6,5xFAD,513.0,[TG(50:3)]_FA18:1,2657.0,M1,[TG(50:3)]_FA18:1-FAD189-M1-5xFAD-cortex,14738.5810546875,846.8,547.5,13.6,11292023_FAD189_M1_5xFAD_cortex_O3on_01,846.8 -> 547.5
7,cortex,FAD189,13.6,5xFAD,633.0,[TG(50:3)]_FA18:1,2661.0,M2,[TG(50:3)]_FA18:1-FAD189-M2-5xFAD-cortex,2235.2001953125,846.8,547.5,13.38,11292023_FAD189_M2_5xFAD_cortex_O3on_01,846.8 -> 547.5
8,dienc,FAD189,13.6,5xFAD,663.0,[TG(50:3)]_FA18:1,2662.0,M2,[TG(50:3)]_FA18:1-FAD189-M2-5xFAD-dienc,926.0000610351562,846.8,547.5,13.6,11292023_FAD189_M2_5xFAD_dienc_O3on_01,846.8 -> 547.5
9,cereb,DOD94,12.35,5xFAD,125.0,[TG(52:5)]_FA16:1,2860.0,F4,[TG(52:5)]_FA16:1-DOD94-F4-5xFAD-cereb,1698.900146484375,870.8,599.5,12.35,11292023_DOD94_F4_5xFAD_cereb_O3on_01,870.8 -> 599.5
