,Biology,Cage,Correct_RT,Genotype,Group_Sample,Lipid,Match_Group,Mouse,New_ID,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition
22,liver,FAD131,12.8,5xFAD,40.0,[TG(54:6)]_FA18:1,616.0,M1,[TG(54:6)]_FA18:1-FAD131-M1-5xFAD-liver,45574.6015625,896.8,597.5,12.8,12012023_FAD131_M1_5xFAD_liver_O3on_01,896.8 -> 597.5
23,liver,FAD131,12.8,5xFAD,70.0,[TG(54:6)]_FA18:1,617.0,M2,[TG(54:6)]_FA18:1-FAD131-M2-5xFAD-liver,30607.72265625,896.8,597.5,12.8,12012023_FAD131_M2_5xFAD_liver_O3on_01,896.8 -> 597.5
24,liver,FAD131,12.8,5xFAD,100.0,[TG(54:6)]_FA18:1,618.0,M4,[TG(54:6)]_FA18:1-FAD131-M4-5xFAD-liver,18438.060546875,896.8,597.5,12.75,12012023_FAD131_M4_5xFAD_liver_O3on_01,896.8 -> 597.5
25,liver,FAD173,12.75,5xFAD,130.0,[TG(54:6)]_FA18:1,619.0,M1,[TG(54:6)]_FA18:1-FAD173-M1-5xFAD-liver,47862.3046875,896.8,597.5,12.75,12012023_FAD173_M1_5xFAD_liver_O3on_01,896.8 -> 597.5
26,liver,DOD73,16.21,5xFAD,11.0,"[TG(55:10),TG(54:3)]_FA18:1",635.0,M2,"[TG(55:10),TG(54:3)]_FA18:1-DOD73-M2-5xFAD-liver",533927.1875,902.8,603.5,16.21,12012023_DOD73_M2_5xFAD_liver_O3on_01,902.8 -> 603.5
27,liver,FAD131,16.17,5xFAD,41.0,"[TG(55:10),TG(54:3)]_FA18:1",636.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD131-M1-5xFAD-liver",1062281.125,902.8,603.5,16.21,12012023_FAD131_M1_5xFAD_liver_O3on_01,902.8 -> 603.5
28,liver,FAD131,16.17,5xFAD,71.0,"[TG(55:10),TG(54:3)]_FA18:1",637.0,M2,"[TG(55:10),TG(54:3)]_FA18:1-FAD131-M2-5xFAD-liver",1217444.375,902.8,603.5,16.17,12012023_FAD131_M2_5xFAD_liver_O3on_01,902.8 -> 603.5
29,liver,FAD131,16.17,5xFAD,101.0,"[TG(55:10),TG(54:3)]_FA18:1",638.0,M4,"[TG(55:10),TG(54:3)]_FA18:1-FAD131-M4-5xFAD-liver",460855.125,902.8,603.5,16.21,12012023_FAD131_M4_5xFAD_liver_O3on_01,902.8 -> 603.5
30,liver,FAD173,16.21,5xFAD,131.0,"[TG(55:10),TG(54:3)]_FA18:1",639.0,M1,"[TG(55:10),TG(54:3)]_FA18:1-FAD173-M1-5xFAD-liver",549259.375,902.8,603.5,16.21,12012023_FAD173_M1_5xFAD_liver_O3on_01,902.8 -> 603.5
31,liver,DOD73,14.97,5xFAD,12.0,"[TG(55:11),TG(54:4)]_FA16:1",630.0,M2,"[TG(55:11),TG(54:4)]_FA16:1-DOD73-M2-5xFAD-liver",8997.8603515625,900.8,629.5,14.97,12012023_DOD73_M2_5xFAD_liver_O3on_01,900.8 -> 629.5
32,liver,FAD131,14.97,5xFAD,42.0,"[TG(55:11),TG(54:4)]_FA16:1",631.0,M1,"[TG(55:11),TG(54:4)]_FA16:1-FAD131-M1-5xFAD-liver",10757.5205078125,900.8,629.5,14.97,12012023_FAD131_M1_5xFAD_liver_O3on_01,900.8 -> 629.5
33,liver,FAD131,14.97,5xFAD,72.0,"[TG(55:11),TG(54:4)]_FA16:1",632.0,M2,"[TG(55:11),TG(54:4)]_FA16:1-FAD131-M2-5xFAD-liver",10583.041015625,900.8,629.5,14.97,12012023_FAD131_M2_5xFAD_liver_O3on_01,900.8 -> 629.5
34,liver,FAD131,14.97,5xFAD,102.0,"[TG(55:11),TG(54:4)]_FA16:1",633.0,M4,"[TG(55:11),TG(54:4)]_FA16:1-FAD131-M4-5xFAD-liver",1383.900146484375,900.8,629.5,15.01,12012023_FAD131_M4_5xFAD_liver_O3on_01,900.8 -> 629.5
35,liver,FAD173,15.01,5xFAD,132.0,"[TG(55:11),TG(54:4)]_FA16:1",634.0,M1,"[TG(55:11),TG(54:4)]_FA16:1-FAD173-M1-5xFAD-liver",5007.22021484375,900.8,629.5,15.01,12012023_FAD173_M1_5xFAD_liver_O3on_01,900.8 -> 629.5
36,liver,DOD73,15.01,5xFAD,13.0,"[TG(55:11),TG(54:4)]_FA18:1",625.0,M2,"[TG(55:11),TG(54:4)]_FA18:1-DOD73-M2-5xFAD-liver",461253.28125,900.8,601.5,15.01,12012023_DOD73_M2_5xFAD_liver_O3on_01,900.8 -> 601.5
37,liver,FAD131,15.01,5xFAD,43.0,"[TG(55:11),TG(54:4)]_FA18:1",626.0,M1,"[TG(55:11),TG(54:4)]_FA18:1-FAD131-M1-5xFAD-liver",731742.75,900.8,601.5,15.06,12012023_FAD131_M1_5xFAD_liver_O3on_01,900.8 -> 601.5
38,liver,FAD131,15.01,5xFAD,73.0,"[TG(55:11),TG(54:4)]_FA18:1",627.0,M2,"[TG(55:11),TG(54:4)]_FA18:1-FAD131-M2-5xFAD-liver",745920.125,900.8,601.5,15.01,12012023_FAD131_M2_5xFAD_liver_O3on_01,900.8 -> 601.5
