,Biology,Cage,Correct_RT,Genotype,Group_Sample,Lipid,Match_Group,Max_Intensity,Mouse,New_ID,OzESI_Intensity,Parent_Ion,Product_Ion,Retention_Time,Sample_ID,Transition
0,cereb,DOD94,13.55,5xFAD,20.0,[TG(50:3)]_FA18:1,2644.0,8026.0,F4,[TG(50:3)]_FA18:1-DOD94-F4-5xFAD-cereb,8026.0,846.8,547.5,13.55,11292023_DOD94_F4_5xFAD_cereb_O3on_01,846.8 -> 547.5
1,cortex,DOD94,13.6,5xFAD,27.0,[TG(50:3)]_FA18:1,2645.0,2297.0,F4,[TG(50:3)]_FA18:1-DOD94-F4-5xFAD-cortex,2297.0,846.8,547.5,13.6,11292023_DOD94_F4_5xFAD_cortex_O3on_01,846.8 -> 547.5
2,cereb,FAD185,13.38,5xFAD,63.0,[TG(50:3)]_FA18:1,2652.0,17027.0,M3,[TG(50:3)]_FA18:1-FAD185-M3-5xFAD-cereb,17027.0,846.8,547.5,13.38,11292023_FAD185_M3_5xFAD_cereb_O3on_01,846.8 -> 547.5
3,dienc,FAD185,13.38,5xFAD,91.0,[TG(50:3)]_FA18:1,2654.0,7437.0,M3,[TG(50:3)]_FA18:1-FAD185-M3-5xFAD-dienc,7437.0,846.8,547.5,13.38,11292023_FAD185_M3_5xFAD_dienc_O3on_01,846.8 -> 547.5
4,hippo,FAD185,13.38,5xFAD,101.0,[TG(50:3)]_FA18:1,2655.0,2502.0,M3,[TG(50:3)]_FA18:1-FAD185-M3-5xFAD-hippo,2502.0,846.8,547.5,13.38,11292023_FAD185_M3_5xFAD_hippo_O3on_01,846.8 -> 547.5
5,cereb,FAD189,13.64,5xFAD,108.0,[TG(50:3)]_FA18:1,2656.0,12837.0,M1,[TG(50:3)]_FA18:1-FAD189-M1-5xFAD-cereb,12837.0,846.8,547.5,13.64,11292023_FAD189_M1_5xFAD_cereb_O3on_01,846.8 -> 547.5
6,cortex,FAD189,13.6,5xFAD,119.0,[TG(50:3)]_FA18:1,2657.0,14739.0,M1,[TG(50:3)]_FA18:1-FAD189-M1-5xFAD-cortex,14739.0,846.8,547.5,13.6,11292023_FAD189_M1_5xFAD_cortex_O3on_01,846.8 -> 547.5
7,cortex,FAD189,13.6,5xFAD,153.0,[TG(50:3)]_FA18:1,2661.0,2235.0,M2,[TG(50:3)]_FA18:1-FAD189-M2-5xFAD-cortex,2235.0,846.8,547.5,13.38,11292023_FAD189_M2_5xFAD_cortex_O3on_01,846.8 -> 547.5
8,dienc,FAD189,13.6,5xFAD,160.0,[TG(50:3)]_FA18:1,2662.0,2204.0,M2,[TG(50:3)]_FA18:1-FAD189-M2-5xFAD-dienc,926.0,846.8,547.5,13.6,11292023_FAD189_M2_5xFAD_dienc_O3on_01,846.8 -> 547.5
9,cereb,FAD185,12.0,5xFAD,65.0,[TG(52:5)]_FA16:1,2868.0,17269.0,M3,[TG(52:5)]_FA16:1-FAD185-M3-5xFAD-cereb,17269.0,870.8,599.5,12.0,11292023_FAD185_M3_5xFAD_cereb_O3on_01,870.8 -> 599.5
10,dienc,FAD185,12.0,5xFAD,93.0,[TG(52:5)]_FA16:1,2870.0,11179.0,M3,[TG(52:5)]_FA16:1-FAD185-M3-5xFAD-dienc,11179.0,870.8,599.5,12.0,11292023_FAD185_M3_5xFAD_dienc_O3on_01,870.8 -> 599.5
11,cereb,FAD189,12.31,5xFAD,110.0,[TG(52:5)]_FA16:1,2872.0,18358.0,M1,[TG(52:5)]_FA16:1-FAD189-M1-5xFAD-cereb,18358.0,870.8,599.5,12.31,11292023_FAD189_M1_5xFAD_cereb_O3on_01,870.8 -> 599.5
